gene_name,A5P,A5T,A8P,A8T,C5P,C8P,NP14B
Rb1cc1,-1.0428871,-0.5877112,1.7144748,0.77721155,-0.044926118,-0.4504563,0.28157893
Pcmtd1,-0.4116687,-0.98616207,0.7819789,0.17669268,-0.54076207,-0.17555626,1.0976546
Vcpip1,0.21627244,0.257894,-0.2412213,-0.12394714,0.12978826,-0.03359103,0.012129857
Sgk3,1.239487,0.6468807,-0.7533505,-1.238463,-0.5281448,-1.0216545,1.1429961
Mcmdc2,0.6960876,-0.27309382,-0.28679815,-0.22904848,-0.00026087867,-0.4681929,-0.1220506
Cspp1,0.21939911,0.01820366,-0.037533417,-0.14008485,-0.42313048,0.5197593,0.175411
Arfgef1,-0.4484883,-1.1076901,0.6472322,0.38634214,-0.26847413,0.21600503,0.10177709
Ncoa2,-0.64108074,-0.7036318,1.2636622,1.249943,-0.14346437,-0.21336439,-0.3347096
Rdh10,0.16466992,0.059575316,0.30849826,0.3208364,-0.2856811,0.25915536,-0.1636702
Ube2w,-0.9524685,-0.7624579,0.4452174,0.08671073,-0.11755964,0.72162914,0.27119073
Mcm3,4.522714,0.25765455,-2.0655918,-2.1687756,1.6191005,-0.1916859,-0.9010162
Paqr8,0.2789904,-0.30744207,-0.45777467,-0.555734,0.019496117,-0.3215654,0.24007331
Khdc1a,-0.042385694,-0.24376637,-0.4551947,-0.4606333,-0.2807292,-0.48049226,-0.20845331
Ogfrl1,3.0814264,2.363471,-0.6583544,-0.46219447,-1.491335,-0.619913,-0.12464917
B3gat2,0.2998168,-0.14510508,-0.10079041,-0.0009408906,0.35659552,-0.35167053,-0.19593094
Lmbrd1,-0.18081698,-0.8307009,0.3432753,-0.018292394,0.21538237,1.3129593,-0.50657994
Phf3,-0.47527927,0.24504806,0.10445838,0.94710076,-0.47074184,-0.1420538,0.14435233
Ptp4a1-1,0.09583566,0.3143135,-0.12966996,0.63975984,-0.114581466,-0.019024996,-0.15796392
Zfp451,-0.45348066,0.15271914,-0.27494323,-0.5293426,0.19143206,1.1169947,0.47594464
Bend6,0.09139235,0.22049579,-0.33187288,-0.3811216,-0.14066519,-0.20248058,-0.16638698
Ptpn18,-3.6799293,0.60059935,2.686916,2.759799,-2.7835057,2.582295,-0.3315374
Arhgef4,-0.12831149,-0.58531076,0.66888684,0.18632753,-0.25412333,-0.20336464,0.14760786
Hs6st1,0.36050823,0.53986293,-0.39993164,-0.3032879,-0.2118753,-0.65081555,0.90885514
Neurl3,-0.5976295,1.5589995,-0.57617575,0.3885237,-1.5583599,-0.8747025,0.59792936
Arid5a,-1.561576,2.3844347,0.66962975,0.59955037,-0.4513002,-1.3158237,-0.5866924
Kansl3,-0.19138655,-0.33575594,0.31162882,0.20127878,0.15688968,0.31018305,-0.14839351
Cnnm3,0.8758722,-0.07831958,-0.1045868,0.28716913,-0.5309673,-0.06803085,0.37902167
Ankrd23,0.26755923,-0.3011685,-0.35028738,-0.26216966,0.038450222,-0.32053363,-0.051311746
Vwa3b,0.22848329,-0.19775856,-0.5484756,-0.35784283,-0.29982716,-0.35923567,0.19842207
Inpp4a,0.2438265,-0.36576998,0.5390246,0.11470464,-0.0036424256,0.02068604,-0.60199636
Mgat4a,0.6172988,1.0297631,-0.39672193,-0.17075025,-1.284163,-1.029699,0.9711879
Tsga10,-0.016581282,-0.50541407,0.38073447,0.66882026,0.07140678,0.1705198,-0.3236966
Mitd1,-0.21128933,-0.055792183,-1.0521879,-1.7049891,1.4185207,1.556532,0.08328246
Aff3,-1.1183823,-0.42436838,-1.6850694,-1.2334442,1.4469014,-0.6003565,1.4941407
Chst10,-0.21680406,1.3943688,-0.2738287,0.14563967,-0.5636365,-0.9211401,0.37821627
Rnf149,1.162731,0.3448121,-0.011685711,-0.7278857,-0.4781887,-0.038322408,0.040195074
Map4k4,-1.124506,1.0481923,-0.5759524,-0.7411359,1.3578383,-1.4910468,0.9359142
Il1r2,0.24736121,-0.39664984,-0.2151298,-0.05434093,-0.17263515,0.59567094,-0.1463236
Il1rl1,-2.1574252,-2.3141289,-1.0612024,-1.2841591,3.2591987,5.333146,-0.7950324
Il18r1,-2.651024,-3.699227,3.9069338,3.4657748,1.1690748,4.722263,-3.3212502
Il18rap,-1.1971941,-4.1040955,6.7687345,5.551153,-1.5192647,2.182503,-3.4933712
Mfsd9,-0.09739509,0.17424262,-0.22159058,-0.38948563,-0.3050354,-0.1119344,0.011110097
Tgfbrap1,0.6576065,-0.42910367,0.47594452,0.03479218,-0.06527466,0.41095892,-0.082590535
Nck2,-0.027778972,0.35177854,1.5524032,0.21573065,-1.2123247,0.13117407,-0.13937193
Gm8251,0.2271051,0.3760552,-0.66589576,-0.33429295,-0.099352926,-0.58215123,0.6559802
Ercc5,-0.45589992,-0.3773471,0.22784756,-0.030196952,0.00391727,0.62821114,0.3772084
Slc40a1,0.18558373,-0.2573931,-0.26447228,-0.08304205,-0.277908,0.25359094,-0.16176227
Nabp1,-0.07733739,0.9670266,0.19885293,1.1922679,0.35186598,1.0385157,-1.553863
Stat4,-1.8686202,-0.43538374,1.3961469,1.8515527,1.4213902,-0.35986388,-1.3749787
Stat1,-2.5034072,1.310602,-1.9384918,-1.1547489,0.41057524,1.1625853,1.6947167
Mfsd6,-0.6594558,2.5198708,-0.36530337,-0.53805554,-0.5117191,-0.33515596,-0.07160709
Inpp1,-0.9863533,1.311235,0.3832258,0.16108193,0.2840994,0.7072506,-0.64866316
1700019D03Rik,-0.57336366,-0.23519658,-0.41691965,-0.2895401,-0.019501092,1.0540081,0.03282045
Stk17b,-2.9593585,2.9224072,1.3715523,1.3544974,0.04128935,-1.8013489,-1.3193362
Pgap1,0.19011253,-0.2600888,-0.34734976,0.47190472,0.30872184,-0.30559275,-0.039528865
Ankrd44,-0.24816161,0.118026204,2.320763,1.9434112,-1.1468838,-0.7380895,-0.58775705
Coq10b,-0.18563576,0.14213459,0.13249928,1.3734821,0.72541577,-0.49082127,-1.2041736
Hspd1,4.119629,0.68038964,-1.3523924,-1.8936578,0.8995507,-1.54872,-0.031912923
Hspe1,2.7306697,1.0184722,-1.7679121,-1.4296039,-0.14609465,-3.076898,1.5998256
Kctd18,-0.2821761,-0.7429532,0.6358579,-0.23934032,0.047284786,0.27747226,-0.16736186
Sgo2a,0.397975,1.0905111,-0.70946985,-0.92405576,0.88839835,0.7704461,-0.4903727
Clk1,-1.3425919,1.0876063,1.2294084,1.8906574,0.5456211,-2.1555066,-1.559339
Fam126b,0.46555248,-0.17087184,-0.11133927,-0.42643374,-0.47719154,1.036075,0.65442646
Cflar,0.09321791,0.1501395,0.6385365,0.062472563,-0.8463501,0.9210263,0.19074829
Trak2,0.31098732,0.26736134,0.36784974,0.7722366,-0.09724187,-0.9591814,-0.14503191
Stradb,0.37767375,0.38427538,0.0020299542,-0.2628203,-0.22576939,0.02956634,0.01505207
Nop58,1.3547683,0.27274317,-1.6102847,-1.88505,0.9651316,-0.40964884,0.677126
Bmpr2,-0.0043921187,0.09839529,0.22385305,-0.062478703,-0.036762647,-0.16314901,-0.20328695
Ica1l,0.31408042,-0.30614948,-0.35535818,-0.55705,0.20733893,0.3548498,-0.1765783
Carf,0.4504453,-0.18008792,-0.016674435,-0.36189982,0.15737635,0.19782862,0.4766165
Nbeal1,-0.09934246,-0.8322941,0.14996982,-0.0831326,-0.61240053,-0.24246025,0.8939773
Raph1,0.23758508,-1.2919064,0.9897056,0.32948676,0.2064837,2.6011174,-1.048995
Cd28,-0.48914817,2.2022495,1.8927761,1.9811528,2.2218108,-1.8716474,-4.1238933
Ctla4,-2.5426824,-2.2012115,-1.2258962,-0.9568326,7.729451,0.6512838,-2.686477
Icos,-2.4886425,-2.2203367,0.58874446,1.2239861,4.5855384,1.5047116,-2.7328026
Nrp2,-0.105938226,0.32728398,-0.48792562,-0.16910724,-0.48310825,-0.501144,0.08282295
Ino80d,-0.2865068,-0.21154903,0.16612846,-0.24381769,-0.10979817,0.42302868,0.31088835
Eef1b2,0.920105,1.2713058,-3.5631104,-3.2559597,-0.85831285,-0.1796395,3.9326835
Klf7,-0.10615597,0.6079233,0.019587519,0.31111717,-1.5517285,-0.3836574,1.0235772
Creb1,0.47372413,0.18427941,0.2793314,-0.5311587,-0.25977892,0.7444313,0.2933873
Plekhm3,-0.35742372,-0.30775034,0.36099425,0.613518,-0.5628354,-0.28798127,-0.040734135
Pikfyve,0.6114506,-0.23115619,-0.14386587,-0.21643443,-0.5140178,0.07901065,0.43511227
Kansl1l,-0.060741417,-0.49931085,-0.032920554,-0.36301783,-0.112622015,0.57810515,0.59503454
Ikzf2,-2.3569393,-0.43327194,-2.1833982,-2.4144046,3.7415018,-0.023599338,0.5196557
Fn1,-0.027430024,0.09045779,-0.31922492,-0.35822043,0.016600518,-0.34492,-0.0580904
Rpl37a,-0.86372817,0.44167888,-0.66149557,0.25385785,-2.8091264,-2.0113528,4.1104836
Cxcr2,-0.10853195,0.06121556,-0.30579123,-0.34891716,-0.1342253,-0.21704786,-0.18565941
Slc11a1,-0.33065936,0.061166484,-0.33382624,-0.2407692,-0.32011348,-0.06320775,-0.16711816
Ttll4,0.41140917,-0.38511917,0.12679662,0.22655277,-0.65750784,0.035328016,0.3461669
Cnppd1,-0.45085317,0.47652674,0.121167235,0.65107095,-0.2196286,0.058126193,-0.34968272
Atg9a,0.013664956,0.0070035495,0.097603224,0.73751163,-0.2239045,-0.23968764,0.012082744
Ankzf1,-0.36874062,0.35276,-0.38460287,-0.046950005,-0.63071305,0.19141477,0.114012815
Dnajb2,0.21956597,0.82281184,-0.6911787,-0.6582019,-0.062121153,-0.4298325,0.86171424
Mogat1,0.5436032,0.3746021,-0.50787705,-0.2534354,-0.3436256,-0.46825016,-0.11043064
Acsl3,0.8345857,0.3217707,-0.5666089,-0.63275427,-0.51061815,-0.5718321,0.7203284
Utp14b,0.11076438,0.51513135,-0.8590389,-0.6553269,-0.16914582,-0.7619428,0.972863
Wdfy1,0.122316025,0.14966269,0.7814434,1.08969,-0.94162005,0.93459743,-0.60999006
Serpine2,0.68962723,-1.0748094,-0.23165877,0.13459569,-0.39186004,0.8125036,-0.10832118
Fam124b,-0.12349838,-0.37454003,-0.060868874,-0.28144202,-0.18497927,-0.20200673,-0.051604677
Dock10,-1.216938,-0.42725208,0.46656027,1.1907681,-0.2532213,-0.25767162,0.39843816
Rhbdd1,0.22402564,0.35569206,0.26515347,0.1457709,-0.34972048,-0.3784528,-0.09892886
Col4a4,0.6098188,-0.1484326,-0.508001,-0.18942079,-0.13615097,-0.32065108,-0.04194604
A030005L19Rik,0.3930058,-0.20995739,0.023511807,-0.100961566,-0.26245642,-0.29529068,-0.13668329
C130026I21Rik,0.06819319,-0.39280617,-0.5453782,-0.46868333,-0.25029147,-0.4698758,0.14070408
A530032D15Rik,0.020613886,-0.17357971,-0.4585775,-0.31267393,-0.22626333,-0.39348924,-0.11034092
AC147806.2,0.10119169,-0.23870789,-0.32968423,-0.31091636,0.044583336,-0.29420522,-0.12623085
G530012D18Rik,-0.05301788,0.1281792,-0.38822582,-0.02783074,-0.14861667,-0.22746748,-0.1250379
Sp110,-2.454699,-0.31892088,1.7203255,2.3692849,-0.76213694,-0.04865327,-0.081630364
Sp140,-0.9042346,1.8675525,0.12572959,0.45779684,-0.66187584,-0.60947645,-0.47057426
Sp100,-2.5763357,-0.28838688,4.3864217,3.704468,-1.3265135,-0.21917486,-1.5319191
A630001G21Rik,-0.9442708,-0.34144184,0.25521788,0.36446398,0.41324258,1.9578723,-0.9205467
Itm2c,-0.7526637,-2.1906004,0.099288695,0.6428038,1.0531017,2.857416,-0.5361521
Gpr55,-1.6284299,-1.2916222,0.43525547,0.38156414,1.6411903,1.7643305,-1.0200819
Armc9,-0.10637054,-0.17274928,-0.4416798,-0.58763015,-0.35644144,0.29006073,0.5195406
Ncl,1.9531338,0.8594007,-0.42904407,-0.6801629,-0.2686178,-1.0962379,0.33821094
Ptma,5.110041,2.7384286,-4.536848,-4.706034,2.5572722,0.06508723,-0.7695768
Dis3l2,-0.06406925,0.3609104,-0.023230322,-0.1299221,-0.37111932,0.79872024,0.29036188
Gigyf2,-0.72204363,-0.1380848,-0.25539407,-0.2718155,0.19196308,0.6005621,0.4460899
Kcnj13,-0.2854598,-0.08244365,-0.3172114,-0.35568705,-0.03003043,-0.12116194,-0.13014337
Inpp5d,-0.74336016,0.0428715,1.0450968,0.916352,-0.31996083,-0.12116418,-0.78661007
Atg16l1,-0.092900984,0.27007714,0.4382813,0.109473,0.3263129,-0.095709145,-0.32222134
Sag,0.21929555,0.26101068,-0.41468674,-0.2920016,-0.31613925,0.0114359595,0.7075972
Dgkd,-0.5737111,0.3194792,0.47103843,-0.27399093,-0.28968555,0.8237829,0.1160274
Usp40,-0.8915474,-0.8494558,-0.033593718,-0.33495882,0.031862702,0.4813718,1.1085544
Hjurp,1.5872505,0.50604653,-1.197932,-1.0654912,1.4412451,1.030826,-0.62922484
Glrp1,0.3030168,0.44857118,-0.39824516,-0.3174357,-0.22415437,-0.43024775,0.040102288
Arl4c,0.2001775,3.6925333,1.1829623,1.7324078,-4.953923,-4.708795,3.086736
Ramp1,-0.23214757,0.33589178,-2.5450032,-2.2643888,-1.5829087,-1.8477931,5.6514916
Per2,-0.48097903,-0.005778069,-0.359906,-0.4188356,-0.16982605,-0.26512337,0.10606555
Traf3ip1,-0.08052956,0.6553508,1.0576874,0.5876252,-0.5210726,-0.12903354,-0.5002983
Hdac4,-0.7486546,1.3602403,-0.89913404,-0.9706122,-0.73305225,-0.59421974,1.6100615
Rnpepl1,-0.24488026,-0.45781627,-0.21159105,1.0487566,-0.20470852,-0.085698806,0.22179402
Gpr35,0.18486819,0.20540947,-0.29262048,-0.17241016,-0.23035988,-0.3842544,-0.12348338
Farp2,-0.07444174,-0.14582983,-0.32883576,-0.12208296,-0.05068267,-0.3588984,-0.041705456
D2hgdh,0.7503194,-0.09575755,-0.12258267,-0.05890808,0.2528575,-0.11863828,0.24297519
Pdcd1,-3.7774515,-4.4905596,-1.7151916,-2.0537963,6.01179,6.5155864,-1.2488711
Fam174a,-0.26860178,-0.67086726,0.5751254,-0.013373932,-0.5676141,1.5701215,0.14639316
St8sia4,0.398434,1.0777167,0.5976491,0.3650661,-0.7386963,-1.2260755,0.24167962
D1Ertd622e,0.88943386,0.38708857,0.8120862,1.0985842,0.013724655,-1.2775439,-1.1507256
Pam,0.037577894,0.10585606,-0.53551835,-0.22748776,-0.5046037,-0.49998185,0.54837316
Relch,-0.028128058,-0.64418286,0.9220354,0.23286629,-0.3292758,0.4721027,0.08033214
Zcchc2,-0.53350246,0.37226242,0.5452542,-0.2170193,0.36412668,0.33204833,-0.11922958
Bcl2,-3.0862508,2.0923295,-3.0965257,-1.497154,0.3820822,2.6879544,1.1649016
Kdsr,-0.03339455,0.3967687,-0.17094983,-0.30435273,-0.26240104,0.15706776,0.39855143
Dsel,0.5439576,0.02821299,-0.34281123,-0.13041744,-0.24570233,-0.11623014,-0.117457554
Tmem185b,0.4340786,1.2493696,-0.23672916,-0.24785103,-0.09984077,0.15516856,0.10463721
Ptpn4,0.08308211,-1.0870163,2.4835105,1.8491704,-0.64135104,0.30991986,-1.1381731
Sctr,0.21124987,-0.23299855,-0.15956378,-0.096698366,-0.18753426,-0.41559178,-0.13214155
Tmem37,-0.24063481,1.570573,0.1224327,1.1804559,-0.28463295,-0.7571334,-0.78774476
Dbi,2.5321052,1.30804,-2.4055455,-2.8713374,4.2534957,-0.23867495,-1.8465308
Insig2,0.07453135,-0.9827146,0.15395954,-0.21944591,0.24880208,0.78052545,0.071101755
Ccdc93,0.13863899,0.4888815,0.24655405,0.2736245,0.18468219,-0.06323594,-0.28025663
Mgat5,-0.40604627,0.028856982,-0.39674816,-0.7113498,0.4330242,-0.36377612,0.5773996
Tmem163,-0.34908208,-0.80553913,0.60988843,1.403678,-0.3003842,3.9855871,-1.6617444
Ccnt2,0.45242974,-0.32039812,0.2642643,-0.0005377577,-0.33211517,0.39701506,0.27752003
Rab3gap1,-0.39238858,0.27461112,-0.8410206,-0.3611087,0.4264575,0.23773615,0.80565196
R3hdm1,-0.40150872,0.32265213,-0.78354514,-0.9898337,0.21559139,0.15605177,0.78619754
Mcm6,2.4954934,-0.97561973,-1.6589262,-1.5836412,3.0497851,1.1843292,-1.7231598
Cxcr4,-1.6512823,0.92797667,-1.5602007,-0.8089055,1.6928755,1.1906501,-0.7255286
Cd55,0.5078273,1.0818993,-1.3573385,-0.4637673,-0.43738475,-1.3076844,1.157328
Pfkfb2,0.29709318,0.06547331,-0.16853435,-0.39928886,-0.17067166,-0.25614992,-0.08074766
Yod1,0.0663123,0.3385485,0.14348486,0.07994189,0.2814537,-0.53727573,-0.22604147
Fcmr,0.20182039,-0.5443801,-0.74804157,-0.92418545,-0.4029884,-0.52461934,-0.3607175
Il10,0.1446198,2.2128065,-0.5038125,-0.75377125,-0.6471344,-0.66897506,-0.29327983
Ikbke,-0.012145358,0.14029214,-0.7898534,-0.46351188,-0.121549375,-0.29176944,1.573758
Ctse,0.32173812,-0.48118606,-0.012692268,0.5677696,0.0098009305,-0.25469744,0.28305563
Slc41a1,-0.12031638,0.09623476,0.13719226,-0.099446334,0.29851732,0.56630194,0.00018937753
Nucks1,3.2422833,0.74997103,-2.323315,-2.9452982,2.5122344,-0.14911397,-0.28108796
Elk4,0.031996615,0.03607579,-0.4061127,-0.4988684,-0.01230534,0.20414251,0.61787224
Mfsd4a,0.06609357,-0.20583986,-0.23437697,-0.013163318,0.31005794,0.21102072,0.64020115
Nuak2,0.17658792,0.37536985,-0.647217,-0.71854115,-0.32297695,-0.4463322,0.2669281
Dstyk,-0.15363596,-0.45162126,-0.5092044,-0.55786294,-0.54578143,-0.36342484,1.0372108
Tmem81,0.19993435,-0.2037186,-0.3210188,-0.1364187,0.27170655,-0.35470065,0.15783031
Mdm4,-0.3950677,-0.25699803,0.39023742,0.67168653,-0.8187015,0.4868759,0.44050407
Pik3c2b,0.48695475,-0.91154873,-0.15741234,0.0696634,0.34040818,-0.19618423,-0.15847017
Plekha6,0.017600842,0.25386712,-0.048707552,-0.05914178,-0.4813036,-0.8065033,0.42843267
Zc3h11a,0.5521397,-0.23842376,0.058772434,0.18785171,0.07712529,-0.255403,0.13914816
Gm38394,-0.71603614,-0.027772592,0.071750365,0.6378691,-0.05193982,0.13385229,-0.25946626
