gene_name,0_A5P,0_A5T,0_A8P,0_A8T,0_C5P,0_C8P,0_NP14B,10_A5P,10_A5T,10_A8P,10_A8T,10_C5P,10_C8P,1_A5P,1_A5T,1_A8P,1_A8T,1_C5P,1_C8P,2_A5P,2_A5T,2_A8P,2_A8T,2_C5P,2_NP14B,3_A5T,3_A8P,3_A8T,3_C8P,3_NP14B,4_A5P,4_A5T,4_A8P,4_A8T,4_C5P,4_C8P,5_A5P,5_A5T,5_A8P,5_A8T,5_C5P,5_C8P,6_A5P,6_A5T,6_A8P,6_A8T,6_C5P,6_C8P,6_NP14B,7_A5P,7_A5T,7_A8P,7_A8T,7_C5P,7_C8P,8_A5P,8_A8T,8_C5P,8_C8P,9_A5P,9_A5T,9_A8T,9_NP14B
Rb1cc1,-0.3946864,0.19131272,0.27902386,0.1658238,0.5856978,-0.16444038,-1.0177,0.25200364,0.2996969,0.4550308,0.4561243,0.26742786,0.02787662,-0.03986737,-0.06354292,0.265587,-0.28715923,-0.012261749,-0.24797621,-0.932336,1.5099127,0.29161453,0.12572815,-0.9925277,3.7364774,-1.0042394,-0.6368283,-0.7779681,2.4413452,0.08858336,-0.3272998,-0.33226654,0.009728681,-0.116716586,-0.18257274,-0.17849527,-0.13915195,-0.15003233,0.23283878,-0.293698,-0.039367072,-0.061951187,0.052478403,-0.04862203,-0.22259611,0.29637095,0.03300243,-0.0031040735,-0.2695384,-0.22712672,0.05674582,-0.04695559,-0.036268897,0.09853732,0.24061675,1.8247902,-0.38801953,-0.13127775,-0.059254307,1.9502602,0.00021426253,-0.14432563,-0.96219707
Pcmtd1,-0.061973978,-0.28752616,0.20031089,0.015280706,0.5825164,0.58244634,-0.73227817,0.17715313,0.18832122,1.8632456,0.26656333,0.2200908,-0.15713772,-0.0304581,-0.036283083,-0.037923705,-0.10372875,-0.06817312,-0.18554112,-0.6536356,-0.1369961,0.055726644,-0.009195876,-0.7090879,-0.7328048,-0.7198774,2.232633,-0.03267489,-0.71555156,0.3447674,-0.15921155,-0.14569499,-0.2592075,0.29013124,-0.16776098,-0.18079688,-0.17449738,-0.22175352,-0.27233413,0.04898276,-0.15889221,-0.008408039,0.060497288,0.057768032,0.36830747,-0.26671967,0.009747248,0.149237,0.098855294,-0.02895785,0.14983489,0.22782211,0.050448988,0.0105316015,0.19414452,1.6296769,0.48856235,0.013076961,0.013151716,-0.6920792,-0.0294894,0.088628784,-0.6811454
Vcpip1,0.1718945,0.06176463,-0.084828876,-0.0022692888,0.036311775,1.0632237,-0.67835194,0.12009362,0.06503514,0.0677956,-0.21341686,0.078377895,-0.3813296,-0.0015743552,-0.037594046,0.21767405,-0.0062171915,0.052472286,-0.11270176,-0.6638216,-0.6718706,-0.020022301,-0.059751026,-0.67406714,-0.6784492,-0.6760607,0.75151795,-0.0074082147,2.3414297,0.0005622992,-0.09833447,-0.07788977,0.12861107,0.12958574,-0.09730114,0.17231727,0.004505779,0.017829454,-0.1053277,-0.0056892363,-0.014605707,0.059765916,-0.014806309,-0.035073195,-0.114246875,-0.419519,-0.023705348,-0.082885616,0.1247336,0.07275875,0.22024073,0.37647876,0.056186978,0.054795716,0.07091144,2.926682,0.68823713,0.14852586,0.03458449,1.8050712,0.085841976,0.051307373,-0.6689044
Sgk3,0.00156426,-0.050623674,-0.076874204,-0.1947661,0.13540734,-0.2796259,-0.27986175,0.0558317,0.09749411,-0.27900955,-0.27937132,-0.028906258,0.5829702,-0.08291238,-0.073866874,-0.11931398,-0.11566326,-0.1339749,-0.2790225,-0.2793964,-0.27965418,-0.15136176,-0.2323438,-0.27972454,-0.27986485,-0.27978837,-0.27778563,0.4417598,-0.27976274,0.36358553,0.09493059,0.1119099,-0.022699527,0.19818994,-0.041379564,0.011260204,0.05568518,-0.052166503,-0.27966818,-0.1266401,-0.01685509,-0.279364,0.092878416,0.045875464,0.07479376,-0.18178125,0.08022878,-0.14840642,-0.27969784,-0.10420082,-0.09727494,-0.071961515,-0.1667032,-0.08270942,-0.087904714,-0.27957803,-0.27940628,-0.13308749,-0.1382372,-0.2796239,0.20281205,0.45497298,-0.2795592
Mcmdc2,-0.051589295,-0.059094895,-0.045598794,-0.063083895,0.39930665,-0.063027084,-0.06562265,-0.0036866332,-0.034614537,2.1556022,-0.060225204,-0.031110715,-0.03846354,0.041897263,-0.048976135,-0.05760909,0.09029764,-0.047813695,-0.056385916,-0.06050133,-0.06333825,-0.04514583,-0.040846344,-0.06411247,-0.065656945,-0.0648151,-0.042772677,-0.06451842,-0.06453339,-0.041473884,-0.01995195,-0.0022259734,-0.058316223,-0.056391645,-0.024691103,-0.057302337,0.024725782,-0.053542305,-0.06349249,-0.06176298,0.013610318,-0.060144294,0.042407863,-0.036387272,-0.064470775,-0.06339564,0.14486016,0.13841346,-0.063818865,0.18788296,-0.054445468,-0.0620699,-0.0605251,0.008619377,-0.057075936,-0.06250021,-0.06061002,-0.055589564,-0.06042432,-0.06300484,0.01815365,0.18201737,-0.062292814
Cspp1,0.07811403,-0.08640365,0.014877208,-0.051504202,-0.05413169,-0.6344564,-0.6320025,0.084348254,0.11874137,-0.64086974,0.65047365,0.14677186,-0.091145076,0.1859459,0.14908278,0.5272695,0.38307777,0.070625275,0.6264497,-0.63684434,0.35832468,-0.05463557,0.020106837,-0.63343024,-0.63197005,-0.63276595,0.66821486,-0.63304645,-0.63303226,0.05596906,-0.069411494,-0.14513056,-0.013822464,-0.11649851,-0.062440597,0.042777557,-0.10059509,-0.04303114,0.2013312,-0.44382823,-0.17887966,-0.09486542,-0.046821427,-0.07209867,0.061852653,0.10403909,0.022162339,-0.062786296,-0.10646783,0.31422454,0.1965054,-0.14869213,0.015448899,-0.09599958,0.22640908,-0.6349545,0.10263544,-0.33945963,-0.011161875,-0.63447744,-0.007328287,-0.23033582,-0.6351506
Arfgef1,-0.34922346,-0.027251573,0.09041076,0.09540751,-0.4169328,-0.0775051,2.2558212,0.05223661,-0.035059746,0.6844997,-0.08658948,0.041048452,0.2966055,-0.08429571,-0.09785268,0.012254609,-0.094120145,-0.024419634,-0.03710654,-0.825746,-0.8388465,0.13190198,0.039512254,-0.84242177,3.5931327,-0.8456664,0.86111104,-0.84429634,1.7602882,0.024257887,-0.18902798,-0.12009214,0.1742331,0.30065015,-0.12796004,-0.05705342,0.008422426,-0.2332014,-0.343388,-0.082778685,-0.124206044,-0.13755989,0.032942507,0.048407983,-0.3095134,0.2244593,0.15774575,0.39340588,-0.17663303,0.06544691,0.012884569,0.2648673,-0.09011237,0.09175145,0.3970482,1.1853673,0.28100806,-0.041557405,0.024628637,1.3005028,-0.041106064,-0.23120387,0.06958762
Ncoa2,0.0937335,-0.21247658,0.13131928,0.19303103,0.15553263,1.1621438,-0.83588785,0.18917856,0.06500935,-0.023765603,-0.26206118,0.20263968,0.3069762,0.06355172,0.0029751933,0.47837994,0.0840723,0.07122074,0.08141417,-0.78969043,-0.8152812,0.24058478,0.13240416,-0.822265,-0.83619714,0.3780207,0.5564836,0.12443761,-0.826062,-0.107884355,-0.103666,-0.023458948,0.7262343,0.27927774,0.07949393,-0.27857378,-0.25265452,-0.2376336,-0.07148193,-0.21006858,-0.20243108,-0.23355927,-0.045804653,0.00097631506,-0.19794537,-0.03293871,0.13457048,-0.081409514,0.08434625,0.070874855,-0.18409364,0.36498314,0.29982513,-0.12861986,0.050349917,1.2257478,0.603118,0.16047196,-0.012865239,-0.81227356,0.029399753,-0.097059034,-0.80585074
Rdh10,-0.20526505,0.38808057,0.011993883,0.05030777,-0.21011357,-0.21935627,-0.22255398,-0.0035625019,0.07205603,-0.21099913,-0.21590438,-0.08154319,-0.18909426,-0.08120507,-0.10648459,0.005046444,-0.016100636,-0.07868864,0.0026426776,-0.21624458,-0.21973963,0.07112444,0.017856376,-0.22069344,-0.22259623,-0.22155908,-0.19440307,-0.22119358,-0.22121203,-0.051303227,-0.08147005,0.023432836,0.17114754,0.17605625,0.032067817,0.19057538,0.02572161,-0.0897774,-0.21992965,-0.2177989,-0.106288515,0.14003544,0.08272813,0.07282122,1.2216896,0.17331252,0.118401766,0.118016005,-0.22033173,-0.03618048,0.1466382,-0.21817702,-0.21627386,0.0021852464,0.0475577,-0.21870716,-0.21637847,-0.03494097,0.09550543,-0.21932887,-0.11950006,0.17016983,-0.21845165
Ube2w,-0.34557554,0.10204552,0.040309954,0.0044357344,-0.25886685,-0.46415663,-0.47824475,-0.0014865292,0.06441266,-0.4273376,0.23256303,0.026845815,1.1326138,0.091330074,0.113414794,0.068112284,-0.13685587,-0.013407128,0.2756173,-0.45044738,-0.46584556,0.08457766,0.02190985,-0.4700478,4.518623,-0.47386152,1.5306886,-0.47225124,-0.47233248,0.07814736,-0.13577607,-0.01192867,-0.10661533,0.054332938,-0.02921567,0.026087957,-0.20435634,-0.15329674,0.3474185,-0.18350032,-0.06796335,-0.3789694,-0.008975207,-0.13763955,0.20086113,0.60110897,0.05943002,-0.080970705,-0.19364798,-0.046907555,-0.11801423,0.39404464,0.20119652,0.019380253,0.24507669,-0.46129686,0.054152854,0.008505862,0.17387292,-0.4640358,-0.2603762,-0.1777303,0.98495364
