gene_name,0_A5P,0_A5T,0_A8P,0_A8T,0_C5P,0_C8P,0_NP14B,10_A5P,10_A5T,10_A8P,10_A8T,10_C5P,10_C8P,1_A5P,1_A5T,1_A8P,1_A8T,1_C5P,1_C8P,2_A5P,2_A5T,2_A8P,2_A8T,2_C5P,2_NP14B,3_A5T,3_A8P,3_A8T,3_C8P,3_NP14B,4_A5P,4_A5T,4_A8P,4_A8T,4_C5P,4_C8P,5_A5P,5_A5T,5_A8P,5_A8T,5_C5P,5_C8P,6_A5P,6_A5T,6_A8P,6_A8T,6_C5P,6_C8P,6_NP14B,7_A5P,7_A5T,7_A8P,7_A8T,7_C5P,7_C8P,8_A5P,8_A8T,8_C5P,8_C8P,9_A5P,9_A5T,9_A8T,9_NP14B
Rb1cc1,-1.6522502,0.8576039,1.5534419,1.021723,1.7100667,-0.31950805,-0.7532455,1.3070314,1.521397,0.39795724,1.1072075,1.1974256,-0.26657915,-0.3225921,-0.3848989,0.6346321,-0.9965878,-0.17475633,-0.90766656,-1.009976,2.4056263,1.4815047,0.74989057,-1.1996456,2.935308,-1.0346833,-0.65687317,-1.4799552,2.217575,0.29739186,-1.6293943,-1.7353231,0.043855555,-0.4638589,-0.8161215,-0.65494484,-0.7297307,-0.7105429,0.7927507,-0.9742579,-0.026331943,-0.12655695,0.60019904,-0.2868139,-0.5898874,1.2949141,0.32232454,-0.0061843353,-0.70333046,-1.2106345,0.18657088,-0.28807142,-0.30301595,0.47210765,0.5333595,1.6599458,-0.98368126,-0.52543825,-0.38511628,1.8712498,0.04455738,-0.34914818,-1.1716672
Pcmtd1,-0.31309804,-1.4309466,1.0822428,0.04660426,1.6999024,1.0369512,-0.56285745,0.85049874,0.85064375,2.0838258,0.5837545,0.9400046,-0.64143497,-0.26634854,-0.25337118,-0.22084652,-0.40898165,-0.46030718,-0.71842414,-0.70237786,-0.120908216,0.341837,0.069596596,-0.82063454,-0.5692159,-0.72080034,1.3518527,-0.014372206,-0.5254016,1.1138937,-0.65107006,-0.62437695,-0.8549847,1.2051833,-0.73290783,-0.66325206,-0.967503,-1.1556247,-0.6481871,0.3555707,-0.73514736,0.06632025,0.66437596,0.4319845,1.3567519,-0.97309476,0.17991436,0.57860357,0.18995576,-0.18010733,0.56708574,0.5854712,0.005280472,0.035361215,0.38711107,1.4806352,1.2069374,0.025528409,-0.040839296,-0.59016085,-0.056330908,0.4113341,-0.8383676
Vcpip1,0.62821174,0.23844504,-0.624688,-0.067073025,-0.045131218,1.9101155,-0.52688646,0.50247806,0.10816082,-0.06562803,-0.74166125,0.1693632,-1.095668,-0.093697056,-0.2596965,0.49958414,-0.096610464,0.15585372,-0.49764618,-0.71362,-0.94146293,-0.02413613,-0.18530512,-0.7738053,-0.52659374,-0.6724348,0.31501898,0.035313487,2.13076,0.016853878,-0.29674712,-0.22062863,0.4411851,0.54656553,-0.33705854,0.6112501,0.23666894,0.33116078,-0.17182371,0.1434071,0.12050944,0.31190163,0.06170489,-0.19527453,-0.2329478,-1.5885379,-0.024942812,-0.31243977,0.2527058,0.3488442,0.8548797,1.0580639,0.025679978,0.25503096,-0.0007043253,2.6725929,1.7059339,0.5425037,0.0610695,1.7360024,0.33539134,0.2894979,-0.823851
Sgk3,-0.057359606,-0.29870084,-0.57706904,-1.3139404,0.27146283,-0.5287023,-0.26107728,0.11052802,0.303643,-0.48081177,-0.9237876,-0.41405293,0.8580908,-0.579892,-0.4347116,-0.45025402,-0.44721296,-0.7963704,-1.0017687,-0.28933465,-0.339761,-0.658689,-1.0555269,-0.24649683,-0.21404952,-0.23502366,-0.40553042,0.9185806,-0.14675175,1.1738703,0.82811373,0.9095395,-0.06452622,0.8280057,-0.022886422,0.029943535,0.58095783,-0.10321473,-0.6691065,-0.32596242,0.10717,-0.9097378,0.9235291,0.35163528,0.389817,-0.6309809,0.6115295,-0.56395286,-0.7279652,-0.5713894,-0.44301093,-0.36756748,-0.7667315,-0.4273665,-0.5004999,-0.27398512,-0.7122517,-0.53234553,-0.76066506,-0.20594756,0.73267937,1.6072688,-0.3621258
Mcmdc2,-0.2713002,-0.33918798,-0.38984516,-0.4609899,1.1145777,-0.13532618,-0.11817107,-0.25248966,-0.49197334,2.4338255,-0.3186383,-0.4260409,-0.40099034,0.1661529,-0.3146147,-0.27633196,0.21256776,-0.35632744,-0.32695144,-0.047742836,-0.007909175,-0.14551783,-0.08998672,0.041816123,-0.046081442,0.0022669702,-0.24101293,-0.07699097,0.04025757,-0.11712254,0.15946274,0.22991385,-0.18356459,-0.2163834,0.07087076,-0.21752065,0.37269092,-0.11175258,-0.05249439,-0.0741962,0.28783786,-0.120048024,0.5196023,-0.20415276,-0.068968214,-0.15414895,1.0073195,0.5370555,-0.20449881,0.9475186,-0.26793936,-0.33612117,-0.3892508,0.025871411,-0.4034815,-0.0744889,-0.16546969,-0.23655492,-0.3906795,-0.0041610473,0.10548839,0.7162022,-0.104469284
Cspp1,0.25074968,-0.46970674,-0.027817957,-0.3859843,-0.3340832,-1.1731281,-0.4959695,0.28445786,0.43160337,-0.9140189,1.6438832,0.5412927,-0.5077279,1.0271981,0.6410125,1.3722134,1.1504676,0.24856478,1.7427409,-0.6838455,0.6389669,-0.19136652,0.2173424,-0.7194663,-0.4901478,-0.6246455,0.25670382,-1.1949738,-0.45370194,0.19344458,-0.1284067,-0.621016,-0.034857243,-0.46296427,-0.14120908,0.14369977,-0.47035494,-0.046523206,0.70287955,-1.5568626,-0.85367817,-0.24512307,-0.19451904,-0.4454281,0.34718454,0.52024245,0.25594196,-0.235285,-0.30791458,1.604526,0.7578581,-0.6115009,-0.119150646,-0.4933217,0.48864785,-0.60057884,0.24248827,-1.3200176,-0.15644583,-0.53650326,0.01893916,-0.6299294,-0.7838223
Arfgef1,-1.4692639,-0.18699679,0.4243482,0.5656128,-1.493173,-0.16162044,1.4303266,0.088600636,-0.4946546,0.6726699,-0.3914405,-0.03363603,0.27788994,-0.5881608,-0.5504423,-0.079413354,-0.37820116,-0.23684914,-0.26851517,-0.892334,-1.1976218,0.7098701,0.31518552,-0.9989264,2.8229063,-0.85964805,0.39173806,-1.6103865,1.6258156,0.09237572,-0.82461065,-0.47192398,0.59366333,1.2483357,-0.5093028,-0.21662225,0.2630166,-1.2266672,-0.8508587,-0.15575106,-0.5294492,-0.39892033,0.44384906,0.36874563,-0.87622267,1.0052694,1.0862283,1.5158886,-0.4780522,0.31082085,0.007281766,0.70324117,-0.49443847,0.43843138,1.0256504,1.0723112,0.68824965,-0.1829976,0.013731301,1.2659832,-0.09578683,-0.63276315,0.05192792
Ncoa2,0.3136173,-1.0722566,0.66923875,1.1979535,0.3357598,2.0897694,-0.63196933,0.92384493,0.10800548,-0.1752421,-0.87598747,0.84510446,0.29890192,0.29559156,-0.06395139,1.2344127,0.19262534,0.25160596,0.09072415,-0.8525399,-1.1614702,1.2349597,0.7835514,-0.9719731,-0.65028954,0.49107555,0.17848796,0.29458192,-0.6214224,-0.32878393,-0.32777825,0.10348143,2.4385655,1.1606581,0.65619105,-1.0161602,-1.4932737,-1.2541722,-0.075283185,-0.64972025,-0.99334425,-0.74473655,-0.1863816,0.04828517,-0.5086794,-0.031474933,0.9443074,-0.30677348,0.15477403,0.3390475,-0.7978947,1.0215183,0.891854,-0.6552065,-0.065411575,1.1094211,1.4932173,0.58809906,-0.16454501,-0.7021252,0.1436857,-0.19484587,-0.9862558
Rdh10,-0.889838,1.7980313,-0.04507839,0.27348644,-0.83241963,-0.4192436,-0.22285068,-0.25173256,0.15044372,-0.39939195,-0.7485302,-0.7002951,-0.7061818,-0.5696866,-0.59209096,-0.09973037,-0.12827136,-0.5140121,-0.14803426,-0.21963474,-0.24784563,0.4162298,0.20599549,-0.1675614,-0.16914314,-0.17074932,-0.34715965,-0.38508508,-0.095877975,-0.14845031,-0.19859113,0.38270003,0.5833507,0.73720497,0.38974714,0.6771495,0.37938994,-0.33661756,-0.49871036,-0.67971903,-0.4231936,0.6010546,0.84229416,0.5336877,4.1680856,0.79926103,0.84529334,0.4587563,-0.5840134,-0.21766679,0.55401886,-0.83239955,-0.9429634,-0.0060592876,-0.0741987,-0.21804431,-0.5547423,-0.15774429,0.3507371,-0.14978111,-0.36205152,0.67752576,-0.28965828
Ube2w,-1.4545811,0.43096253,0.124429986,-0.023642309,-0.9881783,-0.863838,-0.39340684,-0.23907065,0.10441197,-0.6583852,0.48986614,-0.11087063,1.9717185,0.46163565,0.46891573,0.07802771,-0.51510197,-0.18060601,0.67935884,-0.4781215,-0.6253985,0.4812276,0.2264333,-0.50099397,3.5486162,-0.44924444,0.86046636,-0.8787778,-0.3140725,0.26413056,-0.5146685,0.17213884,-0.34499016,0.23785032,0.04545136,0.08346165,-1.1683671,-0.7308009,1.119574,-0.5466178,-0.19591534,-1.268544,0.108372465,-0.888239,0.80512613,2.5223339,0.48416197,-0.30508903,-0.5193103,-0.27345026,-0.5277857,1.1139073,0.5412129,0.07927446,0.54739493,-0.44098616,0.121328026,0.008081642,0.7233597,-0.37773225,-0.8405363,-0.45819813,1.1374619
