wilcoxon,t-test,t-test_overestim_var
Lgals1,S100a6,S100a6
S100a6,Lgals3,Lgals1
S100a10,Lgals1,Anxa2
Tmsb4x,Anxa2,Lgals3
Actg1,Gzmb,Gzmb
Gapdh,S100a4,Hmgb2
Anxa2,Stmn1,Stmn1
Hmgb2,Hmgb2,S100a4
Crip1,Ccnb2,Tmsb4x
Pfn1,Cks1b,Cks1b
Gzmb,Birc5,Vim
Lgals3,Tmsb4x,S100a10
H2az1,1500009L16Rik,H2az1
Calm1,Pclaf,Birc5
Actb,Serpinb6b,Ccnb2
Vim,Vim,Actg1
S100a4,S100a10,Crip1
Txn1,H2az1,Serpinb6b
Cd48,Ifng,Actb
Sub1,Actb,Cd48
Stmn1,Gzmk,Gapdh
Pycard,Lmnb1,Txn1
Cdc42,Cenpa,1500009L16Rik
Arpc5,Actg1,Pycard
Hsp90b1,Cd48,Pclaf
Ppia,Crip1,Pfn1
Serpinb6b,Ybx3,Hsp90b1
Cks1b,Txn1,Ppia
Cox5b,Pycard,Cenpa
Clic1,Hsp90b1,Hmgn2
Cox5a,Gapdh,Ybx3
Dbi,Hmgn2,Dbi
Sh3bgrl3,Cdca3,Itga4
Gnai2,Serpinb9,Ifng
Calm3,Cdkn3,Calm3
Abracl,Ube2c,Lmnb1
Ccnb2,Sdf2l1,Calm1
Birc5,Dut,Sub1
Ppp1ca,Ppia,Arpc5
Lsp1,Cdca8,Rps27l
Ran,Dbi,Dut
Rps27l,Gzma,Reep5
S100a11,Pfn1,Serpinb9
Cfl1,Itga4,Ptma
Ybx1,Calm3,Prelid1
Ptma,Fkbp2,Cdc42
Coro1a,Mki67,S100a11
Ifng,Zbtb32,Gzmk
Itga4,Ptms,Fkbp2
Prdx1,Pdia6,Sh3bgrl3
1500009L16Rik,Bhlhe40,Ybx1
Myl6,Ptma,Cox5a
Prelid1,Rps27l,Ctsd
Ctsd,Spc24,Sdf2l1
Reep5,Sub1,Ube2c
Lcp1,Arpc5,Ran
Cenpa,S100a11,Pdia6
Hmgb1,Calm1,Lsp1
Pclaf,Reep5,Cox5b
Nkg7,Ccna2,Clic1
Hmgn2,Prelid1,Bhlhe40
Cyba,Ctsd,Abracl
Ybx3,Ybx1,Prdx1
Ndufa4,Ahnak,Cdca3
Atp5j,Plek,Hmgb1
Oaz1,Ran,Ahnak
Actr3,Atpif1,Ppp1ca
Dynll1,Sh3bgrl3,Atpif1
Lmnb1,Cdc42,Cfl1
Dut,Ywhah,Ywhah
Selenoh,Cox5a,Cdca8
Gzmk,Havcr2,Selenoh
Ywhah,Cmtm7,Gnai2
Serpinb9,Cxcr6,Ptms
Atp5pb,Rpa2,Coro1a
Bhlhe40,Lsp1,Lcp1
Ube2c,Prdx1,Plek
Pdia6,Ppil1,Mki67
Ndufb7,Hmgb1,Dynll1
Arpc2,Selenoh,Cdkn3
Arhgdib,Manf,Cmtm7
Fkbp2,Osbpl3,Cyba
Ptms,Abracl,Atp5j
Atpif1,Clic1,Manf
Sdf2l1,Rrm2,Gzma
Manf,Mt1,Myl6
Cox6b1,Cox5b,Prr13
Ahnak,Tyms,Ndufb7
Pdia3,Ppp1ca,Ndufa4
Psmb3,Hmmr,Nkg7
Sec61b,Mcm5,Oaz1
Cmtm7,Prf1,Rilpl2
Ppib,Cenpw,Efhd2
Pomp,Rilpl2,Rpa2
Lsm5,Lig1,Alyref
Ywhae,Glrx,Pdia3
Gzma,Efhd2,Zbtb32
Anp32b,Cfl1,Spc24
Prr13,Gmnn,Sept11
Cdca8,Alyref,Tmem14c
Plek,Gnai2,Actr3
Ndufb9,Prr13,Lsm5
Cdca3,Coro1a,Id2
Ly6a,Mtch1,Anxa6
Mki67,Sept11,Mtch1
Tma7,Cdc20,Ywhae
Anxa6,Mcm6,Cox17
Psma4,Dynll1,Anp32e
Cdkn3,Cyba,Psma4
Tmem14c,Lcp1,Ccna2
Atp5j2,Atp5j,Atp5pb
S100a13,Id2,Psmb3
Calr,Pdia3,Ppil1
Alyref,Tpx2,Arhgdib
Cox7a2,Anp32e,S100a13
Anp32e,Ndufb7,Prf1
Ldha,Mcm3,Gng2
Id2,Rnaseh2b,Arpc2
Elob,Myl6,Ndufb9
Efhd2,Klrc1,Ddx39
Rilpl2,Bcl2a1b,Cenpw
Smdt1,Ndufa4,Etfb
Rap1b,Cox17,Ly6a
Tagln2,Ccnb1,Ostc
Rpa2,Hmgb3,Cxcr6
Myl12a,Bcl2a1d,Ap2s1
Sec11c,Ddx39,Ssr2
Nucks1,Tacc3,Cox6b1
Tpm3,Mad2l1,Pomp
Cox17,Fabp5,Mcm6
Ostc,Etfb,Ppib
Arpc3,Oaz1,Anp32b
Sept11,Tmem14c,Glrx
Capzb,Asf1b,Mcm5
Prf1,Gng2,Calr
Arpc1b,Lsm5,Gmnn
Zbtb32,Ywhae,Nucks1
Cxcr6,Psma4,Arpc4
Krtcap2,Nkg7,Sec61b
Bcl2a1b,Ssr2,Smdt1
Cd47,Tpi1,Tyms
Cox6a1,Uhrf1,Sec11c
Hint1,Rrm1,Ldha
Mtch1,Anxa6,Mrpl18
Gng2,Cenpe,Bcl2a1b
Cbx3,Cisd1,Myl12a
Mrpl18,Tubb4b,Fkbp1a
Ssr2,Kif15,Pgk1
Ap2s1,Casp3,Lig1
Pgk1,Cks2,Tagln2
Arpc4,S100a13,Tma7
Spc24,Rom1,Osbpl3
Ddx39,Tk1,Rrm2
Etfb,Ap2s1,Eno1
Fkbp1a,Actr3,Mcm3
Hnrnpf,Ostc,Rap1b
Cenpw,Atp5pb,Cox7a2
Ppil1,Psmb3,Atp5j2
Glrx,Arhgdib,Rnaseh2b
Arhgdia,Ndufb9,Cbx3
Cox6c,Nucks1,Ndufb8
Cox4i1,Slamf7,Capzb
Nap1l1,Anp32b,Phf11b
Mcm6,Mrpl18,Cox6a1
Mdh2,Arsb,Klrc1
1810037I17Rik,Prdx4,Elob
Dek,Ncald,Havcr2
Atp5b,Capg,Lsm6
Ccna2,Eno1,Psmd13
Ube2l3,Trav14-1,Cks2
Klrc1,Ly6a,Mt1
Psmb4,Knstrn,Cisd1
Slc25a5,Pgk1,Hmmr
Eno1,Itgb1,Tubb4b
Ndufb8,Dctpp1,H2az2
