wilcoxon,t-test,t-test_overestim_var
Tcf7,Tcf7,Tcf7
Rplp1,Rplp1,Rplp1
Rps12,Rps12,Rps12
Slamf6,Slamf6,Slamf6
Rpsa,Traf1,Rps20
Rps20,Rps20,Traf1
Traf1,Rpsa,Rpsa
Rps2,Rps2,Rps2
Rpl28,Rpl28,Rpl28
Rpl41,Rps27a,Rps27a
Rps27a,Emb,Emb
Tmsb10,Rpl41,Rpl41
Emb,Id3,Adk
Rpl13,Adk,Id3
Rpl12,Rgs10,Tmsb10
Rpl10a,Tnfsf8,Rgs10
mt-Atp6,Tmsb10,Tnfsf8
Eef1b2,Rpl13,Rpl13
Rgs10,Rpl12,Rpl12
Adk,Rpl10a,Rpl10a
Rpl15,mt-Atp6,mt-Atp6
Tnfsf8,Asap1,Asap1
mt-Cytb,Rpl15,Rpl15
Rplp0,Ltb,Ltb
Ltb,Xcl1,Rplp0
Rpl9,Gpr183,Eef1b2
Rps3a1,Rplp0,Gpr183
Rpl7,Eef1b2,Rpl27a
Asap1,Rpl27a,Xcl1
Rps15,Cxcl10,mt-Cytb
Id3,mt-Cytb,Rpl9
Rpl27a,Rpl9,Rpl7
Npm1,Rpl7,Rps3a1
mt-Co2,Rps3a1,Rps15
mt-Nd2,Rps15,Hsp90ab1
Gpr183,Tespa1,Cxcl10
Hsp90ab1,Hsp90ab1,mt-Co2
Rps18,Nsg2,Tespa1
Xcl1,Evl,Evl
Hspe1,mt-Co2,Cd69
Cd69,Itgb1,Itgb1
Itgb1,Cd69,Rps18
mt-Co3,Rps18,Nsg2
Evl,Hspe1,Hspe1
Nfkbia,Npm1,Npm1
Tespa1,mt-Co3,mt-Nd2
Rpl6,mt-Nd2,mt-Co3
Cxcl10,Fosb,Fosb
Rpl10,Sesn3,Sesn3
Fosb,Map4k4,Map4k4
Rpl22,Nfkbia,Nfkbia
Fth1,Irf2bp2,Irf2bp2
Map4k4,Aff3,Rpl22
Rps19,Rpl22,Rps19
mt-Nd4,Rps19,Rpl6
Rps26,Cd9,Cd9
Eef1a1,Ppp1r15a,Aff3
Crtam,Rpl6,Ppp1r15a
Rpl36a,Odc1,Odc1
Irf2bp2,Gadd45b,Fth1
Ppp1r15a,Ubald2,Ubald2
Cd9,Fth1,Rps29
Rps4x,Tagap,Gadd45b
