wilcoxon,t-test,t-test_overestim_var
Hsp90aa1,Hsp90aa1,Hsp90aa1
Ybx1,Ybx1,Ybx1
Hsp90b1,Hsp90b1,Hsp90b1
Ran,Hsp90ab1,Hsp90ab1
Tagln2,Pdia6,Ran
Hsp90ab1,Rrm2,Pdia6
Pdia6,1500009L16Rik,Rrm2
Eif5a,Hsph1,Pclaf
Pdia3,Ran,1500009L16Rik
1500009L16Rik,Hspd1,Eif5a
Hspd1,Fabp5,Tagln2
Manf,Pclaf,Ube2s
Ube2s,Eif5a,Hsph1
Rps2,Tagln2,Hspd1
Rps27l,Ube2s,Pdia3
Rrm2,Sdf2l1,Rps2
Sdf2l1,Pdia3,Sdf2l1
Hsph1,Rps2,Fabp5
Hspe1,Manf,Manf
Ptma,Hspe1,Ptma
Chchd2,Chchd10,Rps27l
Atp5b,Canx,Hspe1
Calr,Rps27l,Canx
Canx,Fkbp4,Hnrnpab
Nme1,Hnrnpab,Birc5
Prdx1,Ptma,Calr
Hnrnpab,Calr,Lmnb1
Fabp5,Dctpp1,Cmtm7
Hspa5,Birc5,Hmgb2
Pclaf,Lmnb1,Nme1
Snrpd1,Cmtm7,Fkbp4
Cmtm7,Gzma,Snrpd1
Anp32b,Ptges3,Dctpp1
Ywhae,Hspa5,Ptges3
Hnrnpc,Nme1,Atp5b
Gzma,Pmm1,Hspa5
Ptges3,Snrpd1,Chchd10
Mif,Atp5b,Nasp
Ldha,Nasp,Cks1b
Aldoa,Hmgb2,Ranbp1
Chchd10,Pgam1,Anp32b
Ranbp1,Ranbp1,Hnrnpc
Cox5a,Hnrnpc,Gmnn
Anp32a,Gmnn,Ywhae
Dynll1,Cks1b,Chchd2
Fkbp4,Chchd2,Ldha
Dctpp1,Anp32b,Pgam1
Lmnb1,Stip1,Gzma
Nasp,Anp32a,Prdx1
Mrpl18,Ywhae,Anp32a
Set,Ldha,Pmm1
Eef1d,Ppid,Aldoa
Pgam1,Tuba1a,Pcna
Rpl22l1,Pcna,Mif
Pgk1,Aldoa,Tuba1b
Alyref,Prdx1,Mrpl18
Hmgb2,Uhrf1,Alyref
Pmm1,Rrm1,Tuba1a
Dnajb11,Dnajb11,Mcm3
Rpl41,Mcm3,Dnajb11
Tuba1a,Set,Stip1
Eif1ax,Mif,Rrm1
Pcna,Mrpl18,Set
Ppia,Ccna2,Ccna2
Eif4a1,Alyref,Dynll1
Atp5a1,Lsm2,Ppia
Gmnn,Mcm5,Lsm2
Rasgrp2,Ass1,Mcm5
Stip1,Dynll1,Eif1ax
Eif2s1,Tuba1b,Eif2s1
Birc5,Cisd1,Pgk1
Ywhaq,Lyar,Cisd1
Pdap1,Eif2s1,Cox5a
Cacybp,Eif1ax,Rasgrp2
Cisd1,Cacybp,Uhrf1
Uhrf1,Pgk1,Ppid
Lsm2,Rasgrp2,Rpl41
Selenoh,Snrpa1,Selenoh
Ppid,Ppia,Anp32e
G3bp1,Cox5a,Snrpa1
Park7,Uchl3,Lyar
Cct8,Pdap1,Cacybp
Rrm1,Cct6a,H2az1
Ccna2,Siva1,Eef1d
Ddx39,Eef1d,Pdap1
Snrpa1,Orc6,Eif4a1
Tcp1,Tuba4a,Dut
Mcm3,Rpl41,Uchl3
Dut,Lig1,Lsm3
Ndufa4,Lsm3,Lig1
Mcm5,Anp32e,G3bp1
Cct6a,Selenoh,Siva1
Cks1b,Tpi1,Cks2
Krtcap2,Ppa1,Cct6a
Pebp1,Creld2,Tcp1
Hnrnpf,Eif4a1,Rpl22l1
Lyar,G3bp1,Ddx39
Snrpf,Ddx39,Tuba4a
Banf1,Cks2,Banf1
Lsm3,H2-Q10,Pebp1
Dbi,Tcp1,Tpi1
Anp32e,Dut,Orc6
Tpm3,Pebp1,Cct8
Cks2,Cct8,Ywhaq
Tma7,H2az1,Slbp
Uchl3,Lrrc59,Ppa1
Tpi1,Rpl22l1,Atp5a1
Atp5pb,Ywhaq,Dbi
Orc6,Cct3,Stmn1
Siva1,Slbp,Cct3
Slbp,Banf1,Tipin
Tuba1b,Tipin,Nucks1
Cct3,Ipo5,Ass1
Tuba4a,Nudc,Creld2
Ppa1,Dbi,Lrrc59
Serbp1,Atp5a1,Nudc
Fos,Mrpl28,H2-Q10
H2-Q10,Rfc4,Tubb4b
Ass1,Mcm4,Krtcap2
H2az1,Pa2g4,Park7
Creld2,Tubb4b,Mki67
Lig1,Gars,Mcm4
Dnaja1,Rpa3,Ssrp1
Ccnb1,Krtcap2,Metap2
Nudc,Metap2,Rpa3
Atp5j2,Nucks1,Rfc4
Ywhah,Mki67,Tma7
Rps17,Pdia4,Ccnb2
Mdh2,Park7,Tubb5
Ssrp1,Dnph1,Pa2g4
Hmmr,Hat1,Gars
Metap2,Ssrp1,Mrpl28
U2af1,Gpx1,Ndufa4
Cct4,Stmn1,Tpm3
Npm1,Ppih,Snrpf
Lrrc59,Ccnb2,Tyms
Nucks1,Cct4,Cct4
Tubb4b,Tyms,Ipo5
Rfc4,Mcm7,Mcm7
Mcm4,Tma7,Cdca8
Gpx1,Snrpf,Hat1
Supt16,Dnaja1,Gpx1
Tipin,Cdca8,Pdia4
Gars,Dtl,U2af1
Fth1,Npm1,Dnaja1
Pa2g4,Ndufa4,Ppih
Cenph,Uck2,Dek
Hnrnpa2b1,Erh,Erh
Ipo5,U2af1,Exosc8
Dtl,Tpm3,Supt16
Dhfr,Tubb5,Dpy30
Rpa3,Supt16,Cenpw
Mrpl28,Idi1,Rps17
Gadd45b,Nudt5,Hnrnpf
Cct2,Cyb5b,Serbp1
Tubb5,Cenpw,Npm1
Ccnb2,Exosc8,Cyc1
Hat1,Cyc1,Dtl
Dek,Dpy30,Bsg
Bsg,Anapc15,Mdh2
Snrpg,Gcat,Nudt5
Tyms,Ccnb1,Srsf2
Cox7a2,Serbp1,Cyb5b
Pdia4,Fos,Anapc15
Uck2,Ppp1r14b,Cbx3
Ncl,Mlec,Fkbp2
Eef1g,Cenph,Cdca3
Idi1,Mid1,Cct2
Sec61b,Dek,Atp5pb
Tmem14c,Fdps,Uck2
Erh,Hnrnpf,Mlec
Srsf2,Fkbp2,Ywhah
Rad51,Bsg,Ppp1r14b
Exosc8,Rps17,Hpf1
Sf3b5,Mdh2,Ccnb1
Ppih,Hmmr,Hmgb1
Mki67,Cdca3,Sf3b5
Cdca8,Cct2,Cox7a2
Cyc1,Dhfr,Cox6a1
Clspn,Srsf2,Smc2
Cox6a1,Atp5pb,Atad2
Cct5,Atad2,Hnrnpa2b1
Mcm7,Cbx3,Eef1g
Lcp1,Rad51,Cct5
Hnrnpu,Hpf1,Hmmr
Ywhaz,Ywhah,Ndufs5
Nudt5,Parp1,Sec61b
Dpy30,Ncl,Tmem14c
Cenpw,Rpn1,Tkt
Gapdh,Prdx4,Ppil1
Mlec,Cct5,Cenph
Fosb,Ppil1,Dhfr
Anapc15,Vdac1,Lbr
Fdps,Ggt1,Hnrnpu
Tpx2,Tmem97,Atpif1
Ndufs5,Smc2,Nhp2
Tmem97,Eef1g,Pcbp1
Atad2,Sf3b5,Snrpg
Fkbp2,Mrpl12,Idi1
Cct7,Hnrnpa2b1,Pdcd5
Cbx3,Atic,Rpn1
Cdca3,Hells,Ncl
Cyb5b,Ndufs5,Atp5j2
Cdc20,Cox6a1,Rexo2
Hpf1,Cdk2ap1,Vdac1
Tkt,C1qbp,Fkbp3
Rexo2,Ndufab1,Mrpl12
Txn1,Nhp2,Rad51
Lat,Tkt,Cct7
Ppp1r14b,Lbr,Ndufab1
Atpif1,Sec61b,Hnrnpa3
Ggt1,Cox7a2,Cdk2ap1
Srsf3,Pdcd5,Ywhaz
Pcbp1,Atp5j2,Vdac3
Eno1,Pcbp1,Uqcr11
Hmgb1,Etf1,Hells
Ndufab1,Tmem14c,Eno1
Fkbp3,Cct7,Med30
Pdcd5,Atpif1,Fos
Uqcr11,Rexo2,Phgdh
Vdac1,Clspn,Parp1
Prdx4,Hnrnpu,Lat
Bcas2,Hmgb1,Atic
Mrpl12,Mt3,Clspn
Ftl1,Fkbp3,Bcas2
Hells,Tpx2,Etf1
Hnrnpa3,Phgdh,Fth1
Snrpe,Eno1,Prdx4
Lbr,Vdac3,Rbbp7
Parp1,Magt1,Snrpd3
Psma7,Med30,Fdps
Rpl14,Cdc6,C1qbp
Vdac3,Uqcr11,Top1
Nhp2,Gadd45b,Chchd1
Smarca5,Snrpg,Lcp1
Rpn1,Chchd1,Tpx2
Mcm10,Bcas2,Slc25a4
Tmed2,Hnrnpa3,Magt1
Magt1,Rbbp7,Dnph1
Top1,Ywhaz,Tmem97
Med30,Cnih4,Lsm6
Hnrnpa1,Ahsa1,Txn1
Atic,Top1,Ahsa1
Cdk2ap1,Cdc34,Cdc34
Pycard,Umps,Ndufc1
Snrpd3,Lat,Smarca5
Tacc3,Snrpd3,Lman2
Ppil1,Fth1,Mid1
Asf1b,Fosb,Hnrnpa1
C1qbp,Mcm10,Smc3
Mt3,Cd69,Gcat
Lsm6,Hspa8,Cnih4
Dlgap5,Larp7,Mrpl54
Phgdh,Slc25a4,Aurkaip1
Umps,Smarca5,Cmc2
Bub1,Smc3,Asf1b
Slc25a4,Ccne1,Txnl1
Smc2,Ndufc1,Larp7
Rbbp7,Lsm6,Cd69
Mybl2,Lcp1,Dnmt1
Mrpl54,Rfc5,Ggt1
Cd69,Lman2,Pycard
Ska1,Pycard,Gadd45b
Kif15,Dnmt1,Gapdh
Etf1,Mrpl54,Snrpe
Ahsa1,Hnrnpa1,mt-Nd1
Plk1,Cmc2,Snu13
mt-Nd1,Asf1b,Rfc5
Hspa8,Txn1,Ube2m
Cdc6,Mrps28,Psma7
Ccne1,Txnl1,Srp19
Cnih4,Xpo1,Umps
Mid1,Naa50,Srsf3
Ube2c,Aurkaip1,Hspa8
Aurkaip1,Gapdh,Spc24
Smc3,Sfxn1,Naa50
Emp1,Ube2m,Xpo1
Larp7,Cetn3,Mt3
Mrps28,Srp19,Cdc6
Lman2,Rpl14,Smc1a
Naa50,Chordc1,Cetn3
Slc25a5,Snu13,Ccne1
E2f8,Sdhd,Mrps28
Ppp1r15a,mt-Nd1,Tmed2
Hmbs,Timm8a1,Hprt
Timm13,Psma7,Sdhd
Actg1,Srsf3,Rpl14
Tcf19,Snrpe,Mcm10
Snu13,Vps35,Timm13
