wilcoxon,t-test,t-test_overestim_var
Lgals1,Ccl5,Ccl5
Ccl5,Ly6c2,Ly6c2
Ly6c2,S100a4,Lgals1
S100a10,Lgals1,S100a4
S100a6,S100a6,S100a6
S100a4,Ahnak,Ahnak
Nkg7,Gzmb,S100a10
Ahnak,S100a10,Gzmb
Tmsb4x,Bhlhe40,Nkg7
Gzmb,Ctla2a,Bhlhe40
Srgn,Tmsb4x,Tmsb4x
Sub1,Nkg7,Ctla2a
Lsp1,Ifng,Hopx
Itga4,Klrc1,Id2
Ctsd,Hopx,Ifng
Id2,Il18rap,Klrc1
Ctla2a,Id2,Itga4
Bhlhe40,Itgb1,Il18rap
H2-D1,Itga4,Itgb1
Hopx,Rora,Ctsd
Hmgb2,Ccr2,Tnfaip3
Ifng,Tnfaip3,Srgn
Abracl,Ctsd,Lsp1
Rac2,Klrk1,Rora
Crip1,Srgn,Sub1
Ms4a4b,Lsp1,Ccr2
Itgb1,Sub1,H2-D1
Myl6,Ccl4,Klrk1
Actg1,Lgals3,Hmgb2
Tnfaip3,Dusp5,S100a13
Klrc1,H2-D1,Crip1
S100a13,Hmgb2,Abracl
Laptm5,Zeb2,Dusp5
Cyba,S100a13,Ccl4
Thy1,Plek,Lgals3
Il18rap,Crip1,Ms4a4b
H2-Q7,Abracl,Thy1
S100a11,Klrc2,Pim1
Actb,Pim1,Actg1
Pim1,Thy1,Rac2
Cd48,Ms4a4b,Plek
Rora,Dennd4a,Klf6
Dnajc15,Actg1,Cd28
Klf6,Bcl2a1b,Dennd4a
Ccl4,Cd28,Zeb2
H2az1,Il18r1,Il18r1
Rap1b,Klf6,Cd48
Cd28,Klrg1,Klrc2
Klrk1,Rac2,Actb
Gmfg,Cd48,S100a11
Ccr2,Actb,Myl6
Dusp5,Zyx,Bcl2a1b
H3f3b,S100a11,Zyx
Lgals3,Anxa2,H2-Q7
Zyx,Myl6,Cyba
Pycard,H2-Q7,Laptm5
Il18r1,Cyba,Klrg1
Ubb,Gzmk,Anxa2
Dennd4a,Laptm5,Dnajc15
Sh3bgrl3,Itgax,Itgal
Itgal,Serpinb6b,H2az1
Cdc42,Itgal,Rap1b
Vim,Wdr95,H3f3b
Ms4a6b,Cx3cr1,Pycard
Txn1,H2az1,Gzmk
Zeb2,Dnajc15,Serpinb6b
Plek,Ccr5,Gmfg
Bcl2a1b,Rap1b,Itgax
Rbm3,Pycard,Ubb
Klrc2,H3f3b,Pkm
Arpc2,Runx2,Vim
Ostf1,Pkm,Wdr95
Anxa2,Vim,Cx3cr1
Ppp1r12a,Ubb,Ccr5
Cd52,Gmfg,Prr13
Pkm,Slamf7,Sh3bgrl3
Prr13,Prr13,Runx2
Clic1,Gzma,Txn1
Krtcap2,Gna15,Cdc42
Supt4a,Atxn1,Ppp1r12a
Epsti1,Txn1,Slamf7
Tspo,Cxcr3,Atxn1
Gabarapl2,Fasl,Gzma
Arpc3,Sh3bgrl3,Gabarapl2
Gm8369,Chsy1,Gna15
Reep5,Ppp1r12a,Cxcr3
Itgb2,Icos,Chsy1
Hcst,Cdc42,Rbm3
Serpinb6b,Ncald,Itgb2
Klrg1,Gabarapl2,Fyn
Atp5h,Pglyrp1,Reep5
Fyn,Itgb2,Supt4a
Ifngr1,Myo1f,Fasl
Cox8a,Reep5,Icos
Itm2b,Tbx21,Ms4a6b
H2-K1,Bcl2a1d,Arpc2
B2m,Fyn,Krtcap2
Myl12a,Prf1,Ifngr1
Mbd2,Rbm3,Pglyrp1
