gene_names,wilcoxon_logfc,wilcoxon_padj,wilcoxon_score,t-test_logfc,t-test_padj,t-test_score,t-test_overestim_var_logfc,t-test_overestim_var_padj,t-test_overestim_var_score,logreg_score
Xkr4,,,,,,,,,,
Rp1,,,,,,,,,,
Sox17,,,,,,,,,,
Mrpl15,0.40907854,9.407808229765965e-10,6.4622846,0.40907854,2.272885397313954e-15,8.336224,0.40907854,1.1055413138058199e-07,5.7516546,0.019536544
Lypla1,0.1682478,0.00043567447368524645,3.9161649,0.1682478,0.03270537563207381,2.474664,0.1682478,0.22093239240558607,1.7312915,-0.052468214
Gm37988,1.7157925,1.0,0.24679339,1.7157925,0.193502005124163,1.5997045,1.7157925,0.37141987735959087,1.3893137,-0.0010907425
Tcea1,0.24789105,3.717072453979263e-05,4.5037317,0.24789105,5.953673057037485e-05,4.3640566,0.24789105,0.010509741818634366,3.0520658,-0.017510446
Rgs20,,,,,,,,,,
Atp6v1h,0.043693315,0.04363115966557809,2.4912658,0.043693315,0.6392717058117338,0.62718993,0.043693315,0.8191324696633272,0.43528125,0.0042178705
Oprk1,,,,,,,,,,
Npbwr1,,,,,,,,,,
Rb1cc1,-0.41013837,0.05824517747059043,-2.373541,-0.41013837,1.734789131116077e-08,-5.992324,-0.41013837,0.0005794443833769514,-3.9116516,-0.0016095352
Alkal1,,,,,,,,,,
St18,,,,,,,,,,
Pcmtd1,-0.7852989,0.0014192555267620234,-3.6032972,-0.7852989,3.2353333310188646e-15,-8.274548,-0.7852989,2.299458972588209e-06,-5.181077,0.028084828
Sntg1,,,,,,,,,,
Rrs1,0.41469938,1.399418096914223e-08,6.019985,0.41469938,2.372746108828817e-06,5.0716944,0.41469938,0.0011776450164979642,3.717904,-0.021368934
Adhfe1,-0.5337709,1.0,0.03561711,-0.5337709,0.7002218476511914,-0.52129316,-0.5337709,0.8747949724083761,-0.27995947,0.0014617506
Vxn,,,,,,,,,,
Mybl1,-0.29205194,1.0,-0.5385581,-0.29205194,0.5089372435011803,-0.85436094,-0.29205194,0.7573997424982701,-0.63482267,0.004645235
Vcpip1,0.0028315438,0.04589700235124643,2.471038,0.0028315438,0.9873000305341887,0.03417734,0.0028315438,0.9960668124077673,0.02334335,-0.018553065
Sgk3,-0.11109118,0.8802702487650419,0.7920638,-0.11109118,0.6191606089113079,-0.66198385,-0.11109118,0.8211883751818402,-0.43000928,-0.023712438
