wilcoxon,t-test,t-test_overestim_var
Ccl5,Acss2,Ccl5
Cd8b1,Slc37a1,Ly6c2
,Pnpla7,Cd8b1
,Terf2ip,B2m
,Ermp1,H2-Q7
,H2bu2,Ccr2
,Tnfsf10,Rps11
,Samd3,Arl4c
,Leng9,Klrg1
,Pex3,Klrk1
,Tusc2,Ier2
,Alyref2,Rpl17
,Zdhhc17,Rpl30
,Samd8,H2-D1
,H2aw,Rps27
,Taf4,Rpl24
,Prr12,H2-K1
,Abhd10,Cd8a
,Cd38,Trim12c
,Tnfrsf26,Tespa1
,Fbh1,Klrd1
,Idh2,Fyb
,Ms4a6c,Tpt1
,Dmap1,Rpl18a
,Mios,Ppp3cc
,Prkaa1,Cirbp
,Nagpa,Gimap6
,Zxdc,Rpl34
,Pikfyve,Rpl19
,Rpap1,Slc20a1
,Capn15,Acss2
,Mvd,Rps14
,Parp8,Rps13
,Nup188,Rpl36
,Rnf170,Pfdn2
,Dtnb,Fam204a
,Gcc1,Fos
,Fgd3,Hcst
,Tbkbp1,Runx1
,Zfp335,Bod1l
,Eefsec,Cd28
,Sufu,Zyx
,Wdr81,Cdc42ep3
,Sirt6,Fau
,Ell,Jak1
,Cnnm3,Slc37a1
,Fbxo46,Camk1d
,Klre1,Rpl27
,Carmil2,Cyth1
,Pxylp1,Itgb1
,Xpo5,Tesc
,Pisd,Pnpla7
,Enoph1,H2-Q6
,Abl2,Gpx4
,Cc2d1a,St3gal6
,St6galnac3,Terf2ip
,Zfp758,Atg101
,Tmem140,Klf2
,Ogfod2,Foxo1
,S1pr5,Slc9a9
,Zfp729b,Zfp36l1
,Tspyl4,Urm1
,Pygo2,Cx3cr1
,Iffo1,Chd7
,Mto1,H2-Q10
,Rxylt1,Cd53
,Tada2b,Fasl
,Spout1,Fth1
,Adgrg5,Mob2
,Hcfc2,Satb1
,Pcgf3,Rapgef6
,Exoc6b,Retreg1
,2310022A10Rik,Nsmaf
,Sh2b3,Arhgef3
,Pigu,Btg1
,Osbpl2,Mgst2
,Pnpla6,Ikzf3
,Slc52a2,Ermp1
,Uqcc1,H2-Q4
,Ints5,Rack1
,Bach2,Stk38
,Ulk3,Nsrp1
,Slc35a1,Ctla2a
,Tmem268,Rpl9
,D17H6S53E,Wdr43
,Slc7a6,Phf20l1
,Sgsh,H2bu2
,Zfp217,Arid2
,Vps45,Rictor
,Aim2,Arnt
,Trim65,Zmynd11
,Zfp831,Ddx46
,Gtpbp3,Tnfsf10
,Fubp3,Rpl29
,Pitrm1,Tcf7
,Itprip,Klf6
,Fam3a,Commd8
,Syne2,Ppa2
,Msantd2,Rps7
,Zc3h6,Cog4
,Parp6,Lair1
,Spryd7,Vps13a
,Nr1d2,Samd3
,Hs3st3b1,Leng9
,Zfp628,Pex3
,Zfp961,9930111J21Rik2
,Thumpd2,Ikbkb
,Dhodh,Rps10
,1700037H04Rik,Spata6
,Kctd9,Tusc2
,Btrc,Kmt2c
,Ppard,Phf21a
,Slc26a2,Rnf113a2
,Kiz,Alyref2
,Chst10,Fam172a
,Mylpf,Sp100
,Adamts6,Zdhhc17
,D3Ertd751e,Setd7
,Dcaf4,Zdhhc21
,Dpy19l4,Serpinb6a
,Cbfa2t2,Cdk17
,Cpeb2,Otulinl
,Trmt10b,Fas
,Pdpr,Rps4x
,Mettl2,Thy1
,Castor1,Ms4a4b
,Zfp113,Macroh2a1
,Poc1b,Kdm3a
,Pigl,Mylip
,Plekhm3,Cic
,Cluh,Mff
,Slc30a6,Ccr5
,Dse,Klf3
,Zfp934,Gsdmd
,Rtel1,Zfc3h1
,Rnf144a,Samd8
,Dolpp1,Rnf166
,Serpina3g,Abhd8
,Zbed3,H2aw
,Usp40,Ppp1r10
,Klhl42,Taf4
,Tesc,Prr12
,Rab40c,Abhd10
,Rnf185,Sptssa
,E030030I06Rik,Stag2
,Tbccd1,Cd38
,Ripor1,Parg
,Tmem8,Tnfrsf26
,Xndc1,Itpkb
,Smox,Gabpa
,Bahd1,Pcmtd2
,Axin2,Cklf
,Marveld1,Fbh1
,Rnf41,Znrf1
,Slc17a5,Idh2
,Erf,Kat6a
,Zfp456,Rwdd1
,Mrps2,Rpl37
,Coil,Smpdl3b
,Relt,Ms4a6c
,Hgh1,Dmap1
,Ankrd52,Mios
,Nepro,Adgre5
,Smyd1,Rab1b
,Sclt1,Bptf
,Smarcal1,Prkaa1
,Siae,Irf2bpl
,Arnt,Nagpa
,Tex2,Apc
,Atad3a,Rsrp1
,Carns1,Sin3a
,Klrg1,Pknox1
,Gypc,Ebna1bp2
,Llgl2,Sik1
,Zswim7,Rora
,Zbtb42,Mllt3
,Miga1,Psmd7
,Phc1,Slco3a1
,a,Zxdc
,Als2cl,Rfx1
,Zfp141,Mtif3
,Slc46a3,Smg1
,Fbxl2,Klrc2
,Ppargc1b,Rps24
,Brpf3,Zzef1
,Dusp4,Son
,Zfp595,Ccnl2
,Crybb1,Pikfyve
,Utf1,Rpl23a
,9930111J21Rik1,Rasa3
,Qpctl,Rpap1
,Pdp2,Rps15a
,Aqp3,Nr2c2
,Gtpbp8,Trim11
,Slc25a22,Ptbp3
,Rhobtb2,Atraid
,Dars2,Capn15
,H6pd,Secisbp2
,Dcun1d2,1190007I07Rik
,Zfp65,Upf1
,Ralgps2,Pias1
,Ighmbp2,Ranbp9
,Gna12,Tmem87a
,Zfp994,Rtcb
,Rdh10,Mvd
,Inafm2,Parp8
,Ogfrl1,Saraf
,Nsun5,Nup188
