"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005764","lysosome","33/457","431/23436",2.7474416174656e-11,2.7474416174656e-11,5.10564683659714e-09,"Lmbrd1/Itm2c/Chit1/Fnbp1/Cst3/Ctsa/Lamp2/Syt11/Dram2/Laptm5/Tmem106b/Gimap5/Bbc3/Napsa/Ctsc/Cln3/Adam8/Ctsd/Prf1/Srgn/Ank3/Hgsnat/Borcs8/Rab3a/Dnase2a/Mt1/Gzmb/Anxa2/Irgm1/Arsb/Dtx3l/Ctsw/Anxa1",33
"GO:0000323","lytic vacuole","33/457","432/23436",2.92190632214896e-11,2.92190632214896e-11,5.10564683659714e-09,"Lmbrd1/Itm2c/Chit1/Fnbp1/Cst3/Ctsa/Lamp2/Syt11/Dram2/Laptm5/Tmem106b/Gimap5/Bbc3/Napsa/Ctsc/Cln3/Adam8/Ctsd/Prf1/Srgn/Ank3/Hgsnat/Borcs8/Rab3a/Dnase2a/Mt1/Gzmb/Anxa2/Irgm1/Arsb/Dtx3l/Ctsw/Anxa1",33
"GO:0043230","extracellular organelle","13/457","113/23436",3.25355601069043e-07,3.25355601069043e-07,3.79010735280429e-05,"Itga4/Lamp2/Gbp7/Gbp9/Gbp3/Gbp6/Anxa2/Irgm2/Actg1/Ago2/Cd86/Ahnak/Anxa1",13
"GO:0098636","protein complex involved in cell adhesion","7/457","35/23436",4.29339275118995e-06,4.29339275118995e-06,0.000333802435581761,"Ctla4/Itga4/Itgav/Itgal/Tspan32/Itga1/Cd80",7
"GO:0020003","symbiont-containing vacuole","5/457","14/23436",4.77578785847399e-06,4.77578785847399e-06,0.000333802435581761,"Gbp7/Gbp9/Gbp3/Gbp6/Irgm2",5
"GO:0065010","extracellular membrane-bounded organelle","5/457","16/23436",1.00889510965694e-05,1.00889510965694e-05,0.000587637151589655,"Gbp7/Gbp9/Gbp3/Gbp6/Irgm2",5
"GO:0030430","host cell cytoplasm","5/457","17/23436",1.40640258561895e-05,1.40640258561895e-05,0.000614375866349331,"Gbp7/Gbp9/Gbp3/Gbp6/Irgm2",5
"GO:0033655","host cell cytoplasm part","5/457","17/23436",1.40640258561895e-05,1.40640258561895e-05,0.000614375866349331,"Gbp7/Gbp9/Gbp3/Gbp6/Irgm2",5
"GO:0033646","host intracellular part","5/457","20/23436",3.35745447226149e-05,3.35745447226149e-05,0.00117334198399033,"Gbp7/Gbp9/Gbp3/Gbp6/Irgm2",5
"GO:0043656","intracellular region of host","5/457","20/23436",3.35745447226149e-05,3.35745447226149e-05,0.00117334198399033,"Gbp7/Gbp9/Gbp3/Gbp6/Irgm2",5
"GO:0033643","host cell part","5/457","22/23436",5.52209589091615e-05,5.52209589091615e-05,0.00175438835960207,"Gbp7/Gbp9/Gbp3/Gbp6/Irgm2",5
"GO:0020005","symbiont-containing vacuole membrane","4/457","12/23436",6.23872036291158e-05,6.23872036291158e-05,0.00181689049165495,"Gbp7/Gbp9/Gbp3/Gbp6",4
"GO:0018995","host","5/457","24/23436",8.6307912667986e-05,8.6307912667986e-05,0.00212434656743684,"Gbp7/Gbp9/Gbp3/Gbp6/Irgm2",5
"GO:0043657","host cell","5/457","24/23436",8.6307912667986e-05,8.6307912667986e-05,0.00212434656743684,"Gbp7/Gbp9/Gbp3/Gbp6/Irgm2",5
