"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000790","nuclear chromatin","27/493","407/23436",1.75922945304035e-07,1.75922945304035e-07,7.20358165508101e-05,"Creb1/Zeb2/Rif1/Ncoa3/Etv3/Chd3/Runx3/Clock/Trrap/Hmgb1/Ezh2/Rsf1/Zbtb7a/Stat6/Kat6a/Usp3/Tcf12/Ncor1/Cdk12/Asxl2/Hif1a/Trps1/Ppp1r10/Smad4/Nfatc1/Kdm2a/Ldb1",27
"GO:0035770","ribonucleoprotein granule","16/493","209/23436",9.8267921884249e-06,9.8267921884249e-06,0.00201190640068278,"Ncl/Tut4/Clock/Tia1/Trim5/Trim12c/Arntl/Usp3/Xrn1/Dhx30/Nufip2/Helz/Zfp36l1/Ago2/Tnrc6b/Nfkbiz",16
"GO:0036464","cytoplasmic ribonucleoprotein granule","15/493","198/23436",2.09749649361563e-05,2.09749649361563e-05,0.00286289872286484,"Ncl/Tut4/Clock/Tia1/Trim5/Trim12c/Arntl/Usp3/Xrn1/Nufip2/Helz/Zfp36l1/Ago2/Tnrc6b/Nfkbiz",15
"GO:0044440","endosomal part","16/493","231/23436",3.3851777922817e-05,3.3851777922817e-05,0.0028862266749554,"Tgfbrap1/Tmem163/Lamp2/Rap2b/Snx20/Appl1/Pip4p1/Vps41/Rhob/Micall1/Baiap3/Tbc1d5/Ubxn6/Ehd3/Chmp1b/Zfyve27",16
"GO:0010008","endosome membrane","15/493","207/23436",3.52431277790184e-05,3.52431277790184e-05,0.0028862266749554,"Tmem163/Lamp2/Rap2b/Snx20/Appl1/Pip4p1/Vps41/Rhob/Micall1/Baiap3/Tbc1d5/Ubxn6/Ehd3/Chmp1b/Zfyve27",15
"GO:0017053","transcriptional repressor complex","9/493","82/23436",5.6358139819668e-05,5.6358139819668e-05,0.00384619585786857,"Etv3/Chd3/Spen/Rest/Zbtb7a/Ncor1/Arid4a/Rcor2/Rcor1",9
"GO:0005667","transcription factor complex","22/493","421/23436",9.58771120171714e-05,9.58771120171714e-05,0.00560845061273379,"Creb1/Ncoa3/Runx3/Clock/Trrap/Arntl/Rbl2/Ets1/Tle3/Tcf12/Hnrnpab/Ncor1/Lpin1/Hif1a/Rcor2/Rcor1/Nr4a1/Pbx2/Zeb1/Smad4/Nfatc1/Ldb1",22
"GO:0031965","nuclear membrane","15/493","233/23436",0.000134284717056121,0.000134284717056121,0.00687325722826724,"Hsd11b1/Rif1/Cst3/Tnrc18/Ccnd2/Osbpl8/Stat6/Phf11c/Nup153/Rasa1/Lpin1/Zbtb1/Sun2/Nr4a1/Apc",15
"GO:0031252","cell leading edge","20/493","380/23436",0.000179225730012447,0.000179225730012447,0.00815424666372418,"Abi1/Psd4/Trpm7/Pik3ca/Cdk6/Mkln1/Aak1/Frmd4b/Sh2b1/Appl1/Gas7/Ndel1/Ripor2/Rasa1/Iqgap2/Arhgap31/Cd2ap/Apc/Ldb1/Ablim1",20
"GO:0001726","ruffle","11/493","144/23436",0.000242087858652206,0.000242087858652206,0.0099128607384956,"Psd4/Trpm7/Cdk6/Mkln1/Frmd4b/Sh2b1/Appl1/Gas7/Rasa1/Cd2ap/Apc",11
"GO:0035098","ESC/E(Z) complex","4/493","16/23436",0.00028795722370636,0.00028795722370636,0.0107191732078253,"Ezh2/Ezh1/Jarid2/Phf1",4
"GO:0030666","endocytic vesicle membrane","5/493","32/23436",0.000508365062448711,0.000508365062448711,0.017346842920399,"Lamp2/Sgip1/Scarb2/Pip4p1/Tbc1d5",5
"GO:0035097","histone methyltransferase complex","8/493","92/23436",0.000719319390243206,0.000719319390243206,0.022657104680535,"Rest/Setd1b/Ezh2/Ezh1/Jarid2/Phf1/Kdm5d/Uty",8
"GO:0005635","nuclear envelope","19/493","407/23436",0.00110197149831446,0.00110197149831446,0.0322305949507011,"Hsd11b1/Rif1/Cst3/Mgst2/Tnrc18/Ccnd2/Agpat3/Osbpl8/Stat6/Phf11c/Ndel1/Nup153/Rasa1/Lpin1/Zbtb1/Sun2/Nr4a1/Senp2/Apc",19
"GO:1902554","serine/threonine protein kinase complex","7/493","82/23436",0.00170672972820484,0.00170672972820484,0.046590727317311,"Pcna/Cdk6/Ccnd2/Pycard/Zbtb7a/Cdk12/Tbc1d5",7
"GO:0044431","Golgi apparatus part","21/493","491/23436",0.00182950799420987,0.00182950799420987,0.0468209611676079,"Arfgef1/Acbd3/Lamp2/Gba2/Plk3/Rhbdd2/Vamp5/Man2a2/Numa1/Xylt1/Pycard/Hook3/Glg1/Vamp2/Myo18a/Cog5/Mfng/Golgb1/Gnptg/Baiap3/H2-Q7",21
"GO:0005764","lysosome","19/493","431/23436",0.0021177684472137,0.0021177684472137,0.0492023911653428,"Capn2/Fnbp1/Cst3/Lamp2/Ppt1/Scarb2/Tmem106b/Tm6sf1/Ctsc/Tpp1/Man2b1/Pip4p1/Gm2a/Vps41/Rubcn/Sidt1/Ubxn6/Lipa/Borcs7",19
"GO:0000323","lytic vacuole","19/493","432/23436",0.00217323134835888,0.00217323134835888,0.0492023911653428,"Capn2/Fnbp1/Cst3/Lamp2/Ppt1/Scarb2/Tmem106b/Tm6sf1/Ctsc/Tpp1/Man2b1/Pip4p1/Gm2a/Vps41/Rubcn/Sidt1/Ubxn6/Lipa/Borcs7",19
"GO:0000781","chromosome, telomeric region","8/493","110/23436",0.00228304154379033,0.00228304154379033,0.0492023911653428,"Nabp1/Rif1/Ezh2/Smg6/Ezh1/Sun2/Ppp1r10/Pot1b",8
"GO:0090575","RNA polymerase II transcription factor complex","10/493","163/23436",0.00243882521163185,0.00243882521163185,0.0499317372276206,"Creb1/Ncoa3/Runx3/Trrap/Tle3/Tcf12/Hnrnpab/Hif1a/Smad4/Ldb1",10
"GO:0016607","nuclear speck","15/493","317/23436",0.00312351293407017,0.00312351293407017,0.0537646034231945,"Dennd1b/Hipk1/Tatdn2/Kat6a/Ell/Tcf12/Nsrp1/Cdk12/Smurf2/Erbin/Hif1a/Ddx17/Brd1/Nfkbiz/Nr3c1",15
"GO:0034708","methyltransferase complex","8/493","116/23436",0.00317574554640728,0.00317574554640728,0.0537646034231945,"Rest/Setd1b/Ezh2/Ezh1/Jarid2/Phf1/Kdm5d/Uty",8
"GO:0005770","late endosome","11/493","198/23436",0.00327565992958937,0.00327565992958937,0.0537646034231945,"Cst3/Lamp2/Vamp5/Pip4p1/Vps41/Rhob/Micall1/Rubcn/Baiap3/Ubxn6/Chmp1b",11
"GO:0030118","clathrin coat","5/493","48/23436",0.00328254326812563,0.00328254326812563,0.0537646034231945,"Sgip1/Aak1/Vps41/Synj1/Tbc1d5",5
"GO:0031519","PcG protein complex","5/493","48/23436",0.00328254326812563,0.00328254326812563,0.0537646034231945,"Ezh2/Ezh1/Jarid2/Asxl2/Phf1",5
"GO:0031462","Cul2-RING ubiquitin ligase complex","3/493","15/23436",0.00348662559772036,0.00348662559772036,0.0549108241908186,"Zer1/Zyg11b/Zswim8",3
"GO:0030139","endocytic vesicle","10/493","173/23436",0.00374037474864272,0.00374037474864272,0.0555221061656684,"Lamp2/Sgip1/Scarb2/Appl1/Pip4p1/Rapgef6/Myo18a/Cd2ap/Tbc1d5/Ehd3",10
"GO:0000932","P-body","6/493","71/23436",0.00379662731107141,0.00379662731107141,0.0555221061656684,"Trim5/Trim12c/Xrn1/Zfp36l1/Ago2/Tnrc6b",6
"GO:0044798","nuclear transcription factor complex","11/493","206/23436",0.00441536031378647,0.00441536031378647,0.0623439260276928,"Creb1/Ncoa3/Runx3/Trrap/Tle3/Tcf12/Hnrnpab/Hif1a/Smad4/Nfatc1/Ldb1",11
"GO:0098687","chromosomal region","14/493","299/23436",0.00463243632270443,0.00463243632270443,0.0632286922642815,"Nabp1/Hjurp/Rif1/Knl1/Ezh2/Bub3/Mbd6/Ndel1/Smg6/Ezh1/Sun2/Ppp1r10/Pot1b/Apc",14
"GO:0000139","Golgi membrane","12/493","239/23436",0.00492101306403757,0.00492101306403757,0.0646253749075336,"Arfgef1/Acbd3/Gba2/Rhbdd2/Man2a2/Numa1/Xylt1/Pycard/Glg1/Mfng/Gnptg/Baiap3",12
"GO:0031902","late endosome membrane","5/493","53/23436",0.00505041490279954,0.00505041490279954,0.0646253749075336,"Lamp2/Pip4p1/Vps41/Baiap3/Ubxn6",5
"GO:0051233","spindle midzone","4/493","34/23436",0.00544305725607199,0.00544305725607199,0.0661295637179655,"Rif1/Gem/Numa1/Racgap1",4
"GO:1902911","protein kinase complex","7/493","101/23436",0.00550053300222872,0.00550053300222872,0.0661295637179655,"Pcna/Cdk6/Ccnd2/Pycard/Zbtb7a/Cdk12/Tbc1d5",7
"GO:0098791","Golgi subcompartment","18/493","438/23436",0.00565246270854075,0.00565246270854075,0.0661295637179655,"Arfgef1/Acbd3/Lamp2/Gba2/Plk3/Rhbdd2/Vamp5/Man2a2/Numa1/Xylt1/Pycard/Glg1/Vamp2/Myo18a/Mfng/Gnptg/Baiap3/H2-Q7",18
"GO:0005765","lysosomal membrane","7/493","108/23436",0.00787451357758388,0.00787451357758388,0.0895668357216412,"Lamp2/Scarb2/Tmem106b/Tm6sf1/Pip4p1/Vps41/Ubxn6",7
"GO:0098852","lytic vacuole membrane","7/493","109/23436",0.0082669799317161,0.0082669799317161,0.0914894791874128,"Lamp2/Scarb2/Tmem106b/Tm6sf1/Pip4p1/Vps41/Ubxn6",7
"GO:0005769","early endosome","12/493","263/23436",0.0101947504061898,0.0101947504061898,0.109854789695508,"Tgfbrap1/Tmem163/Rabgap1l/Hmgb1/Samd9l/Lrp6/Snx20/Appl1/Vps41/Rhob/Rubcn/Ubxn6",12
"GO:0030132","clathrin coat of coated pit","3/493","22/23436",0.010583437459836,0.010583437459836,0.111118952007455,"Sgip1/Synj1/Tbc1d5",3
"GO:0012506","vesicle membrane","14/493","332/23436",0.0111452237003299,0.0111452237003299,0.114091895248114,"Tmem163/Trpm7/Dnajc5/Lamp2/Sgip1/Scarb2/Vamp5/Appl1/Pip4p1/Fndc3a/Nck1/Vamp2/Lnpep/Tbc1d5",14
