"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022626","cytosolic ribosome","24/664","148/23436",4.81645901814994e-12,4.81645901814994e-12,2.0837522699575e-09,"Rpl37a/Rpl12/Rps21/Rpl39/Rpl36a/Rps27/Rps20/Rpl21/Rps9/Rps19/Rps16/Rps15a/Rpl18/Rpl18a/Rpl13/Rps24/Rplp1/Rpl23/Rps7/Rps29/Rps2/Eif2ak2/Rpl17/Fau",24
"GO:0005769","early endosome","27/664","263/23436",9.15358949703859e-09,9.15358949703859e-09,1.48339740572077e-06,"Hspd1/Trak2/Cxcr4/Pmepa1/Siah2/Cd1d1/Vcam1/Ldlrap1/Samd9l/Vps33b/Inpp5f/Rab32/Uhrf1bp1l/Lrp1/Rab5b/Ldlr/Bace1/Tmem108/Nsg2/Gja1/Pdlim4/Gga3/Vps41/Mgrn1/Vps8/H2-Ab1/Ldlrad4",27
"GO:0044391","ribosomal subunit","25/664","230/23436",1.0286332375436e-08,1.0286332375436e-08,1.48339740572077e-06,"Rpl37a/Rpl12/Rps21/Rpl39/Rpl36a/Rps27/Rps20/Rpl21/Rps9/Rps19/Rps16/Rps15a/Rpl18/Rpl18a/Rpl13/Rps24/Rplp1/Npm1/Mrpl23/Rpl23/Rps7/Rps29/Rps2/Rpl17/Fau",25
"GO:0022627","cytosolic small ribosomal subunit","12/664","54/23436",2.79876996260559e-08,2.79876996260559e-08,3.02709067008131e-06,"Rps21/Rps27/Rps20/Rps9/Rps19/Rps16/Rps15a/Rps24/Rps7/Rps29/Rps2/Fau",12
"GO:0044445","cytosolic part","28/664","299/23436",3.61630146424079e-08,3.61630146424079e-08,3.12905242484835e-06,"Rpl37a/Aim2/Tsc1/Rpl12/Rps21/Rpl39/Rpl36a/Rps27/Rps20/Rpl21/Rps9/Rps19/Rps16/Hbb-bs/Rps15a/Washc4/Rpl18/Rpl18a/Rpl13/Rps24/Rplp1/Rpl23/Rps7/Rps29/Rps2/Eif2ak2/Rpl17/Fau",28
"GO:0005840","ribosome","26/664","265/23436",4.35245042658633e-08,4.35245042658633e-08,3.13834583390699e-06,"Rpl37a/Rpl12/Rps21/Rpl39/Rpl36a/Rps27/Rps20/Rpl21/Rps9/Rps19/Rps16/Rps15a/Rpl18/Rpl18a/Rpl13/Rps24/Rplp1/Npm1/Mrpl23/Rpl23/Rps7/Rps29/Rps2/Eif2ak2/Rpl17/Fau",26
"GO:0015935","small ribosomal subunit","13/664","85/23436",7.65407903631939e-07,7.65407903631939e-07,4.73056614124402e-05,"Rps21/Rps27/Rps20/Rps9/Rps19/Rps16/Rps15a/Rps24/Npm1/Rps7/Rps29/Rps2/Fau",13
"GO:0044215","other organism","8/664","30/23436",1.34187660089782e-06,1.34187660089782e-06,5.80538192598951e-05,"Gbp7/Gbp8/Gbp9/Gbp3/Top2b/C4b/C4a/Iigp1",8
"GO:0044216","other organism cell","8/664","30/23436",1.34187660089782e-06,1.34187660089782e-06,5.80538192598951e-05,"Gbp7/Gbp8/Gbp9/Gbp3/Top2b/C4b/C4a/Iigp1",8
"GO:0044217","other organism part","8/664","30/23436",1.34187660089782e-06,1.34187660089782e-06,5.80538192598951e-05,"Gbp7/Gbp8/Gbp9/Gbp3/Top2b/C4b/C4a/Iigp1",8
"GO:0020005","symbiont-containing vacuole membrane","5/664","12/23436",1.20731715711728e-05,1.20731715711728e-05,0.000474839570885362,"Gbp7/Gbp8/Gbp9/Gbp3/Iigp1",5
"GO:0005770","late endosome","18/664","198/23436",1.477386071006e-05,1.477386071006e-05,0.000532636557178481,"Atg9a/Cxcr4/Cd1d1/Ctss/Tmem59/Vps33b/Mcoln1/Tpt1/Ldlr/Bace1/Nsg2/Gja1/Irgm1/Vps41/Lgmn/H2-Ab1/H2-Eb1/Chmp1b",18
"GO:0020003","symbiont-containing vacuole","5/664","14/23436",2.91114282367935e-05,2.91114282367935e-05,0.000968809474115154,"Gbp7/Gbp8/Gbp9/Gbp3/Iigp1",5
