"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030881","beta-2-microglobulin binding","9/466","11/22710",3.16908138945501e-14,3.16908138945501e-14,1.60455594560827e-11,"Fcgrt/H2-D1/H2-K1/H2-Q10/H2-Q2/H2-T23/H2-Q4/H2-Q6/H2-Q7",9
"GO:0042608","T cell receptor binding","10/466","16/22710",8.62649038642418e-14,8.62649038642418e-14,2.18386414519475e-11,"Fyn/Dock2/H2-D1/H2-K1/H2-Q10/H2-Q2/H2-T23/H2-Q4/H2-Q6/H2-Q7",10
"GO:0042610","CD8 receptor binding","8/466","11/22710",4.6297945597947e-12,4.6297945597947e-12,7.81379362547807e-10,"Fyn/H2-D1/H2-K1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7",8
"GO:0046977","TAP binding","7/466","11/22710",4.50235134048095e-10,4.50235134048095e-10,5.69902893360878e-08,"H2-D1/H2-K1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7",7
"GO:0042605","peptide antigen binding","11/466","46/22710",1.68656028127594e-09,1.68656028127594e-09,1.70786420061837e-07,"H2-Bl/H2-D1/H2-K1/H2-Q10/H2-Q2/H2-T23/Gm11127/H2-Q4/H2-Q6/H2-Q7/H2-T22",11
"GO:0019955","cytokine binding","13/466","129/22710",2.6263953498995e-06,2.6263953498995e-06,0.000221630905842396,"Il18r1/Itga4/Cd44/Il2rg/Cxcr3/Zfp36/Ifngr1/Itgb1/Tgfbr2/Cxcr6/Ccr2/Ccr5/Wfikkn2",13
"GO:0019956","chemokine binding","7/466","32/22710",3.16098062569675e-06,3.16098062569675e-06,0.000228636343001524,"Itga4/Cxcr3/Zfp36/Itgb1/Cxcr6/Ccr2/Ccr5",7
"GO:0003823","antigen binding","16/466","204/22710",5.27185013775381e-06,5.27185013775381e-06,0.000333652620560472,"Itga4/Trbc2/Igkc/Klrd1/Ep300/H2-Bl/H2-D1/H2-K1/H2-Q10/H2-Q2/H2-T23/Gm11127/H2-Q4/H2-Q6/H2-Q7/H2-T22",16
"GO:0042277","peptide binding","20/466","306/22710",5.97348787746314e-06,5.97348787746314e-06,0.000336052358954359,"Dpp4/Ogt/Ppp3ca/Furin/Ctsd/Sorl1/Nfkbia/Crip1/Lnpep/H2-Bl/H2-D1/H2-K1/H2-Q10/H2-Q2/H2-T23/Gm11127/H2-Q4/H2-Q6/H2-Q7/H2-T22",20
"GO:0004896","cytokine receptor activity","10/466","97/22710",3.07158773306106e-05,3.07158773306106e-05,0.00155519336800249,"Il18r1/Il18rap/Cd44/Il2rg/Cxcr3/Ifngr1/Cxcr6/Ccr2/Ccr5/Il7r",10
"GO:0005085","guanyl-nucleotide exchange factor activity","14/466","197/22710",6.02262265685541e-05,6.02262265685541e-05,0.0024678827816975,"Dock10/Dennd1b/Trappc4/Rapgef2/Dennd4c/Rinl/Arhgef18/Dock5/Dennd4a/Dock2/Sos2/Cyth4/Dennd1c/Ric1",14
"GO:0035091","phosphatidylinositol binding","16/466","249/22710",6.17415889310787e-05,6.17415889310787e-05,0.0024678827816975,"Wdfy1/Dennd1b/Sdcbp2/Ogt/Hip1/Tecpr1/Sytl2/Fchsd2/Arhgap9/Pxk/Thy1/Actn2/Iqgap2/Fcho2/Esyt2/Dennd1c",16
"GO:0005088","Ras guanyl-nucleotide exchange factor activity","11/466","127/22710",6.33645579084493e-05,6.33645579084493e-05,0.0024678827816975,"Dock10/Dennd1b/Trappc4/Rapgef2/Dennd4c/Arhgef18/Dennd4a/Dock2/Sos2/Dennd1c/Ric1",11
"GO:0030695","GTPase regulator activity","16/466","256/22710",8.56113655592162e-05,8.56113655592162e-05,0.00309617043864534,"Rgs2/Rgs1/Arhgap30/Rapgef2/Rgs3/Jun/Smap2/Rinl/Arhgap45/Arhgap9/Dock5/Thy1/Dock2/Arhgap31/Gpsm3/Tbc1d10c",16
"GO:0033218","amide binding","20/466","371/22710",9.28765673721667e-05,9.28765673721667e-05,0.00309964036283446,"Dpp4/Ogt/Ppp3ca/Furin/Ctsd/Sorl1/Nfkbia/Crip1/Lnpep/H2-Bl/H2-D1/H2-K1/H2-Q10/H2-Q2/H2-T23/Gm11127/H2-Q4/H2-Q6/H2-Q7/H2-T22",20
"GO:0017112","Rab guanyl-nucleotide exchange factor activity","6/466","37/22710",9.79512131290722e-05,9.79512131290722e-05,0.00309964036283446,"Dennd1b/Trappc4/Dennd4c/Dennd4a/Dennd1c/Ric1",6
"GO:0031386","protein tag","4/466","13/22710",0.000108022307683855,0.000108022307683855,0.00321725882327768,"Uba52/Ubb/Ubc/Rps27a",4
"GO:0005096","GTPase activator activity","15/466","238/22710",0.000128961194149979,0.000128961194149979,0.00353675058834045,"Rgs2/Rgs1/Arhgap30/Rapgef2/Rgs3/Jun/Smap2/Rinl/Arhgap45/Arhgap9/Dock5/Thy1/Dock2/Arhgap31/Tbc1d10c",15
"GO:0019957","C-C chemokine binding","5/466","25/22710",0.000134729733067377,0.000134729733067377,0.00353675058834045,"Cxcr3/Zfp36/Cxcr6/Ccr2/Ccr5",5
"GO:0060589","nucleoside-triphosphatase regulator activity","17/466","295/22710",0.000139705324695361,0.000139705324695361,0.00353675058834045,"Rgs2/Rgs1/Tor1aip1/Arhgap30/Rapgef2/Rgs3/Jun/Smap2/Rinl/Arhgap45/Arhgap9/Dock5/Thy1/Dock2/Arhgap31/Gpsm3/Tbc1d10c",17
"GO:0042578","phosphoric ester hydrolase activity","19/466","355/22710",0.000151660126118328,0.000151660126118328,0.00365656745177523,"Ptpn18/Inpp1/Inpp5d/Ptpn4/Ptprc/Samhd1/Pde7a/Ppp3ca/Smpdl3b/Pld3/Ptpre/Smpdl3a/Ppp1r12a/Ppp3cc/Ubash3b/Ccl5/Pde4d/Dusp1/Dusp5",19
"GO:1901981","phosphatidylinositol phosphate binding","12/466","165/22710",0.000160992979609584,0.000160992979609584,0.00370514943503396,"Dennd1b/Sdcbp2/Ogt/Hip1/Tecpr1/Sytl2/Fchsd2/Arhgap9/Actn2/Iqgap2/Fcho2/Dennd1c",12
"GO:0008047","enzyme activator activity","22/466","452/22710",0.000184060293945048,0.000184060293945048,0.00405185361041502,"Cflar/Rgs2/Rgs1/Tor1aip1/Arhgap30/Rapgef2/Nsmaf/Rgs3/Jun/Smap2/Rinl/Vsir/Arhgap45/Arhgap9/Dock5/Thy1/Dock2/Ccl5/Rptor/Arhgap31/Daxx/Tbc1d10c",22
"GO:0005070","SH3/SH2 adaptor activity","5/466","27/22710",0.000197916027080405,0.000197916027080405,0.00417533372919627,"Cd28/Sh2d1a/Sh2d2a/Sla/Sorbs1",5
"GO:0002020","protease binding","11/466","146/22710",0.000220235957722805,0.000220235957722805,0.00446035771219659,"Cflar/Cd28/Dpp4/Ubc/Furin/Tnfaip3/Itgb1/Trip4/Serpinb6a/Gsk3b/Flot1",11
"GO:0071889","14-3-3 protein binding","5/466","29/22710",0.000281471884776033,0.000281471884776033,0.00548129459827012,"Prkcz/Zfp36/Ppp1r12a/Rptor/Zfp36l1",5
"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","21/466","439/22710",0.000322967144757181,0.000322967144757181,0.00605642092117754,"Stat4/Nr4a2/Mef2d/Nr4a3/Jun/Txk/Clock/Klf13/Arntl/Jund/Ier2/Junb/Elf1/Fli1/Irf1/Klf6/Bcl11b/Ep300/Runx1/Crebrf/Runx2",21
"GO:0016780","phosphotransferase activity, for other substituted phosphate groups","4/466","18/22710",0.000426142436283502,0.000426142436283502,0.00770580871625429,"Cdipt/Samd8/Gnptg/Sgms1",4
"GO:0035259","glucocorticoid receptor binding","4/466","21/22710",0.000793838454827365,0.000793838454827365,0.0138597566886375,"Ncoa2/Nr4a2/Nr4a3/Ep300",4
