"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016538","cyclin-dependent protein serine/threonine kinase regulator activity","8/331","46/22710",3.01560823857671e-07,3.01560823857671e-07,6.64514447236383e-05,"Ccna2/Cks1b/Ccng2/Casp3/Cdkn2d/Ccnb2/Cks2/Ccnb1",8
"GO:0044389","ubiquitin-like protein ligase binding","19/331","325/22710",3.48778301035671e-07,3.48778301035671e-07,6.64514447236383e-05,"Cxcr4/Traf1/Ube2c/Ddx58/Uba52/Ubb/Ubc/Rps27a/Rnf31/Actg1/Prr7/Ccnb1/Trib2/Nfkbia/Hif1a/Trib1/Tuba1b/Gsk3b/Tubb5",19
"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","22/331","439/22710",5.80851878255501e-07,5.80851878255501e-07,7.37783789222776e-05,"Nucks1/Gata3/Nr4a2/Tfe3/Ar/Fosb/Pou2f2/Irf2/Jund/Junb/Nfat5/Fli1/Csrnp1/Rel/Irf1/Stat3/Hif1a/Batf/Sp1/Runx2/Nfatc1/Nfkb2",22
"GO:0043130","ubiquitin binding","9/331","75/22710",1.43684550735747e-06,1.43684550735747e-06,0.000136878440437738,"Cxcr4/Cks1b/Tax1bp1/Bub3/Tnfaip3/Rnf31/Birc2/Top2a/Cks2",9
"GO:0008017","microtubule binding","15/331","239/22710",2.54244910505879e-06,2.54244910505879e-06,0.000193761384427638,"Map4k4/Ckap5/Nusap1/Cenpe/Prc1/Numa1/Plk1/Kif22/Cep295/Kif23/Kif15/Birc5/Racgap1/Kif20b/Kif11",15
"GO:0043027","cysteine-type endopeptidase inhibitor activity involved in apoptotic process","6/331","29/22710",3.27991462275348e-06,3.27991462275348e-06,0.000208303349725747,"Cd27/Birc3/Birc2/Bcl2a1d/Birc5/Serpinb9",6
"GO:0019207","kinase regulator activity","13/331","194/22710",5.85095957056319e-06,5.85095957056319e-06,0.000318503363089305,"Ccna2/Cks1b/Rhoh/Ccng2/Hmgb1/Casp3/Cdkn2d/Ccnb2/Socs3/Cks2/Ccnb1/Trib2/Trib1",13
"GO:0042393","histone binding","14/331","233/22710",9.04246089266148e-06,9.04246089266148e-06,0.000356271500571886,"Ptma/Hjurp/Atrx/Cks1b/Anp32e/Anp32b/Kmt2e/Spty2d1/Chd2/Asf1b/H2afx/Dek/Cks2/Uhrf2",14
"GO:0015631","tubulin binding","17/331","336/22710",9.99854620049878e-06,9.99854620049878e-06,0.000356271500571886,"Map4k4/Ckap5/Nusap1/Cenpe/Stmn1/Prc1/Numa1/Plk1/Kif22/Fyn/Cep295/Kif23/Kif15/Birc5/Racgap1/Kif20b/Kif11",17
"GO:0031490","chromatin DNA binding","9/331","95/22710",1.04168050843262e-05,1.04168050843262e-05,0.000356271500571886,"Cenpa/Ezh2/Vax2/Kdm6b/Stat3/H1f5/H1f3/H1f4/H1f2",9
"GO:0032182","ubiquitin-like protein binding","9/331","96/22710",1.13489704034139e-05,1.13489704034139e-05,0.000356271500571886,"Cxcr4/Cks1b/Tax1bp1/Bub3/Tnfaip3/Rnf31/Birc2/Top2a/Cks2",9
"GO:0031625","ubiquitin protein ligase binding","16/331","306/22710",1.21467063189299e-05,1.21467063189299e-05,0.000356271500571886,"Cxcr4/Traf1/Ddx58/Uba52/Ubb/Ubc/Rps27a/Rnf31/Actg1/Trib2/Nfkbia/Hif1a/Trib1/Tuba1b/Gsk3b/Tubb5",16
"GO:0008047","enzyme activator activity","20/331","452/22710",1.21545663869138e-05,1.21545663869138e-05,0.000356271500571886,"Rgs16/Tor1aip1/Rabgap1l/Cks1b/Smap2/Arap2/Tbc1d1/Hmgb1/Srgap3/Ctsc/Rasa3/Casp3/Nrp1/Dock2/Cks2/Ccnb1/Asap1/Racgap1/Arhgap31/Tagap",20
"GO:0031492","nucleosomal DNA binding","5/331","24/22710",2.15998381043154e-05,2.15998381043154e-05,0.000587905367952043,"Cenpa/H1f5/H1f3/H1f4/H1f2",5
"GO:0043028","cysteine-type endopeptidase regulator activity involved in apoptotic process","6/331","40/22710",2.31580385720141e-05,2.31580385720141e-05,0.00058829543600485,"Cd27/Birc3/Birc2/Bcl2a1d/Birc5/Serpinb9",6
"GO:0031386","protein tag","4/331","13/22710",2.85596319767012e-05,2.85596319767012e-05,0.00067819876527929,"Uba52/Ubb/Ubc/Rps27a",4
"GO:0019887","protein kinase regulator activity","11/331","164/22710",3.02566576222666e-05,3.02566576222666e-05,0.00067819876527929,"Ccna2/Cks1b/Ccng2/Hmgb1/Casp3/Cdkn2d/Ccnb2/Cks2/Ccnb1/Trib2/Trib1",11
"GO:0005070","SH3/SH2 adaptor activity","5/331","27/22710",3.95797085875019e-05,3.95797085875019e-05,0.000837886228577526,"Cd28/Sh2d2a/Stap1/Ptpn11/Sla",5
"GO:0005096","GTPase activator activity","13/331","238/22710",5.08989153058765e-05,5.08989153058765e-05,0.00102079819062201,"Rgs16/Rabgap1l/Smap2/Arap2/Tbc1d1/Srgap3/Rasa3/Nrp1/Dock2/Asap1/Racgap1/Arhgap31/Tagap",13
"GO:0008301","DNA binding, bending","4/331","17/22710",9.07799179417047e-05,9.07799179417047e-05,0.00164723460124797,"Hmgb1/Hmgb2/Top2a/Crip1",4
"GO:0035173","histone kinase activity","4/331","17/22710",9.07799179417047e-05,9.07799179417047e-05,0.00164723460124797,"Cdk1/Aurkb/Prkca/Ccnb1",4
"GO:0030695","GTPase regulator activity","13/331","256/22710",0.000106497180570127,0.000106497180570127,0.00184459231418116,"Rgs16/Rabgap1l/Smap2/Arap2/Tbc1d1/Srgap3/Rasa3/Nrp1/Dock2/Asap1/Racgap1/Arhgap31/Tagap",13
