"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003725","double-stranded RNA binding","12/524","84/22710",5.02169600819098e-07,5.02169600819098e-07,0.000143855888518544,"Rc3h1/Vim/Ifih1/Ddx3x/Adar/Dus2/Sidt2/Dhx58/Dicer1/Ago2/Sidt1/Eif2ak2",12
"GO:0003713","transcription coactivator activity","21/524","258/22710",6.70967808048258e-07,6.70967808048258e-07,0.000143855888518544,"Dcaf6/Usp21/Ncoa6/Jade1/Jun/Ube3a/Arid5b/Jund/Junb/Nr1d2/Bcl9l/Sertad2/Med13/Jup/Lpin1/Kmt2d/Calcoco1/Mrtfb/Nrip1/Nr3c1/Smarca2",21
"GO:0004386","helicase activity","16/524","157/22710",7.62061862969984e-07,7.62061862969984e-07,0.000143855888518544,"Mcm3/Mcm6/Ifih1/Chd6/Ddx3x/Chd3/Chd7/Mcm7/Chd2/Mcm9/Mcm5/Dhx58/Dicer1/Ddx3y/Smarca2/Hells",16
"GO:0003712","transcription coregulator activity","28/524","454/22710",2.77475249407244e-06,2.77475249407244e-06,0.000392846537318677,"Zfp281/Dcaf6/Usp21/Ncoa6/Jade1/Supt20/Jun/Ube3a/Arid5b/Jund/Junb/Nr1d2/Bcl9l/Tfdp2/Sertad2/Med13/Jup/Zmynd11/Nsd1/Lpin1/Kmt2d/Calcoco1/Mrtfb/Nrip1/Nr3c1/Smad4/Smarca2/Ldb1",28
"GO:0008047","enzyme activator activity","27/524","452/22710",7.49596433750295e-06,7.49596433750295e-06,0.000849016592331914,"Dgkq/Rgs2/Rgs1/Pdpk1/Ddx3x/Atp7a/Tbck/Rgs3/Jun/Tbc1d14/Wnk1/Arap1/Casp3/Ercc6/Rgcc/Rps27l/Rasa2/Dock2/Rabep1/Taok1/Lgals9/Ccl5/Timp2/Ralgapa1/Rictor/Arhgap31/Fam13b",27
"GO:0003688","DNA replication origin binding","6/524","23/22710",1.05981625653817e-05,1.05981625653817e-05,0.00100031780003076,"Mcm3/Mcm6/Mcm7/Mcm9/Mcm5/Orc6",6
"GO:0070412","R-SMAD binding","6/524","24/22710",1.38563729096471e-05,1.38563729096471e-05,0.00112101182336694,"Zeb2/Trim33/Jun/Rgcc/Fos/Smad4",6
"GO:0035257","nuclear hormone receptor binding","13/524","150/22710",4.67163006735193e-05,4.67163006735193e-05,0.00330702233715176,"Nr4a2/Cebpb/Lrif1/Padi2/Jund/Dnmt1/Med13/Jup/Nsd1/Pik3r1/Nr4a1/Nrip1/Rnf14",13
"GO:0051427","hormone receptor binding","14/524","178/22710",7.01186408002853e-05,7.01186408002853e-05,0.00441214371351503,"Nr4a2/Cebpb/Lrif1/Padi2/Fyn/Jund/Dnmt1/Med13/Jup/Nsd1/Pik3r1/Nr4a1/Nrip1/Rnf14",14
"GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific","16/524","238/22710",0.000141422962206559,0.000141422962206559,0.00800900564917145,"Btg2/Zfp281/Ifi206/Ifi214/Ifi213/Ifi209/Zeb2/Cebpb/Etv3/Mxd4/Ybx3/Zfp668/Arid5b/Elk3/Nr1d2/Pura",16
