"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022626","cytosolic ribosome","23/390","148/23436",5.04124915498948e-16,5.04124915498948e-16,1.80954311773833e-13,"Rpl37a/Rpl12/Rps21/Rpl39/Rpl36a/Rps27/Rps20/Rpl21/Rps9/Rps19/Rps16/Rps15a/Rpl18/Rpl18a/Rpl13/Rps24/Rplp1/Rpl23/Rps7/Rps29/Eif2ak2/Rpl17/Fau",23
"GO:0044445","cytosolic part","27/390","299/23436",1.18684191106111e-12,1.18684191106111e-12,2.130068903536e-10,"Rpl37a/Rpl12/Rps21/Rpl39/Rpl36a/Rps27/Rps20/Rpl21/Rps9/Rps19/Rps16/Rps15a/Prkcb/Ikbkb/Rpl18/Rpl18a/Rpl13/Rps24/Rplp1/Dag1/Snap47/Rpl23/Rps7/Rps29/Eif2ak2/Rpl17/Fau",27
"GO:0044391","ribosomal subunit","23/390","230/23436",7.16607424762561e-12,7.16607424762561e-12,8.57414497698362e-10,"Rpl37a/Rpl12/Rps21/Rpl39/Rpl36a/Rps27/Rps20/Rpl21/Rps9/Rps19/Rps16/Rps15a/Rpl18/Rpl18a/Rpl13/Rps24/Rplp1/Mrpl23/Rpl23/Rps7/Rps29/Rpl17/Fau",23
"GO:0005840","ribosome","24/390","265/23436",2.05708432713284e-11,2.05708432713284e-11,1.84596251461131e-09,"Rpl37a/Rpl12/Rps21/Rpl39/Rpl36a/Rps27/Rps20/Rpl21/Rps9/Rps19/Rps16/Rps15a/Rpl18/Rpl18a/Rpl13/Rps24/Rplp1/Mrpl23/Rpl23/Rps7/Rps29/Eif2ak2/Rpl17/Fau",24
"GO:0022627","cytosolic small ribosomal subunit","11/390","54/23436",1.18738803735777e-09,1.18738803735777e-09,8.52419622608423e-08,"Rps21/Rps27/Rps20/Rps9/Rps19/Rps16/Rps15a/Rps24/Rps7/Rps29/Fau",11
"GO:0015935","small ribosomal subunit","11/390","85/23436",1.66864038345258e-07,1.66864038345258e-07,9.98256790802334e-06,"Rps21/Rps27/Rps20/Rps9/Rps19/Rps16/Rps15a/Rps24/Rps7/Rps29/Fau",11
"GO:0022625","cytosolic large ribosomal subunit","11/390","89/23436",2.69143392831049e-07,2.69143392831049e-07,1.38011875120884e-05,"Rpl37a/Rpl12/Rpl39/Rpl36a/Rpl21/Rpl18/Rpl18a/Rpl13/Rplp1/Rpl23/Rpl17",11
"GO:0015934","large ribosomal subunit","12/390","150/23436",8.35560232573984e-06,8.35560232573984e-06,0.000374902683299643,"Rpl37a/Rpl12/Rpl39/Rpl36a/Rpl21/Rpl18/Rpl18a/Rpl13/Rplp1/Mrpl23/Rpl23/Rpl17",12
"GO:0000932","P-body","8/390","71/23436",2.33332632288436e-05,2.33332632288436e-05,0.000930601492518792,"Pnrc2/Samd4b/Trim12c/Tnrc6a/Xrn1/Limd1/Tnrc6c/Ago2",8
"GO:0005770","late endosome","13/390","198/23436",2.96561652870074e-05,2.96561652870074e-05,0.00103285460515491,"Rnf13/Uvrag/Stx7/Psap/Clcn3/Pip4p1/Tpt1/Nbr1/Kidins220/Igf2r/H2-DMa/Chmp1b/Vti1a",13
"GO:0005844","polysome","8/390","74/23436",3.16519959644248e-05,3.16519959644248e-05,0.00103285460515491,"Rps21/Rpl39/Rpl18/Rpl18a/Rps29/Ago2/Eif4b/Rpl17",8
"GO:0030139","endocytic vesicle","12/390","173/23436",3.49696889678962e-05,3.49696889678962e-05,0.00104602315246075,"Slamf1/Stxbp3/Abca1/Zyx/Uvrag/Stx7/Clcn3/Pip4p1/Evl/Igf2r/Tbc1d5/Ehd3",12
"GO:0035770","ribonucleoprotein granule","13/390","209/23436",5.19488190723002e-05,5.19488190723002e-05,0.00143437629989104,"Igf2bp1/Pnrc2/Samd4b/Trim12c/Tnrc6a/Xrn1/Limd1/Tnrc6c/Ago2/Hsf1/Socs1/Eif4a2/Pitpnm1",13
"GO:0045335","phagocytic vesicle","8/390","89/23436",0.000119464886544418,0.000119464886544418,0.00270632771043345,"Slamf1/Stxbp3/Abca1/Zyx/Uvrag/Clcn3/Pip4p1/Evl",8
"GO:0005764","lysosome","19/390","431/23436",0.000125251743133344,0.000125251743133344,0.00270632771043345,"Rb1cc1/Ctsz/Rnf13/Rnf19b/Tpcn1/Tm6sf1/Ctsc/Uvrag/Stx7/Psap/Tmem8/Hgsnat/Pip4p1/Acp5/Nbr1/Ifnar1/Igf2r/H2-DMa/Npc1",19
"GO:0036464","cytoplasmic ribonucleoprotein granule","12/390","198/23436",0.000128220013733315,0.000128220013733315,0.00270632771043345,"Igf2bp1/Pnrc2/Samd4b/Trim12c/Tnrc6a/Xrn1/Limd1/Tnrc6c/Ago2/Socs1/Eif4a2/Pitpnm1",12
"GO:0000323","lytic vacuole","19/390","432/23436",0.000129052817381213,0.000129052817381213,0.00270632771043345,"Rb1cc1/Ctsz/Rnf13/Rnf19b/Tpcn1/Tm6sf1/Ctsc/Uvrag/Stx7/Psap/Tmem8/Hgsnat/Pip4p1/Acp5/Nbr1/Ifnar1/Igf2r/H2-DMa/Npc1",19
"GO:0034708","methyltransferase complex","9/390","116/23436",0.000142049714389713,0.000142049714389713,0.00270632771043345,"Mga/Phf20/Kmt2c/Aebp2/Chd8/Kmt2a/Ezh1/N6amt1/Phf1",9
"GO:0042788","polysomal ribosome","5/390","31/23436",0.000147970964989128,0.000147970964989128,0.00270632771043345,"Rps21/Rpl39/Rpl18/Rpl18a/Rps29",5
"GO:0035097","histone methyltransferase complex","8/390","92/23436",0.000150792453074005,0.000150792453074005,0.00270632771043345,"Mga/Phf20/Kmt2c/Aebp2/Chd8/Kmt2a/Ezh1/Phf1",8
"GO:0061695","transferase complex, transferring phosphorus-containing groups","13/390","245/23436",0.000254115184687693,0.000254115184687693,0.00434352270568939,"Rb1cc1/Taf3/Cks1b/Rprd2/Setd5/Ccnd2/Cd3eap/Uvrag/Zbtb7a/Ikbkb/Socs3/Socs1/Tbc1d5",13
