"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015631","tubulin binding","18/254","336/22710",5.09143410550674e-08,5.09143410550674e-08,1.70363007920146e-05,"Arl4c/Ckap5/Nusap1/Cenpe/Stmn1/Gapdh/Prc1/Numa1/Plk1/Kif22/Cep295/Kif23/Kif15/Birc5/Ncald/Racgap1/Kif20b/Kif11",18
"GO:0008017","microtubule binding","15/254","239/22710",8.86821137118571e-08,8.86821137118571e-08,1.70363007920146e-05,"Ckap5/Nusap1/Cenpe/Gapdh/Prc1/Numa1/Plk1/Kif22/Cep295/Kif23/Kif15/Birc5/Racgap1/Kif20b/Kif11",15
"GO:0031491","nucleosome binding","8/254","54/22710",1.46338160588381e-07,1.46338160588381e-07,1.87415538999155e-05,"Arid1a/Hp1bp3/Cenpa/H1f5/H1f3/H1f4/H1f2/H1f0",8
"GO:0031492","nucleosomal DNA binding","6/254","24/22710",2.09772612850029e-07,2.09772612850029e-07,2.0149211497437e-05,"Cenpa/H1f5/H1f3/H1f4/H1f2/H1f0",6
"GO:0016538","cyclin-dependent protein serine/threonine kinase regulator activity","7/254","46/22710",7.43713236257386e-07,7.43713236257386e-07,5.71484907860939e-05,"Ccna2/Cks1b/Ccng2/Cdkn2d/Ccnb2/Cks2/Ccnb1",7
"GO:0019207","kinase regulator activity","12/254","194/22710",2.05364863295382e-06,2.05364863295382e-06,0.000131505570355815,"Ccna2/Cks1b/Ccng2/Hmgb1/Wnk1/Cdkn2d/Ccnb2/Ccl5/Cks2/Ccnb1/Pik3r1/Malt1",12
"GO:0005200","structural constituent of cytoskeleton","7/254","63/22710",6.5398744508043e-06,6.5398744508043e-06,0.000358955514968958,"Vim/Tubb4b/Actb/Actg1/Tuba1b/Tuba1c/Tubb5",7
"GO:0031386","protein tag","4/254","13/22710",1.00936092306481e-05,1.00936092306481e-05,0.00048475886436665,"Uba52/Ubb/Ubc/Rps27a",4
"GO:0019887","protein kinase regulator activity","10/254","164/22710",1.66705953309404e-05,1.66705953309404e-05,0.000711668689566461,"Ccna2/Cks1b/Ccng2/Hmgb1/Wnk1/Cdkn2d/Ccnb2/Ccl5/Cks2/Ccnb1",10
"GO:0008301","DNA binding, bending","4/254","17/22710",3.24341716652375e-05,3.24341716652375e-05,0.00124615501661176,"Hmgb1/Hmgb2/Top2a/Crip1",4
"GO:0019209","kinase activator activity","7/254","86/22710",5.1063666495218e-05,5.1063666495218e-05,0.0017835634708856,"Cks1b/Hmgb1/Wnk1/Ccl5/Cks2/Ccnb1/Malt1",7
"GO:0042393","histone binding","11/254","233/22710",6.7489935572279e-05,6.7489935572279e-05,0.00216086197227034,"Ptma/Hjurp/Cks1b/Anp32e/Anp32b/Ing1/Asf1b/H2afx/Dek/Cks2/Atad2",11
"GO:0031490","chromatin DNA binding","7/254","95/22710",9.64381260957018e-05,9.64381260957018e-05,0.00280738705737568,"Cenpa/Ezh2/H1f5/H1f3/H1f4/H1f2/H1f0",7
"GO:0016887","ATPase activity","14/254","379/22710",0.000102296569487936,0.000102296569487936,0.00280738705737568,"Atp2b4/Cenpe/Mcm7/Atf7ip/Kif22/Mcm5/Ddx39/Kif23/Kif15/Top2a/Bptf/Atad2/Kif20b/Kif11",14
"GO:0061575","cyclin-dependent protein serine/threonine kinase activator activity","3/254","10/22710",0.000156557394806432,0.000156557394806432,0.00401006660381386,"Cks1b/Cks2/Ccnb1",3
"GO:0002020","protease binding","8/254","146/22710",0.000245060284420536,0.000245060284420536,0.00575923808211943,"Cd28/Ubc/Pycard/Psap/Anxa2/Serpinb9/Gsk3b/Malt1",8
"GO:0003697","single-stranded DNA binding","7/254","111/22710",0.000254826561715695,0.000254826561715695,0.00575923808211943,"Nabp1/Nucks1/Smc4/Smc2/Mcm7/Mcm5/Alyref",7
"GO:0030295","protein kinase activator activity","6/254","80/22710",0.000277678964071066,0.000277678964071066,0.00592706560736485,"Cks1b/Hmgb1/Wnk1/Ccl5/Cks2/Ccnb1",6
"GO:0003777","microtubule motor activity","6/254","82/22710",0.000317615857117327,0.000317615857117327,0.00642270292785731,"Cenpe/Kif22/Kif23/Kif15/Kif20b/Kif11",6
"GO:0019956","chemokine binding","4/254","32/22710",0.000429542370783597,0.000429542370783597,0.00825173501768488,"Itga4/Cxcr3/Ccr2/Ccr5",4
"GO:0008047","enzyme activator activity","14/254","452/22710",0.000610666144809233,0.000610666144809233,0.0111725886143043,"Rgs1/Cks1b/Hmgb1/Wnk1/Pycard/Thy1/Dock2/Rap1gap2/Ccl5/Cks2/Ccnb1/Racgap1/Malt1/Tbc1d10c",14
"GO:0005525","GTP binding","12/254","354/22710",0.000682725135098828,0.000682725135098828,0.0119231901584245,"Arl4c/Tubb4b/Ran/Rasl2-9/Gimap7/Gimap1/Gna15/Rap1b/H1f4/Tuba1b/Tuba1c/Tubb5",12
