"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042110","T cell activation","41/394","491/23210",4.12154144957281e-17,4.12154144957281e-17,1.19611471331287e-13,"Il18r1/Ptprc/Apbb1ip/March7/Prex1/Elf4/Sema4a/Cd2/Chd7/Txk/Lfng/Cd8a/Spn/Itgal/Pycard/Itgam/Fyn/Vsir/Itgb2/Ifng/Nfatc3/Zmiz1/Thy1/Smad3/Rora/Nedd4/Ccr2/Dock2/Ncor1/Ccl5/Tbx21/Rara/Ripor2/Bcl11b/Ptger4/Lgals1/Runx1/H2-T23/Zfp36l2/Cd6/Anxa1",41
"GO:0002697","regulation of immune effector process","35/394","420/23210",9.86681323431618e-15,9.86681323431618e-15,1.43172653089525e-11,"Il18r1/Il18rap/Traf3ip1/Ptprc/Fcgr2b/Rapgef1/Rnf216/Klrb1c/Klre1/Klrk1/Nop53/Cd37/Spn/Pycard/Itgam/Tnfaip3/Vsir/Itgb2/Ifng/Ccr2/Myo18a/Ccl5/Tbx21/Rara/H2-Bl/H2-D1/H2-K1/H2-Q10/H2-Q2/H2-T23/Gm11127/H2-Q4/H2-Q6/H2-Q7/Anxa1",35
"GO:0002456","T cell mediated immunity","20/394","137/23210",2.0677545843828e-13,2.0677545843828e-13,2.00028048741873e-10,"Il18r1/Il18rap/Ptprc/Cd8a/Spn/Vsir/Prf1/Gzmb/Ccr2/Tbx21/H2-Bl/H2-D1/H2-K1/H2-Q10/H2-Q2/H2-T23/Gm11127/H2-Q4/H2-Q6/H2-Q7",20
"GO:0002699","positive regulation of immune effector process","26/394","259/23210",4.26207864564136e-13,4.26207864564136e-13,3.09225021737716e-10,"Il18r1/Il18rap/Ptprc/Rapgef1/Klrb1c/Klre1/Klrk1/Cd37/Itgam/Itgb2/Ifng/Ccr2/Myo18a/Tbx21/Rara/H2-Bl/H2-D1/H2-K1/H2-Q10/H2-Q2/H2-T23/Gm11127/H2-Q4/H2-Q6/H2-Q7/Anxa1",26
"GO:0031343","positive regulation of cell killing","17/394","100/23210",1.0539975244096e-12,1.0539975244096e-12,6.11762352588898e-10,"Il18rap/Ptprc/Klrb1c/Klre1/Klrk1/Prf1/Ifng/H2-Bl/H2-D1/H2-K1/H2-Q10/H2-Q2/H2-T23/Gm11127/H2-Q4/H2-Q6/H2-Q7",17
"GO:0002706","regulation of lymphocyte mediated immunity","22/394","195/23210",2.71445344988555e-12,2.71445344988555e-12,1.31293827391833e-09,"Il18r1/Il18rap/Ptprc/Fcgr2b/Klrb1c/Klre1/Klrk1/Spn/Vsir/Ifng/Ccr2/Tbx21/H2-Bl/H2-D1/H2-K1/H2-Q10/H2-Q2/H2-T23/Gm11127/H2-Q4/H2-Q6/H2-Q7",22
"GO:0002709","regulation of T cell mediated immunity","16/394","94/23210",4.8282119386107e-12,4.8282119386107e-12,2.00171132552627e-09,"Il18r1/Ptprc/Spn/Vsir/Ccr2/Tbx21/H2-Bl/H2-D1/H2-K1/H2-Q10/H2-Q2/H2-T23/Gm11127/H2-Q4/H2-Q6/H2-Q7",16
"GO:0002703","regulation of leukocyte mediated immunity","24/394","250/23210",9.0232429836075e-12,9.0232429836075e-12,2.91753228595581e-09,"Il18r1/Il18rap/Ptprc/Fcgr2b/Klrb1c/Klre1/Klrk1/Spn/Itgam/Vsir/Itgb2/Ifng/Ccr2/Tbx21/H2-Bl/H2-D1/H2-K1/H2-Q10/H2-Q2/H2-T23/Gm11127/H2-Q4/H2-Q6/H2-Q7",24
"GO:0030098","lymphocyte differentiation","30/394","395/23210",9.04784223609799e-12,9.04784223609799e-12,2.91753228595581e-09,"Il18r1/Ptprc/Prex1/Sema4a/Notch2/Chd7/Txk/Lfng/Cd8a/Spn/Tnfaip3/Vsir/Ifng/Nfatc3/Zmiz1/Rora/Ccr2/Dock2/Ncor1/Tbx21/Ikzf3/Rara/Pik3r1/Id2/Bcl11b/Ptger4/Lgals1/Runx1/Zfp36l2/Anxa1",30
"GO:0001912","positive regulation of leukocyte mediated cytotoxicity","15/394","86/23210",1.56539092707163e-11,1.56539092707163e-11,4.54292924835418e-09,"Il18rap/Ptprc/Klrb1c/Klre1/Klrk1/H2-Bl/H2-D1/H2-K1/H2-Q10/H2-Q2/H2-T23/Gm11127/H2-Q4/H2-Q6/H2-Q7",15
