ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
2017_NAT_Akondy---YFV_D14,2017_NAT_Akondy---YFV_D14,185,0.7217955242754394,2.534130830465301,1.3559322033898305e-4,0.0024824162184526274,0.00188721700818036,345,"tags=43%, list=7%, signal=42%",Ccnb2/Gzma/Anxa2/Pdia6/Hmgb2/Cenpa/Cdkn3/1500009L16Rik/Hmgn2/Birc5/Dbi/Stmn1/Gapdh/Ran/Actg1/Ggh/Actb/Dynll1/Lgals1/Pycard/Ccr5/Cdc20/Cdca3/Pclaf/Lmnb1/Ywhah/Cdca8/Ptms/Nme1/Prf1/Ccnb1/Ctsd/Mcm4/Snrpd1/Dek/Racgap1/Tubb5/Spc24/Mcm5/Mt1/Mcm3/Hopx/Ccna2/Hmmr/Hells/Arhgap18/Hnrnpab/Ranbp1/Tpi1/Slbp/Nasp/Ctsc/Tpx2/Susd1/Rrm2/Cenpe/Gmnn/Pgam1/Mki67/Pcna/Cks2/Dctpp1/Rrm1/Slamf7/Ifng/Nkg7/Tyms/Mcm7/Mcm6/Uhrf1/Dtl/Ccdc117/Tesc/Fabp5/Katnal1/Lgals9/Dlgap5/Tipin/Snx10/Tk1
2018_SCI_IMMUNOL_Patil---CD4_CTL_EFF,2018_SCI_IMMUNOL_Patil---CD4_CTL_EFF,158,0.5564433541040193,1.9209177798684174,1.3791201213625708e-4,0.0024824162184526274,0.00188721700818036,669,"tags=37%, list=14%, signal=33%",Gzma/1500009L16Rik/Lgals1/Havcr2/Prf1/Ctsd/Klrg1/Klrk1/Alyref/Mt1/Fgl2/Hopx/Zbtb32/Id2/Arhgap18/Cst3/Mt2/Ctsc/Gzmm/Susd1/Ogfrl1/Slamf7/Ifng/Il10/Nkg7/Plek/Eomes/Itgam/Itgb2/Tesc/Zbp1/Cmklr1/Gsap/Samd3/Sytl2/Aplp2/Fasl/Ccl3/Ctsw/Jakmip1/Adam8/Spn/Ttc16/Tapbpl/Myo6/Arhgap25/1700025G04Rik/Klrd1/Ifit2/Glul/Smug1/Stx7/Tspan32/Ctbp2/Syt11/Ikbkg/Sbk1/Rhoc/Lyar
2019_EJI_Remmerswaal---MP,2019_EJI_Remmerswaal---MP,30,-0.7428423209948289,-2.1520383494555895,2.4009603841536616e-4,0.002881152460984394,0.0021903498241401826,270,"tags=40%, list=6%, signal=38%",Itpkb/Bcl2/Prkca/Mast4/Zeb1/Jund/Ankrd12/Rplp1/Rpl39/Rps16/Rpl23/Tpt1
2018_SCI_IMMUNOL_Patil---CD4_TCM,2018_SCI_IMMUNOL_Patil---CD4_TCM,152,-0.4435922708400231,-1.7200763115282705,7.285974499089253e-4,0.006557377049180328,0.004985140446745279,844,"tags=38%, list=18%, signal=32%",Gnaq/Dgka/Asb13/Txk/Mtm1/Csrnp1/Socs1/Usp53/Numa1/Ifngr2/Trat1/Tnfrsf4/Cyld/Dusp1/Kdsr/Heca/Rgcc/Arhgap5/Irs2/Gprin3/Sik1/Pbxip1/Gabbr1/Birc3/Egr1/Tnfrsf25/Pim2/Btg2/Itpkb/Ssbp2/Bcl2/Socs3/Prkca/Satb1/Lef1/Maml2/Fos/Nfkbiz/Hivep2/Mast4/Peli1/Actn1/Tnfsf8/Id3/Zeb1/Ccr7/Fosb/Dock10/Sell/Arhgap15/Tespa1/Foxp1/Rgs10/Rpl13/Tcf7/Junb/Btg1
2020_NAT_IMMUNOL_Hayward---Parenchyma_TRM,2020_NAT_IMMUNOL_Hayward---Parenchyma_TRM,236,0.42299248135718986,1.5218307086682323,0.0018291089626339169,0.013169584530964201,0.01001196484810144,483,"tags=20%, list=10%, signal=19%",Gzmk/Hsp90b1/Hmgb2/Cenpa/Gapdh/Actg1/Calr/Ggh/Ptma/Pdia3/Arsb/Serpinb6b/Lmnb1/Glrx/Ly6a/Dek/Ctla2a/Il2rb/Prr13/Rgs1/Tpx2/Serpinb9/Tnfrsf9/Orc6/D16Ertd472e/Dusp2/Nkg7/Errfi1/Padi2/Ifngr1/Cited2/Cd6/Sytl2/Smox/Ier5l/Fasl/Arf4/Crybg1/Dgat1/Gimap4/Pgm2l1/Tiparp/Ifi27/Cd28/mt-Nd6/Ctsw/Gramd3
2019_EJI_Remmerswaal---TE,2019_EJI_Remmerswaal---TE,44,0.6122462086484227,1.7351214556251089,0.0023501762632197414,0.014101057579318448,0.01072010225328303,263,"tags=25%, list=6%, signal=24%",Gzma/1500009L16Rik/Calr/Arhgap18/Gzmm/Serpinb9/Slamf7/Nkg7/Plek/Itgam/Itgb2
2019_EJI_Remmerswaal---EE,2019_EJI_Remmerswaal---EE,35,0.5730258871448071,1.5609442126805217,0.02268076398362892,0.09940497024851243,0.07557103001348899,268,"tags=26%, list=6%, signal=24%",Hmgn2/Actg1/Fcgrt/Lmnb1/Tubb5/Epsti1/Serinc3/Zyx/Ccdc117
2019_JCI_Tian---DENV_TEMRA,2019_JCI_Tian---DENV_TEMRA,146,0.40597635698353246,1.3876366959352675,0.023912739476996223,0.09940497024851243,0.07557103001348899,592,"tags=24%, list=13%, signal=22%",Hmgb2/Gapdh/Hspa8/Hsph1/Havcr2/Gimap7/Hopx/Id2/Tnfrsf9/Pgam1/Slamf7/Ifng/Add3/Chsy1/Tnf/Mvp/Gpx1/Errfi1/Phlda1/Zbp1/Fabp5/Osbpl3/Ripk1/Cd5/Ulk3/Gpr18/Ccl3/Lyrm7/Mfng/Creld1/Blvrb/Ifit2/Il16/Icos/Acbd5
2020_NAT_IMMUNOL_Hayward---Lung_Intersitium_TRM,2020_NAT_IMMUNOL_Hayward---Lung_Intersitium_TRM,28,0.6017080468237745,1.562033024804112,0.024851242562128107,0.09940497024851243,0.07557103001348899,347,"tags=32%, list=7%, signal=30%",Gzmk/Cmtm7/Ctla2a/Rgs1/Dusp2/Ifng/Cd8a/Padi2/Ier5l
2019_JCI_Tian---unstimuTEMRA_vs_unstimuTEM_up,2019_JCI_Tian---unstimuTEMRA_vs_unstimuTEM_up,27,0.5845344871310012,1.5135026559490474,0.037954665260938325,0.13663679493937797,0.1038759259773049,465,"tags=26%, list=10%, signal=23%",Lgals1/Ptms/Ifng/Golm1/Klrc3/Metrnl/Ccl3
