ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
2017_IMMUNITY_WOLSKI_curated_human---CM05,2017_IMMUNITY_WOLSKI_curated_human---CM05,180,0.7277480798505003,2.404847447531351,1.1111111111111112e-4,0.0014222283890661855,0.0011319404380244352,238,"tags=28%, list=5%, signal=27%",Nusap1/Plk1/Cenpf/Prc1/Aurkb/Cenpe/Hmmr/Tpx2/Incenp/Ccnb1/Kif22/Cdca8/Ckap5/Aspm/Cdca3/Dlgap5/Birc5/Smc2/Tacc3/Kif15/Cdc20/Ndc80/Kif23/Racgap1/Spc24/Tmpo/Ccnb2/Hjurp/Cdkn3/Ccdc34/Cenpa/Rrm1/Tyms/Hmgn2/Rrm2/Cmtm7/Fbxo5/Ywhah/Tk1/Emp1/Rhoh/Klf2/Lig1/Gmnn/Swap70/Ifitm1/Pim1/Bptf/Spic/Glrx
2017_IMMUNITY_WOLSKI_curated_human---CM02,2017_IMMUNITY_WOLSKI_curated_human---CM02,123,0.6254358215006688,1.99125435689098,1.1655011655011655e-4,0.0014222283890661855,0.0011319404380244352,542,"tags=37%, list=12%, signal=34%",Kif11/Mki67/Ncapg/Ccna2/Cks2/Lmnb1/Stmn1/Ezh2/Hmgb2/Insl6/Gzmk/Anxa2/Crip1/Gzma/Ifngr1/Serpinb9/Lgals1/Arsb/Id2/Cxcr3/Ifitm1/Lgals3/Phlda1/Ahnak/Jakmip1/Ifng/Vim/Osbpl3/Slamf7/Ptms/Bhlhe40/Prkx/Sidt1/Rgs16/Anxa1/Klrk1/Prkd2/Klrc2/4932438A13Rik/Hopx/Runx2/Klrc1/Rilpl2/Prf1/Esm1/Hip1
2017_IMMUNITY_WOLSKI_curated_human---AM10,2017_IMMUNITY_WOLSKI_curated_human---AM10,83,0.8780318792852868,2.651287181270258,1.279754287176862e-4,0.0014222283890661855,0.0011319404380244352,166,"tags=55%, list=4%, signal=54%",Nusap1/Plk1/Cenpf/Prc1/Kif11/Aurkb/Cenpe/Hmmr/Tpx2/Incenp/Ccnb1/Kif22/Cdca8/Ckap5/Mki67/Ncapg/Aspm/Ccna2/Cdca3/Dlgap5/Birc5/Smc2/Tacc3/Kif15/Cdc20/Ndc80/Kif23/Racgap1/Spc24/Tmpo/Ccnb2/Cdkn3/Stmn1/Ezh2/Ccdc34/Cenpa/Rrm1/Tyms/Hmgn2/Rrm2/Fbxo5/Ywhah/Tk1/Tagln2/Klf2/Lig1
2017_IMMUNITY_WOLSKI_curated_human---controller_DEG_pepstim_up,2017_IMMUNITY_WOLSKI_curated_human---controller_DEG_pepstim_up,53,0.8276401830908952,2.348710842565567,1.3875398917718884e-4,0.0014222283890661855,0.0011319404380244352,215,"tags=53%, list=5%, signal=51%",Nusap1/Cenpf/Aurkb/Cenpe/Ncapg/Aspm/Ccna2/Dlgap5/Smc2/Cdc20/Cks2/Racgap1/Ccnb2/Cdkn3/Tubb5/Stmn1/Ccdc34/Hmgb2/Rrm1/Tyms/Rrm2/Dnmt1/Gzma/Ywhah/Dbi/Hnrnpab/Ran/Ifng
2017_IMMUNITY_WOLSKI_curated_human---controller_vs_progressor_pepstim_up,2017_IMMUNITY_WOLSKI_curated_human---controller_vs_progressor_pepstim_up,10,0.9231930183455663,1.9395840712871002,1.9234468166955183e-4,0.0015772263896903249,0.0012553021330012858,66,"tags=60%, list=1%, signal=59%",Nusap1/Aspm/Dlgap5/Cks2/Ccnb2/Lmnb1
2017_IMMUNITY_WOLSKI_curated_human---all.down_late,2017_IMMUNITY_WOLSKI_curated_human---all.down_late,15,0.8740839153456507,1.9854449226232684,3.562522265764161e-4,0.002434390214938843,0.001937512109450684,202,"tags=40%, list=4%, signal=38%",Nusap1/Smc4/Ezh2/Tyms/Rrm2/Elf4
2017_IMMUNITY_WOLSKI_curated_human---all.up_early,2017_IMMUNITY_WOLSKI_curated_human---all.up_early,10,0.8714978431358694,1.825021839348589,9.511128019783146e-4,0.005570803554444414,0.0044337589265154515,202,"tags=40%, list=4%, signal=38%",Nusap1/Ezh2/Dbi/Elf4
2017_IMMUNITY_WOLSKI_curated_human---chronic:resolver.up_early,2017_IMMUNITY_WOLSKI_curated_human---chronic:resolver.up_early,9,0.8684600115804001,1.7752408969205942,0.002938295788442703,0.015058765915768853,0.011985153873911027,253,"tags=44%, list=5%, signal=42%",Cdkn3/Tyms/Rrm2/Prkcq
2017_IMMUNITY_WOLSKI_curated_human---AM01,2017_IMMUNITY_WOLSKI_curated_human---AM01,26,-0.584135573765014,-1.8423197008107721,0.0036649214659685864,0.016695753344968003,0.013288019350295461,841,"tags=46%, list=18%, signal=38%",Zfp451/Parp8/Rdh10/Rnf146/Pnpla8/Bbx/Brwd1/Zfp664/Zcchc7/Zbtb44/Rbbp6/Tpt1
2017_IMMUNITY_WOLSKI_curated_human---AM05,2017_IMMUNITY_WOLSKI_curated_human---AM05,87,0.4849930901822187,1.4789565297406995,0.034662691017517705,0.1421170331718226,0.11310983384663673,695,"tags=37%, list=15%, signal=32%",Insl6/Gzma/Emp1/Dapk2/Nkg7/Cxcr3/Phlda1/Ahnak/Ifng/1700025G04Rik/Slamf7/Bhlhe40/Rgs1/Prkx/Sytl2/Anxa1/Klrk1/Klrc2/Hopx/Runx2/Klrc1/Stard10/Casp1/Gimap7/Rilpl2/Chpt1/Prf1/Esm1/Klrg1/Ccl5/Chsy1/Plek
2017_IMMUNITY_WOLSKI_curated_human---escape:resolver.up_early,2017_IMMUNITY_WOLSKI_curated_human---escape:resolver.up_early,6,-0.673816149305764,-1.3861930272254446,0.10090302316450726,0.36312686935563493,0.2890098318363205,265,"tags=33%, list=6%, signal=31%",Akap11/Tcf7
2017_IMMUNITY_WOLSKI_curated_human---escape.up_early,2017_IMMUNITY_WOLSKI_curated_human---escape.up_early,12,-0.5407572190244451,-1.3799375087519374,0.10868153279930721,0.36312686935563493,0.2890098318363205,606,"tags=42%, list=13%, signal=36%",Cd83/Sos2/Junb/Nfkb1/Ccr7
2017_IMMUNITY_WOLSKI_curated_human---chronic.up_late,2017_IMMUNITY_WOLSKI_curated_human---chronic.up_late,10,0.7013823381437333,1.4714540018815951,0.11513778784446961,0.36312686935563493,0.2890098318363205,253,"tags=30%, list=5%, signal=28%",Cdkn3/Dbi/Prkcq
2017_IMMUNITY_WOLSKI_curated_human---progressor_DEG_pepstim_up,2017_IMMUNITY_WOLSKI_curated_human---progressor_DEG_pepstim_up,24,0.5490427030782191,1.340878108036947,0.15533506831489916,0.45490984292220465,0.36205918178660706,297,"tags=29%, list=6%, signal=27%",Cdkn3/Tyms/Rrm2/Dbi/Ifng/Dusp5/Trib1
2017_IMMUNITY_WOLSKI_curated_human---chronic:escape.up_early,2017_IMMUNITY_WOLSKI_curated_human---chronic:escape.up_early,15,0.6010869729588687,1.3586250020500243,0.17191671115856913,0.46990567716675563,0.37399424883618554,112,"tags=13%, list=2%, signal=13%",Smc4/Ifngr1
2017_IMMUNITY_WOLSKI_curated_human---chronic.up_early,2017_IMMUNITY_WOLSKI_curated_human---chronic.up_early,7,0.6777267851854086,1.3266039339350784,0.22375915378356387,0.5598493256650859,0.4455796943675909,55,"tags=14%, list=1%, signal=14%",Tmpo
2017_IMMUNITY_WOLSKI_curated_human---resolver.up_late,2017_IMMUNITY_WOLSKI_curated_human---resolver.up_late,4,-0.6587282829734831,-1.2017265999565052,0.23213264722698684,0.5598493256650859,0.4455796943675909,189,"tags=50%, list=4%, signal=48%",Cd53/Lef1
2017_IMMUNITY_WOLSKI_curated_human---AM02,2017_IMMUNITY_WOLSKI_curated_human---AM02,115,0.35164073616291136,1.1067348204847214,0.3203560830860534,0.6462726707833314,0.5143633580047053,561,"tags=22%, list=12%, signal=20%",Cks2/Hmgb2/Gzmk/Anxa2/Crip1/Rhoh/Lgals1/Arsb/Fryl/Swap70/Lgals3/Jakmip1/Vim/Bptf/Osbpl3/Ptms/Atxn1/Grap2/4932438A13Rik/Cmklr1/Pfkfb2/Hip1/Dgka/Macf1/Atr
2017_IMMUNITY_WOLSKI_curated_human---all.down_early,2017_IMMUNITY_WOLSKI_curated_human---all.down_early,4,-0.6160584738643687,-1.1287343332819786,0.32510830664908646,0.6462726707833314,0.5143633580047053,1686,"tags=75%, list=36%, signal=48%",Tgfbrap1/Ids/Irs2
2017_IMMUNITY_WOLSKI_curated_human---AM03,2017_IMMUNITY_WOLSKI_curated_human---AM03,6,-0.5373415154856682,-1.1112804046585851,0.3467539973030245,0.6462726707833314,0.5143633580047053,1575,"tags=83%, list=34%, signal=55%",Ankrd12/Akap9/Rasa1/Zfp386/Prpf39
2017_IMMUNITY_WOLSKI_curated_human---CM06,2017_IMMUNITY_WOLSKI_curated_human---CM06,33,0.4271232218819555,1.1139809017760287,0.34744990892531874,0.6462726707833314,0.5143633580047053,288,"tags=15%, list=6%, signal=14%",Tubb5/Tagln2/Psap/Sertad1/Cspp1
2017_IMMUNITY_WOLSKI_curated_human---all.up_late,2017_IMMUNITY_WOLSKI_curated_human---all.up_late,9,0.5507952871344833,1.1376653987720349,0.35109966316623736,0.6462726707833314,0.5143633580047053,55,"tags=11%, list=1%, signal=11%",Tmpo
2017_IMMUNITY_WOLSKI_curated_human---AM11,2017_IMMUNITY_WOLSKI_curated_human---AM11,39,-0.3030696039121281,-1.0591337672846965,0.36770428015564205,0.6462726707833314,0.5143633580047053,1646,"tags=51%, list=35%, signal=33%",F10/Plbd1/Hp/Pilra/Sirpa/Igsf6/Cxcl2/Rnase6/Lmo2/Tgfbi/H2-Eb1/H2-Aa/Ly86/Cybb/H2-Ab1/Cd74/Tyrobp/Grn/Ctsz/Zfp329
2017_IMMUNITY_WOLSKI_curated_human---resolver.up_early,2017_IMMUNITY_WOLSKI_curated_human---resolver.up_early,9,-0.4547647624847469,-1.0674781791022625,0.39818731117824774,0.6462726707833314,0.5143633580047053,594,"tags=33%, list=13%, signal=29%",Timp2/Cflar/Lef1
2017_IMMUNITY_WOLSKI_curated_human---progressor_vs_controller_pepstim_up,2017_IMMUNITY_WOLSKI_curated_human---progressor_vs_controller_pepstim_up,34,-0.3043824384757649,-1.0192087459398576,0.4320950965824666,0.6462726707833314,0.5143633580047053,1553,"tags=53%, list=33%, signal=36%",Zfp629/Otud1/Tlr6/Dpep2/H2-Aa/Kbtbd11/App/Basp1/Cd74/Ikzf2/Usp36/Thra/Cd274/Cd83/Timp2/Crim1/Aldh2/Chd9
2017_IMMUNITY_WOLSKI_curated_human---AM06,2017_IMMUNITY_WOLSKI_curated_human---AM06,19,0.43408191469066876,1.0242010967797979,0.45899379738111645,0.6462726707833314,0.5143633580047053,387,"tags=26%, list=8%, signal=24%",Ifngr1/Chd7/Snx18/Tnfaip3/Slamf1
2017_IMMUNITY_WOLSKI_curated_human---controller_DEG_pepstim_down,2017_IMMUNITY_WOLSKI_curated_human---controller_DEG_pepstim_down,17,0.43864703219912715,1.0101928876789275,0.4717671662600209,0.6462726707833314,0.5143633580047053,351,"tags=24%, list=8%, signal=22%",Rasgrp2/Klf2/Ctsd/Sik1
2017_IMMUNITY_WOLSKI_curated_human---AM13,2017_IMMUNITY_WOLSKI_curated_human---AM13,3,0.5950236733815688,0.9851879314543107,0.4891755958889132,0.6462726707833314,0.5143633580047053,180,"tags=67%, list=4%, signal=64%",Rcn3/Sit1
2017_IMMUNITY_WOLSKI_curated_human---AM08,2017_IMMUNITY_WOLSKI_curated_human---AM08,2,-0.6540284640700698,-1.0002748879959866,0.4907512268780672,0.6462726707833314,0.5143633580047053,181,"tags=50%, list=4%, signal=48%",Crtam
2017_IMMUNITY_WOLSKI_curated_human---escape:resolver.up_late,2017_IMMUNITY_WOLSKI_curated_human---escape:resolver.up_late,8,-0.4343314943124578,-0.9799009205426417,0.5061529150695986,0.6462726707833314,0.5143633580047053,921,"tags=50%, list=20%, signal=40%",Phf1/Timp2/Junb/Tcf7
2017_IMMUNITY_WOLSKI_curated_human---escape.up_late,2017_IMMUNITY_WOLSKI_curated_human---escape.up_late,8,-0.4264082721406484,-0.9596012461982387,0.5288421920065925,0.6462726707833314,0.5143633580047053,1411,"tags=50%, list=30%, signal=35%",Adpgk/Rybp/Zfp451/Nfkb1
2017_IMMUNITY_WOLSKI_curated_human---chronic:resolver.up_late,2017_IMMUNITY_WOLSKI_curated_human---chronic:resolver.up_late,3,-0.5779863002107266,-0.9755622957504854,0.529014598540146,0.6462726707833314,0.5143633580047053,1437,"tags=100%, list=31%, signal=69%",Vipr1/Klhl7
2017_IMMUNITY_WOLSKI_curated_human---AM09,2017_IMMUNITY_WOLSKI_curated_human---AM09,17,0.41005200170434264,0.9399108031351787,0.5458216292134831,0.6462726707833314,0.5143633580047053,64,"tags=12%, list=1%, signal=12%",Bub3/Tubb5
