ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
2017_IMMUNITY_WOLSKI_curated_human---CM02,2017_IMMUNITY_WOLSKI_curated_human---CM02,123,-0.547073120069592,-2.02777975764625,1.967729240456513e-4,0.001373534338358459,0.0011637133033588999,403,"tags=34%, list=9%, signal=32%",Vim/Ahnak/Havcr2/Phlda1/Ccl3/Cxcr3/Prf1/Anxa1/Arap2/Tbx21/Insl6/Slamf7/Sidt1/Jakmip1/Mgst2/Lmnb1/Ccr2/Ptms/Ccl5/Serpinb9/Ifng/Ggh/Lgals1/Klrg1/Id2/Ltb/Ccna2/Hmgb2/Hopx/Pglyrp1/Crip1/Esm1/Mki67/Cks2/Ncapg/Kif11/Stmn1/Ifngr1/Arsb/Gzma/Anxa2/Gzmk
2017_IMMUNITY_WOLSKI_curated_human---AM05,2017_IMMUNITY_WOLSKI_curated_human---AM05,87,-0.526449528354399,-1.8490702094595415,1.979414093428345e-4,0.001373534338358459,0.0011637133033588999,742,"tags=44%, list=16%, signal=37%",Plek/Wfikkn2/Sytl2/Sla/Chsy1/Bhlhe40/Cysltr2/Entpd1/Gem/Fyn/Golim4/Klrc1/Ahnak/Stard10/Phlda1/Ccl3/Fasl/Cxcr3/Prf1/Anxa1/Tbx21/Dapk2/Insl6/1700025G04Rik/Slamf7/Itgax/Ccl4/Ccr2/Rgs1/Ccl5/Ifng/Ggh/Klrg1/Gimap7/Hopx/Esm1/Nkg7/Gzma
2017_IMMUNITY_WOLSKI_curated_human---controller_DEG_pepstim_up,2017_IMMUNITY_WOLSKI_curated_human---controller_DEG_pepstim_up,53,-0.6414753117621002,-2.0841068906928806,1.984126984126984e-4,0.001373534338358459,0.0011637133033588999,258,"tags=43%, list=6%, signal=41%",Rrm2/Prf1/Ywhah/Tyms/Ifng/Aspm/Ccna2/Cdkn3/Hmgb2/Dlgap5/Smc2/Cks2/Ncapg/Ccnb2/Stmn1/Cdc20/Cenpe/Cenpf/Racgap1/Aurkb/Nusap1/Dbi/Gzma
2017_IMMUNITY_WOLSKI_curated_human---AM10,2017_IMMUNITY_WOLSKI_curated_human---AM10,83,-0.7700387145249343,-2.6925401453839157,1.998800719568259e-4,0.001373534338358459,0.0011637133033588999,260,"tags=48%, list=6%, signal=46%",Kif23/Rrm2/Lig1/Tagln2/Ywhah/Kif15/Cenpa/Tyms/Tmpo/Aspm/Cdca3/Ckap5/Plk1/Ccna2/Cdkn3/Cdca8/Spc24/Tacc3/Hmmr/Hmgn2/Dlgap5/Tpx2/Kif22/Mki67/Smc2/Ndc80/Incenp/Birc5/Ncapg/Kif11/Ccnb2/Prc1/Stmn1/Cdc20/Cenpe/Cenpf/Racgap1/Aurkb/Ccnb1/Nusap1
2017_IMMUNITY_WOLSKI_curated_human---CM05,2017_IMMUNITY_WOLSKI_curated_human---CM05,180,-0.5045238067142117,-1.962996558906251,1.999600079984003e-4,0.001373534338358459,0.0011637133033588999,291,"tags=23%, list=6%, signal=23%",Fgf13/C87436/Kif23/Rrm2/Chd7/Itgax/Lig1/Cmtm7/Ywhah/Kif15/Cenpa/Tyms/Hjurp/Tmpo/Aspm/Cdca3/Ckap5/Plk1/Cdkn3/Cdca8/Spc24/Tacc3/Hmmr/Hmgn2/Dlgap5/Tpx2/Kif22/Smc2/Ndc80/Incenp/Birc5/Ccnb2/Glrx/Prc1/Cdc20/Plac8/Cenpe/Cenpf/Racgap1/Aurkb/Ccnb1/Nusap1
2017_IMMUNITY_WOLSKI_curated_human---AM11,2017_IMMUNITY_WOLSKI_curated_human---AM11,39,0.6814921282002038,2.0988454045905165,2.0100502512562814e-4,0.001373534338358459,0.0011637133033588999,465,"tags=36%, list=10%, signal=33%",Ctsz/Marcks/H2-Ab1/Ly86/Cxcl9/Cd74/H2-Eb1/Ptgs2/H2-Aa/Ccrl2/Atf3/Aif1/Cybb/Gngt2
2017_IMMUNITY_WOLSKI_curated_human---controller_vs_progressor_pepstim_up,2017_IMMUNITY_WOLSKI_curated_human---controller_vs_progressor_pepstim_up,10,-0.855336443563159,-1.889132040233059,4.060913705583756e-4,0.002378535170413343,0.0020151902599137438,174,"tags=70%, list=4%, signal=68%",Lmnb1/Aspm/Klrg1/Dlgap5/Cks2/Ccnb2/Nusap1
2017_IMMUNITY_WOLSKI_curated_human---CM01,2017_IMMUNITY_WOLSKI_curated_human---CM01,108,-0.41433576611962014,-1.5088491057662723,0.006615878107457899,0.033906375300721735,0.02872683915080404,726,"tags=42%, list=16%, signal=36%",Ikzf3/Fgl2/Ptger4/Sytl2/Tnfaip3/Chsy1/Syt11/Cysltr2/Errfi1/Dgat1/Gem/Srgap3/Nsmaf/Isg15/Fyn/Mxi1/Rgs2/Golim4/Klrc1/Kbtbd11/Cmklr1/Rtp4/Stard10/Lef1/Aplp2/Lax1/Fasl/Apobec2/Itgam/Fcgrt/Dapk2/Ier3/Btg2/1700025G04Rik/Chd7/Ccl4/Capn2/Rcn3/Usp18/Ier2/Rgs1/Smc4/Gimap7/Eomes/Nkg7
2017_IMMUNITY_WOLSKI_curated_human---escape.up_early,2017_IMMUNITY_WOLSKI_curated_human---escape.up_early,12,0.6375804959078618,1.48403916097057,0.05345911949685535,0.24207906402151005,0.2050990786318314,227,"tags=33%, list=5%, signal=32%",Nfkb1/Cd83/Ccr7/Cxcr4
2017_IMMUNITY_WOLSKI_curated_human---all.down_late,2017_IMMUNITY_WOLSKI_curated_human---all.down_late,15,-0.5944143498054805,-1.4641914118943424,0.06433340076876391,0.24207906402151005,0.2050990786318314,694,"tags=47%, list=15%, signal=40%",Traf5/Ezh2/Entpd1/Rrm2/Smc4/Tyms/Nusap1
