ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
2017_NAT_Akondy---YFV_D14,2017_NAT_Akondy---YFV_D14,185,-0.8412808184540191,-2.860007489749478,1.4334862385321102e-4,0.005160550458715597,0.003772332206663448,238,"tags=45%, list=5%, signal=44%",Slamf6/Pycard/Kif11/Kif23/Apobec3/Cdk1/Ccnb1/Racgap1/Ctla4/Hjurp/Cdkn3/Tpx2/Knl1/Dlgap5/Cd160/Ndc80/Cdc20/Hmmr/Ncapg/Cenpa/Casp3/Lgals1/Cks2/Esco2/Anxa2/Atad2/Ccnb2/Dbi/Dnmt1/Ccdc34/1500009L16Rik/Mki67/Kif15/Cdca8/Actg1/Cdca3/Batf/Ywhah/Ezh2/Dynll1/Ccna2/Pdia6/Tubb5/Fbxo5/Hmgn2/Smc2/Dek/Mcm4/Spc24/Mt1/Lmnb1/Birc5/Mcm6/Hmgb2/Pcna/Slbp/Hnrnpab/Stmn1/Mcm7/Dtl/Nme1/Gapdh/Tk1/Mcm5/Clspn/Rrm1/Tyms/Mcm3/Snrpd1/Pgam1/Ccne1/Tipin/Nasp/Gmnn/Uhrf1/Dctpp1/Ranbp1/Tpi1/Hells/Pclaf/Ran/Rrm2/Fabp5
2018_SCI_IMMUNOL_Patil---CD4_TCM,2018_SCI_IMMUNOL_Patil---CD4_TCM,152,0.4851229022586448,1.8178780313742056,3.2102728731942215e-4,0.005778491171749599,0.004224043254202924,1070,"tags=45%, list=23%, signal=36%",Btg1/Junb/Btg2/Foxp1/Txk/Ltb/Ablim1/Arhgap15/Malt1/Satb1/Itpkb/Sell/Arhgef18/Peli1/Ccr2/Cd7/Bcl2/Lef1/Tcf7/Chd7/Dock10/Gimap8/Dgka/Fos/Heca/Tespa1/Ssbp2/Hivep2/Klhl6/Maml2/Ipcef1/Pbxip1/Acss2/Ccr7/Hpcal1/Numa1/Nfic/App/Sgk1/Gabbr1/Trat1/Cd55/Gpr171/Egr1/Setd7/Dusp1/Lgals9/Fcgrt/Tnfsf10/Sik1/Gprin3/Ldlrap1/Ifngr2/Cd28/Tab2/Irs2/Zeb1/Cyld/Rgmb/Pag1/Sesn1/Csrnp1/Prkca/Gpr183/Ranbp10/Itga6/Grap/Mtm1
2020_NAT_IMMUNOL_Hayward---Lung_Vasculature_TRM,2020_NAT_IMMUNOL_Hayward---Lung_Vasculature_TRM,54,0.5683124158298971,1.7978196954100394,0.0014360938247965534,0.013261296660117878,0.009693930307103712,922,"tags=59%, list=20%, signal=48%",Klf3/Ier2/S1pr1/Kdm7a/Vps37b/Tcp11l2/Rap1gap2/Gramd3/Gtf2i/Ugcg/Irf7/Rnf138/Zc3hav1/Klrk1/Lamb3/Hid1/Pde2a/Rora/Arap2/Lyst/Xdh/Ypel5/Sgk1/Nfatc3/Rap1b/Tagap/Fbxw7/Baiap3/Pxylp1/Pik3r5/Klrc1/Kcnj8
2019_EJI_Remmerswaal---DP,2019_EJI_Remmerswaal---DP,53,0.5476999765614727,1.7130427649344826,0.0014734774066797642,0.013261296660117878,0.009693930307103712,803,"tags=34%, list=17%, signal=28%",Btg1/Zfp36/Ier5/Ier2/Fosl2/Id2/Cyth1/Tob2/Mylip/Lats2/Gigyf1/Igfbp4/Cerk/Rnf125/Setd7/Ctsh/Dusp2/Sik1
2019_EJI_Remmerswaal---MP,2019_EJI_Remmerswaal---MP,30,0.6429685172071257,1.7955624774971768,0.0023928649118990647,0.017228627365673266,0.01259402585210034,626,"tags=40%, list=13%, signal=35%",Tpt1/Klf2/Itpkb/Ankrd12/Bcl2/Jund/Rps16/Rpl23/Rpl39/Gimap1/Cd55/Phldb3
2017_IMMUNITY_WOLSKI---chronic_early_vs_late_up,2017_IMMUNITY_WOLSKI---chronic_early_vs_late_up,5,-0.9158243850418637,-1.641205661237074,0.008682101513802316,0.05209260908281389,0.03807939260439613,197,"tags=60%, list=4%, signal=58%",Ctla4/Tyms/Rrm2
2014_IMMUNITY_Gaiha---HIV-EC_vs_HIV-CP_up,2014_IMMUNITY_Gaiha---HIV-EC_vs_HIV-CP_up,10,-0.7979681999046946,-1.6205204654222325,0.0190536013400335,0.09798994974874373,0.07163008022568985,340,"tags=50%, list=7%, signal=46%",Aspm/Dlgap5/Cks2/Ccnb2/Lmnb1
2015_PLOA_PATHOGENS_Gupta---CD39pos_vs_CD39neg_up,2015_PLOA_PATHOGENS_Gupta---CD39pos_vs_CD39neg_up,57,-0.514868770108617,-1.4759215868274147,0.03395528660279039,0.13690007867820614,0.10007315692851326,262,"tags=16%, list=6%, signal=15%",Icos/Myb/Ctla4/Pdcd1/Tacc3/Srm/Npm1/Mcm5/Ccne1
2019_JCI_Tian---DENV-TEMRA_vs_DENV-TEM_up,2019_JCI_Tian---DENV-TEMRA_vs_DENV-TEM_up,16,0.6323008837153563,1.5285895082365606,0.034225019669551535,0.13690007867820614,0.10007315692851326,1474,"tags=75%, list=32%, signal=51%",Cd52/Klf3/Mbnl2/Wdfy1/Inpp1/Gpr174/Mtm1/Camkmt/Stam/Tmem116/Rbak/Prkacb
2017_IMMUNITY_WOLSKI---late_Resolver_vs_Chronic_dn,2017_IMMUNITY_WOLSKI---late_Resolver_vs_Chronic_dn,20,0.5891834061240603,1.4941356394370962,0.04181626187961985,0.13788331809533222,0.10079189919249433,921,"tags=45%, list=20%, signal=36%",Stk38/Prkcq/Herc1/Stat4/Fyco1/Ndel1/Rnf13/Arf4/Sidt2
