"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048018","receptor ligand activity","58/1121","489/22710",6.11673356472778e-10,6.11673356472778e-10,2.81550145404741e-07,"Il17a/Sema4c/Wnt10a/Nppc/Il19/Tnfsf4/Xcl1/Il1f6/Il1f9/Qrfp/Sema6d/Vegfd/Il21/Il12a/Csf1/Penk/Tnfsf8/Bmp8b/Fndc5/Nbl1/Cort/Areg/Cxcl10/Cxcl13/Spp1/Ccl24/Reg1/Ghrl/Pglyrp1/Ctf2/Pmch/Tnfsf13b/Ccl17/Lgals3/Tnfsf11/Apoa1/Sema7a/Tdgf1/Lif/Fgf18/Il13/Il5/Csf2/Wnt9a/Tnfsf12/Cxcl16/Ccl1/Wnt3/Sectm1a/Ccl28/Npff/Retnlg/Tff1/Cd70/Gal/Cntf/Rln1/Il33",58
"GO:0003779","actin binding","53/1121","428/22710",7.29802559712152e-10,7.29802559712152e-10,2.81550145404741e-07,"Dst/Map2/Tns1/Cdk5r2/Neb/Ermn/Ttn/Fmn1/Epb41l1/Tnnc2/Tmsb15b2/Trpc5/S100a4/Tmod4/Synpo2/Nexn/Tpm2/Espn/Limch1/Myo1h/Trpv4/Fscn1/Wipf3/Snca/Antxr1/Lmod3/Myh14/Myh7b/Cttn/Avil/Camsap3/Spire2/Synpo2l/Dmtn/Cnn1/Pknox2/Tln2/Myo1e/Tmod2/Pls1/Pdlim4/Myo15/Myh3/Myh10/Myo1c/Samd14/Tns4/Map1b/Sntg2/Clmn/Myh11/Synpo/Nrap",53
"GO:0005125","cytokine activity","33/1121","215/22710",6.69941826795192e-09,6.69941826795192e-09,1.7230433650557e-06,"Il17a/Il19/Tnfsf4/Xcl1/Il1f6/Il1f9/Il21/Il12a/Csf1/Tnfsf8/Bmp8b/Areg/Cxcl10/Cxcl13/Spp1/Ccl24/Pglyrp1/Ctf2/Tnfsf13b/Ccl17/Tnfsf11/Lif/Il13/Il5/Csf2/Tnfsf12/Cxcl16/Ccl1/Sectm1a/Ccl28/Cd70/Cntf/Il33",33
"GO:0005518","collagen binding","16/1121","69/22710",1.80235934341878e-07,1.80235934341878e-07,2.95264812362624e-05,"Podn/Antxr1/Spock2/Lum/Adgrg1/Mmp12/Pcolce2/Itga9/Aebp1/Sparc/Itga3/Mrc2/Nid1/Aspn/Coch/Chadl",16
"GO:0051015","actin filament binding","29/1121","200/22710",1.91338043481919e-07,1.91338043481919e-07,2.95264812362624e-05,"Neb/Ermn/Ttn/Tnnc2/Tmod4/Nexn/Tpm2/Espn/Trpv4/Fscn1/Wipf3/Antxr1/Myh14/Myh7b/Cttn/Avil/Camsap3/Dmtn/Pknox2/Tln2/Myo1e/Pls1/Myh3/Myh10/Myo1c/Samd14/Clmn/Myh11/Nrap",29
"GO:0050840","extracellular matrix binding","14/1121","59/22710",7.77872865378679e-07,7.77872865378679e-07,0.000100031721109223,"Olfml2a/Spp1/Zan/Bcam/Adgrg6/Spock2/Itga7/Adgrg1/Lgals3/Itga9/Sparc/Itga3/Nid1/Smoc1",14
"GO:0019955","cytokine binding","21/1121","129/22710",1.36877216436539e-06,1.36877216436539e-06,0.000150873683681177,"Il1rl1/Tnfrsf11a/Il12a/Nbl1/Tnfrsf9/Kit/Il23r/Fzd4/Il20ra/Cd109/Ccr8/Ccr9/Il9r/Tcap/Ccr10/Sostdc1/Vasn/Ccr6/Twsg1/Ltbp1/Ltbp3",21
"GO:0005516","calmodulin binding","25/1121","190/22710",7.74460843868655e-06,7.74460843868655e-06,0.000746947103362795,"Kcnq5/Map2/Grin1/Ttn/Rem1/Pnck/Cth/Trpv4/Nos1/Atp2b2/Cacna1c/Myh14/Tjp1/Map6/Camsap3/Cnn1/Nrgn/Myo1e/Aebp1/Myh3/Myh10/Myo1c/Sphk1/Myh11/Syt7",25
"GO:0008017","microtubule binding","28/1121","239/22710",2.08917398463982e-05,2.08917398463982e-05,0.00179106962659765,"Dst/Map2/Dnm3/Cfap157/Fmn1/Bcl2l11/Prnp/Mid2/Map9/S100a8/Cgn/Sgip1/Trpv4/Snca/Clip3/Saxo2/Map6/Gli1/Camsap3/Cryab/Fam161a/Eml6/Kif19a/Cep295nl/Kif13a/Map1b/Eml1/Ndrg1",28
"GO:0015631","tubulin binding","35/1121","336/22710",2.71026083022971e-05,2.71026083022971e-05,0.00209118019848251,"Dst/Map2/Dnm3/Cfap157/Fmn1/Bcl2l11/Prnp/Bex4/Mid2/Map9/S100a8/Cgn/Pifo/Ttll7/Sgip1/Trpv4/Snca/Clip3/Ndn/Saxo2/Map6/Gli1/Camsap3/Sncg/Cryab/Fam161a/Eml6/Kif19a/Cep295nl/Kif13a/Sncb/Map1b/Eml1/Ndrg1/Trim36",35
