"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030246","carbohydrate binding","51/1546","270/22710",2.45853203353667e-11,2.45853203353667e-11,2.11174962038518e-08,"Sbspon/Prg4/Sell/Selp/Cd34/Mrc1/Fcna/Eng/Cd302/Prg2/Siglec1/Cd93/Chil3/Alpk1/P3h1/Plod3/Clec5a/Clec4a2/Clec4n/Clec4d/Clec4e/P3h3/Klrb1a/Clec2g/Clec12a/Clec1b/Clec9a/Olr1/Klra4/Klra1/Klra2/Mag/Siglecg/Cd33/Siglece/Clec11a/P4ha3/Tinagl1/Fcer2a/Ncan/Nectin1/P4ha2/Mgl2/Galk1/Gaa/Hk3/Vcan/Pygl/Galnt16/Endou/Krt1",51
"GO:0038024","cargo receptor activity","21/1546","84/22710",1.39649596099727e-07,1.39649596099727e-07,4.04554272308501e-05,"Sbspon/Marco/Prg4/Mrc1/Cd5l/Scarb1/Tfr2/Olr1/Ssc5d/Lsr/Tinagl1/Stab2/Lrp1/Msr1/Tmprss4/Cxcl16/Scarf1/Endou/Scarf2/Fpr2/Tmprss3",21
"GO:0050839","cell adhesion molecule binding","40/1546","241/22710",1.41296528931278e-07,1.41296528931278e-07,4.04554272308501e-05,"Sell/Nectin4/Acvr1/Ctnnd1/Thbs1/Frmd5/Il1b/Tenm1/Nlgn3/Itgb1bp2/Vcam1/Lyn/Ctnnal1/Kdr/Spp1/Gpnmb/Ptpro/Nectin2/Cdhr5/Tspan4/Ccn6/Igf1/Fgfr1/Cdh11/Icam4/Icam5/Nectin1/Cadm1/Nlgn2/Cldn7/Jup/Itgb4/Tgfbi/Akap5/Ctnnd2/Ptk2/Itgb5/Nectin3/Dsg2/Shtn1",40
"GO:0005044","scavenger receptor activity","14/1546","45/22710",9.7303268443648e-07,9.7303268443648e-07,0.000208945965921097,"Sbspon/Marco/Prg4/Cd5l/Ssc5d/Tinagl1/Stab2/Msr1/Tmprss4/Cxcl16/Scarf1/Endou/Scarf2/Tmprss3",14
"GO:0005539","glycosaminoglycan binding","33/1546","208/22710",4.67515372676762e-06,4.67515372676762e-06,0.000803142198114185,"Cfh/Selp/Eng/Mdk/Lgr4/Thbs1/Sulf2/Bmp7/Tlr2/Thbs3/Rspo1/Jchain/Tgfbr3/Pcolce/Gpnmb/Nav2/Ccn6/Prss57/Stab2/Fgfr1/Lpl/Ncan/Nod2/Ang/Col5a3/C1qbp/Ccl2/Hapln1/Vcan/App/Vegfa/Trem2/Mamdc2",33
"GO:0019838","growth factor binding","26/1546","147/22710",6.40949078002073e-06,6.40949078002073e-06,0.000917569206402968,"Il1r2/Eng/Acvr1/Thbs1/Sort1/Il11ra1/Csf3r/Fgfr3/Kdr/Tgfbr3/Pdgfa/Ccn6/Htra4/Fgfr1/Acvr2b/Erbb2/Hap1/Itgb4/Nkd2/Tgfb3/Lifr/Acvrl1/Igfbp6/Wfikkn1/Vegfa/Ltbp1",26
"GO:0003779","actin binding","52/1546","428/22710",3.59134627137855e-05,3.59134627137855e-05,0.00327076643374216,"Cdk5r2/Nebl/Fmnl2/Mybpc3/Snta1/Tnnc2/Pls3/Fhdc1/Cnn3/Tpm2/Ctnnal1/Myo1h/Fscn1/Baiap2l1/Fscn3/Mical3/Eps8/Tnni3/Sptbn4/Myo7a/Tnni2/Marcks/Wasf1/Pawr/Palld/Nod2/Spire2/Myoz1/Tnnc1/Ang/Tmod2/Dag1/Ccdc88a/Myo15/Ace/Klhl3/Jmy/Akap5/Sptb/Mtss1/Ptk2/Lrrk2/Lima1/Mefv/Fgd4/Tagln3/Aif1/Prickle4/Spire1/Pstpip2/Actn3/Shtn1",52
"GO:0050431","transforming growth factor beta binding","8/1546","21/22710",4.1323878487697e-05,4.1323878487697e-05,0.00327076643374216,"Eng/Acvr1/Thbs1/Tgfbr3/Tgfb3/Acvrl1/Wfikkn1/Ltbp1",8
"GO:0048018","receptor ligand activity","57/1546","489/22710",5.05465884359889e-05,5.05465884359889e-05,0.00327076643374216,"Wnt10a/Nppc/Cdnf/Mdk/Il1b/Jag1/Bmp7/Il21/Prok1/Fndc5/Uts2/C1qtnf12/Hgf/Cxcl2/Spp1/Ccl24/Pdgfa/Gpnmb/Bmp10/Clec11a/Sema4b/Calca/Il27/Ccn6/Nodal/Fgf22/Igf1/Inhbe/Il23a/Tnfsf13b/Crlf1/Gdf15/Il15/Rln3/Osgin1/Bmp1/Trh/Tdgf1/Fgf18/Gdf9/Csf2/Tnfsf12/Cxcl16/Ccl2/Ccl1/Ccl9/Tac4/Sectm1a/Edn1/Tgfb3/Jag2/Tg/Vegfa/Ebi3/Pspn/Cdc42ep2/Sema4g",57
"GO:0008083","growth factor activity","24/1546","147/22710",5.55592204603699e-05,5.55592204603699e-05,0.00327076643374216,"Cdnf/Mdk/Bmp7/Prok1/Hgf/Pdgfa/Bmp10/Clec11a/Ccn6/Nodal/Fgf22/Igf1/Inhbe/Gdf15/Osgin1/Bmp1/Tdgf1/Fgf18/Gdf9/Csf2/Tgfb3/Jag2/Vegfa/Pspn",24
