"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035458","cellular response to interferon-beta","21/2498","46/23210",2.06375289844747e-09,2.06375289844747e-09,6.02295506033654e-06,"Stat1/Aim2/Ifi208/Gbp2/Gbp3/Gbp6/Acod1/Irgm1/Gm5431/Gm12185/Tgtp1/Tgtp2/Ifi47/Igtp/Irgm2/Gm4951/Gm4841/F830016B08Rik/Iigp1/Ifit3/Ifit1",21
"GO:0044782","cilium organization","72/2498","327/23210",2.37025986218712e-09,2.37025986218712e-09,6.02295506033654e-06,"Armc9/Vangl2/Wdr34/Gsn/Ttc30b/Ttc30a2/Ttc30a1/Ocrl/Cdkl5/Bbs7/Sclt1/Ift80/Fnbp1l/Odf2l/Ssx2ip/Kif24/Ift74/Hspb11/Dnali1/Kif17/Ift172/Htt/Cc2d2a/Ift81/Tctn2/Ift22/Cep41/Ift122/Dnaaf3/Ehd3/Ccdc114/Ccp110/Tbc1d32/Rfx4/Cep290/Rab3ip/Nek1/Ift88/Dzip1/Bbs9/Hyls1/Lca5/Zmynd10/Ttc21a/Pla2g3/Tmem17/Ccdc88a/Tmem107/Rilp/Nek8/Mks1/Lrrc46/Ptpdc1/Syne2/Fam161b/Ttc8/Wdr60/Spef2/Lrrc6/Rabl2/Cep19/Tctex1d2/Iqcg/Ift57/Wdr90/Dnah8/Rsph9/Ttbk2/Rfx2/Dync2li1/Cfap53/Cfap43",72
"GO:0035456","response to interferon-beta","23/2498","56/23210",4.50239361057731e-09,4.50239361057731e-09,7.62721275504114e-06,"Stat1/Ikbke/Aim2/Ifi208/Gbp2/Gbp3/Gbp6/Bst2/Acod1/Irgm1/Gm5431/Gm12185/Tgtp1/Tgtp2/Ifi47/Igtp/Irgm2/Gm4951/Gm4841/F830016B08Rik/Iigp1/Ifit3/Ifit1",23
"GO:0034660","ncRNA metabolic process","90/2498","467/23210",2.78318737630201e-08,2.78318737630201e-08,2.89447416053698e-05,"Wdr75/Wdr12/Utp14b/Tsen15/Rrp15/Utp25/Rpp38/Rpl35a/Rpl35/Polr1b/Cdk5rap1/Mocs3/Rps21/Dkc1/Tsr2/Tdrkh/Celf3/Gar1/Tyw3/Mdn1/Nol6/Elp1/Rps8/Mrto4/Pusl1/Pus7/Rpl5/Nsun5/Polr1a/Tsen2/Cd3eap/Rps19/Fbl/Rps16/Tdrd12/Myod1/Tarsl2/Isg20/Rps17/Ears2/Rpf2/Smarcb1/Pwp2/Utp20/Mettl1/Trmu/Trmt1/Tarbp1/Rpp14/Rps24/Ang/Piwil2/Dis3/Ice2/Nudt16/Rrp9/Dalrd3/Trp53/Mettl16/Tsr1/Mrm3/Slfn8/Mrm1/Ints2/Mettl2/Ftsj3/Heatr1/Rpp40/Nsun2/Rps7/Dus4l/Trmt61a/Drosha/Bcdin3d/Qtrt2/Urb1/Wdr4/Rps28/Wdr46/Vars/Vars2/Aars2/Ddx11/Thumpd2/Thada/Srfbp1/Wdr74/Rcl1/Pdcd11/Trub1",90
"GO:0042254","ribosome biogenesis","64/2498","294/23210",2.84771173623668e-08,2.84771173623668e-08,2.89447416053698e-05,"Wdr75/Nop58/Wdr12/Fastkd2/Utp14b/Rrp15/Utp25/Rpp38/Surf6/Rpl12/Rpl35a/Rpl35/Rpl3/Rps21/Rpl10/Dkc1/Tsr2/Gar1/Mdn1/Nol6/Rps8/Gnl2/Mrto4/Sdad1/Rpl5/Nsun5/Rps19/Fbl/Rps16/Isg20/Rps17/Rpf2/Pwp2/Utp20/Abce1/Nip7/Rps24/Ipo4/Dis3/Ppan/Rps25/Rrp9/C1qbp/Mybbp1a/Mettl16/Tsr1/Mrm3/Nle1/Mrm1/Pak1ip1/Ftsj3/Heatr1/Rpp40/Nop16/Rps7/Drosha/Urb1/Rps2/Rps28/Wdr46/Srfbp1/Wdr74/Rcl1/Pdcd11",64
"GO:0016072","rRNA metabolic process","53/2498","230/23210",6.15586121804238e-08,6.15586121804238e-08,5.06680049759879e-05,"Wdr75/Wdr12/Utp14b/Rrp15/Utp25/Rpp38/Rpl35a/Rpl35/Polr1b/Rps21/Dkc1/Tsr2/Gar1/Mdn1/Nol6/Rps8/Mrto4/Rpl5/Nsun5/Polr1a/Cd3eap/Rps19/Fbl/Rps16/Isg20/Rps17/Rpf2/Smarcb1/Pwp2/Utp20/Rps24/Ang/Dis3/Rrp9/Trp53/Mettl16/Tsr1/Mrm3/Slfn8/Mrm1/Ftsj3/Heatr1/Rpp40/Rps7/Drosha/Urb1/Rps28/Wdr46/Ddx11/Srfbp1/Wdr74/Rcl1/Pdcd11",53
"GO:0033674","positive regulation of kinase activity","90/2498","476/23210",6.97891949234299e-08,6.97891949234299e-08,5.06680049759879e-05,"Ccnyl1/Xrcc5/Ralb/Map3k19/Pfkfb2/Dstyk/Vangl2/Nek6/Pdpk1/F2/Atg13/Thbs1/Rassf2/Sdc4/Maged1/Dlg3/Fgf2/Iqgap3/Tsacc/Il6ra/Magi3/Pifo/Pde5a/Egf/Nbn/Tal1/Fgr/Hgf/Tlr1/Tlr6/Kit/P2rx7/Ncf1/Flt1/Arhgef5/Snca/Ghrl/Ccnd2/Fzd4/Pak1/Arrb1/Gprc5b/Cd81/Ccnd1/Sash1/Mif/Il23a/Insr/Fgfr1/Acsl1/Nek1/Slc27a1/Nek4/Ang/Clu/Htr2a/Rgcc/Tirap/Stk4/Dag1/Tdgf1/Acvr2b/Ccdc88a/Rad50/Irgm2/Tom1l1/Ccr7/Axin2/Cd300a/Agtr1a/Map4k5/Map3k9/Tgfb3/Ighm/Ghr/Dab2/Angpt1/Ptk2/Xrcc6/Map3k12/Socs1/Snx9/Telo2/Fgd2/Ager/Ttbk1/Map4k3/Cd74/Pdgfrb/Adra2a",90
"GO:0042073","intraciliary transport","19/2498","46/23210",8.8565548940653e-08,8.8565548940653e-08,5.57662216505147e-05,"Wdr34/Ttc30b/Ttc30a2/Ttc30a1/Ift80/Ssx2ip/Ift74/Hspb11/Kif17/Ift172/Ift81/Ift22/Ift122/Ift88/Lca5/Ttc21a/Tctex1d2/Ift57/Dync2li1",19
"GO:0034470","ncRNA processing","70/2498","343/23210",9.87574969163009e-08,9.87574969163009e-08,5.57662216505147e-05,"Wdr75/Wdr12/Utp14b/Tsen15/Rrp15/Utp25/Rpp38/Rpl35a/Rpl35/Cdk5rap1/Mocs3/Rps21/Dkc1/Tsr2/Gar1/Tyw3/Mdn1/Nol6/Elp1/Rps8/Mrto4/Pusl1/Pus7/Rpl5/Nsun5/Tsen2/Rps19/Fbl/Rps16/Isg20/Rps17/Rpf2/Pwp2/Utp20/Mettl1/Trmu/Trmt1/Tarbp1/Rpp14/Rps24/Dis3/Rrp9/Mettl16/Tsr1/Mrm3/Mrm1/Ints2/Mettl2/Ftsj3/Heatr1/Rpp40/Nsun2/Rps7/Dus4l/Trmt61a/Drosha/Bcdin3d/Qtrt2/Urb1/Wdr4/Rps28/Wdr46/Aars2/Thumpd2/Thada/Srfbp1/Wdr74/Rcl1/Pdcd11/Trub1",70
"GO:0060271","cilium assembly","63/2498","299/23210",1.28453404361815e-07,1.28453404361815e-07,6.52813722377732e-05,"Armc9/Vangl2/Wdr34/Gsn/Ocrl/Cdkl5/Bbs7/Sclt1/Ift80/Fnbp1l/Odf2l/Ssx2ip/Kif24/Ift74/Dnali1/Ift172/Htt/Cc2d2a/Ift81/Tctn2/Cep41/Ift122/Dnaaf3/Ehd3/Ccdc114/Ccp110/Tbc1d32/Rfx4/Cep290/Rab3ip/Nek1/Ift88/Dzip1/Bbs9/Hyls1/Zmynd10/Pla2g3/Tmem17/Ccdc88a/Tmem107/Rilp/Nek8/Mks1/Lrrc46/Ptpdc1/Syne2/Ttc8/Wdr60/Spef2/Lrrc6/Rabl2/Cep19/Tctex1d2/Iqcg/Ift57/Wdr90/Dnah8/Rsph9/Ttbk2/Rfx2/Dync2li1/Cfap53/Cfap43",63
