"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0020003","symbiont-containing vacuole","8/1502","14/23436",5.92217888762346e-07,5.92217888762346e-07,0.000157034371154854,"Gbp2/Gbp8/Gbp9/Gbp3/Gbp10/Gbp6/Irgm2/Iigp1",8
"GO:0042611","MHC protein complex","10/1502","23/23436",6.00332606024593e-07,6.00332606024593e-07,0.000157034371154854,"B2m/H2-D1/H2-K1/H2-Q10/H2-Q2/H2-T23/H2-Oa/H2-DMa/H2-Ob/H2-Q4",10
"GO:0065010","extracellular membrane-bounded organelle","8/1502","16/23436",2.25978777784989e-06,2.25978777784989e-06,0.00027269555642582,"Gbp2/Gbp8/Gbp9/Gbp3/Gbp10/Gbp6/Irgm2/Iigp1",8
"GO:0020005","symbiont-containing vacuole membrane","7/1502","12/23436",2.60624525759084e-06,2.60624525759084e-06,0.00027269555642582,"Gbp2/Gbp8/Gbp9/Gbp3/Gbp10/Gbp6/Iigp1",7
"GO:0042612","MHC class I protein complex","7/1502","12/23436",2.60624525759084e-06,2.60624525759084e-06,0.00027269555642582,"B2m/H2-D1/H2-K1/H2-Q10/H2-Q2/H2-T23/H2-Q4",7
"GO:0030430","host cell cytoplasm","8/1502","17/23436",4.02796218219087e-06,4.02796218219087e-06,0.00030103717361637,"Gbp2/Gbp8/Gbp9/Gbp3/Gbp10/Gbp6/Irgm2/Iigp1",8
"GO:0033655","host cell cytoplasm part","8/1502","17/23436",4.02796218219087e-06,4.02796218219087e-06,0.00030103717361637,"Gbp2/Gbp8/Gbp9/Gbp3/Gbp10/Gbp6/Irgm2/Iigp1",8
"GO:0033646","host intracellular part","8/1502","20/23436",1.75437884371069e-05,1.75437884371069e-05,0.0010197968249406,"Gbp2/Gbp8/Gbp9/Gbp3/Gbp10/Gbp6/Irgm2/Iigp1",8
"GO:0043656","intracellular region of host","8/1502","20/23436",1.75437884371069e-05,1.75437884371069e-05,0.0010197968249406,"Gbp2/Gbp8/Gbp9/Gbp3/Gbp10/Gbp6/Irgm2/Iigp1",8
"GO:0019898","extrinsic component of membrane","40/1502","314/23436",2.65916368552909e-05,2.65916368552909e-05,0.00139116247548206,"Coq8a/Bcl2l11/Src/Srms/Syt6/Pik3r3/Cnr2/Vps13d/Pik3cd/Yes1/Jakmip1/Cnksr2/Ncf1/Cyth3/Gramd1a/Art2b/Pik3c2a/Matk/Stac3/Gnao1/Syt15/Atg14/Snx33/Myzap/Tdgf1/Hid1/Socs3/Cyth1/Tepsin/Numb/Esyt2/Micall1/Arsa/Ppl/Socs1/Fer/Socs5/Smad7/Atg2a/Psd",40
"GO:0033643","host cell part","8/1502","22/23436",3.96735895765249e-05,3.96735895765249e-05,0.00188686832722803,"Gbp2/Gbp8/Gbp9/Gbp3/Gbp10/Gbp6/Irgm2/Iigp1",8
"GO:0005797","Golgi medial cisterna","8/1502","23/23436",5.74213719536767e-05,5.74213719536767e-05,0.00250337033868222,"Nucb2/Hid1/St6gal1/H2-D1/H2-K1/H2-Q10/H2-Q2/H2-Q4",8
