"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050900","leukocyte migration","78/1617","340/23210",2.92943908095548e-21,2.92943908095548e-21,1.16591675422028e-17,"Cxcr2/Cxcr1/Gpr35/Sell/Selp/Fcgr3/Slamf8/Il1f6/Il1f9/Thbs1/Il1b/Sirpa/Plcb1/Rabgef1/Lbp/Mmp9/Tlr2/S100a8/S100a9/Ecm1/Vcam1/Ccl19/Artn/Csf3r/Ptafr/Cnr2/Tnfrsf14/Ppbp/Pf4/Cxcl2/Cxcl9/Spp1/Cmklr1/Arhgef5/Hoxa7/Tacr1/Ptpro/Eps8/Nlrp12/C5ar1/Trpm2/Prtn3/Kitl/Mtus1/Nod2/Smpd3/2610528A11Rik/Mmp14/Thy1/Mst1/Ccr1/Ccr2/Spns2/Ccl2/Ccl1/Ccl5/Ccl9/Ccl6/Epx/Ccr7/Cd300a/Edn1/Itga2/Lgmn/Bdkrb1/Retnlg/Gpr15/Cxadr/App/Fpr2/Ager/Aif1/Pla2g7/Trem1/Trem3/Fer/Cd74/Ch25h",78
"GO:0097529","myeloid leukocyte migration","52/1617","207/23210",2.2748978510191e-16,2.2748978510191e-16,4.52704672352801e-13,"Cxcr2/Cxcr1/Gpr35/Sell/Fcgr3/Slamf8/Il1f6/Il1f9/Thbs1/Il1b/Sirpa/Plcb1/Lbp/S100a8/S100a9/Ccl19/Csf3r/Ppbp/Pf4/Cxcl2/Cxcl9/Spp1/Cmklr1/Arhgef5/Ptpro/C5ar1/Prtn3/Mtus1/Nod2/Mmp14/Mst1/Ccr1/Ccr2/Ccl2/Ccl1/Ccl5/Ccl9/Ccl6/Epx/Ccr7/Cd300a/Edn1/Lgmn/Retnlg/Cxadr/Fpr2/Ager/Aif1/Pla2g7/Trem1/Trem3/Cd74",52
"GO:0032103","positive regulation of response to external stimulus","65/1617","312/23210",1.01200286222393e-15,1.01200286222393e-15,1.34259046388375e-12,"Cxcr2/Pla2g4a/Ptgs2/Sell/Fcgr3/Thbs1/Il1b/Tgm2/Lbp/Fgf16/Btk/Tlr2/S100a8/S100a9/Fcgr1/Ccl19/Unc13b/Tlr4/Artn/Kdr/Cmklr1/Alox5ap/Met/C5ar1/Megf8/Klk7/Igf1r/Ankrd42/Pde2a/Gprc5b/Nupr1/Oprm1/Sash1/Lrp1/Fgfr1/Tlr3/Lpl/Nod2/Acod1/Mmp8/Ldlr/Ccr4/Ccr1/Ccr2/Ccr5/Serpinf2/Scarf1/Ccl2/Ccl1/Ccl5/Ccr7/Ace/Ly86/Edn1/F12/Cd180/Itga2/Lgmn/Snai2/Fpr2/Ager/Aif1/Pla2g7/C3/Cd74",65
"GO:0060326","cell chemotaxis","61/1617","299/23210",2.11182054084663e-14,2.11182054084663e-14,2.1012614381424e-11,"Cxcr2/Cxcr1/Gpr35/Sell/Fcgr3/Slamf8/Il1f6/Il1f9/Eng/Thbs1/Il1b/Lbp/Fgf16/S100a8/S100a9/Vcam1/Ccl19/Csf3r/Cnr2/Hgf/Kdr/Ppbp/Pf4/Cxcl2/Cxcl9/Spp1/Cmklr1/Met/Arhgef5/Ptpro/C5ar1/Trpm2/Fgfr1/Mtus1/Nod2/2610528A11Rik/Mst1/Ccr4/Ccr1/Ccr2/Ccr5/Ccl2/Ccl1/Ccl5/Ccl9/Ccl6/Ccr7/Agtr1a/Edn1/Lgmn/Snai2/Retnlg/Cxadr/Fpr2/Aif1/Pla2g7/Trem1/Trem3/Hbegf/Cd74/Ch25h",61
"GO:0030595","leukocyte chemotaxis","49/1617","211/23210",4.50033586157316e-14,4.50033586157316e-14,3.36220922095568e-11,"Cxcr2/Cxcr1/Gpr35/Sell/Fcgr3/Slamf8/Il1f6/Il1f9/Thbs1/Il1b/Lbp/S100a8/S100a9/Ccl19/Csf3r/Cnr2/Ppbp/Pf4/Cxcl2/Cxcl9/Spp1/Cmklr1/Arhgef5/Ptpro/C5ar1/Trpm2/Mtus1/Nod2/2610528A11Rik/Mst1/Ccr1/Ccr2/Ccl2/Ccl1/Ccl5/Ccl9/Ccl6/Ccr7/Edn1/Lgmn/Retnlg/Cxadr/Fpr2/Aif1/Pla2g7/Trem1/Trem3/Cd74/Ch25h",49
"GO:0050727","regulation of inflammatory response","67/1617","354/23210",5.06865711701861e-14,5.06865711701861e-14,3.36220922095568e-11,"Il10/Cfh/Pla2g4a/Ptgs2/Fcgr2b/Fcgr3/Slamf8/Cd46/Nr1h3/F2/Il1b/Sirpa/Rabgef1/Tgm2/Lbp/Btk/Tlr2/Cd5l/S100a8/S100a9/Fcgr1/Tlr4/Smpdl3b/Cnr2/Hgf/Fndc4/Gper1/Alox5ap/Mgll/Pparg/Nlrp12/Apoe/Hamp/Siglece/Ankrd42/Pde2a/Gprc5b/Nupr1/Tlr3/Lpl/Nod2/Cdh5/Nr1d2/Acod1/Mmp8/Ldlr/Nt5e/Ccr2/Ccr5/Nlrp3/Ccl1/Ccl5/Ccr7/Ace/Aoah/F12/Itga2/Gpx2/Abcd2/Krt1/Dnase1/Cd200r2/Fpr2/Ager/Ier3/C3/Scgb1a1",67
"GO:0002274","myeloid leukocyte activation","49/1617","215/23210",9.70111149637982e-14,9.70111149637982e-14,5.51577482222739e-11,"Cxcr2/Slc11a1/Il10/Fcgr4/Fcgr3/Batf3/Pdpk1/Spi1/Nr1h3/Thbs1/Rabgef1/Lbp/Btk/Tlr2/Tlr4/Ptafr/Fgr/Cnr2/C1qa/Pilrb1/Pparg/Clec4d/Ltbr/Pirb/C5ar1/Tyrobp/Hamp/Il4ra/Tlr3/Clu/Mmp8/Ldlr/Ccr2/Pla2g3/Ccl5/Tac4/Cd300a/Cd300lb/Cd300lf/Dnase1/App/Ifngr2/Fpr2/Pram1/Ager/Aif1/Ubd/Fer/Batf2",49
"GO:0001819","positive regulation of cytokine production","74/1617","449/23210",3.4299498562216e-12,3.4299498562216e-12,1.47373931689951e-09,"Slc11a1/Htr2b/Il10/Rab7b/Ptgs2/Fcgr3/Ifi205/Cd46/Il1f6/Il1f9/Card9/Thbs1/Il1b/Plcb1/Src/Lbp/Cd40/Sulf2/Cybb/Tlr2/Il6ra/Ccl19/Tlr4/Ptafr/Fgr/Tnfrsf14/Hgf/Cd36/Spon2/Pf4/Flt3/Clec5a/Clec4n/Clec4e/Clec9a/Klre1/C5ar1/Tyrobp/Ankrd42/Wnt11/P2ry2/Gprc5b/Il4ra/Il27/Lrp1/Tlr3/Lpl/Nod2/Clu/Mmp8/Scamp5/Ccr2/Ccr5/Nlrp3/Nlrp1a/Nlrp1b/Serpinf2/Ccl2/Ccl1/Ccl5/Epx/Ccr7/Cd300c2/Agtr1a/Naip5/Nfam1/App/Ager/Aif1/C3/Cd14/Cd74/Csf1r/Adra2a",74
"GO:0097530","granulocyte migration","37/1617","146/23210",3.52440565753108e-12,3.52440565753108e-12,1.47373931689951e-09,"Cxcr2/Cxcr1/Sell/Fcgr3/Slamf8/Il1f6/Il1f9/Thbs1/Il1b/Sirpa/Lbp/S100a8/S100a9/Ccl19/Csf3r/Ppbp/Pf4/Cxcl2/Cxcl9/Spp1/Cmklr1/C5ar1/Prtn3/Nod2/Ccl2/Ccl1/Ccl5/Ccl9/Ccl6/Epx/Ccr7/Cd300a/Edn1/Cxadr/Trem1/Trem3/Cd74",37
"GO:0030593","neutrophil chemotaxis","30/1617","100/23210",3.70286260527515e-12,3.70286260527515e-12,1.47373931689951e-09,"Cxcr2/Cxcr1/Sell/Fcgr3/Il1f6/Il1f9/Il1b/Lbp/S100a8/S100a9/Ccl19/Csf3r/Ppbp/Pf4/Cxcl2/Cxcl9/Spp1/C5ar1/Nod2/Ccl2/Ccl1/Ccl5/Ccl9/Ccl6/Ccr7/Edn1/Cxadr/Trem1/Trem3/Cd74",30
