"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002699","positive regulation of immune effector process","51/1486","259/23210",4.94538991942019e-13,4.94538991942019e-13,1.87826426684236e-09,"Arid5a/Il18r1/Il18rap/Ptprc/Cd84/Cd46/Rasgrp1/B2m/Rabgef1/Lbp/Cd40/Foxp3/Btk/Ddx58/Ptafr/Tnfrsf14/Cd36/Spon2/Foxp1/Klrb1c/Klre1/Cd37/Gprc5b/H60b/Enpp3/Ddx60/Nod2/Cadm1/Ccr2/Nlrp3/Rara/Ccr7/Cd300a/F2rl1/Rsad2/H2-Bl/H2-D1/H2-K1/H2-Q10/H2-Q2/H2-T23/Gm11127/H2-Q1/H2-Q4/H2-Q6/H2-Q7/Gm8909/Cd226/Clcf1/Ms4a2/Il33",51
"GO:0002819","regulation of adaptive immune response","44/1486","205/23210",9.01182729681217e-13,9.01182729681217e-13,1.87826426684236e-09,"Arid5a/Il18r1/Ptprc/Fcgr2b/B2m/Cd40/Foxp3/Btk/Il6ra/Tnfrsf14/Cd4/Il27/Irf7/Tnfaip3/Vsir/Adcy7/Nod2/Parp3/Ccr2/Nlrp3/Alox15/Ccr7/Hfe/Mef2c/Rsad2/Il7r/Bcl6/Muc4/H2-Bl/H2-D1/H2-K1/H2-Q10/H2-Q2/H2-T23/Gm11127/Ager/H2-Q1/H2-Q4/H2-Q6/H2-Q7/Gm8909/Cd226/Clcf1/Il33",44
"GO:0002697","regulation of immune effector process","68/1486","420/23210",1.33726034486653e-12,1.33726034486653e-12,1.87826426684236e-09,"Arid5a/Il18r1/Il18rap/Ptprc/Cfh/Fcgr2b/Cd84/Cd46/Rasgrp1/B2m/Rabgef1/Lbp/Cd40/Foxp3/Btk/Ddx58/Ptafr/Tnfrsf14/Cd36/Spon2/Foxp1/Klrb1c/Klrb1b/Klre1/Siglecg/Cd37/Gprc5b/Il27/Tnfaip3/H60b/Enpp3/Vsir/Ddx60/Il15/Nod2/Cadm1/Parp3/Ccr2/Nlrp3/Ccl5/Rara/Ccr7/Cd300a/Hfe/F2rl1/Rsad2/Il7r/Bcl6/Muc4/Cd96/H2-Bl/H2-D1/H2-K1/H2-Q10/H2-Q2/H2-T23/Gm11127/Ager/H2-Q1/H2-Q4/H2-Q6/H2-Q7/Gm8909/Treml4/Cd226/Clcf1/Ms4a2/Il33",68
"GO:0002703","regulation of leukocyte mediated immunity","48/1486","250/23210",6.20480140224786e-12,6.20480140224786e-12,6.53626842452584e-09,"Arid5a/Il18r1/Il18rap/Ptprc/Fcgr2b/Cd84/Rasgrp1/B2m/Rabgef1/Cd40/Foxp3/Btk/Ddx58/Ptafr/Klrb1c/Klrb1b/Klre1/H60b/Vsir/Nod2/Cadm1/Parp3/Ccr2/Nlrp3/Cd300a/Hfe/F2rl1/Rsad2/Il7r/Bcl6/Muc4/Cd96/H2-Bl/H2-D1/H2-K1/H2-Q10/H2-Q2/H2-T23/Gm11127/Ager/H2-Q1/H2-Q4/H2-Q6/H2-Q7/Gm8909/Cd226/Clcf1/Ms4a2",48
"GO:0002706","regulation of lymphocyte mediated immunity","41/1486","195/23210",1.07688074314203e-11,1.07688074314203e-11,8.59450520974326e-09,"Arid5a/Il18r1/Il18rap/Ptprc/Fcgr2b/Rasgrp1/B2m/Cd40/Foxp3/Btk/Klrb1c/Klrb1b/Klre1/H60b/Vsir/Nod2/Cadm1/Parp3/Ccr2/Nlrp3/Hfe/Rsad2/Il7r/Bcl6/Muc4/Cd96/H2-Bl/H2-D1/H2-K1/H2-Q10/H2-Q2/H2-T23/Gm11127/Ager/H2-Q1/H2-Q4/H2-Q6/H2-Q7/Gm8909/Cd226/Clcf1",41
"GO:0032680","regulation of tumor necrosis factor production","37/1486","164/23210",1.22379914303114e-11,1.22379914303114e-11,8.59450520974326e-09,"Arid5a/Ptprc/Cd84/Cd34/C1qtnf4/Rasgrp1/Sirpa/Lbp/Foxp3/Cybb/Ddx58/Ptafr/Errfi1/Cd36/Spon2/Tlr1/Gpnmb/Nod1/Tyrobp/Tnfaip3/Vsir/Igf1/Lpl/Nod2/Mc1r/Acp5/Ltf/Cx3cr1/Ccr2/Ccl4/Rara/Ccr7/Nlrc3/Zbtb20/App/H2-T23/Ager",37
"GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","40/1486","189/23210",1.54576651598839e-11,1.54576651598839e-11,9.30481708797221e-09,"Arid5a/Il18r1/Ptprc/Fcgr2b/B2m/Cd40/Foxp3/Btk/Il6ra/Cd4/Il27/Tnfaip3/Vsir/Nod2/Parp3/Ccr2/Nlrp3/Ccr7/Hfe/Mef2c/Rsad2/Il7r/Bcl6/Muc4/H2-Bl/H2-D1/H2-K1/H2-Q10/H2-Q2/H2-T23/Gm11127/Ager/H2-Q1/H2-Q4/H2-Q6/H2-Q7/Gm8909/Cd226/Clcf1/Il33",40
"GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","37/1486","166/23210",1.79079623044554e-11,1.79079623044554e-11,9.43231225062301e-09,"Arid5a/Ptprc/Cd84/Cd34/C1qtnf4/Rasgrp1/Sirpa/Lbp/Foxp3/Cybb/Ddx58/Ptafr/Errfi1/Cd36/Spon2/Tlr1/Gpnmb/Nod1/Tyrobp/Tnfaip3/Vsir/Igf1/Lpl/Nod2/Mc1r/Acp5/Ltf/Cx3cr1/Ccr2/Ccl4/Rara/Ccr7/Nlrc3/Zbtb20/App/H2-T23/Ager",37
"GO:0032640","tumor necrosis factor production","37/1486","167/23210",2.16068955219238e-11,2.16068955219238e-11,1.01160704999136e-08,"Arid5a/Ptprc/Cd84/Cd34/C1qtnf4/Rasgrp1/Sirpa/Lbp/Foxp3/Cybb/Ddx58/Ptafr/Errfi1/Cd36/Spon2/Tlr1/Gpnmb/Nod1/Tyrobp/Tnfaip3/Vsir/Igf1/Lpl/Nod2/Mc1r/Acp5/Ltf/Cx3cr1/Ccr2/Ccl4/Rara/Ccr7/Nlrc3/Zbtb20/App/H2-T23/Ager",37
"GO:0051607","defense response to virus","44/1486","227/23210",3.37223785090205e-11,3.37223785090205e-11,1.42095453864852e-08,"Bcl2/Ptprc/Cd40/Gbp2b/Ddx58/Spon2/Oasl2/Oas1c/Oas2/Oas1e/Oas1d/Chuk/Apobec1/Kcnj8/Abcc9/Ncr1/Cd37/Trim34a/Trim12a/Il27/Itgax/Ifitm6/Irf7/Stat2/Ddx60/Il15/Bnip3l/Nlrp3/Slfn8/Ccl5/Map3k14/Lyst/F2rl1/Rsad2/Rtp4/Cd86/Cxadr/Ifngr2/Treml4/Il33/Ifit3/Ifit1bl1/Ifit3b/Ifit1",44
