"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030881","beta-2-microglobulin binding","10/1488","11/22710",1.46706999968108e-11,1.46706999968108e-11,1.17674456816524e-08,"Hfe/H2-D1/H2-K1/H2-Q10/H2-Q2/H2-T23/H2-Q1/H2-Q4/H2-Q6/H2-Q7",10
"GO:0042608","T cell receptor binding","11/1488","16/22710",2.96521123705219e-10,2.96521123705219e-10,1.18920576980725e-07,"Fyn/Dock2/H2-D1/H2-K1/H2-Q10/H2-Q2/H2-T23/H2-Q1/H2-Q4/H2-Q6/H2-Q7",11
"GO:0042610","CD8 receptor binding","9/1488","11/22710",1.06054024090044e-09,1.06054024090044e-09,2.83554969672329e-07,"Fyn/H2-D1/H2-K1/H2-Q10/H2-Q2/H2-Q1/H2-Q4/H2-Q6/H2-Q7",9
"GO:0046977","TAP binding","8/1488","11/22710",4.60470638719309e-08,4.60470638719309e-08,9.23364807116087e-06,"H2-D1/H2-K1/H2-Q10/H2-Q2/H2-Q1/H2-Q4/H2-Q6/H2-Q7",8
"GO:0030246","carbohydrate binding","41/1488","270/22710",4.20132380770083e-07,4.20132380770083e-07,6.7398078767748e-05,"Sbspon/Pam/Sell/Cd34/Fcna/Eng/Atrn/Col20a1/Ogt/Manba/Adgrl2/Galnt10/Klrg1/Klrb1/Klrb1c/Klrb1b/Klrb1f/Clec9a/Klre1/Klrd1/Klra6/Klra4/Klra8/Klra7/Klra1/Klra2/Siglecg/Cd33/Zg16/Enpp3/Susd2/Cd209c/Lman1l/Clec3b/Mgl2/Vcan/Enpp2/Pkd1/C4b/C4a/Colec12",41
"GO:0005085","guanyl-nucleotide exchange factor activity","33/1488","197/22710",5.91843430400564e-07,5.91843430400564e-07,7.36100978754196e-05,"Arhgef4/Farp2/Mycbp2/Rapgef4/Rasgrp1/Rabgef1/Rapgef2/Dennd4c/Arhgef10l/Plekhg5/Iqsec1/Rasgef1a/Rinl/Kndc1/Fgd6/Arhgef18/Psd3/Arhgef3/Sh3bp5/Dock5/Arhgef12/Dock2/Rapgef6/Rasgrf2/Dock4/Trio/Kalrn/Tiam2/Dennd1c/Psd2/Arhgef37/Rab3il1/Adrb1",33
"GO:0005088","Ras guanyl-nucleotide exchange factor activity","25/1488","127/22710",6.42397835789423e-07,6.42397835789423e-07,7.36100978754196e-05,"Arhgef4/Farp2/Rapgef4/Rasgrp1/Rabgef1/Rapgef2/Dennd4c/Arhgef10l/Plekhg5/Rasgef1a/Kndc1/Fgd6/Arhgef18/Arhgef3/Sh3bp5/Arhgef12/Dock2/Rasgrf2/Trio/Kalrn/Tiam2/Dennd1c/Arhgef37/Rab3il1/Adrb1",25
"GO:0042605","peptide antigen binding","14/1488","46/22710",8.30269491929115e-07,8.30269491929115e-07,7.77355401029427e-05,"Trbv1/Maml1/H2-Bl/H2-D1/H2-K1/H2-Q10/H2-Q2/H2-T23/Gm11127/H2-Q1/H2-Q4/H2-Q6/H2-Q7/Gm8909",14
"GO:0019955","cytokine binding","25/1488","129/22710",8.72229485407035e-07,8.72229485407035e-07,7.77355401029427e-05,"Il18r1/Ackr1/Eng/Il13ra1/Il2rg/Il6ra/Csf3r/Tnfrsf14/Agrn/Cd36/Cd4/Ltbp4/Itgb1/Cxcr5/Tgfbr2/Cx3cr1/Xcr1/Ccr2/Trim16/Wfikkn2/Tcap/Ccr7/Acvrl1/Ager/Csf1r",25
"GO:0022838","substrate-specific channel activity","54/1488","414/22710",1.04757726800406e-06,1.04757726800406e-06,8.40267240230625e-05,"Kcnj13/Tmem37/Cacna1e/Cacnb4/Scn2a/Ryr3/Kcnip3/Gria3/Gria2/Chrnb2/Kcna2/Aqp7/Aqp3/Grin3a/Gabrd/Gabra2/Pkd2/Orai2/Ttyh3/Clcn1/Cacna2d4/Kcnj8/Abcc9/Itpr2/Cacng8/Kcnc3/Grin2d/Kcnc1/Trpm1/Tmc3/Oprm1/Grin3b/Kcnmb4/Mip/Lrrc8e/Cacna1d/Scn4b/Slc24a1/Aqp9/P2rx1/Cacna1g/Kcnh4/Scn4a/Ttyh2/Otop3/Kcnh3/Clcn2/Gabrr3/Pkd1/Tmem63b/Slc14a1/Kcnk4/Best1/Kcnip2",54
