"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0055074","calcium ion homeostasis","54/940","489/23210",2.62412614157103e-11,2.62412614157103e-11,1.02727632847396e-07,"Gpr55/Bcl2/Xcl1/Psen2/Oxt/Prnp/Slc24a3/Trpc5/Cxcl10/Cxcl13/Pkd2/P2rx7/Fzd9/Reg1/Ghrl/Cacna1c/Cd4/Ffar1/P2ry2/Ric3/Calca/Calcb/Esr1/Tmtc2/Cyp27b1/Atp7b/Npy1r/Inpp4b/Ptger2/Htr2a/Tnfsf11/Ubash3b/Cxcr5/Slc24a1/Uts2/Ccr8/Ramp3/Il13/Ccl1/Hap1/Ccr10/Prkca/Gcm2/F2rl1/Il6st/Ccl28/Akap6/Npff/Ccr6/Glp1r/Synpo/Ms4a1/Ms4a2/Adrb1",54
"GO:0006874","cellular calcium ion homeostasis","50/940","473/23210",6.65785347210323e-10,6.65785347210323e-10,1.07215628782346e-06,"Gpr55/Bcl2/Xcl1/Psen2/Oxt/Prnp/Slc24a3/Trpc5/Cxcl10/Cxcl13/Pkd2/P2rx7/Fzd9/Ghrl/Cacna1c/Cd4/Ffar1/P2ry2/Ric3/Calca/Calcb/Esr1/Atp7b/Npy1r/Inpp4b/Ptger2/Htr2a/Ubash3b/Cxcr5/Slc24a1/Uts2/Ccr8/Ramp3/Il13/Ccl1/Hap1/Ccr10/Prkca/Gcm2/F2rl1/Il6st/Ccl28/Akap6/Npff/Ccr6/Glp1r/Synpo/Ms4a1/Ms4a2/Adrb1",50
"GO:0051480","regulation of cytosolic calcium ion concentration","43/940","374/23210",8.21630927748552e-10,8.21630927748552e-10,1.07215628782346e-06,"Gpr55/Bcl2/Xcl1/Oxt/Prnp/Trpc5/Cxcl10/Cxcl13/Pkd2/P2rx7/Fzd9/Ghrl/Cacna1c/Cd4/Ffar1/P2ry2/Ric3/Calca/Calcb/Esr1/Npy1r/Ptger2/Htr2a/Ubash3b/Cxcr5/Uts2/Ccr8/Ramp3/Il13/Ccl1/Hap1/Ccr10/F2rl1/Il6st/Ccl28/Akap6/Npff/Ccr6/Glp1r/Synpo/Ms4a1/Ms4a2/Adrb1",43
"GO:0072503","cellular divalent inorganic cation homeostasis","50/940","497/23210",3.56950323530442e-09,3.56950323530442e-09,3.35812605146746e-06,"Gpr55/Bcl2/Xcl1/Psen2/Oxt/Prnp/Slc24a3/Trpc5/Cxcl10/Cxcl13/Pkd2/P2rx7/Fzd9/Ghrl/Cacna1c/Cd4/Ffar1/P2ry2/Ric3/Calca/Calcb/Esr1/Atp7b/Npy1r/Inpp4b/Ptger2/Htr2a/Ubash3b/Cxcr5/Slc24a1/Uts2/Ccr8/Ramp3/Il13/Ccl1/Hap1/Ccr10/Prkca/Gcm2/F2rl1/Il6st/Ccl28/Akap6/Npff/Ccr6/Glp1r/Synpo/Ms4a1/Ms4a2/Adrb1",50
"GO:0050900","leukocyte migration","39/940","340/23210",5.36882028869239e-09,5.36882028869239e-09,3.35812605146746e-06,"Sell/Xcl1/Mmp9/Cyp19a1/Il12a/S100a8/Csf1/Nbl1/Kit/Cxcl10/Cxcl13/Ccl24/Flt1/Rarres2/Podxl2/Cd9/Mtus1/Itgb1/Tnfsf11/Gpr183/Cxcr5/Jaml/Cxcl16/Spns2/Ccl1/Mmp28/Ccl9/Pecam1/Prkca/Foxj1/Syk/F2rl1/Ccl28/Cd200r1/Cd200/Retnlg/Gpr15/Ccr6/Il33",39
"GO:0007204","positive regulation of cytosolic calcium ion concentration","38/940","327/23210",5.88633730773534e-09,5.88633730773534e-09,3.35812605146746e-06,"Gpr55/Bcl2/Xcl1/Oxt/Prnp/Trpc5/Cxcl10/Cxcl13/Pkd2/P2rx7/Ghrl/Cacna1c/Cd4/Ffar1/P2ry2/Ric3/Esr1/Ptger2/Htr2a/Ubash3b/Cxcr5/Uts2/Ccr8/Ramp3/Il13/Ccl1/Hap1/Ccr10/F2rl1/Ccl28/Akap6/Npff/Ccr6/Glp1r/Synpo/Ms4a1/Ms4a2/Adrb1",38
"GO:0031349","positive regulation of defense response","41/940","370/23210",6.00471584895364e-09,6.00471584895364e-09,3.35812605146746e-06,"Il1rl1/Tnfrsf11a/Xcl1/Ifi214/Ifi208/Ifih1/Tlr7/Il12a/S100a8/Penk/Ddx58/Tlr1/Ccl24/Irak2/Lag3/Klrb1c/Tarm1/Irf7/Esr1/Irak3/Tlr3/Ddx60/Lpl/Il17rb/Tnfsf11/Acod1/Mmp12/C2cd4b/Ccl1/Dhx58/Prkca/Mef2c/F2rl1/Rsad2/Coch/Ccn4/Nfkbiz/Colec12/Tslp/Cd226/Il33",41
"GO:0009615","response to virus","32/940","270/23210",5.84764827497289e-08,5.84764827497289e-08,2.74711612468142e-05,"Bcl2/Xcl1/Ifih1/Bcl2l11/Tlr7/Il12a/Gbp2b/Ddx58/Zc3h12a/Cxcl10/Oasl2/Oas1c/Oas1a/Il23r/Aicda/Trim34a/Irf7/Irak3/Tlr3/Ddx60/Mmp12/Dhx58/F2rl1/Rsad2/Ifi27l2a/Ifi27l2b/Mapk11/Rtp4/Il33/Ifit3/Ifit3b/Ifit1",32
"GO:0060326","cell chemotaxis","34/940","299/23210",6.31563400538482e-08,6.31563400538482e-08,2.74711612468142e-05,"Sell/Xcl1/Eng/Cyp19a1/Il12a/S100a8/Csf1/Nbl1/Kit/Cxcl10/Cxcl13/Ccl24/Flt1/Rarres2/Saa3/Mtus1/Nrp1/Tnfsf11/Gpr183/Cxcr5/Jaml/Ccr8/Cxcl16/Ccl1/Mmp28/Ccl9/Ccr10/Prkca/Syk/F2rl1/Ccl28/Enpp2/Retnlg/Ccr6",34
"GO:0030595","leukocyte chemotaxis","27/940","211/23210",1.31709819269326e-07,1.31709819269326e-07,4.72989219197386e-05,"Sell/Xcl1/Cyp19a1/Il12a/S100a8/Csf1/Nbl1/Kit/Cxcl10/Cxcl13/Ccl24/Flt1/Rarres2/Mtus1/Tnfsf11/Gpr183/Cxcr5/Jaml/Cxcl16/Ccl1/Mmp28/Ccl9/Prkca/Syk/F2rl1/Retnlg/Ccr6",27
