"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000775","chromosome, centromeric region","77/2592","190/23436",7.62485833390285e-26,7.62485833390285e-26,4.10939733364028e-23,"Sgo2a/Hjurp/Nuf2/Cenpf/Nsl1/Nek2/Spc25/Ckap5/Kif18a/Bub1b/Knstrn/Knl1/Oip5/Trp53bp1/Bub1/Dnmt3b/Dsn1/Snai1/Aurka/Ss18l1/Suv39h1/Dynlt3/Ercc6l/Cenpi/Pmf1/Cenpe/Kif2c/Cdca8/Cenps/Cenpa/Ncapg/Cenpc1/Kntc1/Stag3/Mad2l1/Ncapd2/Plk1/Mki67/Nup43/Cenpw/Anapc16/Nup37/Cenpu/Dync1li2/Cenpt/Cenpn/Nup133/Wdhd1/Ska3/Esco2/Dnmt1/Spc24/Sept7/Zwilch/Ttk/Spdl1/Cenpv/Aurkb/Mis12/Spag5/Zfp207/Ska2/Nup85/Birc5/Cenpp/Cenph/Ccnb1/Cenpk/Mis18bp1/Dscc1/Cenpm/Cbx5/Sgo1/Ndc80/Ska1/Incenp/Hells",77
"GO:0000776","kinetochore","61/2592","132/23436",2.15135836654502e-24,2.15135836654502e-24,5.79734465090028e-22,"Sgo2a/Hjurp/Nuf2/Cenpf/Nsl1/Nek2/Spc25/Ckap5/Kif18a/Bub1b/Knstrn/Knl1/Trp53bp1/Bub1/Dsn1/Ss18l1/Dynlt3/Ercc6l/Cenpi/Pmf1/Cenpe/Kif2c/Cenps/Cenpa/Cenpc1/Kntc1/Mad2l1/Plk1/Nup43/Cenpw/Anapc16/Nup37/Cenpu/Dync1li2/Cenpt/Cenpn/Nup133/Ska3/Spc24/Sept7/Zwilch/Ttk/Spdl1/Cenpv/Aurkb/Mis12/Spag5/Zfp207/Ska2/Nup85/Birc5/Cenph/Ccnb1/Cenpk/Mis18bp1/Cenpm/Cbx5/Sgo1/Ndc80/Ska1/Incenp",61
"GO:0098687","chromosomal region","97/2592","299/23436",1.66030916183076e-23,1.66030916183076e-23,2.98273084511351e-21,"Sgo2a/Hjurp/Nuf2/Cenpf/Nsl1/Nek2/Spc25/Ckap5/Kif18a/Bub1b/Knstrn/Knl1/Rad51/Oip5/Trp53bp1/Bub1/Dnmt3b/Dsn1/Snai1/Aurka/Spo11/Ss18l1/Suv39h1/Dynlt3/Ercc6l/Cenpi/Pmf1/Cenpe/Orc1/Kif2c/Cdca8/Cenps/Cenpa/Ncapg/Cenpc1/Chek2/Kntc1/Stag3/Brca2/Ezh2/Mad2l1/Ncapd2/Pold1/Blm/Plk1/Mki67/Nup43/Cenpw/Anapc16/Dna2/Nup37/Cenpu/Dync1li2/Cenpt/Cenpn/Nup133/Wdhd1/Ska3/Esco2/Dnmt1/Spc24/Sept7/Chek1/H2afx/Zwilch/Pif1/Ttk/Spdl1/Rad50/Cenpv/Ctc1/Aurkb/Mis12/Spag5/Zfp207/Ska2/Nup85/Birc5/Cenpp/Tert/Cenph/Ccnb1/Cenpk/Mis18bp1/Dscc1/Recql4/Dmc1/Cenpm/Cbx5/Slx4/Telo2/Sgo1/Ndc80/Ska1/Incenp/Fen1/Hells",97
"GO:0000779","condensed chromosome, centromeric region","32/2592","51/23436",1.22066057011225e-18,1.22066057011225e-18,1.64467950499334e-16,"Sgo2a/Hjurp/Nuf2/Cenpf/Nsl1/Spc25/Bub1b/Knl1/Bub1/Dsn1/Aurka/Ss18l1/Pmf1/Cenpe/Cenpa/Ncapg/Cenpc1/Ncapd2/Plk1/Nup133/Ska3/Spdl1/Aurkb/Mis12/Ska2/Birc5/Ccnb1/Cenpk/Mis18bp1/Sgo1/Ndc80/Ska1",32
"GO:0000777","condensed chromosome kinetochore","25/2592","35/23436",6.74836497959558e-17,6.74836497959558e-17,7.27402709379566e-15,"Hjurp/Nuf2/Cenpf/Nsl1/Spc25/Bub1b/Knl1/Bub1/Dsn1/Pmf1/Cenpe/Cenpa/Cenpc1/Plk1/Nup133/Ska3/Spdl1/Mis12/Ska2/Birc5/Ccnb1/Cenpk/Mis18bp1/Ndc80/Ska1",25
"GO:0000793","condensed chromosome","65/2592","209/23436",3.36070206034798e-15,3.36070206034798e-15,3.01873588578626e-13,"Sgo2a/Hjurp/Kifap3/Nuf2/Cenpf/Nsl1/Nek2/Spc25/Ttn/Bub1b/Knl1/Rad51/Ncaph/Bub1/Dsn1/L3mbtl1/Aurka/Ss18l1/Syn1/3830403N18Rik/Xlr3c/Xlr3b/Pmf1/Cenpe/Smc2/Rcc1/Cenpa/Ncapg/Cenpc1/Stag3/Brca2/Fancd2/Ncapd2/Blm/Plk1/Mki67/Syce1/Syce2/Nup133/Ccnb1ip1/Ska3/Chek1/H2afx/Mlh1/Spdl1/Rad50/Aurkb/Mis12/Ska2/Top2a/Brca1/Birc5/Ccnb1/Cenpk/Mis18bp1/4930447C04Rik/Ncapg2/Dmc1/Syce3/Msh5/Sgo1/Ndc80/Ska1/Cdca5/Incenp",65
"GO:0005819","spindle","77/2592","273/23436",4.02572378223116e-15,4.02572378223116e-15,3.09950462631933e-13,"Hecw2/Kif14/Aspm/Shcbp1l/Kifap3/Cenpf/Nek2/Ckap5/Kif18a/Bub1b/Knstrn/Nusap1/Ckap2l/Tpx2/Dsn1/Fam83d/Aurka/Dynlt3/Bex4/Ect2/Map9/Psrc1/Gpsm2/Cdc14a/Cenpe/Cdca8/Aunip/Mad2l2/Tacc3/Cdc7/Ttc28/Kntc1/Mad2l1/Capg/Wdr62/Cep89/Nup62/Prc1/Plk1/Kif22/Cttn/Fbxo5/Cdk1/Pard3/Dlgap5/Ska3/Ttk/Poc1a/Fam161a/Spdl1/Cenpv/Myh10/Aurkb/Haspin/Spag5/Tada2a/Ska2/Cdc6/Kif18b/Cdc27/Birc5/Mak/Ccnb1/Cep128/Eml1/Espl1/Sept12/Tctex1d2/Kifc5b/Kifc1/Sgo1/Kif20a/Ska1/Sac3d1/Incenp/Kif20b/Kif11",77
"GO:0005874","microtubule","98/2592","420/23436",4.18873435536763e-13,4.18873435536763e-13,2.8218841973003e-11,"Stau2/Dst/Map2/Kif14/Aspm/Dnm3/Kifap3/Kcnab2/Nek2/Tubb4b/Ttll11/Ttc30a1/Ckap5/Kif18a/Knstrn/Nusap1/Stard9/Map1a/Bcl2l11/Tpx2/Ttll9/Aurka/Dynlt3/Haus7/Kif4/Bex4/Mid2/Map9/Fhdc1/Dclk2/Psrc1/Cenpe/Ttll7/Kif24/Hook1/Kif2c/Dcdc2b/Stmn1/Trpv4/Kntc1/Clip2/Bicd1/Apoe/Ttll13/Prc1/Saxo2/Map6/Plk1/Kif22/Tube1/Cdk1/Gas2l3/Kif5a/Ckap2/Rpgrip1l/Dync1li2/Enkd1/Tubb3/Dnah12/Haus4/Ska3/Spry2/Cep57/Lrrc49/Nicn1/Kif15/Fam161a/Aurkb/Spag5/Sarm1/Zfp207/Ska2/Dynll2/Kif18b/Cdc27/Kif19a/Birc5/Kif13a/Dnal1/Eml1/Cep170b/Ndrg1/Gtse1/Tuba1b/Mefv/Tiam1/Dynlt1a/Kifc5b/Kifc1/Tubb5/Slc8a1/Kif20a/Reep2/Tubb6/Ska1/Incenp/Kif20b/Kif11",98
"GO:0044815","DNA packaging complex","37/2592","97/23436",3.30328920729619e-12,3.30328920729619e-12,1.97811002822883e-10,"Ncaph/H2ac20/H3c13/Smc2/Cenpa/Ncapg/Ncapd2/H2afx/H3c10/H2bc14/H4c12/H2ac15/H1f5/H3c11/Hist1h2bp/Hist1h4m/H2ac12/H2bc12/H4c9/H4c8/H2ac10/H3c8/H2bc9/H3c7/H4c6/H1f3/H3c6/H4c4/H1f4/H3c3/H2bc3/H3c2/H4c2/H1f1/Slf1/Ncapg2/Tnp2",37
"GO:0000778","condensed nuclear chromosome kinetochore","14/2592","16/23436",3.83694295744528e-12,3.83694295744528e-12,2.06791030969683e-10,"Nuf2/Bub1b/Bub1/Dsn1/Pmf1/Cenpe/Cenpa/Cenpc1/Plk1/Mis12/Ccnb1/Cenpk/Mis18bp1/Ndc80",14
"GO:0000780","condensed nuclear chromosome, centromeric region","19/2592","29/23436",4.25815998484663e-12,4.25815998484663e-12,2.08629465286266e-10,"Sgo2a/Nuf2/Bub1b/Bub1/Dsn1/Aurka/Ss18l1/Pmf1/Cenpe/Cenpa/Cenpc1/Plk1/Aurkb/Mis12/Ccnb1/Cenpk/Mis18bp1/Sgo1/Ndc80",19
"GO:0072686","mitotic spindle","37/2592","107/23436",9.55144492795294e-11,9.55144492795294e-11,4.28977175711571e-09,"Hecw2/Aspm/Kif18a/Knstrn/Nusap1/Ckap2l/Tpx2/Fam83d/Aurka/Dynlt3/Ect2/Map9/Gpsm2/Cdc14a/Cenpe/Tacc3/Cdc7/Ttc28/Mad2l1/Capg/Nup62/Kif22/Cttn/Cdk1/Fam161a/Aurkb/Spag5/Tada2a/Kif18b/Mak/Eml1/Espl1/Kifc5b/Kifc1/Ska1/Kif20b/Kif11",37
"GO:0000794","condensed nuclear chromosome","46/2592","155/23436",2.05254269735197e-10,2.05254269735197e-10,8.50932681007456e-09,"Sgo2a/Kifap3/Nuf2/Nek2/Ttn/Bub1b/Rad51/Ncaph/Bub1/Dsn1/Aurka/Ss18l1/Syn1/3830403N18Rik/Xlr3c/Xlr3b/Pmf1/Cenpe/Rcc1/Cenpa/Cenpc1/Stag3/Brca2/Ncapd2/Blm/Plk1/Syce1/Syce2/Ccnb1ip1/Chek1/H2afx/Mlh1/Rad50/Aurkb/Mis12/Brca1/Ccnb1/Cenpk/Mis18bp1/4930447C04Rik/Dmc1/Syce3/Msh5/Sgo1/Ndc80/Incenp",46
"GO:0000786","nucleosome","32/2592","88/23436",3.99650766337319e-10,3.99650766337319e-10,1.53850520574968e-08,"H2ac20/H3c13/Cenpa/H2afx/H3c10/H2bc14/H4c12/H2ac15/H1f5/H3c11/Hist1h2bp/Hist1h4m/H2ac12/H2bc12/H4c9/H4c8/H2ac10/H3c8/H2bc9/H3c7/H4c6/H1f3/H3c6/H4c4/H1f4/H3c3/H2bc3/H3c2/H4c2/H1f1/Slf1/Tnp2",32
"GO:0000940","condensed chromosome outer kinetochore","12/2592","15/23436",1.08038458425095e-09,1.08038458425095e-09,3.88180285709815e-08,"Cenpf/Bub1b/Bub1/Cenpe/Plk1/Nup133/Ska3/Spdl1/Ska2/Ccnb1/Ndc80/Ska1",12
"GO:0005876","spindle microtubule","22/2592","54/23436",1.92311690735091e-08,1.92311690735091e-08,6.47786747739254e-07,"Kifap3/Kif18a/Nusap1/Tpx2/Aurka/Dynlt3/Map9/Psrc1/Cenpe/Kntc1/Plk1/Cdk1/Ska3/Fam161a/Aurkb/Spag5/Ska2/Kif18b/Cdc27/Birc5/Ska1/Kif11",22
"GO:0005875","microtubule associated complex","40/2592","147/23436",4.52149172152955e-08,4.52149172152955e-08,1.43343886156231e-06,"Map2/Kif14/Kifap3/Wdr34/Kif18a/Stard9/Map1a/Aurka/Dynlt3/Haus7/Kif4/Cenpe/Kif24/Lrp8/Kif2c/Cdca8/Ccdc114/Kif22/Kif5a/Dync1li2/Dnah12/Haus4/Kif15/Aurkb/Dynll2/Kif18b/Kif19a/Birc5/Kif13a/Fntb/Dnal1/Dnah11/Mefv/Tctex1d2/Dynlt1a/Kifc5b/Kifc1/Kif20a/Kif20b/Kif11",40
"GO:0005657","replication fork","25/2592","71/23436",6.75989995335507e-08,6.75989995335507e-08,2.02401682813906e-06,"Prim2/Zranb3/Mcm10/Trp53bp1/Rfc5/Rfc3/Pold1/Blm/Prim1/Timeless/Gins2/Wdhd1/Dnmt1/Chek1/H2afx/Tipin/Pif1/Rad51c/Rad51b/Xrcc3/Tonsl/Cdc45/Rfc4/Polh/Uhrf1",25
"GO:0032993","protein-DNA complex","45/2592","186/23436",2.93892299186277e-07,2.93892299186277e-07,8.33644638135036e-06,"Prim2/Gins1/Gata1/H2ac20/H3c13/Cenpa/Tead4/Pold1/Prim1/Gins2/H2afx/Ctc1/H3c10/H2bc14/H4c12/H2ac15/H1f5/H3c11/Hist1h2bp/Hist1h4m/H2ac12/H2bc12/H4c9/H4c8/H2ac10/H3c8/H2bc9/H3c7/H4c6/H1f3/H3c6/H4c4/H1f4/H3c3/H2bc3/H3c2/H4c2/H1f1/Slf1/Tonsl/Nfe2/Tnp2/Cdc45/Tcf7l2/Hhex",45
"GO:0000922","spindle pole","35/2592","129/23436",3.30918161256589e-07,3.30918161256589e-07,8.91737360859861e-06,"Aspm/Cenpf/Nek2/Ckap5/Tpx2/Dsn1/Fam83d/Aurka/Bex4/Psrc1/Gpsm2/Cdc14a/Aunip/Ttc28/Kntc1/Mad2l1/Wdr62/Cep89/Nup62/Plk1/Dlgap5/Poc1a/Fam161a/Spdl1/Aurkb/Spag5/Cdc6/Ccnb1/Cep128/Eml1/Tctex1d2/Kifc1/Sgo1/Kif20b/Kif11",35
"GO:0030496","midbody","36/2592","139/23436",7.75719644469575e-07,7.75719644469575e-07,1.99081933818758e-05,"Mitd1/Kif14/Aspm/Sccpdh/Cenpf/Nek2/Kif4/Ect2/Psrc1/Cenpe/Cdca8/Gnai1/Crmp1/Lap3/Cenpc1/Ttc28/Cit/Capg/Nup62/Prc1/Plk1/Cdk1/Urb2/Anln/Anxa2/Myh10/Aurkb/Birc5/Mak/Kif13a/Ptch1/Sept12/Kif20a/Incenp/Kif20b/Cep55",36
"GO:0000788","nuclear nucleosome","16/2592","38/23436",9.76514555020356e-07,9.76514555020356e-07,2.39222704387762e-05,"H3c13/Cenpa/H3c10/H4c12/H3c11/Hist1h4m/H4c9/H4c8/H3c8/H4c6/H3c6/H4c4/H1f4/H3c2/H4c2/Tnp2",16
"GO:0051233","spindle midzone","15/2592","34/23436",1.03420553877579e-06,1.03420553877579e-06,2.4234015370856e-05,"Kif14/Kif18a/Aurka/Map9/Cenpe/Cdca8/Ttc28/Plk1/Cttn/Cenpv/Aurkb/Cdc6/Kif18b/Eml1/Kif20b",15
"GO:0070160","tight junction","33/2592","128/23436",2.45184967121235e-06,2.45184967121235e-06,5.50590803359967e-05,"F11r/Frmd4a/Sapcd2/Nphp1/Pard6b/Dlg3/Ect2/Magi3/Nphp4/Magi2/Tacstd2/Magi1/Lsr/Tjp1/Ank3/Tjp3/Rpgrip1l/Pard3/Cldn10/Jaml/Cldn7/Plxdc1/Cntnap1/Wnk4/Ocln/Marveld2/Ccdc85c/Bves/Jam2/Igsf5/Afdn/Synpo/Tjp2",33
"GO:1990023","mitotic spindle midzone","9/2592","14/23436",2.90699746688683e-06,2.90699746688683e-06,6.26687453914129e-05,"Kif18a/Map9/Cenpe/Ttc28/Cttn/Aurkb/Kif18b/Eml1/Kif20b",9
"GO:0043296","apical junction complex","35/2592","141/23436",3.15205886036857e-06,3.15205886036857e-06,6.53382241501502e-05,"F11r/Frmd4a/Sapcd2/Nphp1/Pard6b/Dlg3/Ect2/Magi3/Nphp4/Magi2/Tacstd2/Magi1/Nectin2/Tjp1/Ank3/Tjp3/Rpgrip1l/Pard3/Cldn10/Nectin1/Jaml/Cldn7/Plxdc1/Cntnap1/Wnk4/Ocln/Marveld2/Ccdc85c/Bves/Nectin3/Jam2/Igsf5/Afdn/Synpo/Tjp2",35
"GO:0005871","kinesin complex","19/2592","56/23436",4.69984931399002e-06,4.69984931399002e-06,9.38137562870522e-05,"Kif14/Kifap3/Kif18a/Stard9/Kif4/Cenpe/Kif24/Kif2c/Kif22/Kif5a/Kif15/Kif18b/Kif19a/Kif13a/Kifc5b/Kifc1/Kif20a/Kif20b/Kif11",19
"GO:0005814","centriole","30/2592","115/23436",5.33906198919346e-06,5.33906198919346e-06,0.000102766907461167,"Wdr34/Stard9/Cetn4/Plk4/Sclt1/Kif24/Cntln/Stil/Cep41/Capg/Alms1/Cep89/Saxo2/Ccp110/Plk1/Cep290/Ift88/Hyls1/Poc1a/Pla2g3/Fam161a/Ccdc88a/Top2a/Birc5/Cep295nl/Cep128/Ccnf/Ccdc78/Wdr90/Ttbk2",30
"GO:0042555","MCM complex","8/2592","12/23436",7.2705481795643e-06,7.2705481795643e-06,0.000135118717529471,"Mcm3/Mcm6/Mcm8/Mcm7/Mcm2/Mcm5/Tonsl/Mcm4",8
"GO:0005923","bicellular tight junction","30/2592","121/23436",1.58560882982168e-05,1.58560882982168e-05,0.00028464444751353,"F11r/Frmd4a/Sapcd2/Nphp1/Pard6b/Dlg3/Ect2/Magi3/Nphp4/Magi2/Tacstd2/Magi1/Tjp1/Ank3/Tjp3/Rpgrip1l/Pard3/Cldn10/Jaml/Cldn7/Plxdc1/Wnk4/Ocln/Marveld2/Ccdc85c/Bves/Jam2/Igsf5/Synpo/Tjp2",30
"GO:0031012","extracellular matrix","83/2592","475/23436",1.63726151938935e-05,1.63726151938935e-05,0.00028464444751353,"Il1rl1/Wnt6/Serpine2/Lad1/Lamc2/Tnr/Itih5/Plxdc2/Entpd2/Olfml2a/Hsd17b12/Thbs1/Mmp24/Mmp9/Bmp7/Col9a3/Lingo4/Anxa9/F3/Npnt/Mmp16/Col27a1/Alpl/Cela2a/Mmp23/Lrrc17/Igfbp7/Pf4/Plod3/Try4/Reg2/Reg1/Apoe/Wnt11/Col10a1/Spock2/Col6a2/Podnl1/Mmp15/Colq/Lgals3/Bmp1/Mmp10/Mmp8/Col5a3/Lingo1/Thsd4/Anxa2/Plscr1/Pcolce2/Lamb2/Lamc1/Tgm4/Emid1/Sparc/Gp1ba/Serpinf1/Wnt3/Timp2/Nid1/Gpld1/Serpinb9/F13a1/Sparcl1/Ecm2/Aspn/Omd/Tgfbi/Hapln1/Cd180/Matn3/Coch/Smoc1/Ccn4/Chadl/Fbln1/Vasn/P3h2/Ccdc80/Ltbp1/Ltbp3/Mamdc2/Gsto1",83
"GO:0044450","microtubule organizing center part","36/2592","164/23436",4.23205118680174e-05,4.23205118680174e-05,0.000712766515671872,"Wdr34/Bbs5/Ckap5/Stard9/Cetn4/Plk4/Sclt1/Kif24/Cntln/Stil/Cep41/Capg/Alms1/Cep89/Saxo2/Ccp110/Plk1/Cep290/Ift88/Hyls1/Poc1a/Pla2g3/Fam161a/Ccdc88a/Spag5/Top2a/Birc5/Cep295nl/Cep72/Cep128/Ccdc14/Ccnf/Ccdc78/Wdr90/Ttbk2/Bbs1",36
