"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005657","replication fork","36/1194","71/23436",6.78153960642338e-28,6.78153960642338e-28,3.43360057967331e-25,"Prim2/Zranb3/Mcm10/Pcna/Pola1/Nbn/Mms22l/Rpa2/Rfc1/Rfc5/Rfc2/Baz1b/Rfc3/Rpa3/Pold1/Blm/Pold3/Prim1/Timeless/Gins4/Gins2/Wdhd1/Dnmt1/Chek1/Tipin/Pold2/Rad51c/E2f6/Rad51b/Xrcc3/Tonsl/Cdc45/Rfc4/Donson/Uhrf1/Pola2",36
"GO:0032993","protein-DNA complex","48/1194","186/23436",3.51347324890204e-21,3.51347324890204e-21,8.89463490906253e-19,"Prim2/Gins1/Pola1/H2ac20/Rpa2/Rpa3/H1f8/Pold1/Pold3/Macroh2a2/Prim1/Gins4/Terb1/Gins2/Pold2/Ctc1/Suz12/H3c10/H2bc14/H4c11/H4c12/H2ac15/H1f5/H3c11/Hist1h2bp/Hist1h4m/H2ac12/H2bc12/H4c9/H4c8/H2ac10/H3c8/H3c7/H4c6/H1f3/H3c4/H4c4/H1f4/H3c3/H3c2/H4c2/H1f1/E2f6/Tonsl/Prm1/Cdc45/Donson/Pola2",48
"GO:0098687","chromosomal region","60/1194","299/23436",3.74432342589633e-20,3.74432342589633e-20,6.31936690475837e-18,"Hjurp/Nsl1/Suv39h2/Rif1/Spc25/Kif18a/Rad51/Oip5/Dsn1/Ercc6l/Cenpi/Pmf1/Nbn/Orc1/Rpa2/Cenps/Kntc1/Baz1b/Brca2/Ezh2/Cbx3/Mad2l1/Ncapd2/Pold1/Ccdc155/Blm/Mki67/Nup43/Cenpw/Dna2/Cdk2/Cenpu/Terb1/Cenpn/Cdt1/Wdhd1/Ska3/Esco2/Dnmt1/Spc24/Ncapd3/Chek1/Zwilch/Ctc1/Aurkb/Nup85/Birc5/Cenpp/Cenph/Cenpk/Dscc1/Mtbp/Recql4/Cenpm/Cbx5/Sgo1/Ndc80/Fen1/Hells/Dclre1a",60
"GO:0044815","DNA packaging complex","34/1194","97/23436",5.15367551553429e-20,5.15367551553429e-20,6.52346821834735e-18,"Ncaph/H2ac20/Smc2/H1f8/Ncapd2/Macroh2a2/Ncapd3/H3c10/H2bc14/H4c11/H4c12/H2ac15/H1f5/H3c11/Hist1h2bp/Hist1h4m/H2ac12/H2bc12/H4c9/H4c8/H2ac10/H3c8/H3c7/H4c6/H1f3/H3c4/H4c4/H1f4/H3c3/H3c2/H4c2/H1f1/Ncapg2/Prm1",34
"GO:0043596","nuclear replication fork","22/1194","40/23436",1.40473023648094e-18,1.40473023648094e-18,1.42247419736281e-16,"Prim2/Zranb3/Mcm10/Pcna/Pola1/Mms22l/Rpa2/Baz1b/Rpa3/Pold1/Pold3/Prim1/Timeless/Gins4/Gins2/Wdhd1/Tipin/Pold2/E2f6/Tonsl/Cdc45/Pola2",22
"GO:0000786","nucleosome","29/1194","88/23436",1.91497239082395e-16,1.91497239082395e-16,1.61596792980056e-14,"H2ac20/H1f8/Macroh2a2/H3c10/H2bc14/H4c11/H4c12/H2ac15/H1f5/H3c11/Hist1h2bp/Hist1h4m/H2ac12/H2bc12/H4c9/H4c8/H2ac10/H3c8/H3c7/H4c6/H1f3/H3c4/H4c4/H1f4/H3c3/H3c2/H4c2/H1f1/Prm1",29
"GO:0000775","chromosome, centromeric region","42/1194","190/23436",4.5479406985983e-16,4.5479406985983e-16,3.28956312184328e-14,"Hjurp/Nsl1/Suv39h2/Spc25/Kif18a/Oip5/Dsn1/Ercc6l/Cenpi/Pmf1/Cenps/Kntc1/Baz1b/Cbx3/Mad2l1/Ncapd2/Mki67/Nup43/Cenpw/Cenpu/Cenpn/Cdt1/Wdhd1/Ska3/Esco2/Dnmt1/Spc24/Ncapd3/Zwilch/Aurkb/Nup85/Birc5/Cenpp/Cenph/Cenpk/Dscc1/Mtbp/Cenpm/Cbx5/Sgo1/Ndc80/Hells",42
"GO:0000793","condensed chromosome","41/1194","209/23436",7.60021190011747e-14,7.60021190011747e-14,4.81013411046908e-12,"Hjurp/Nsl1/Rif1/Spc25/Rad51/Ncaph/Dsn1/Pmf1/Smc2/Rcc1/Rnf212/Baz1b/Brca2/Cbx3/Fancd2/Ncapd2/Ccdc155/Blm/Mki67/Cdk2/Hmgb2/Syce2/Ccnb1ip1/Ska3/Ncapd3/Chek1/Hmbs/Topbp1/Aurkb/Top2a/Tubg1/Brca1/Birc5/Cenpk/4930447C04Rik/Ncapg2/Syce3/Sgo1/Ndc80/Cdca5/Nol6",41
"GO:0000776","kinetochore","30/1194","132/23436",3.32015973753777e-12,3.32015973753777e-12,1.8678325541002e-10,"Hjurp/Nsl1/Spc25/Kif18a/Dsn1/Ercc6l/Cenpi/Pmf1/Cenps/Kntc1/Mad2l1/Nup43/Cenpw/Cenpu/Cenpn/Cdt1/Ska3/Spc24/Ncapd3/Zwilch/Aurkb/Nup85/Birc5/Cenph/Cenpk/Mtbp/Cenpm/Cbx5/Sgo1/Ndc80",30
"GO:0000790","nuclear chromatin","54/1194","407/23436",1.23186340328284e-10,1.23186340328284e-10,6.23711891556891e-09,"Tbx19/Suv39h2/Rif1/Hat1/Ssrp1/Pax6/Rad51/E2f1/H2al1m/H2ac20/Nasp/Rcc1/Hmgb1/Ezh2/Cbx3/Rad51ap1/Hey2/Bend3/Macroh2a2/Pawr/Timeless/Hmgb2/Asf1b/Esco2/Ncapd3/Tipin/Suz12/Eme1/H3c10/H4c11/H4c12/H2ac15/H1f5/H3c11/Hist1h4m/H2ac12/H4c9/H4c8/H2ac10/H3c8/H4c6/H1f3/H3c4/H4c4/H1f4/H3c2/H4c2/H1f1/Cbx5/Chaf1b/Chaf1a/Uhrf1/Msh6/Cdca5",54
"GO:0042555","MCM complex","9/1194","12/23436",4.2990652698292e-10,4.2990652698292e-10,1.86911556239936e-08,"Mcm3/Mcm6/Mcm8/Mms22l/Mcm7/Mcm2/Mcm5/Tonsl/Mcm4",9
"GO:0030894","replisome","12/1194","24/23436",4.42992045974068e-10,4.42992045974068e-10,1.86911556239936e-08,"Prim2/Pola1/Rpa2/Rpa3/Pold1/Pold3/Prim1/Pold2/E2f6/Tonsl/Donson/Pola2",12
"GO:0000788","nuclear nucleosome","14/1194","38/23436",2.25257115384767e-09,2.25257115384767e-09,8.77317186235408e-08,"H3c10/H4c11/H4c12/H3c11/Hist1h4m/H4c9/H4c8/H3c8/H4c6/H3c4/H4c4/H1f4/H3c2/H4c2",14
"GO:0043601","nuclear replisome","11/1194","23/23436",4.40243751763065e-09,4.40243751763065e-09,1.59215973381981e-07,"Prim2/Pola1/Rpa2/Rpa3/Pold1/Pold3/Prim1/Pold2/E2f6/Tonsl/Pola2",11
"GO:0000779","condensed chromosome, centromeric region","14/1194","51/23436",1.61630386744723e-07,1.61630386744723e-07,5.45573445783941e-06,"Hjurp/Nsl1/Spc25/Dsn1/Pmf1/Cbx3/Ncapd2/Ska3/Ncapd3/Aurkb/Birc5/Cenpk/Sgo1/Ndc80",14
"GO:0000794","condensed nuclear chromosome","24/1194","155/23436",1.11630263189302e-06,1.11630263189302e-06,3.5325103022404e-05,"Rad51/Ncaph/Dsn1/Pmf1/Rcc1/Rnf212/Brca2/Ncapd2/Ccdc155/Blm/Syce2/Ccnb1ip1/Ncapd3/Chek1/Topbp1/Aurkb/Tubg1/Brca1/Cenpk/4930447C04Rik/Syce3/Sgo1/Ndc80/Nol6",24
"GO:0005635","nuclear envelope","44/1194","407/23436",2.26795928562946e-06,2.26795928562946e-06,6.75472703645678e-05,"Ipo9/Rif1/Tyro3/Nxt1/Pola1/Nxf2/S100a6/Ybx1/Rcc1/Tmem201/Tmem120b/Ran/Gper1/Cav2/Cbx3/Mad2l1/Gapdh/Pla2g4c/Dmpk/Ggn/Syne4/Nup62/Ccdc155/Rrm1/Slc22a18/Nup43/Lmnb2/Tmpo/Clgn/Terb1/Lmo7/Ranbp17/Brip1/Ngfr/Nup85/Rrm2/Clmn/Ranbp1/Tubb5/Nrm/Lmnb1/Scgb1a1/Tmem109/Ina",44
"GO:0000781","chromosome, telomeric region","19/1194","110/23436",2.75288741701346e-06,2.75288741701346e-06,7.74350203265189e-05,"Rif1/Rad51/Nbn/Orc1/Rpa2/Brca2/Ezh2/Pold1/Ccdc155/Blm/Dna2/Cdk2/Terb1/Chek1/Ctc1/Recql4/Cbx5/Fen1/Dclre1a",19
