"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044441","ciliary part","129/3716","457/23436",1.01863610003116e-11,1.01863610003116e-11,6.16542902650438e-09,"Flacc1/Tmem237/Atg16l1/Sag/Kifap3/Cfap126/Opn3/Sdccag8/Enkur/Spaca9/Wdr34/Ptgs1/Kif5c/Myo3b/Rapgef4/Ttc30b/Ttc30a1/Cerkl/Ttbk2/Map1a/Mkks/Rpgr/Cask/Ocrl/Ccdc39/Bbs7/Intu/Jade1/Sclt1/Mlf1/Gstm5/Rrh/Slc9b2/Slc9b1/Ssx2ip/Tmem67/Whrn/Efcab7/Spata6/Tctex1d4/Crocc/Gpr157/Nphp4/Ift172/Evc/Tapt1/Wdr19/Pkd2/Ccdc63/Tctn1/Ift81/Rilpl1/Iqce/Gngt1/Ift122/Scnn1a/Tulp3/Pde6h/Casc1/Arhgap35/Ccdc114/Saxo2/Myo7a/Cd24a/Cfap54/Poc1b/Tbc1d30/Prkaca/Rpgrip1l/Bbs2/Tmem231/Cdk10/Ccsap/Dlg5/Dnah12/Nek4/Ift88/Bbs9/Spa17/Bbs4/Gnb5/Ctsh/Nphp3/Hyal3/Gnat1/Slc26a6/Wdpcp/Fam161a/Ccdc88a/Kif3a/Drc3/B9d1/Tmem107/Sept4/Mapt/Fbf1/Dnah17/Cep131/Mak/Adgrv1/Map1b/Wdr35/Daam1/Dnal1/Bbof1/Ttll10/Ttc8/Wdr60/Dnah11/Spef2/Mapk15/Ttll8/Rabl2/Pfkm/Iqcb1/Arl6/App/Ccr6/Ift140/Tcp11/Tulp1/Rsph9/Guca1b/Tubb4a/Dync2li1/Cabyr/Klc2/Tsga10ip/Tmem216",129
"GO:0035869","ciliary transition zone","32/3716","72/23436",8.79442014787554e-09,8.79442014787554e-09,2.66146925527812e-06,"Tmem237/Kifap3/Ttbk2/Rpgr/Tmem67/Whrn/Nphp4/Wdr19/Tctn1/Ift122/Myo7a/Rpgrip1l/Tmem231/Ccsap/Nek4/Ift88/Bbs9/Bbs4/Gnat1/Fam161a/Kif3a/B9d1/Tmem107/Cep131/Mak/Adgrv1/Ttc8/Iqcb1/Ift140/Dync2li1/Tsga10ip/Tmem216",32
"GO:0036064","ciliary basal body","50/3716","147/23436",4.44401316301562e-08,4.44401316301562e-08,8.96599146924204e-06,"Kifap3/Cfap126/Sdccag8/Spaca9/Wdr34/Ttc30b/Ttc30a1/Ttbk2/Mkks/Rpgr/Bbs7/Intu/Jade1/Mlf1/Ssx2ip/Whrn/Nphp4/Ift172/Evc/Tapt1/Pkd2/Ift81/Rilpl1/Ift122/Arhgap35/Saxo2/Poc1b/Tbc1d30/Rpgrip1l/Bbs2/Cdk10/Ccsap/Dlg5/Nek4/Ift88/Bbs9/Bbs4/Fam161a/Ccdc88a/B9d1/Fbf1/Cep131/Wdr35/Daam1/Bbof1/Ttc8/Mapk15/Ift140/Dync2li1/Tsga10ip",50
"GO:0043235","receptor complex","101/3716","394/23436",3.43740723799815e-07,3.43740723799815e-07,5.20133989960247e-05,"Chrng/Pigr/Cr2/Traf2/Acvr2a/Nr1h3/Ltk/Lime1/Gria3/Kctd12b/Gria2/Chrnb2/Il6ra/Egf/Npnt/Gabrr2/Cntfr/Il11ra1/Grin3a/Tlr4/Lepr/Lrp8/Csf3r/Dlgap3/Gabrd/Tas1r3/Cd36/Emilin1/Tlr1/Tlr6/Chrna9/Gabrb1/Tgfbr3/Tfr2/Ephb6/Epha1/Plxna1/Plxnd1/Eps8/Cacng8/Grik5/Grin2d/Igf1r/Dlg2/Il4ra/Taok2/Col10a1/Itga7/Insr/Ikbkb/Crlf1/Pkd1l3/Itgb1/Bmpr1a/Kctd12/Gria4/Olfm2/Trf/Gpr62/Plxnb1/Pth1r/Itga9/Vipr1/Ramp3/Chrnb1/Dlg4/Itgae/Rffl/Itga3/Erbb2/Itga2b/Cacng4/Nrn1/Adgrv1/Ahr/Ighd/Scrib/Plxnb2/Acvr1b/Amhr2/Iglc1/Dlg1/Itgb5/Cd200r1/Trat1/Impg2/Gabrr3/Epha3/App/Notch3/Ddr1/Ebi3/Cd14/Ticam2/Adrb2/Lrp5/Cnih2/Tm7sf2/Sorbs1/Adra2a/Csf2ra",101
"GO:1902495","transmembrane transporter complex","81/3716","308/23436",1.64461652231163e-06,1.64461652231163e-06,0.00019908515796404,"Kcnq5/Chrng/Cacna1s/Cacna1e/Kcnab2/Atp1b1/Nos1ap/Cacna1b/Clic3/Cacnb4/Sestd1/Ryr3/Catsper2/Kcnip3/Kcnb1/Kcnd1/Gria3/Kcnab1/Gria2/Chrnb2/Kcna3/Amigo1/Gabrr2/Grin3a/Dlgap3/Gabrd/Cacna2d1/Kcnh2/Chrna9/Gabrb1/Pkd2/Stx1a/Ttyh3/Clcn1/Fxyd4/Cacna2d4/Scnn1a/Eps8/Kcnj8/Cacng8/Atp1a3/Grik5/Ryr1/Scn1b/Kcnc3/Grin2d/Kcnc1/Scn7a/Dlg2/Xntrpc/Cttn/Hcn2/Stac3/Cacna1a/Pkd1l3/Gria4/Olfm2/Scn4b/Cacna2d2/Slc26a6/Glra1/Atp1b2/Chrnb1/Dlg4/Cacna1g/Cacnb1/Scn4a/Cacng4/Ttyh2/Nrn1/Fkbp1b/Hspa2/Scrib/Cacna1i/Cacnb3/Clcn2/Dlg1/Clic5/Kcng3/Cnih2/Kcnip2",81
"GO:0034702","ion channel complex","77/3716","293/23436",3.01960035818239e-06,3.01960035818239e-06,0.000265353684599468,"Kcnq5/Chrng/Cacna1s/Cacna1e/Kcnab2/Nos1ap/Cacna1b/Clic3/Cacnb4/Sestd1/Ryr3/Catsper2/Kcnip3/Kcnb1/Kcnd1/Gria3/Kcnab1/Gria2/Chrnb2/Kcna3/Amigo1/Gabrr2/Grin3a/Dlgap3/Gabrd/Cacna2d1/Kcnh2/Chrna9/Gabrb1/Pkd2/Stx1a/Ttyh3/Clcn1/Cacna2d4/Scnn1a/Eps8/Kcnj8/Cacng8/Grik5/Ryr1/Scn1b/Kcnc3/Grin2d/Kcnc1/Scn7a/Dlg2/Xntrpc/Cttn/Hcn2/Stac3/Cacna1a/Pkd1l3/Gria4/Olfm2/Scn4b/Cacna2d2/Slc26a6/Glra1/Chrnb1/Dlg4/Cacna1g/Cacnb1/Scn4a/Cacng4/Ttyh2/Nrn1/Fkbp1b/Hspa2/Scrib/Cacna1i/Cacnb3/Clcn2/Dlg1/Clic5/Kcng3/Cnih2/Kcnip2",77
"GO:0097731","9+0 non-motile cilium","38/3716","114/23436",3.06887304797646e-06,3.06887304797646e-06,0.000265353684599468,"Sag/Kifap3/Opn3/Sdccag8/Ptgs1/Myo3b/Rapgef4/Cerkl/B230118H07Rik/Map1a/Rpgr/Ocrl/Bbs7/Rrh/Whrn/Nphp4/Wdr19/Gngt1/Ift122/Tulp3/Pde6h/Myo7a/Rpgrip1l/Ift88/Bbs4/Gnb5/Gnat1/Fam161a/Kif3a/Mak/Adgrv1/Map1b/Ttc8/Iqcb1/Ift140/Tulp1/Guca1b/Tsga10ip",38
"GO:0097730","non-motile cilium","46/3716","150/23436",4.06236089347548e-06,4.06236089347548e-06,0.000282832688842999,"Sag/Kifap3/Opn3/Sdccag8/Ptgs1/Myo3b/Rapgef4/Cerkl/B230118H07Rik/Map1a/Strc/Mkks/Rpgr/Ocrl/Bbs7/Mlf1/Rrh/Whrn/Nphp4/Wdr19/Pkd2/Gngt1/Ift122/Tulp3/Pde6h/Myo7a/Cdh23/Mdm1/Rpgrip1l/Ift88/Bbs4/Gnb5/Gnat1/Fam161a/Kif3a/Mak/Adgrv1/Map1b/Ttc8/Galr3/Glis2/Iqcb1/Ift140/Tulp1/Guca1b/Tsga10ip",46
"GO:1990351","transporter complex","81/3716","315/23436",4.20559911236111e-06,4.20559911236111e-06,0.000282832688842999,"Kcnq5/Chrng/Cacna1s/Cacna1e/Kcnab2/Atp1b1/Nos1ap/Cacna1b/Clic3/Cacnb4/Sestd1/Ryr3/Catsper2/Kcnip3/Kcnb1/Kcnd1/Gria3/Kcnab1/Gria2/Chrnb2/Kcna3/Amigo1/Gabrr2/Grin3a/Dlgap3/Gabrd/Cacna2d1/Kcnh2/Chrna9/Gabrb1/Pkd2/Stx1a/Ttyh3/Clcn1/Fxyd4/Cacna2d4/Scnn1a/Eps8/Kcnj8/Cacng8/Atp1a3/Grik5/Ryr1/Scn1b/Kcnc3/Grin2d/Kcnc1/Scn7a/Dlg2/Xntrpc/Cttn/Hcn2/Stac3/Cacna1a/Pkd1l3/Gria4/Olfm2/Scn4b/Cacna2d2/Slc26a6/Glra1/Atp1b2/Chrnb1/Dlg4/Cacna1g/Cacnb1/Scn4a/Cacng4/Ttyh2/Nrn1/Fkbp1b/Hspa2/Scrib/Cacna1i/Cacnb3/Clcn2/Dlg1/Clic5/Kcng3/Cnih2/Kcnip2",81
"GO:0016529","sarcoplasmic reticulum","28/3716","75/23436",5.19783073803403e-06,5.19783073803403e-06,0.000301283477889394,"Cacna1s/Nos1ap/Ryr3/Thbs1/Agl/Asph/H6pd/Cacna2d1/Nos1/Rtn2/Ryr1/Fsd2/Art1/Mrvi1/Atp2a1/Akap7/Ank3/Mrln/Tmem38a/Nol3/Camk2b/Cacnb1/Cmya5/Fkbp1b/Syne2/Srl/Ccdc78/Tmem109",28
