"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005911","cell-cell junction","39/867","477/23436",3.60660365220503e-06,3.60660365220503e-06,0.00159070203186727,"Pard3b/Nectin4/F11r/Vangl2/Frmd4a/Scn2a/Cask/Gm14569/Rab13/Gja5/Patj/Fscn1/Prkcg/Nectin2/Sptbn4/Fxyd1/Scn1b/Ptprk/Ank3/Cdh11/Itgb1/Amotl1/Ncam1/Tln2/Myo1e/Cldn7/Cntnap1/Wnk4/Prkca/Dbn1/Pdzd2/Ptk2/Cxadr/Jam2/Igsf5/Crb3/Epb41l3/Epcam/Pcdhga12",39
"GO:0014704","intercalated disc","11/867","62/23436",1.50864636235925e-05,1.50864636235925e-05,0.00209695325697056,"Scn2a/Gja5/Sptbn4/Fxyd1/Scn1b/Ank3/Itgb1/Tln2/Prkca/Ptk2/Cxadr",11
"GO:0043296","apical junction complex","17/867","141/23436",1.87757995674234e-05,1.87757995674234e-05,0.00209695325697056,"Pard3b/Nectin4/F11r/Frmd4a/Rab13/Patj/Nectin2/Ank3/Amotl1/Cldn7/Cntnap1/Wnk4/Cxadr/Jam2/Igsf5/Crb3/Epcam",17
"GO:0044441","ciliary part","36/867","457/23436",1.90177145023583e-05,1.90177145023583e-05,0.00209695325697056,"Psen2/Rapgef4/Ttc30b/Mertk/Cask/Gstm5/Slc9b2/Ift172/Ccdc63/Ift81/Rilpl1/Casc1/Ccdc114/Saxo2/Ptprk/Cfap54/Gli1/Nek4/Ift88/Wdpcp/Tmem17/Ccdc88a/Efcab9/Ace/Prkca/Mak/Map1b/Spata7/Dnah11/Rabl2/Prph/Sept12/Spag6l/Ccr6/Tsga10ip/Catsperz",36
"GO:0097223","sperm part","23/867","240/23436",3.18928221430651e-05,3.18928221430651e-05,0.00281328262693564,"Ica1l/Bmf/Gm14569/Gstm5/Slc9b2/Ift172/Spink2/Ift81/Ccdc136/Saxo2/Itgb1/Tssk4/Ift88/Efcab9/Ace/Itga1/Arsa/Rabl2/Sept12/Spag6l/Cxadr/Ccr6/Catsperz",23
"GO:0044291","cell-cell contact zone","12/867","83/23436",5.27370677028601e-05,5.27370677028601e-05,0.00349177287021645,"Scn2a/Gja5/Nectin2/Sptbn4/Fxyd1/Scn1b/Ank3/Itgb1/Tln2/Prkca/Ptk2/Cxadr",12
"GO:0097729","9+2 motile cilium","15/867","126/23436",6.63839867572842e-05,6.63839867572842e-05,0.00349177287021645,"Gstm5/Slc9b2/Ift172/Ift81/Saxo2/Tssk4/Ift88/Efcab9/Ace/Dnah11/Rabl2/Sept12/Spag6l/Ccr6/Catsperz",15
"GO:0033267","axon part","34/867","448/23436",6.75351532071283e-05,6.75351532071283e-05,0.00349177287021645,"Cdk5r2/Scn2a/Rapgef4/Elk1/C9orf72/Agrn/Nos1/Fscn1/Prkcg/Sptbn4/Scn1b/Kcnc1/Slc17a6/Dlg2/Ank3/Lrp1/Palld/Nrp1/Ang/Nefl/Ncam1/Serpinf1/Ccl2/Itga3/Cntnap1/Prkca/Rac3/Dbn1/Map1b/Ankrd9/Prph/Cxadr/Epb41l3/Shtn1",34
"GO:0044447","axoneme part","8/867","39/23436",7.53790349839097e-05,7.53790349839097e-05,0.00349177287021645,"Ttc30b/Casc1/Ccdc114/Saxo2/Ift88/Wdpcp/Dnah11/Spag6l",8
"GO:0070160","tight junction","15/867","128/23436",7.96342179020905e-05,7.96342179020905e-05,0.00349177287021645,"Pard3b/F11r/Frmd4a/Rab13/Patj/Ank3/Amotl1/Cldn7/Cntnap1/Wnk4/Cxadr/Jam2/Igsf5/Crb3/Epcam",15
"GO:0097014","ciliary plasm","15/867","129/23436",8.70859820853505e-05,8.70859820853505e-05,0.00349177287021645,"Ttc30b/Ift172/Ccdc63/Casc1/Ccdc114/Saxo2/Cfap54/Gli1/Nek4/Ift88/Wdpcp/Mak/Spata7/Dnah11/Spag6l",15
"GO:0036126","sperm flagellum","14/867","119/23436",0.000130758997900793,0.000130758997900793,0.00466032586570421,"Gstm5/Slc9b2/Ift172/Ift81/Saxo2/Tssk4/Ift88/Efcab9/Ace/Rabl2/Sept12/Spag6l/Ccr6/Catsperz",14
"GO:0097228","sperm principal piece","7/867","32/23436",0.000138568544659534,0.000138568544659534,0.00466032586570421,"Slc9b2/Ift172/Ift81/Efcab9/Spag6l/Ccr6/Catsperz",7
"GO:0005923","bicellular tight junction","14/867","121/23436",0.000156393059487049,0.000156393059487049,0.00466032586570421,"Pard3b/F11r/Frmd4a/Rab13/Patj/Ank3/Amotl1/Cldn7/Wnk4/Cxadr/Jam2/Igsf5/Crb3/Epcam",14
"GO:0031514","motile cilium","19/867","199/23436",0.000158495569418341,0.000158495569418341,0.00466032586570421,"Adam15/Gstm5/Slc9b2/Ift172/Ift81/Saxo2/Tssk4/Ift88/Efcab9/Ace/Mak/Dnah11/Ropn1l/Rabl2/Sept12/Spag6l/Ccr6/Catsperz/Cfap43",19
"GO:0062023","collagen-containing extracellular matrix","28/867","359/23436",0.000183612422411374,0.000183612422411374,0.00506142138094511,"Fn1/Lad1/Lamc2/Itih5/Cask/Thbs3/Anxa9/Npnt/Col27a1/P3h1/Agrn/Igfbp7/Anxa3/Mfap5/Nav2/Col6a2/Comp/Itgb1/Ang/Col5a3/Plscr1/Emid1/Serpinf1/Itgb4/Hapln1/Coch/Smoc1/Kazald1",28
"GO:0098636","protein complex involved in cell adhesion","7/867","35/23436",0.000251357771082936,0.000251357771082936,0.00652129449434986,"Ctla4/Npnt/Itgb1/Itga3/Itgb4/Itga1/Cd80",7
"GO:0005930","axoneme","14/867","128/23436",0.000283251708621233,0.000283251708621233,0.00678678759109482,"Ttc30b/Ift172/Ccdc63/Casc1/Ccdc114/Saxo2/Cfap54/Gli1/Ift88/Wdpcp/Mak/Spata7/Dnah11/Spag6l",14
"GO:0033270","paranode region of axon","5/867","17/23436",0.000292366386680815,0.000292366386680815,0.00678678759109482,"Scn2a/Sptbn4/Ank3/Cntnap1/Epb41l3",5
"GO:0044304","main axon","11/867","86/23436",0.000324629995892914,0.000324629995892914,0.00715894569890163,"Scn2a/C9orf72/Sptbn4/Scn1b/Kcnc1/Dlg2/Ank3/Cntnap1/Map1b/Ankrd9/Epb41l3",11
"GO:0016323","basolateral plasma membrane","20/867","229/23436",0.000353984046237228,0.000353984046237228,0.00743455214904253,"Vangl2/Rapgef4/Cask/Slc9b2/Oscp1/Dlg2/P2ry6/Ank3/Lrp1/Ndrg4/St14/Pth1r/Cldn7/Itga3/Ace/Itgb4/Ptk2/Muc20/Cxadr/Epcam",20
"GO:0098802","plasma membrane receptor complex","17/867","181/23436",0.000417160401123427,0.000417160401123427,0.00836316785027348,"Acvr2a/Acvr1/Chrna1/Chrnb2/Npnt/Cd79a/Cpt1c/Dlg2/Insr/Itgb1/Itga3/Itgb4/Nrn1/Itga1/Ighd/Ighm/Iglc1",17
"GO:0005604","basement membrane","12/867","107/23436",0.000601693473339737,0.000601693473339737,0.0115381952095812,"Fn1/Lad1/Lamc2/Cask/Npnt/P3h1/Agrn/Itgb1/Ang/Serpinf1/Itgb4/Smoc1",12
"GO:0031253","cell projection membrane","23/867","295/23436",0.000670305111360063,0.000670305111360063,0.0123183263885906,"Aif1l/Cask/Nox1/Fscn1/Kcnc1/Mpp2/Cdhr5/Insr/Dlc1/Ndrg4/Mtss2/Itgb1/Pth1r/Slc6a20b/Tmem17/Pld2/Itga3/Ace/Adcy6/Prph/Aif1/Epb41l3/Trpm6",23
"GO:0030992","intraciliary transport particle B","5/867","21/23436",0.000850159456679531,0.000850159456679531,0.0143806142432314,"Ttc30b/Ift172/Ift81/Ift88/Rabl2",5
"GO:0031012","extracellular matrix","32/867","475/23436",0.000880340704866074,0.000880340704866074,0.0143806142432314,"Il1rl1/Fn1/Lad1/Lamc2/Itih5/Cask/Thbs3/Anxa9/Npnt/Col27a1/P3h1/Agrn/Igfbp7/Anxa3/Mfap5/Apoe/Nav2/Mmp11/Col6a2/Comp/Itgb1/Ang/Mmp10/Col5a3/Plscr1/Emid1/Serpinf1/Itgb4/Hapln1/Coch/Smoc1/Kazald1",32
"GO:0099568","cytoplasmic region","32/867","475/23436",0.000880340704866074,0.000880340704866074,0.0143806142432314,"Pard3b/Lamc2/Rnd3/Cd302/Ttc30b/Kdf1/Ift172/Ccdc63/Casc1/Sptbn4/Ccdc114/Saxo2/Cfap54/Gli1/Dlc1/Mtss2/Rhou/Nek4/Ift88/Arhgap32/Myo1e/Myzap/Wdpcp/Itgb4/Mak/Dbn1/Pfn4/Spata7/Tnfaip2/Dnah11/Sept12/Spag6l",32
"GO:0031838","haptoglobin-hemoglobin complex","4/867","14/23436",0.00138336732429732,0.00138336732429732,0.0198524844497598,"Hbb-bt/Hbb-bs/Hp/Hba-a1",4
"GO:0071437","invadopodium","4/867","14/23436",0.00138336732429732,0.00138336732429732,0.0198524844497598,"Nox1/Fscn1/Itgb1/Itga3",4
"GO:0034358","plasma lipoprotein particle","6/867","34/23436",0.00139535958722059,0.00139535958722059,0.0198524844497598,"Apoe/Saa3/Apof/Lpl/Lcat/Pla2g7",6
"GO:1990777","lipoprotein particle","6/867","34/23436",0.00139535958722059,0.00139535958722059,0.0198524844497598,"Apoe/Saa3/Apof/Lpl/Lcat/Pla2g7",6
"GO:0030426","growth cone","17/867","203/23436",0.00150751337617937,0.00150751337617937,0.0207778981782617,"Cdk5r2/Rapgef4/C9orf72/Agrn/Fscn1/Lrp1/Palld/Nrp1/Ang/Nefl/Ncam1/Itga3/Rac3/Dbn1/Map1b/Cxadr/Shtn1",17
"GO:0032838","plasma membrane bounded cell projection cytoplasm","15/867","171/23436",0.00177247190771929,0.00177247190771929,0.0236894969484651,"Ttc30b/Ift172/Ccdc63/Casc1/Ccdc114/Saxo2/Cfap54/Gli1/Nek4/Ift88/Wdpcp/Mak/Spata7/Dnah11/Spag6l",15
"GO:0098589","membrane region","26/867","377/23436",0.00186230324094067,0.00186230324094067,0.0239180062950444,"Rgs16/Cask/Btk/Chrnb2/Nos1/Ret/Cd79a/Lipe/Fxyd1/Insr/Dlc1/Plvap/Itgb1/Ift88/Plscr1/Tdgf1/Plcd1/Pld2/Cavin1/Prkca/Itga1/Nfam1/Adcy6/Cxadr/Ms4a1/Ms4a2",26
"GO:0032994","protein-lipid complex","6/867","36/23436",0.0018980279458478,0.0018980279458478,0.0239180062950444,"Apoe/Saa3/Apof/Lpl/Lcat/Pla2g7",6
"GO:0030427","site of polarized growth","17/867","208/23436",0.00195562076322857,0.00195562076322857,0.023959213444233,"Cdk5r2/Rapgef4/C9orf72/Agrn/Fscn1/Lrp1/Palld/Nrp1/Ang/Nefl/Ncam1/Itga3/Rac3/Dbn1/Map1b/Cxadr/Shtn1",17
"GO:0045121","membrane raft","25/867","364/23436",0.00238150228923364,0.00238150228923364,0.0283883203183185,"Rgs16/Cask/Btk/Chrnb2/Nos1/Ret/Cd79a/Lipe/Fxyd1/Insr/Dlc1/Plvap/Itgb1/Plscr1/Tdgf1/Plcd1/Pld2/Cavin1/Prkca/Itga1/Nfam1/Adcy6/Cxadr/Ms4a1/Ms4a2",25
"GO:0098857","membrane microdomain","25/867","365/23436",0.0024697006661655,0.0024697006661655,0.0286649467901204,"Rgs16/Cask/Btk/Chrnb2/Nos1/Ret/Cd79a/Lipe/Fxyd1/Insr/Dlc1/Plvap/Itgb1/Plscr1/Tdgf1/Plcd1/Pld2/Cavin1/Prkca/Itga1/Nfam1/Adcy6/Cxadr/Ms4a1/Ms4a2",25
"GO:0097225","sperm midpiece","5/867","27/23436",0.0028071066128403,0.0028071066128403,0.03174568612092,"Ift172/Ift81/Ace/Rabl2/Ccr6",5
"GO:0098685","Schaffer collateral - CA1 synapse","11/867","113/23436",0.00314176339772184,0.00314176339772184,0.0346420753590908,"Cask/Syn1/Ghrl/Mpp2/Anks1b/Cdh11/Itgb1/Nefl/Ncam1/Apba1/Adrb1",11
"GO:0030027","lamellipodium","14/867","165/23436",0.00336443754589705,0.00336443754589705,0.0355278974737833,"Nckap1/Rab13/Ptpn13/Fscn1/Plxnd1/Palld/Mtss2/Amotl1/Ccdc88a/Pld2/Dbn1/Ptk2/Aif1/Shtn1",14
"GO:0043235","receptor complex","26/867","394/23436",0.00338320551122662,0.00338320551122662,0.0355278974737833,"Acvr2a/Acvr1/Chrna1/Mertk/Il13ra1/Chrnb2/Npnt/Flt1/Plxnd1/Ret/Cd79a/Cpt1c/Dlg2/Lrp1/Insr/Itgb1/Pth1r/Itga3/Itgb4/Nrn1/Itga1/Ighd/Ighm/Lifr/Iglc1/Cd200r1",26
"GO:0005912","adherens junction","21/867","297/23436",0.00365503993006353,0.00365503993006353,0.0374898832483872,"Pard3b/Tns1/Nectin4/Frmd4a/Aif1l/Gm14569/Nexn/Nectin2/Sptbn4/Prag1/Dlc1/Cdh11/Nrp1/Itgb1/Tln2/Myo1e/Grb7/Itgb4/Itga1/Ptk2/Cxadr",21
"GO:0030990","intraciliary transport particle","5/867","29/23436",0.00388513886043562,0.00388513886043562,0.0389443345101083,"Ttc30b/Ift172/Ift81/Ift88/Rabl2",5
"GO:0031252","cell leading edge","25/867","380/23436",0.00416441485693344,0.00416441485693344,0.0408161362585991,"Aif1l/Nckap1/Rab13/Kdf1/Ptpn13/Fscn1/Plxnd1/Kcnc1/Mpp2/Ptprk/Insr/Dlc1/Palld/Mtss2/Itgb1/Amotl1/Tln2/Ccdc88a/Pld2/Itgb4/Dbn1/Ptk2/Aif1/Epb41l3/Shtn1",25
"GO:0033268","node of Ranvier","4/867","19/23436",0.00462333559622449,0.00462333559622449,0.0443290072040747,"Scn2a/Sptbn4/Scn1b/Ank3",4
"GO:0005883","neurofilament","3/867","10/23436",0.00498167776082489,0.00498167776082489,0.0467485550231943,"Nrp1/Nefl/Prph",3
"GO:0044295","axonal growth cone","6/867","44/23436",0.00535807127315154,0.00535807127315154,0.0492331549002301,"C9orf72/Agrn/Lrp1/Palld/Dbn1/Shtn1",6
"GO:0150034","distal axon","24/867","369/23436",0.0056610641258898,0.0056610641258898,0.0509556577604259,"Cdk5r2/Rapgef4/Elk1/C9orf72/Agrn/Nos1/Fscn1/Prkcg/Kcnc1/Lrp1/Palld/Nrp1/Ang/Nefl/Ncam1/Ccl2/Itga3/Prkca/Rac3/Dbn1/Map1b/Prph/Cxadr/Shtn1",24
"GO:0008305","integrin complex","5/867","32/23436",0.00601398726530539,0.00601398726530539,0.0530496981929044,"Npnt/Itgb1/Itga3/Itgb4/Itga1",5
"GO:0070161","anchoring junction","21/867","311/23436",0.00615295518385033,0.00615295518385033,0.0532113152122454,"Pard3b/Tns1/Nectin4/Frmd4a/Aif1l/Gm14569/Nexn/Nectin2/Sptbn4/Prag1/Dlc1/Cdh11/Nrp1/Itgb1/Tln2/Myo1e/Grb7/Itgb4/Itga1/Ptk2/Cxadr",21
"GO:0097542","ciliary tip","3/867","11/23436",0.00666290438712403,0.00666290438712403,0.0565132983442301,"Gli1/Ift88/Mak",3
"GO:0045177","apical part of cell","26/867","416/23436",0.00680014995801163,0.00680014995801163,0.0565891327191037,"Pard3b/Fn1/Vangl2/Psen2/Acvr1/Rapgef4/Patj/Mgst1/Fxyd1/P2ry6/Cdhr5/Lrp1/Cyp4f18/Slc12a3/Amotl1/Pth1r/Tdgf1/Slc6a20b/Slc6a20a/Prkca/Vash1/Pdzd2/Ptk2/Crb3/Epcam/Trpm6",26
"GO:0001669","acrosomal vesicle","11/867","127/23436",0.00757052837824381,0.00757052837824381,0.0617801351444789,"Ica1l/Bmf/Gm14569/Spink2/Ccdc136/Itgb1/Tssk4/Ift88/Itga1/Arsa/Cxadr",11
"GO:0042383","sarcolemma","13/867","163/23436",0.0077040860651528,0.0077040860651528,0.0617801351444789,"Scn2a/Agrn/Nos1/Clcn1/Fxyd1/Scn1b/Ank3/Col6a2/Itgb1/Pld2/Ptk2/Adcy6/Ccdc78",13
"GO:0043194","axon initial segment","4/867","22/23436",0.00799170414472021,0.00799170414472021,0.0629421811398077,"Scn2a/Sptbn4/Ank3/Ankrd9",4
"GO:0020005","symbiont-containing vacuole membrane","3/867","12/23436",0.00864194716229435,0.00864194716229435,0.0647078811267034,"Gbp2b/Gbp10/Gbp6",3
"GO:0043020","NADPH oxidase complex","3/867","12/23436",0.00864194716229435,0.00864194716229435,0.0647078811267034,"Cybb/Nox1/Noxo1",3
