ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1lo_up,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1lo_up,267,0.7292821244537313,1.2189895595955584,0.029772681553007444,0.5656809495071414,0.5641139662675094,1483,"tags=20%, list=10%, signal=18%",Kcnj8/Vpreb1/Aqp9/Cdc20b/Alox5ap/Trav3-4/Cpeb3/Plekha6/Cntn1/Tktl1/Wdr49/Tgfb1i1/Klk13/Cdhr1/Brdt/Tbx6/Car15/Trav6-5/Kcna2/Lmntd1/Dnajc28/Olfr731/Col7a1/Samd3/S1pr5/Klrg1/Gpx8/Fcgr2b/Camk2b/Wdr95/Dbndd2/Myo3b/Edaradd/Klre1/Ccr2/Cd163l1/A930004D18Rik/Gzmm/Trav15-1-dv6-1/Ifit1bl1/G0s2/Ptgs1/Ccl9/Ctxn1/Unc5cl/Fam186b/Cib2/Ecm2/Crybb1/Rasl11a/Tcp11l2/Rara/6330403K07Rik
2018_IMMUNITY_Wang---D5KLRG1lo_vs_Naive_dn,2018_IMMUNITY_Wang---D5KLRG1lo_vs_Naive_dn,554,0.6564169930994403,1.1012471846679868,0.1171,0.8679270447801006,0.8655228147391587,1211,"tags=18%, list=8%, signal=18%",Il6ra/Emilin2/Pfkfb4/Fam43a/Aqp9/Clip2/Pheta1/Lmo2/Sh3pxd2a/Adgre1/March1/Hcn3/Ctsh/Tns3/H2-Ob/Alox5ap/Ffar2/Olfml3/Rasgrf2/Usp35/Plaur/Maml3/Hbb-bt/Mpeg1/Apol7b/Clcn2/Adcy6/Olfr204/Fcna/Plekha6/Nrg2/Spsb1/Cnr2/2510009E07Rik/Gm1043/Ifngr2/Ighg2b/Sirpa/Cntnap1/Slc16a5/Cntn1/Cybrd1/Susd2/Hck/Wdr49/Treml4/B430306N03Rik/Ank1/Ighg3/Spns3/Kcnip3/Ptafr/Iglv3/Amigo2/Smco1/Itga5/Adgrg3/Abca1/Fcrla/Olfr1122/Bcar3/Dcst1/Rnase6/Olfr392/Rab7b/Ccr4/Nod2/Tbx6/Capn5/Csf2rb/Fcmr/Sh3tc1/Asb2/Rasgrp3/Kcna2/Lrig1/A530032D15Rik/Prss12/Il17rb/Cr2/Cbln3/Eng/Il9r/Dnajc28/Glis3/Cd36/Zfp109/Siglecg/Col7a1/Adam11/Fads2/Slc43a1/Kcna3/Ubtd1/Ppm1l/Kdm4b/Dbndd2/Nfix/Sipa1l2/Elmo3/Tmem51/Nckap5l
2018_IMMUNITY_Wang---D5KLRG1hi_vs_Naive_dn,2018_IMMUNITY_Wang---D5KLRG1hi_vs_Naive_dn,447,0.6568919293383759,1.1018771001431082,0.145985401459854,0.8679270447801006,0.8655228147391587,1244,"tags=20%, list=9%, signal=19%",Il6ra/Emilin2/Pfkfb4/Pik3r3/Fam43a/Clip2/Lmo2/Ptp4a1/Prrg4/Cpt1c/Sh3pxd2a/Ctsh/Zfp28/H2-Ob/St8sia1/Rasgrf2/Usp35/Plaur/Zfp229/Hbb-bt/Cd300lf/Clcn2/Adcy6/Sdc1/Dtx4/Plekha6/Capn3/Spsb1/Cnr2/Tgfbr3l/Pdk2/Gm1043/Ifngr2/Ighg2b/Sirpa/Slc16a5/Cybrd1/Hck/Tgm2/Amz1/B430306N03Rik/Ank1/Ighg3/Kcnip3/Iglv3/Amigo2/Adamtsl4/Adgrg3/Abca1/Fcrla/Olfr1122/Dcst1/Egfl8/Rab7b/Ccr4/Nod2/Tbx6/Vmn2r95/Pla2g4a/Csf2rb/Adgra3/Arrdc4/Sh3tc1/Kcna2/Lrig1/Prss12/Cbln3/Eng/Il9r/Dnajc28/Klhl23/Cd36/Zfp109/Siglecg/Rassf8/Itga9/Slc43a1/Kcna3/Ptov1/Ecm1/Ppm1l/Kdm4b/Mocs1/Nfix/Sipa1l2/Nr1h3/Elmo3/Nckap5l/Ppp1r3f/Insr/Cd163l1
2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1lo_up,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1lo_up,224,0.6429467232105947,1.070905550279834,0.30987479806138934,0.8679270447801006,0.8655228147391587,1488,"tags=25%, list=10%, signal=22%",Kcnj8/Aqp9/Trat1/Sh3pxd2a/Trav7-5/Ccdc17/H2-Ob/Efcab6/Hbb-bt/Dnase1l2/Apol7b/Trav3-4/Dtx4/Plekha6/Pdk2/Mal/Cntn1/Tktl1/Wdr49/Kcnip3/Hba-a2/Tgfb1i1/Adgrg3/Tbx6/Car15/Asb2/Gm10800/Lrig1/Lmntd1/Prss12/Samd3/Fcgr2b/Camk2b/Ubtd1/Wdr95/Dbndd2/Myo3b/Edaradd/Nckap5l/Ccr2/Cd163l1/A930004D18Rik/Gzmm/Ifit1bl1/Ptgs1/Ccl9/Ccdc136/Unc5cl/Cib2/Il2/Crybb1/Rasl11a/Tcp11l2/6330403K07Rik/Slc2a9
2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1hi_dn,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1hi_dn,260,0.6233980148005686,1.040786243119111,0.3919122824665527,0.8679270447801006,0.8655228147391587,1402,"tags=9%, list=10%, signal=8%",Omd/Cdc20b/St8sia1/Mettl7a3/Adora3/Cgref1/Fam166a/Gm8906/Bpifc/Syde2/Klra7/Klrg1/Gpx8/Hes1/Gzma/Il10/Nupr1/Ldlr/Bco1/Rsph10b/Egr3/Hacd1/Prss57
2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1lo_dn,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1lo_dn,346,0.6110800447627794,1.0230193543779529,0.43123496391339217,0.8679270447801006,0.8655228147391587,1485,"tags=11%, list=10%, signal=10%",Rep15/Omd/Cdc20b/Kcnb1/St8sia1/Dnal1/Scd1/Olfr1388/Mettl7a3/Fgfr1/Adora3/Cgref1/Fam166a/Tmem30c/2610028H24Rik/Dcbld1/Gm8906/Bpifc/Syde2/Gpx8/Hes1/Aldh1a3/Il10/Nupr1/Ldlr/Bco1/Rsph10b/Tulp3/Igf2bp2/Hacd1/Prss57/Trim6/Olfr1369-ps1/Lipt2/Tnni3/Rapsn/Ttc25
2016_SCIENCE_Mackay---TEM_vs_TCM-TRM,2016_SCIENCE_Mackay---TEM_vs_TCM-TRM,133,0.6253564126819371,1.0281603983256244,0.4504299181601575,0.8679270447801006,0.8655228147391587,1339,"tags=11%, list=9%, signal=10%",Kcnj8/Cdc20b/Fam131b/Tagln/Tktl1/Cdhr1/S1pr5/Klrg1/Gpx8/Esm1/Nhsl2/Fcrls/Klre1/Rap2a/Ccl9
2016_SCIENCE_Mackay---TRM_vs_TCM-TEM,2016_SCIENCE_Mackay---TRM_vs_TCM-TEM,1926,0.5982242275124247,1.0057641289022337,0.46145385461453853,0.8679270447801006,0.8655228147391587,1223,"tags=12%, list=8%, signal=12%",Fam174b/B4galnt4/Wnt10b/Hpgds/Endou/Mmp14/Hspb1/Bmpr1a/Atf3/Wipi1/Ripply3/Dsg2/Fam43a/Dusp8/Clip2/Yap1/Tgfb3/Spns2/Cdh5/Trat1/Tnfsf11/Pacsin3/Palld/Rnd2/Tubg2/Tgfbi/Unc13b/Spp1/Zg16/Bcl2l14/Tead3/St8sia1/Gpnmb/Thrb/Upp1/Apol9a/Blnk/Rasgrf2/Dgat2/Wwc1/Ppp1r1b/Dnal1/Scamp1/Smpd3/Cttnbp2nl/Scd1/Rragd/Apol7b/Clcn2/Plce1/Akr1c12/Gpr87/Myo1b/Tspan15/Adcy6/Sdc1/Gm5127/Wwc2/Tfap2a/Bcam/Dtx4/Dlg5/Reep6/Cxadr/Shb/Evi5/Glis2/Stap2/Spsb1/Acer1/Dok4/Slc7a8/D630045J12Rik/Dzank1/2510009E07Rik/Fzd4/Zfp683/Spry4/Dll1/Pdgfa/Tmem30b/Ifngr2/Gpr141/B3galt5/Fbln1/Pls3/Plch1/Gsta4/Slc12a8/Hkdc1/Col15a1/Prodh/Apol9b/Adora3/Adra2a/Bmp1/Arhgef5/Cgref1/Xpnpep2/Tmem184a/Rin2/Klf5/Cntn1/Calml4/Susd2/Ugt1a7c/Nlrp1b/Pygl/Amz1/Rnase4/Spns3/Tead1/Unc79/Fam83f/Gjb2/Adm/Ptafr/Kcng3/Insrr/Prpf40b/Fnbp1l/Dmd/Cdc42ep5/Sh3bgrl2/Clu/Hdac11/Gpx2/Bcar3/Fgfr3/Reps2/Gal3st1/Lct/Hspa12a/Rnase6/Ccr4/Mgst1/Brdt/Capn5/Nav1/Fat1/Emid1/Dcbld1/Gpd1/Arrdc4/Hnf1b/Sh3tc1/Rhpn2/Asb2/Bpifc/Slc15a1/Slc9a2/Cilp2/Auts2/Deptor/Adamtsl5/Pard3/Me1/Extl1/Zfp111/Fzd10/Actrt3/Acvr1/Lrp4/Mmp28/Lrig1/Cers3/6430571L13Rik/C77080/Zcchc14/Sdsl/Syde2/Elf3/Cbln3/Slc6a4/Sulf2/Fsd1l/Iqsec2/Cd36/Rasgrf1/Btnl4/Rasgrp4/Cbs/Asap3/Ckmt1/Map3k6/Tgfa/Erbb2/Col7a1/Mrgpre/Mpzl2/Hes1/Fads2/Pde5a/Per3/Eps8/Eya2/Tgfbr3/Tmem144/Thnsl2/Ecm1/Arc/Mical2/Fam129b/Rnf130/Lmna/Nupr1/Wdr60/Mocs1/Nfix/Sipa1l2/Fndc3b/Psrc1/Nav2/Casp12/Cnn3/Ldlr/Etv5/Edaradd/Cyp39a1/Map4k5/Tceal8/Vegfa
2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1hi_dn,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1hi_dn,176,0.6118633696012101,1.0150847350693304,0.4727049683091392,0.8679270447801006,0.8655228147391587,903,"tags=6%, list=6%, signal=6%",Omd/St8sia1/Mpeg1/Olfr1388/Mettl7a3/Adora3/Gm8857/Ppbp/Gm8906/Bpifc/Acvr1
2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1hi_up,2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1hi_up,209,0.6052225998619518,1.0054660615373578,0.5015219155844156,0.8679270447801006,0.8655228147391587,1286,"tags=18%, list=9%, signal=16%",Nacc2/Vmn1r12/H2-Ob/Art3/Rasgrf2/Hbb-bt/Olfr986/Dtx4/Olfr204/Plekha6/Capn3/Dzank1/Ces2b/Tktl1/Hba-a2/Adamtsl4/Olfr1122/Hsd3b2/Ttn/Arrdc4/Gm10800/Extl1/Lmntd1/Olfr775/Olfr374/Col7a1/Samd3/Fcgr2b/Wdr95/Kdm4b/Dbndd2/Myo3b/Mocs1/Nckap5l/Cd163l1/Gzmm/Dapl1
