wilcoxon,t-test,t-test_overestim_var
Tcf7,Tcf7,Tcf7
Ltb,Ltb,Ltb
Rpl17,Limd2,Gm8369
Rpl39,Gm8369,Limd2
Rps24,Rpl17,Rpl17
Limd2,Rpl39,Rpl39
Rpl37,Rps29,Rps24
Gm8369,Rps24,Rpl18a
Rpl19,mt-Co1,Rps7
Rpl27a,Rpl18a,Rps29
Rpl18a,Rps7,mt-Co1
Rps21,Rpl27a,Rpl30
Rps29,Rpl37,Rpl37
Rpl12,Rpl37a,Rpl27a
Rpl37a,Rpl36,Rps13
Rpl18,Rps21,Rpl37a
Rps27,Rps13,Rps21
Rps7,Rpl30,Ighm
Emb,Emb,Rpl18
mt-Co1,Rpl22,Rpl36
Rplp1,Rplp1,Emb
Fau,Rpl21,Rpl22
Rps13,Cd3d,Cd3d
Rpl22,Rps27,Rpl19
Rpl36,Rpl19,Rps27
mt-Atp6,Ighm,Rpl21
Rpl23,Fau,Rplp1
Rps15a,Btg1,Btg1
Rpl30,mt-Atp6,Fau
Rpl21,Rpl18,Evl
Rpl24,Rpl24,Rpl23
Rpl32,Ifi27l2a,mt-Atp6
Rpl34,Rpl23,Pdcd4
Rpl29,Evl,Ifi27l2a
Cd3d,B2m,Rpl24
Rps16,Rps15a,Rps15a
Rpl11,Rpl12,Slamf6
Btg1,Pdcd4,Rpl12
Ighm,H2-K1,Crtam
Ifi27l2a,Rps16,B2m
B2m,Traf1,Rpl32
Evl,Rpl11,Rpl34
Slamf6,Rpl32,Rps16
Rpl9,Rpl34,Traf1
Rpl27,Slamf6,H2-K1
Rps10,Rps14,Rps14
Pdcd4,Rps10,Rps10
Rps14,Mbnl1,Rpl11
Traf1,Rpl9,Mbnl1
Rpl35a,Crtam,Rpl9
Rps18,Rpl35a,Rplp2
Rps28,Gimap6,Shisa5
Mbnl1,Rplp2,Gimap6
H2-K1,Rps3,Rpl35a
Rplp2,Ptpn18,Asap1
Rps20,Rpl27,Rpl27
Gimap6,Shisa5,Ccr7
Rps3,Rpl29,Cox7a2l
Ptpn18,Rpl5,Rps28
Cox7a2l,Rps28,Rpl29
Shisa5,Cox7a2l,Rps3
Eef1a1,Cd52,Ptpn18
Crtam,Eef1a1,Tcp11l2
Rack1,Rps20,Cd52
Rpl5,Asap1,Eef1a1
Tpt1,mt-Co3,Rps20
Uqcrh,Cd3g,Tmsb10
Map4k4,Rack1,Utrn
mt-Co3,Utrn,Map4k4
Cd52,Tmsb10,Rpl5
Tmsb10,Tpt1,Rack1
Rps5,Ccr7,Gpr183
Rps9,Tcp11l2,mt-Co3
Utrn,Map4k4,Cd3g
Cd3g,Gpr183,Tnfsf8
Pfdn5,Uqcrh,Tpt1
mt-Co2,Rps5,Hcst
Ucp2,Hcst,Uqcrh
Rpl38,Rps18,Rps18
Asap1,Pfdn5,Id3
Rpl13,Rps23,Nsg2
Rps12,Saraf,Rps5
Eif3f,Ms4a6b,Saraf
Gpr183,Cd3e,Sesn3
Rps23,Ptprc,Pfdn5
Hcst,Pnrc1,Ucp2
Pnrc1,Tnfsf8,Rps23
Gmfg,Ucp2,Gmfg
Ifi203,Gmfg,Inpp4b
Rps26,Ctss,Pnrc1
Saraf,Nsg2,Tespa1
Cd3e,mt-Co2,Ctss
Ctss,Sesn3,Ptprc
Fyn,Ifi203,Ifi203
Ccr7,Id3,Cd3e
Srgn,Rpl38,Irf2bp2
H2-T23,Eif3f,Ms4a6b
Ptprc,Srgn,Rgs10
Il2rg,Tespa1,Itgb1
Rpl10a,Rps12,mt-Co2
Eef1b2,Fyn,Eif3f
Slfn2,Irf2bp2,Slfn2
Acp5,Slfn2,H2-T23
Gtf2i,Sept1,Tcf12
Ms4a6b,Itgb1,Cd9
Tcp11l2,Rpl13,Ypel3
Ets1,H2-T23,Rpl38
Laptm5,Trbc2,Arl5c
Trbc2,Ypel3,Grap
Rpl26,Ets1,Srgn
Grap,Laptm5,Rps12
Selenow,Inpp4b,Acp5
Sept1,Cd9,Sept1
Itgb1,Tcf12,Ets1
Rpl15,Acp5,Rpl13
Ypel3,Arl5c,Fyn
Tespa1,Il2rg,Msi2
Nop53,Rgs10,Tox
Naca,Grap,Ogt
Bcl2,Ogt,Laptm5
Rps27a,Rps9,Il2rg
Tnfsf8,Selenow,Gtf2i
Ly6e,Rps26,Trim12a
Clk1,Msi2,Rps9
Nsg2,Gtf2i,Selenow
Eif3h,Bcl2,Trbc2
Cd9,Trim12a,Rps26
Ctla4,Slfn1,Slfn1
Sh2d1a,Ctla4,Ctla4
Rpl4,Rpl4,Ifi213
Gimap3,Tox,Bcl2
Ogt,Ms4a4b,Cblb
Rpl35,Ifi213,Dpp4
Serf2,Ly6e,Camk2d
Irf2bp2,Junb,Smpdl3a
1810058I24Rik,Dpp4,Ly6e
Gimap5,Rpl15,Rpl4
Slfn1,Cblb,Ms4a4b
Ms4a4b,Gimap3,Mycbp2
Paip2,Camk2d,Nbdy
Arl5c,Smpdl3a,Gimap3
Cnot6l,Akap13,Trim12c
Tcf12,Clk1,Akap13
Junb,Gimap5,Clk1
Rps11,Naca,Junb
Dpp4,Mycbp2,Gimap5
mt-Nd2,Nbdy,Rpl15
Prrc2c,Rps27a,Ablim1
Tnfaip3,Ablim1,Rtp4
Akap13,Trim12c,Rpl10a
Ddx5,Rpl10a,Naca
Cd28,Nop53,Actn1
Vmp1,Eef1b2,Socs3
Trim12a,Skap1,Rps27rt
Id3,Tnfaip3,Paip2
H2-D1,H2-D1,Nop53
Gimap4,Eif3h,Pbxip1
Rhoh,Rtp4,Rps27a
Cblb,Rps27rt,Eef1b2
Mycbp2,Gimap4,H2-D1
Msi2,Ddx5,Pim2
Peli1,Actn1,Skap1
Inpp4b,Rpl26,Fchsd2
Cyb5a,Pbxip1,Mgst2
Skap1,Paip2,Eif3h
Rgs10,Rhoh,Rpl26
Bnip3l,Sh2d1a,Arid5a
Rps19,Socs3,Tnfaip3
Rps27rt,Arid5a,Il7r
Eif3e,Serf2,Pacsin1
Sesn3,Mgst2,Aff3
Ablim1,Jun,Gimap4
mt-Nd4,Rpl35,Ddx5
Sh3kbp1,Bnip3l,Arhgef3
Rpl36a,Il7r,Sh2d1a
Cotl1,Pim2,Bnip3l
Ifi213,Zfp36l1,Cnot6l
Zfp36l1,Cd226,Rasgrp1
Klk8,Cnot6l,Kdm5b
Jun,Arhgef3,Jun
Smpdl3a,Klk8,Rhoh
Camk2d,Fchsd2,Klk8
Eif3m,Rasgrp1,Ifi208
Fyb,Tnrc6b,Serf2
Fxyd5,Aff3,Tnrc6b
Sept6,Cd28,Zfp36l1
Chd2,Prrc2c,Cd226
Zc3hav1,Cyb5a,Rpl35
Ifi27,Ifi208,Peli1
Tox,mt-Nd2,Chd3
Ctla2a,Peli1,Cyb5a
Rplp0,Chd3,Prrc2c
Mndal,Mndal,Mndal
Rpl8,Fyb,Ifnar2
Trim12c,Kdm5b,Rnf213
Jmjd1c,Pacsin1,Tnfrsf26
Cd53,Ipcef1,Ctla2a
Sp110,Jmjd1c,Ipcef1
Tmem50a,Rps19,Sp110
Ddx6,Sp110,Cd28
Supt4a,Ctla2a,Scml4
Rinl,Ifnar2,Fyb
Srsf5,Chd2,mt-Nd2
Cd69,Adcy7,Adcy7
Actn1,Ube2h,Trp53inp1
Mettl23,1810058I24Rik,Jmjd1c
Trim30a,Trp53inp1,1810058I24Rik
Rps3a1,Tut4,Slc25a36
Arhgap45,Rnf213,Pdrg1
Scand1,Pdrg1,Rps19
Tut4,Fosb,Chd2
Nr4a2,Trim30a,Ube2h
Tnrc6b,Slc25a36,Trim30a
Satb1,Vmp1,Il16
