wilcoxon,t-test,t-test_overestim_var
Lgals1,Lgals1,Lgals1
S100a6,S100a6,Anxa2
Hmgb2,Gzmb,Gzmb
Gapdh,Anxa2,S100a6
Crip1,Hmgb2,Hmgb2
Actg1,Stmn1,Stmn1
Gzmb,H2az1,Lgals3
S100a10,Vim,H2az1
Anxa2,Lgals3,Serpinb6b
Tmsb4x,Txn1,Cks1b
Vim,Crip1,Vim
H2az1,S100a10,Birc5
Txn1,Actg1,Ccnb2
Sub1,Gapdh,S100a10
Cd48,Serpinb6b,Txn1
Stmn1,Cks1b,Crip1
Lgals3,Cd48,Actg1
Serpinb6b,Birc5,Tmsb4x
Calm1,Sub1,Pclaf
Pycard,Tmsb4x,Gapdh
Hsp90b1,Ccnb2,S100a4
S100a4,Hsp90b1,Cd48
Cks1b,Pclaf,Gzmk
Cox5b,Pycard,Cenpa
Actb,S100a4,Ahnak
Cox5a,Cenpa,1500009L16Rik
Gzmk,Ahnak,Ctla2a
Nkg7,Ctla2a,Gzma
Ifng,Hopx,Sub1
Ahnak,Cox5b,Hsp90b1
Birc5,Actb,Ifng
Ptma,Hmgn2,Pycard
Gzma,Reep5,Hopx
Ccnb2,Gzmk,Lmnb1
Abracl,Ptma,Ptma
Ctla2a,Calm1,Plek
Cenpa,1500009L16Rik,Hmgn2
Ran,Lmnb1,Actb
Prdx1,Gzma,Cdca8
Clic1,Cox5a,Sdf2l1
Pclaf,Ifng,Ube2c
Cdc42,Nkg7,Ybx3
Reep5,Abracl,Ly6c2
Lsp1,Ly6c2,Reep5
Pfn1,Prelid1,Bhlhe40
1500009L16Rik,Ctsd,Cox5b
Ctsd,Ybx3,Mki67
Cyba,Plek,Cdca3
Hopx,Prdx1,Calm1
Hmgn2,Ran,Serpinb9
Bhlhe40,Lsp1,Ctsd
Cfl1,Clic1,Pkm
Lmnb1,Calm3,Ptms
Ube2c,Sdf2l1,Cox5a
Plek,Dbi,Ran
Ly6c2,Itga4,Dut
Ybx1,Cdca8,Prelid1
Prelid1,Ube2c,Nkg7
Dbi,Cdc42,Fkbp2
Ppia,Pfn1,Prdx1
Rps27l,Pkm,Calm3
Ppp1ca,Bhlhe40,Abracl
Calm3,Rps27l,Lsp1
Dynll1,Selenoh,Cks2
Cdca8,Fkbp2,Itga4
Hmgb1,Cyba,Dbi
Sdf2l1,Serpinb9,Clic1
Dnajc15,Ly6a,Manf
Ptms,Dut,Rps27l
Cox8a,Dynll1,Rilpl2
Rbm3,Manf,Il2rb
Anp32b,Cdca3,Selenoh
Itga4,Cfl1,Pfn1
Ybx3,Mki67,Cdkn3
Pkm,Arpc5,Cdc42
Manf,Il2rb,Gng2
Mki67,Gng2,Pdia6
Arpc5,Ptms,Dynll1
S100a11,Ybx1,Klrk1
Selenoh,Prr13,Cyba
Sec61b,Rilpl2,Id2
Dut,Ywhah,Sept11
Serpinb9,Dnajc15,Ly6a
Ube2s,Anp32b,Prr13
Gnai2,Pdia6,Ube2s
Cdca3,Ube2s,Spc24
Pdia3,Ppia,Ywhah
Hsp90aa1,Pdia3,Cenpw
Calr,S100a11,Cfl1
Ywhah,Cks2,Atpif1
Ly6a,Id2,Ybx1
Myl6,Hmgb1,Klrc1
Klrk1,Atpif1,Ppia
Fkbp2,Sept11,S100a11
Cks2,Ppp1ca,Anp32b
Ywhae,S100a13,Ccna2
Atp5pb,Ywhae,Phf11b
Ccl5,Rbm3,Pdia3
S100a13,Cox8a,Efhd2
Hint1,Lsm5,Hmgb1
Pdia6,Phf11b,Arpc5
Il2rb,Efhd2,S100a13
Id2,Sec61b,Alyref
Sh3bgrl3,Calr,Rrm2
Rilpl2,Gnai2,Tyms
Cdkn3,1810037I17Rik,Dnajc15
Gng2,Tmem14c,Hsp90aa1
Klrc1,Alyref,Cxcr3
Krtcap2,Hsp90aa1,Ywhae
Prr13,Atp5pb,Ccl5
Rap1b,Eif4e2,Ppp1ca
Oaz1,Cenpw,Etfb
Hspa5,Hint1,Rpa2
Ldha,Krtcap2,Lsm5
Atp5j,Etfb,Rbm3
Atpif1,Atp5j,Eif4e2
Cox6b1,Cdkn3,1810037I17Rik
Cxcr3,Myl6,Tmem14c
Arpc3,Klrk1,Calr
1810037I17Rik,Spc24,Cmtm7
Tmem14c,Rap1b,Cox8a
Sept11,Cmtm7,Bcl2a1b
Alyref,Pgk1,Gmnn
Hspa8,Sh3bgrl3,Hmmr
Spc24,Oaz1,Pgk1
Slc25a5,Ldha,Ccr5
Lsm5,Hspa5,Cdc20
Cmtm7,Cox17,Tpx2
Atp5b,Rpa2,Slamf7
Psmb3,Ap2s1,Sec61b
Pgk1,Ndufb7,Gnai2
Efhd2,Arpc3,Cox17
Ndufa4,Ube2l3,Myl6
Phf11b,Ccna2,Hspa5
Bcl2a1b,Anp32e,Mcm5
Cenpw,Pim1,Anp32e
Pomp,Klrc1,Krtcap2
Ccr5,Ndufb8,Myo1f
Ndufb7,Psmb3,Zbtb32
Cox7a2,Ccl5,Ldha
Atp5j2,Cxcr3,Ap2s1
Slamf7,Dek,Atp5pb
Dek,Dnajb11,Dnajb11
Snrpd1,Pomp,Glrx
Tagln2,Snrpd1,Sh3bgrl3
Anp32e,Cox6b1,Rap1b
Lcp1,Tyms,Hint1
Ccna2,Ddx39,Dek
Pglyrp1,Rrm2,Osbpl3
Rpa2,Lcp1,Ddx39
Psma4,Atp5b,Atp5j
Snrpe,Arf1,Ncald
Etfb,Psma4,Pim1
Actr3,Hspa8,Tacc3
Cox7c,Canx,Ccnb1
Ppib,Cox7a2,Ndufb8
Eif4e2,Slc25a5,Snrpd1
Ube2l3,Capzb,Ube2l3
Ndufb9,Ssr2,Racgap1
Capzb,Bcl2a1b,Mcm6
Cox17,Gmnn,Ssr2
Rgs1,Atp5j2,Prf1
Coro1a,Ndufb9,Ndufb7
Ndufb8,Sec61g,Oaz1
Tyms,Ndufa4,Pglyrp1
Myo1f,Ube2n,Hspa8
Sec61g,Ppib,Rom1
Eif5a,Mrpl18,Smc2
Rrm2,Sf3b6,Mcm3
Glrx,Ostc,Asf1b
Ddx39,Actr3,Havcr2
Ncald,Ywhaq,Canx
Pim1,Glrx,Psmb3
Mrpl18,Smdt1,Arpc3
Cox4i1,Psma1,Psma4
Zbtb32,Mcm5,Pomp
Gmnn,Myo1f,Chsy1
Osbpl3,Sec11c,Hells
Hmmr,Nap1l1,Ppil1
Ap2s1,Mcm6,Cox6b1
Nap1l1,Prf1,Ube2n
Chsy1,Psmd13,Atp5b
Dnajb11,Snrpe,Arf1
Prf1,Racgap1,Mrpl18
Arf1,Slamf7,Cd28
Cdc20,Glipr2,Mtch1
Racgap1,Psmd8,Lig1
Canx,Eif1ax,Rgs1
Sf3b6,Hmmr,Slc25a5
Tma7,Mtch1,Rrm1
Ostc,Cd28,Eif1ax
Mcm6,Arpc4,Mt1
Smdt1,Cdc20,Cox7a2
Ssr2,Tagln2,Knstrn
Sec11c,Ccr5,Ndufb9
Ywhaq,Tpx2,Psmd13
Ccnb1,Cwc15,Nap1l1
Tpx2,Anxa6,Cenpe
Rom1,Nucks1,Lcp1
Nucks1,Pglyrp1,Mad2l1
Mcm5,Mcm3,Ostc
Chchd2,Psmb2,Nans
Elob,Zbtb32,Pcna
Icos,Mrpl33,Capzb
Smc2,Smc2,Ywhaq
Cd28,Tmem167,Sec61g
Atp5a1,Cox7c,Ndufa4
Arpc2,Ppil1,Glipr2
Pcna,Nans,Atp5j2
Tacc3,Tacc3,Psma1
Mcm3,Nudt21,Sf3b6
Nme1,Pcna,Tpi1
Hnrnpa3,Lman2,Sec11c
Knstrn,Cox4i1,Mcm4
Mt1,Chsy1,Hsph1
Tmed2,Elob,Tagln2
Hnrnpab,Atp5g3,Uhrf1
Cenpe,Myo1g,Smdt1
Psma1,Osbpl3,Ppib
Ppil1,Coro1a,Icos
Cd47,Hprt,Myo1g
Cox6a1,Ccnb1,Kif15
Eif1ax,Aurkaip1,Pfkp
Myl12a,Edf1,Arsb
Havcr2,Pfkp,Tipin
Dusp5,Ciao2a,Arpc4
Hells,Cox6a1,Nucks1
Klrc2,Ncald,Tk1
Atp5g3,Hnrnpab,Hmgb3
Gna15,Eif5a,Acadl
Arsb,Hpf1,Psmd8
Ube2n,Tma7,Gna15
Mtch1,Arhgdia,Hpf1
Anxa6,Arpc2,Cwc15
Mad2l1,Bsg,Tubb4b
Tubb4b,Rom1,Snrpe
Nans,Acadl,Actr3
Tpi1,Tmed2,Lman2
Hsph1,Cd47,Acot7
Psmd8,Uqcrq,Mapre2
Mrpl33,Magoh,Nudt21
Psmd13,Snx3,Hprt
Cwc15,Asf1b,Cep55
Hprt,Myl12a,Pgam1
Arhgdib,Rrm1,Anxa6
Arpc4,Selenok,Ciao2a
Asf1b,Hsph1,Dctpp1
Glipr2,Atp5k,Carhsp1
Rrm1,Hnrnpa3,Tmem167
Cbx3,Thy1,Psmb2
Myo1g,Swi5,Coro1a
Lig1,Selenos,Vmp1
Itgb1,Lig1,Hnrnpab
Psmb2,Atox1,Selenos
Pfkp,Gnb2,Klrc2
Edf1,Tpi1,Cox7c
Txndc5,Mcm4,Eif5a
Gnb2,Polr1d,Aurkaip1
Casp3,Cbx3,Casp3
Dennd4a,Hells,Glipr1
Mcm4,Srp19,Mrpl33
Mapre2,Snrpc,Snx3
Lman2,Pgam1,Ccr2
Acot7,Rgs1,Ebp
Acadl,Psmb4,Plp2
Tpm3,Chchd2,Txndc5
Tmem167,Ebp,Mcm7
Aurkaip1,Rac1,Atp5g3
Slbp,Havcr2,Thy1
Uhrf1,Vmp1,Slbp
Nudt21,Icos,Magoh
Arhgdia,Nme1,Cisd1
Selenos,Tuba1a,Tuba1a
Plp2,Uqcrb,Prdx4
Tipin,Glipr1,Fabp5
Vmp1,Tubb4b,Bsg
Hpf1,Knstrn,Tmed2
Hmgb3,Csnk2b,Srp19
Uqcrq,Tipin,Dtl
Plac8,Mad2l1,Cox6a1
Thy1,Rasgrp2,Cox4i1
Rasgrp2,Dctpp1,Atp5k
Dctpp1,Atp5a1,Selenok
Rac2,Mt1,Snrpc
Rac1,Tpm3,Dusp5
Swi5,Psmd14,Elob
Dap,Sh2d1a,Dap
H3f3b,Slbp,Cbx3
Pgam1,Sdhb,Ctla4
Glipr1,Arhgdib,Tbcb
Ciao2a,Fam107b,Itgb1
Snx3,Vps29,Edf1
Ccr2,Tbcb,Arhgdia
Sytl3,Cenpe,Atox1
Psmb4,Cisd1,Tma7
Ccl4,Dap,Myl12a
Magoh,Ndufa11,Psmd14
Atp5k,Esd,Swi5
Uqcrb,Mbd2,Nme1
Hsp90ab1,Dnajb6,Cd47
Ube2g2,Uhrf1,Sh2d1a
Polr1d,Arsb,Rnaseh2b
Selenok,H3f3b,Uqcrq
Aldoa,Mcm7,Arpc2
Dusp2,Micos10,Cmc2
Ebp,Hmgb3,Gnb2
Tuba1a,Idh3a,Vps29
Ctla4,Eno1,Uqcrb
Srsf3,Gna15,Sytl3
Hmgn5,Acot7,Idh3a
Kif15,Txndc5,Csnk2b
Eno1,Kif15,Psmb4
Rbbp8,Plp2,Hnrnpa3
Mcm7,Casp3,Rac1
Cisd1,Sec11a,Rad21
Cep55,Atp5c1,Bcl2a1d
Srp19,Mapre2,Adap1
Snrpc,D8Ertd738e,Rasgrp2
Fabp5,Tk1,Nasp
Rnaseh2b,Mrpl20,Fam107b
Cmc2,Dusp2,Dennd4a
Tk1,Eloc,Polr1d
Bak1,Rad21,Rbbp8
Btf3,Mtpn,Dusp2
Sh2d1a,S1pr4,Zyx
Atp5c1,Nasp,Chchd2
Nasp,Mien1,Sdhb
Atox1,Phf5a,Atp5a1
Tbcb,Mrps36,Lrrc59
Bsg,Zyx,Fignl1
Rad21,Dusp5,Eno1
Micos10,Higd1a,Hmgn5
H2-Q10,Ostf1,Ezh2
Atp5d,Rnaseh2b,Rfc4
Map2k3,Cmc2,Ube2g2
Prdx4,Fkbp1a,S1pr4
H4c9,Pdap1,Cenpf
Dtl,Bag1,Ndufa11
Lrrc59,Ndufc2,Mrpl27
Psmd14,Sytl3,Gars
Idh3a,Mdh2,Klrg1
Mrpl27,Itgb1,Esd
Ranbp1,Cep55,Mrps36
Fam107b,Atp5o-1,Dnajb6
Psma7,Prkar1a,Orc6
Hspd1,Ndfip1,Mtpn
Rora,Aldoa,Bak1
Ezh2,Hspd1,Arhgdib
Zyx,Plac8,Pdap1
Sec11a,Ech1,H4c9
Park7,Fabp5,Higd1a
Snrpb,Lsm6,Phf5a
Ccl3,Carhsp1,Erh
Gars,Gars,Mrpl20
Cenpf,Erh,Mbd2
Ostf1,Lrrc59,Eloc
D8Ertd738e,Eif2s1,Tpm3
Bcl2a1d,Dennd4a,Tmpo
Rnpep,Dpy30,Micos10
Ndufa11,Psmb6,Dpy30
Mdh2,Rac2,Hspd1
Cox6c,Psma7,Map2k3
Carhsp1,Psmb5,Mien1
Rfc4,Tmpo,Ech1
Atp5o-1,Mrpl27,Zdhhc2
Vps29,Hmgn5,Cenpm
Tmpo,Dtl,Sec11a
Top2a,Klrc2,Ckap2
Mbd2,Prdx4,Rfc3
Higd1a,Cox6c,Bag1
Sdhb,Psma6,Aldoa
Sumo2,Ufc1,Fkbp1a
Csnk2b,Tmed9,Clspn
Esd,Gimap7,Top2a
Slc35b1,Capza2,H3f3b
Lsm6,Vdac3,Rad51
Msrb1,Dynlrb1,Ccl4
Mrpl20,Snrpb,Chaf1b
Il18rap,Ssr1,H2-Q10
Hnrnpf,Hdgf,Rnh1
S1pr4,Park7,D8Ertd738e
Prkar1a,Ezh2,Ssr1
Pdap1,Bak1,Ndufc2
Ftl1,Ccr2,Eif2s1
Batf,Rbbp8,Cenph
Dnajb6,Ube2g2,Lsm6
Sem1,Snf8,Vdac3
Orc6,Rnh1,Dlgap5
Rnh1,Atp5d,Ufc1
Ndufc2,Ctla4,Gimap7
Chaf1b,Ubl5,Atp5c1
Hnrnpa2b1,Gdi2,Plac8
Erh,Uqcrfs1,Ostf1
Psmb6,Psmb7,Prkar1a
Commd1,Ccdc124,Pik3ap1
Ech1,Sem1,Mcm2
Tmed9,Psmb9,Mdh2
Capza2,Ndufb11,Batf
Fkbp1a,Sdhd,Hdgf
Rfc3,Bzw1,Ccdc124
Cdk2ap1,Raly,Rora
Nr4a2,Arpc1b,Cnih4
Eloc,Rfc4,Snf8
Mtpn,Flna,Esm1
Ccdc50,Cmpk1,Sdhd
Srp9,Ranbp1,Knl1
Cnih4,Map2k3,Il18rap
Lrmp,Orc6,Ndfip1
Bag1,Timm23,Atp5o-1
Klrg1,Exosc8,Ranbp1
Dpy30,Srp9,Psmb6
Mcm2,Lamtor5,Prelid3b
Nrm,Srsf3,Rac2
Creld2,Ywhaz,Dynlrb1
Ndfip1,Ube2i,Ppih
Cdc34,Sar1b,Sar1b
Psma3,Ndufb1-ps,Psmb7
Surf4,Psma3,Psmb5
Prelid3b,Commd1,Pnp
Psmb5,Rtn3,Polr3k
Mien1,Banf1,Tbx21
Capg,U2af1,Commd1
Ccdc124,Tcp1,Cdca7
Mrps36,Emp3,Ccl3
Rfc5,Metap2,Psma6
Ppih,Batf,Stx11
Phf5a,Cox7b,Cdk2ap1
Ndufb11,Tmem258,Cmpk1
Arpc1b,Polr3k,Flna
Vdac3,Mrpl54,Surf4
Phlda1,Lsm2,Stip1
Raly,Dph3,Rnpep
Snx10,Bcl2a1d,Slc35b1
Mindy3,Snrpa1,Hsp90ab1
Ssr1,H2-Q10,Snrpb
Fen1,Prelid3b,Exosc8
Mif,Adap1,Capza2
Rdm1,H4c9,Cenpk
Sar1b,Itgb2,Tmed9
Dbf4,Stip1,Psma7
Hdgf,Hsp90ab1,Rtn3
Eif2s1,Psmc3,Ccdc50
Ywhaz,Ftl1,Emp1
Gdi2,Ppih,Uqcrfs1
P4hb,Pnp,Srsf3
Pnp,Surf4,Cdc34
1110008P14Rik,Btf3,P4hb
Dlgap5,Serp1,Msrb1
Pmm1,Hif1a,Gdi2
Pmf1,P4hb,Snrpa1
Hif1a,Cycs,Rfc5
Ubl5,Ddost,Lamtor5
Gimap7,Cst3,Hif1a
Ube2i,Gmfg,Uchl3
Psmb9,Lsm4,Ncapg
Polr3k,Ndufb6,Bub1b
Stip1,Actr2,Creld2
Adap1,Mcm2,Lsm2
Psma6,Fignl1,Bspry
Sdhd,Txnl1,Dbf4
Tuba1b,Top2a,Dph3
Ms4a4b,Uchl3,Metap2
Emp3,Cdk2ap1,Park7
Clspn,Ndufa12,Cox6c
Snf8,Rfc3,Fen1
Lsm4,Cnih4,Timm23
Ckap2,Rnpep,Bub1
Nsd2,Cenpf,Capg
Exosc8,Chaf1b,Raly
Gmfg,Ube2a,Dhfr
Uchl3,Ccdc12,Atp5d
Magt1,Rab5if,Pmm1
Ncapd2,Ndufs8,Lrmp
Slc25a3,Cdc34,Bzw1
Ccdc34,Tkt,Tcp1
Ap3s1,Msrb1,Ddost
Flna,Hnrnpa2b1,Gins2
Baz1a,Uqcr10,Serp1
Cmpk1,Spcs2,Depdc1a
Tkt,Slc35b1,Ubl5
Arl6ip1,Tomm22,Kdelr2
Rtn3,Baz1a,Phlda1
Cenpm,Lrmp,Psmc3
Lsm2,Serinc3,Itgb2
Banf1,Mrps24,Ube2a
Cox7b,Psma2,Mrpl54
Rpa3,Clspn,Rpa3
Uqcrfs1,Rpa3,Anxa1
Tnfaip3,Mrps16,Ncapg2
Psmc1,Lbr,U2af1
Pik3ap1,Ndufv2,Mt3
Kdelr2,Phgdh,Sem1
Ufm1,Med30,Nek2
Cdc25b,Klrg1,Banf1
Taf12,Pdcd5,Cst3
Nudt4,Kdelr2,E2f2
Runx2,Cenpm,Cycs
Snrpa1,Arl6ip1,Txnl1
Timm23,Strap,Cdc6
Rpn1,Ufm1,Srp9
Fignl1,Snrpa,Baz1a
Tcp1,Rad51,Chaf1a
Bex3,Akr1a1,Ncapd2
Metap2,Ywhab,Psmb9
Spcs2,Ckap2,Ndufb11
E2f2,Dlgap5,Tmem258
Ufc1,Dnajc9,Itgax
Cycs,Sf3b5,Snx10
Ube2a,Rora,Ndufb6
Dynlrb1,Rfc5,Tkt
Bzw1,Ssr3,Ndufs8
Snrpa,Zdhhc2,Arpc1b
Dera,Hnrnpf,Ndufb1-ps
Lamtor5,H2az2,Nsd2
Itgb2,Uqcr11,Ube2i
