"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098687","chromosomal region","128/2693","299/23436",1.81579026013348e-43,1.81579026013348e-43,9.84349456809204e-41,"Sgo2a/Hjurp/Cenpl/Nuf2/Hnrnpu/Cenpf/Nsl1/Nek2/Suv39h2/Spc25/Nup160/Ckap5/Kif18a/Bub1b/Knstrn/Knl1/Rad51/Oip5/Bub1/Dsn1/Snai1/Aurka/Rtel1/Suv39h1/Ercc6l/Cenpi/Smc1a/Pmf1/Dclre1b/Cenpe/Nbn/Orc1/Kif2c/Scmh1/Cdca8/Meaf6/Rcc2/Cenps/Cenpa/Ncapg/Polr2b/Cenpc1/Chek2/Dynll1/Kntc1/Baz1b/Stag3/Mad1l1/Brca2/Ezh2/Hnrnpa2b1/Cbx3/Mad2l1/Ncapd2/Pold1/Blm/Plk1/Nsmce1/Bub3/Mki67/Nup43/Cenpw/Dna2/Nup37/Nup107/Cdk2/Ppp2cb/Cenpu/Ctcf/Cenpt/Cenpn/Cdt1/Nup133/Wdhd1/Tinf2/Ska3/Esco2/Mre11a/Dnmt1/Spc24/Sept7/Ncapd3/Chek1/H2afx/Zw10/Zwilch/Pif1/Ttk/Xpo1/Spdl1/Nudcd2/Rad50/Cenpv/Ctc1/Aurkb/Mis12/Rpa1/Spag5/Ska2/Cbx1/Nup85/Birc5/Cenpp/Thoc3/Cenph/Ccnb1/Cenpk/Cenpo/Smc6/Mis18bp1/Rad21/Dscc1/Mtbp/Recql4/Dmc1/Rangap1/Cenpm/Cbx5/Nde1/Mis18a/Thoc6/Sgo1/Ndc80/Ska1/Incenp/Fen1/Hells/Smc3",128
"GO:0000775","chromosome, centromeric region","98/2693","190/23436",3.00561632104119e-42,3.00561632104119e-42,8.1468021333485e-40,"Sgo2a/Hjurp/Cenpl/Nuf2/Hnrnpu/Cenpf/Nsl1/Nek2/Suv39h2/Spc25/Nup160/Ckap5/Kif18a/Bub1b/Knstrn/Knl1/Oip5/Bub1/Dsn1/Snai1/Aurka/Suv39h1/Ercc6l/Cenpi/Smc1a/Pmf1/Cenpe/Kif2c/Cdca8/Meaf6/Rcc2/Cenps/Cenpa/Ncapg/Cenpc1/Dynll1/Kntc1/Baz1b/Stag3/Mad1l1/Cbx3/Mad2l1/Ncapd2/Plk1/Bub3/Mki67/Nup43/Cenpw/Nup37/Nup107/Ppp2cb/Cenpu/Ctcf/Cenpt/Cenpn/Cdt1/Nup133/Wdhd1/Ska3/Esco2/Dnmt1/Spc24/Sept7/Ncapd3/Zw10/Zwilch/Ttk/Xpo1/Spdl1/Nudcd2/Cenpv/Aurkb/Mis12/Spag5/Ska2/Cbx1/Nup85/Birc5/Cenpp/Cenph/Ccnb1/Cenpk/Cenpo/Mis18bp1/Rad21/Dscc1/Mtbp/Rangap1/Cenpm/Cbx5/Nde1/Mis18a/Sgo1/Ndc80/Ska1/Incenp/Hells/Smc3",98
"GO:0000776","kinetochore","72/2693","132/23436",1.82463299851975e-33,1.82463299851975e-33,3.29714383943042e-31,"Sgo2a/Hjurp/Nuf2/Hnrnpu/Cenpf/Nsl1/Nek2/Spc25/Nup160/Ckap5/Kif18a/Bub1b/Knstrn/Knl1/Bub1/Dsn1/Ercc6l/Cenpi/Smc1a/Pmf1/Cenpe/Kif2c/Meaf6/Cenps/Cenpa/Cenpc1/Dynll1/Kntc1/Mad1l1/Mad2l1/Plk1/Bub3/Nup43/Cenpw/Nup37/Nup107/Cenpu/Cenpt/Cenpn/Cdt1/Nup133/Ska3/Spc24/Sept7/Ncapd3/Zw10/Zwilch/Ttk/Xpo1/Spdl1/Nudcd2/Cenpv/Aurkb/Mis12/Spag5/Ska2/Nup85/Birc5/Cenph/Ccnb1/Cenpk/Cenpo/Mis18bp1/Mtbp/Rangap1/Cenpm/Cbx5/Nde1/Sgo1/Ndc80/Ska1/Incenp",72
"GO:0005819","spindle","104/2693","273/23436",2.61433121431534e-30,2.61433121431534e-30,3.54310677729579e-28,"Hecw2/Kif14/Aspm/Shcbp1l/Kifap3/Hnrnpu/Cenpf/Nek2/Ckap5/Kif18a/Katnbl1/Bub1b/Knstrn/Nusap1/Ckap2l/Cdc25b/Tpx2/Mapre1/Dsn1/Fam83d/Aurka/Emd/Bex4/Smc1a/Ect2/Map9/Psrc1/Gpsm2/Cenpe/Cdk5rap2/Cdca8/Cep85/Aunip/Rcc2/Agbl5/Tacc3/Haus3/Cdc7/Ttc28/Dynll1/Kntc1/Mad1l1/Katnal1/Cbx3/Mad2l1/Capg/Arl8b/Tada3/Wdr62/Cep89/Nup62/Prc1/Plk1/Kif22/Tubgcp2/Fbxo5/Cdk1/Nedd1/Cdc16/Ccsap/Pard3/Dlgap5/Ska3/Bora/Cep295/Zw10/Kif23/Ttk/Stag1/Poc1a/Spdl1/Cenpv/Aurkb/Haspin/Spag5/Tada2a/Ska2/Cbx1/Cdc6/Tubg1/Kif18b/Cdc27/Birc5/Ccnb1/Hspa2/Cep128/Rangap1/Racgap1/Espl1/Aaas/Nde1/Tctex1d2/Kifc5b/Kifc1/Sgo1/Ddx11/Kif20a/Hdac3/Ska1/Sac3d1/Incenp/Kif20b/Kif11/Smc3",104
"GO:0000793","condensed chromosome","85/2693","209/23436",2.40099828063635e-27,2.40099828063635e-27,2.60318760953205e-25,"Sgo2a/Hjurp/Kifap3/Nuf2/Cenpf/Nsl1/Nek2/Spc25/Ttn/Bub1b/Knl1/Rad51/Ncaph/Bub1/Dsn1/L3mbtl1/Aurka/Xlr3a/Tex11/Smc1a/Smc4/Pmf1/Hormad1/Cenpe/Msh4/Smc2/Rcc1/Cenpa/Ncapg/Cenpc1/Baz1b/Stag3/Brca2/Cbx3/Fancd2/Ncapd2/Blm/Plk1/Nsmce1/Mki67/Cdk2/Hmgb2/Syce2/Ctcf/Nup133/Ccnb1ip1/Ska3/Mre11a/Ncapd3/Chek1/H2afx/Hmbs/Mei4/Stag1/Topbp1/Hormad2/Spdl1/Rad50/Aurkb/Mis12/Rpa1/Ska2/Top2a/Tubg1/Brca1/Birc5/Ccnb1/Cenpk/Cenpo/Smc6/Mis18bp1/Hspa2/Ncapg2/Rad21/Dmc1/Ncaph2/Syce3/Msh5/Sgo1/Ndc80/Ska1/Banf1/Cdca5/Incenp/Smc3",85
"GO:0005874","microtubule","127/2693","420/23436",1.3315080899102e-25,1.3315080899102e-25,1.20302923912939e-23,"Stau2/Dst/Map2/Tuba4a/Kif14/Aspm/Dnm3/Kifap3/Hnrnpu/Nek2/Tubb4b/Spaca9/Odf2/Ttc30a1/Ckap5/Tcp11l1/Kif18a/Knstrn/Nusap1/Stard9/Map1a/Ttl/Tpx2/Ttll9/Mapre1/Spag4/Aurka/Hdac6/Haus7/Emd/Kif4/Bex4/Mid1/Map9/Dclk2/Psrc1/Cenpe/Kif24/Cdk5rap2/Kif2c/Tekt2/Nudc/Stmn1/Rcc2/Haus3/Dynll1/Kntc1/Katnal1/Hsph1/Fkbp4/Bicd1/Haus5/Prc1/Map6/Plk1/Kif22/Tubgcp2/Tube1/Cep57l1/Cdk1/Pcnt/Odf3l2/Gas2l3/Mdm1/Ncoa2/Rassf3/Kif5a/Cdc16/Ckap2/Haus8/Cfap20/Tppp3/Enkd1/Tubb3/Ccsap/Haus4/Cenpj/Ska3/Reep4/Cep57/Cep295/Zw10/Lrrc49/Kif23/Myo5a/Kif15/Cct4/Aurkb/Spag5/Tubd1/Ska2/Dynll2/Tubg1/Kif18b/Cdc27/Kif19a/Birc5/Tubb2a/Tubb2b/Tppp/Fam161b/Ttll5/Ttll10/Gtse1/Tuba1b/Tuba1a/Tuba1c/Mefv/Nde1/Spag6l/Tiam1/Dynlt1a/Tcp1/Kifc5b/Dnah8/Kifc1/Tubb5/Trip10/Kif20a/Reep2/Tubb6/Ska1/Haus1/Incenp/Kif20b/Kif11/Shtn1",127
"GO:0005657","replication fork","43/2693","71/23436",5.05450344008782e-23,5.05450344008782e-23,3.91438988217327e-21,"Prim2/Zranb3/Mcm10/Pcna/Pola1/Plrg1/Nbn/Mms22l/Xrcc2/Rfc1/Rfc5/Rfc2/Baz1b/Rfc3/Rpa3/Rad18/Pold1/Blm/Pold3/Hdac2/Prim1/Timeless/Gins4/Gins2/Wdhd1/Mre11a/Dnmt1/Chek1/H2afx/Tipin/Pif1/Pold2/Rpa1/Rad51c/E2f6/Rad51b/Xrcc3/Tonsl/Cdc45/Rfc4/Polh/Uhrf1/Pola2",43
"GO:0044815","DNA packaging complex","50/2693","97/23436",3.40820591096533e-22,3.40820591096533e-22,2.30950795282519e-20,"Ncaph/Smc4/H2ac20/H2bc21/H3c15/H3c14/H3c13/Smc2/Cenpa/Ncapg/Ncapd2/H4f16/Ncapd3/H2afx/H2bu2/H3c10/H2bc14/H4c11/H4c12/H2ac15/H1f5/H3c11/Hist1h2bp/Hist1h4m/Hist1h4n/H2ac12/H2bc12/H4c9/H4c8/H2ac10/H3c8/H2bc9/H3c7/H4c6/H1f3/H3c6/H3c4/H4c4/H1f4/H4c3/H3c3/H2bc3/H3c2/H4c2/H3c1/H1f1/Ncapg2/H1f0/Ncaph2/Prm1",50
"GO:0072686","mitotic spindle","51/2693","107/23436",1.21733650703277e-20,1.21733650703277e-20,7.33249474996344e-19,"Hecw2/Aspm/Hnrnpu/Kif18a/Katnbl1/Knstrn/Nusap1/Ckap2l/Tpx2/Mapre1/Fam83d/Aurka/Smc1a/Ect2/Map9/Gpsm2/Cenpe/Cdk5rap2/Rcc2/Agbl5/Tacc3/Haus3/Cdc7/Ttc28/Dynll1/Mad1l1/Mad2l1/Capg/Tada3/Nup62/Kif22/Cdk1/Ccsap/Cep295/Kif23/Stag1/Aurkb/Spag5/Tada2a/Kif18b/Rangap1/Racgap1/Espl1/Aaas/Kifc5b/Kifc1/Hdac3/Ska1/Kif20b/Kif11/Smc3",51
"GO:0044450","microtubule organizing center part","65/2693","164/23436",1.60347715483575e-20,1.60347715483575e-20,8.69253404989908e-19,"Odf2/Wdr34/Bbs5/Agbl2/Ckap5/Stard9/Cep152/Rp2/Cetn4/Plk4/Sclt1/Sass6/Odf2l/Ssx2ip/Kif24/Cdk5rap2/Cntln/Stil/Cep85/Crocc/Mphosph9/Ran/Cep41/Capg/Alms1/Cep89/Tsks/Ccp110/Plk1/Tubgcp2/Pcnt/Nedd1/Cep83/Mdm1/Cfap20/Ccsap/Cenpj/Ift88/Cep295/Hyls1/Poc1a/Pla2g3/Ccdc88a/Cntrob/Spag5/Top2a/Tubg1/Birc5/Cep295nl/Cep131/Cep72/2700049A03Rik/Cep128/Cby1/Krt18/Ccdc14/Tcp1/Ccnf/Wdr90/Hspa1a/Cchcr1/Ttbk2/Cep76/Rttn/Bbs1",65
