"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010769","regulation of cell morphogenesis involved in differentiation","32/773","343/23210",1.78257703827634e-07,1.78257703827634e-07,0.000513616107306343,"Stau2/Dnm3/Zeb2/Lzts3/Ss18l1/Cask/Plxna3/Cdkl5/Crabp2/Efna1/Pou3f2/Lrp8/Rufy3/Cux2/Mgll/Arhgap33/Brsk2/Sgk1/Trpc6/Dixdc1/Cspg5/Bcl11a/Omg/Srcin1/Rnd2/Rac3/Tubb2b/Plxnb2/Tiam1/Vegfa/Cul7/Shtn1",32
"GO:0010770","positive regulation of cell morphogenesis involved in differentiation","22/773","185/23210",2.56134016766943e-07,2.56134016766943e-07,0.000513616107306343,"Stau2/Zeb2/Ss18l1/Cask/Plxna3/Cdkl5/Crabp2/Lrp8/Rufy3/Cux2/Sgk1/Dixdc1/Cspg5/Bcl11a/Rnd2/Rac3/Tubb2b/Plxnb2/Tiam1/Vegfa/Cul7/Shtn1",22
"GO:0060562","epithelial tube morphogenesis","31/773","380/23210",4.76246445492359e-06,4.76246445492359e-06,0.00471251799763237,"Vangl2/Enah/Pax8/Zeb2/Lgr4/Ovol2/Egf/Grhl3/Luzp1/Areg/Tead2/Tbx6/Stox1/Igf1/Hmga2/Efnb2/Esrp2/Mmp14/Yap1/Aldh1a2/Kif3a/Hnf1b/Ncoa3/Six4/Grhl2/Plxnb2/Acvrl1/Hes1/Sox8/Notch4/Vegfa",31
"GO:0048814","regulation of dendrite morphogenesis","15/773","114/23210",5.85942386129467e-06,5.85942386129467e-06,0.00471251799763237,"Stau2/Dnm3/Lzts3/Ss18l1/Cask/Cdkl5/Efna1/Lrp8/Cux2/Arhgap33/Sgk1/Trpc6/Srcin1/Tiam1/Cul7",15
"GO:0061001","regulation of dendritic spine morphogenesis","10/773","51/23210",5.87518647998786e-06,5.87518647998786e-06,0.00471251799763237,"Stau2/Dnm3/Lzts3/Cask/Efna1/Lrp8/Cux2/Arhgap33/Srcin1/Tiam1",10
"GO:0021700","developmental maturation","27/773","317/23210",8.86320310109803e-06,8.86320310109803e-06,0.00592435154652342,"Ptgs2/Stxbp1/Dab2ip/Bfsp1/Thbs3/Unc13b/Epha8/Cebpa/Slc17a7/Calca/Tbx6/Sez6l2/Cdkn1c/Igf1/Unc13a/Aldh1a2/Pth1r/Cx3cr1/Bcl11a/Rac3/Catsper3/Hes1/Sox8/Vegfa/Dazl/B4galt6/Catsperz",27
"GO:0003007","heart morphogenesis","24/773","280/23210",2.48427801112869e-05,2.48427801112869e-05,0.0142332319133839,"Obsl1/Vangl2/Lefty1/Rxra/Ttn/Ovol2/Efna1/Adam15/Gja5/Smarcd3/Tgfbr3/Bmp10/Tead2/Tbx6/Zmiz1/Pou4f1/Yap1/Aldh1a2/Myl3/Kif3a/Grhl2/Acvrl1/Hes1/Vegfa",24
"GO:0050772","positive regulation of axonogenesis","13/773","102/23210",3.42174286885396e-05,3.42174286885396e-05,0.0171537372767547,"Zeb2/Plxna3/Cdkl5/Crabp2/Rufy3/Dixdc1/Bcl11a/Rnd2/Tubb2b/Plxnb2/Tiam1/Vegfa/Shtn1",13
"GO:0060998","regulation of dendritic spine development","12/773","92/23210",5.40207013068822e-05,5.40207013068822e-05,0.0192400834155753,"Stau2/Dnm3/Lzts3/Cask/Cdkl5/Efna1/Lrp8/Cux2/Camk1/Arhgap33/Srcin1/Tiam1",12
"GO:0061138","morphogenesis of a branching epithelium","20/773","221/23210",5.42117257341653e-05,5.42117257341653e-05,0.0192400834155753,"Vangl2/Pax8/Rxra/Lgr4/Fgf7/Tgm2/Egf/Areg/Igf1/Hmga2/Esrp2/Mmp14/Yap1/Hnf1b/Ncoa3/Six4/Grhl2/Sox8/Notch4/Vegfa",20
