"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140097","catalytic activity, acting on DNA","85/4602","190/22710",1.90087740516009e-14,1.90087740516009e-14,1.70278597030656e-11,"Mcm6/Exo1/Rad51/Pcna/Gins1/Rtel1/Dnase1l1/Pola1/Ercc6l/Apex2/Rad54b/Pole3/Rad54l/Exo5/Helq/Pole/Alkbh2/Ung/Rfc5/Rfc2/Mcm7/Rfc3/Aplf/Ruvbl1/Mcm2/Mbd4/Recql/Lig1/Ercc1/Pold1/Ruvbl2/Blm/Pold3/Slx1b/Dna2/Ptbp1/Tdg/Hmga2/Lig4/Gins4/Neil3/Mcm5/Dnase2a/Nod2/Gins2/Dnase1l3/Mre11a/Dnmt1/Pif1/Exog/Rad50/Top3a/Brip1/Rad51c/Nme1/Eme1/Top2a/Hmga1/Hmga1b/Wrnip1/Tert/Polk/Gen1/Ddx1/Pole2/Tdp1/Xrcc3/Rad1/Dscc1/Recql4/Dmc1/Dnase1/Mcm4/Cdc45/Rfc4/Polq/Chtf18/Polh/Mettl4/Rbbp8/Gm960/Pola2/Fen1/Anxa1/Dclre1a",85
"GO:0016887","ATPase activity","136/4602","379/22710",8.58100828198254e-13,8.58100828198254e-13,3.8433884462985e-10,"Abcb6/Mcm6/Atp2b4/Kif14/Atp1a2/Hspa14/Atp5c1/Entpd2/Ptpa/Tor2a/Hspa5/Atp5g3/Kif18a/Rad51/Stard9/Kif4/Ercc6l/Anxa5/Atp5pb/Cenpe/Msh4/Rad54b/Kif24/Vcp/Rad54l/Kif2c/Rbbp4/Kif17/Atp13a2/Abcb1b/Psmc2/Abcb8/Abcf2/Helq/Dynll1/Rfc5/Atp2a2/Abcb9/Gtf2h3/Atp6v0a2/Rfc2/Mcm7/Atp5j2/Rfc3/Dqx1/Ruvbl1/Mcm2/Atp2b2/Atp6v1e1/Abcc9/Atp1a3/Psmc4/Ruvbl2/Blm/Myo7a/Clpb/Dnah3/Atp2a1/Kif22/Katna1/Dna2/Atp5b/Mcm5/Smarca5/Ddx39/Asna1/Katnb1/Abcb10/Dnah12/Psmc6/Kif13b/Vwa8/Swsap1/Ddx25/Kif23/Pif1/Kif9/Mlh1/Kif15/Fignl1/Rad50/Myh10/Atp1b2/Atp2a3/Atad5/Myo1d/Rad51c/Dynll2/Abcc3/Atp5g1/Top2a/Kif18b/Psmc5/Kif19a/Wrnip1/Kif13a/Ccnh/Gtf2h2/Kif2a/Ddx4/Hspa2/Rad51b/Psmc1/Hsp90aa1/Xrcc3/Dnah11/Atp6v1c1/Dscc1/Dmc1/Rfc4/Polq/Atp6v1a/Cpox/Hspa13/Atp5j/Abcb1a/Chtf18/Atp6v0e/Kifc1/Hspa1l/Msh5/Atp6v1g2/Ddx39b/Gtf2h4/Abcf1/Clpp/Msh6/Kif20a/Atp5a1/Gm960/Anxa1/Atad1/Kif20b/Ide/Kif11/Entpd1",136
"GO:0009055","electron transfer activity","40/4602","70/22710",1.29207986217937e-11,1.29207986217937e-11,3.85810513233209e-09,"Cox5b/Ndufs1/Glrx2/Sdhc/Ptges2/AA467197/Cybb/Aifm1/Sh3bgrl3/Sdhb/Cox6a1/Ndufa4/Cycs/Cox7a1/Etfb/Glrx3/Aifm2/Uqcr11/Txnrd1/Ndufa12/Gsr/Nqo1/Cyba/Fdx2/Etfa/Cox5a/Cox7a2/Uqcr10/Uqcrq/Uqcrfs1/Nqo2/Uqcrb/Glrx/Cox7c/Ndufaf2/Dld/Cox6c/Cyc1/Txnrd2/Xdh",40
"GO:0003779","actin binding","142/4602","428/22710",1.86691849453112e-10,1.86691849453112e-10,4.18091483906837e-08,"Ppp1r42/Arpc2/Cdk5r2/Obsl1/Actr3/Arpc5/Nebl/Aif1l/Neb/Ermn/Cobll1/Kif18a/Sptbn5/Map1a/Mrtfa/Dstn/Snta1/Epb41l1/Phactr3/Flna/Emd/Pls3/Dmd/Tmsb15l/Tmsb4x/Fhdc1/Hdgf/Tpm3/S100a4/Tmod4/Capza1/Tpm2/Coro2a/Ipp/Cap1/Fhl3/Marcksl1/Capzb/Nos3/Actr3b/Ywhah/Maea/Ablim2/Wdr1/Coro1c/Ssh1/Myo1h/Arpc3/Hip1r/Hip1/Fscn1/Arpc1a/Arpc1b/Capza2/Fscn3/Capg/Arpc4/Eps8/Tnni3/Kptn/Vasp/Sptbn4/Actn4/Cyfip1/Myo7a/Inppl1/Mical2/Coro1a/Ppp1r9b/Lsp1/Cttn/Marcks/Mical1/Gas2l3/Pawr/Camsap3/Myo16/Tpm4/Gipc1/Nod2/Cotl1/Spire2/Itgb1/Flnb/Synpo2l/Vcl/Gmfb/Ang/Lcp1/Diaph3/Trpc6/Panx1/Anln/Dixdc1/Rdx/Tpm1/Myo5a/Pls1/Twf2/Vill/Ccr5/Smtn/Myo1g/Actr2/Ccdc88a/Anxa6/Flii/Gas7/Myh10/Pfn1/Cdk5r1/Myo1d/Lasp1/Fmnl1/Myl4/Pdlim7/Map1b/Vash1/Syne3/Inf2/Adssl1/Ncald/Triobp/Parvb/Lrrk2/Dnase1/Coro7/Fgd4/Hcls1/Tagln3/Msrb1/Tulp1/Myo1f/Aif1/Ppp1r18/Prkce/Bin1/Ctnna1/Synpo/Ssh3/Actn3/Cfl1",142
"GO:0016667","oxidoreductase activity, acting on a sulfur group of donors","32/4602","55/22710",7.63118832380723e-10,7.63118832380723e-10,1.36718763443367e-07,"Glrx2/Ptges2/Dnajc10/Pdia3/Srxn1/Pgk1/Txn1/Txndc12/Sh3bgrl3/Pdia4/Chchd4/Sumf1/Glrx3/Txnrd1/Suox/Gsr/Ero1l/Txndc17/Nxn/P4hb/Glrx/Pdia6/Dld/Tmx1/Txnrd2/Pdia5/Msrb1/Pcyox1l/Txnl1/Tmx3/Gsto1/Gsto2",32
"GO:0016853","isomerase activity","64/4602","153/22710",9.49334500218003e-10,9.49334500218003e-10,1.41733975383425e-07,"Hspd1/Rpe/Ptpa/Ptges2/Pdia3/Fkbp1a/Ebp/Renbp/Ppid/Naxe/Erp44/Gm12728/Ppih/Gale/Pgm1/Pgm2/Bpgm/Pdia4/Rpia/Rpusd3/Tpi1/Fkbp4/Ech1/Pgm2l1/Fuom/Katna1/Pbld2/Pbld1/Ddt/Mif/Lss/Isyna1/Bco1/Ppif/Ero1l/Ebpl/Pin1/Bco2/Mpi/Ppib/Pgm3/Ppia/Pus10/Top3a/Top2a/Fkbp10/Itgb3/P4hb/Idi1/Txndc5/Hmgcs1/Fkbp1b/Pdia6/Pmm1/Fkbp11/Ehhadh/Pdia5/Fkbp5/Ppil1/Gnpda1/Tmx3/Gm960/Fkbp2/Pgam1",64
"GO:0015631","tubulin binding","114/4602","336/22710",2.68891023904183e-09,2.68891023904183e-09,3.44099641116481e-07,"Ppp1r42/Traf3ip1/Kif14/Cacybp/Dnm3/Ckap5/Kif18a/Nusap1/Stard9/Map1a/Spef1/Prnp/Mapre1/Fam83d/Gnas/Uxt/Phf6/Map7d3/Fmr1/Haus7/Emd/Vbp1/Kif4/Stmn2/Fhdc1/Hdgf/S100a9/Prune1/Psrc1/Cenpe/Lyn/Kif24/Kif2c/Stmn1/Kif17/Capzb/Hsph1/Brca2/Wdr54/Dysf/Arl8b/Gapdh/Ppp5c/Eml2/Klc3/Sirt2/Pdcd5/Gas2/Prc1/Fes/Map6/Plk1/Kif22/Spef1l/Tubgcp2/Katna1/Gas2l3/Mdm1/Camsap3/Fnta/Mtus1/Fcho1/Mast1/Katnb1/Tppp3/Gas8/Haus4/Kif13b/Dpysl2/Dixdc1/Kif23/Cep70/Kif9/Kif15/Gas2l1/Fam161a/Ccdc88a/Eml6/Ccdc69/Spag5/Ska2/Akap1/Nme1/Kif18b/Kif19a/Birc5/Tbcd/Kif13a/Sncb/Agtpbp1/Cetn3/Map1b/Kif2a/Eml1/Ncald/Sybu/Ndrg1/Lrrk2/Racgap1/Nde1/Dnm1l/Tiam1/Kifc1/Mtcl1/Cript/Mapre2/Kif20a/Trim36/Ska1/Eml3/Kif20b/Kif11/Bloc1s2/Smc3",114
"GO:0004519","endonuclease activity","52/4602","119/22710",5.72614323783379e-09,5.72614323783379e-09,6.41177354657441e-07,"Lactb2/Mrpl44/Tsn/Tsen15/Exo1/Dnase1l1/Apex2/Pop7/Snd1/Aplf/Hmces/Ercc1/Pop4/Slx1b/Dna2/Ybey/Ptbp1/Ankle1/Dnase2a/Nod2/Dnase1l3/Rnase4/Ang/Rnaseh2b/Piwil2/Dis3/Endod1/Mre11a/Zc3h12c/Rpp25/Dis3l/Dbr1/Exog/Rad50/G3bp1/Rnasek/Slfn9/Rad51c/Eme1/Ern2/Ern1/Tsen54/Pelo/Gen1/Rnaseh1/Xrcc3/Pop1/Endou/Dnase1/Rbbp8/Fen1/Rpp30",52
"GO:0015036","disulfide oxidoreductase activity","25/4602","40/22710",7.06101652797601e-09,7.06101652797601e-09,7.02798253252349e-07,"Glrx2/Ptges2/Dnajc10/Pdia3/Pgk1/Txn1/Txndc12/Sh3bgrl3/Pdia4/Chchd4/Glrx3/Txnrd1/Gsr/Ero1l/Txndc17/Nxn/P4hb/Glrx/Pdia6/Tmx1/Txnrd2/Pdia5/Txnl1/Gsto1/Gsto2",25
"GO:0042623","ATPase activity, coupled","98/4602","282/22710",8.65435722681413e-09,8.65435722681413e-09,7.75248210528298e-07,"Abcb6/Mcm6/Atp2b4/Kif14/Atp1a2/Hspa14/Atp5c1/Hspa5/Atp5g3/Kif18a/Rad51/Stard9/Ercc6l/Anxa5/Atp5pb/Msh4/Rad54b/Rad54l/Rbbp4/Kif17/Abcb1b/Psmc2/Abcb8/Helq/Dynll1/Rfc5/Atp2a2/Abcb9/Gtf2h3/Atp6v0a2/Rfc2/Mcm7/Rfc3/Mcm2/Atp2b2/Atp6v1e1/Abcc9/Atp1a3/Psmc4/Blm/Myo7a/Dnah3/Atp2a1/Katna1/Dna2/Atp5b/Mcm5/Smarca5/Katnb1/Abcb10/Dnah12/Psmc6/Pif1/Fignl1/Myh10/Atp1b2/Atp2a3/Atad5/Myo1d/Rad51c/Dynll2/Abcc3/Atp5g1/Top2a/Kif18b/Kif19a/Wrnip1/Ccnh/Gtf2h2/Hspa2/Rad51b/Psmc1/Xrcc3/Dnah11/Atp6v1c1/Dscc1/Dmc1/Rfc4/Polq/Atp6v1a/Cpox/Hspa13/Abcb1a/Chtf18/Atp6v0e/Kifc1/Hspa1l/Msh5/Atp6v1g2/Ddx39b/Gtf2h4/Clpp/Msh6/Atp5a1/Gm960/Anxa1/Kif20b/Kif11",98
