wilcoxon,t-test,t-test_overestim_var
Krtcap2,Arpc5,
Atp2c1,Ccl5,
Lgals3,Rbm3,
Gzma,Supt4a,
Mrpl18,Sars,
Esyt1,S100a10,
Pycard,Rac2,
Hikeshi,Txndc17,
H2az1,Mrpl58,
Gadd45b,Fosb,
Rap1b,Zyx,
Vim,Atp6v1g1,
Tes,Gzmb,
S100a4,Gabarapl2,
Selenok,H2-Q7,
Bcas2,Id2,
Pld3,Atp6v1f,
Myo1g,Vim,
Unc50,Selenok,
H3f3b,Pycard,
Actb,Nkg7,
Hadh,Krtcap2,
Fosb,P4hb,
Atp6v1g1,Arpc2,
Gimap3,Osbpl3,
Nkg7,Spn,
Mob1a,Eif3a,
Rbm7,Ndufa10,
Mfng,Cdc42,
Herc1,Itgb2,
Copb2,Sdhb,
Cfl1,Cuta,
S100a6,Atp2c1,
Spn,Rap1b,
Ccl5,Aurkaip1,
Lgals1,Arf1,
Tsn,Mrpl18,
Cuta,Sqstm1,
Pdlim2,Calm1,
Gapdh,Atp5j,
Crip1,Reep5,
Gdi2,Psmb3,
Ccr2,Lsp1,
Tmsb4x,Pdcd10,
Osbpl3,Lgals3,
Capza1,Mrps16,
Arpc5,S100a6,
Bub3,Tprgl,
B2m,Ccr2,
Bhlhe40,Bax,
Arpc4,Sec11a,
Srp19,Lgals1,
Cenpk,Prpf4b,
Ifng,Smdt1,
Txndc17,Cd47,
Hmgb2,Mob1a,
S100a10,Timm13,
Lsp1,Dnaja2,
Sec11a,Arpc4,
Acot7,Ran,
Runx2,Hsd11b1,
Sash3,Ppib,
Commd8,Hikeshi,
Psmb3,B2m,
Mdh1,Atf4,
Ahnak,Flna,
Thoc7,Mrpl30,
Pdcd10,Ahnak,
H2-Q7,Tax1bp1,
Pcbp1,H2az1,
Itga4,H3f3b,
Txn1,Slc3a2,
Pepd,Map4k4,
Ppwd1,Ndufs4,
Hsd11b1,Ndufc1,
Pex6,Herc1,
Aprt,Zfp36l1,
Ndufa10,Sub1,
Sqstm1,Csnk1a1,
P4hb,,
Sumo1,,
Dbi,,
Zyx,,
Hexb,,
Gzmb,,
Txndc5,,
Itgb2,,
Timm13,,
Flii,,
Vmp1,,
Qars,,
Glrx,,
Laptm5,,
Abracl,,
Diaph1,,
Pms1,,
Selplg,,
Ptbp3,,
