wilcoxon,t-test,t-test_overestim_var
,Tcf7,Rps24
,Sell,Rps29
,Ighm,Rps15a
,Fus,Rpl21
,Celf2,Rpl27a
,Cct2,Rps2
,Chd3,Rps28
,Rgs10,Rps27a
,Dapl1,Rps20
,Tnrc6b,Rpl37
,Ifi47,Rpl34
,Sh3kbp1,Rpl35a
,Fkbp3,Rpl18
,Ppp1r14b,Rps4x
,Cd37,Rpl37a
,Chd2,Rplp1
,Ccr7,Rpl9
,Snrnp70,Tpt1
,Arhgdia,Rpl30
,Mrpl23,Tcf7
,Stk4,Rpl26
,Txk,Rpl12
,Psmb6,Rps27
,Tmem134,Rpl10
,Nucks1,mt-Nd1
,Arid1a,Rack1
,Rbm5,Rps8
,Krit1,Rpl17
,Ywhae,Rpl3
,Tespa1,Sell
,Fos,Rpl23
,Ppp2ca,Ighm
,Smap2,Fus
,Rps24,Rpl15
,Plekhj1,Rpl5
,Dnajc8,Rps16
,Srsf6,Rps25
,R3hdm1,Rpl8
,Ikbkb,Rps7
,Uqcr11,Rps18
,Zfp644,Celf2
,Tecpr1,Rpl13
,N4bp2l2,Rpl10a
,Grk2,Nsa2
,Bcl2,Rpl11
,Lnpep,Rpl23a
,Cct6a,Rps5
,Hnrnpl,Rpl19
,Cd5,Rps26
,Rpl18,Rps13
,Gm2000,Rps19
,Dnajc7,Foxp1
,9930111J21Rik2,Rps23
,Ramp1,Eef1a1
,Psip1,Rps3
,Il6st,Rpl36a
,Rcsd1,Cct2
,Cd6,Rpl35
,Rnf187,Chd3
,Rab14,Rps21
,Senp6,Rps12
,Dhx36,Rgs10
,Prdx5,Dapl1
,Tcf12,Tnrc6b
,Gpbp1,Rpl6
,Nop56,Rpl28
,Efr3a,Ifi47
,Usp34,Fau
,Srsf10,Sh3kbp1
,Cd226,Fkbp3
,Slc50a1,Rps3a1
,Ssbp2,Rpl22
,Rab21,Ppp1r14b
,Zdhhc20,Eef1b2
,Pop5,Rps6
,Camk2d,Cd37
,Bzw2,Chd2
,Ccr9,Ccr7
,Cd2ap,Snrnp70
,Rgcc,Arhgdia
,Plgrkt,Mrpl23
,Igfbp4,Stk4
,Rflnb,mt-Cytb
,Pdk1,Rps14
,Smim14,Rps9
,Nisch,Txk
,Fnbp1,Psmb6
,Plaat3,Cd3d
,Pik3ip1,Tmem134
,Zfp638,Rplp0
,Ranbp2,Nucks1
,Ddx50,Mycbp2
,Usp7,Arid1a
,Il6ra,Rbm5
,Kras,Krit1
,Vamp8,Ywhae
,Inpp4b,Tespa1
,Slamf6,Rpl32
,Ccnl2,Fos
,Arl5c,Ppp2ca
,Eif4g1,Smap2
,Hnrnpul2,Rpl39
,Kbtbd11,Rpl29
,Tnik,Rpl18a
,Rex1bd,mt-Nd2
,Itpr2,Plekhj1
,Sun2,Dnajc8
,Mrpl12,Srsf6
,Samd9l,Rpl7
,Ube2h,R3hdm1
,Crtc3,Ikbkb
,Uqcc2,Uqcr11
,AB124611,Grap2
,Stk10,Bcl11b
,Fam104a,Zfp644
,Polr2j,Ltb
,Cdc40,Rplp2
,Zap70,Tecpr1
,Tspan13,N4bp2l2
,Csnk1g2,Grk2
,Mkln1,Bcl2
,Jmjd1c,Lnpep
,Ep400,Rpl38
,Cd84,Cct6a
,Sf1,Hnrnpl
,Pde3b,Rps27rt
,Ccdc85b,Cd5
,Impdh2,Fam49b
,Usf2,Gm2000
,Gspt1,Dnajc7
,Nrip1,9930111J21Rik2
,Fam169b,Cd53
,Hspa4,Ramp1
,Fundc2,Psip1
,Rchy1,Il6st
,Rif1,Rcsd1
,Tuba4a,Rpl36
,Acap1,Cd6
,Larp1,Rnf187
,Higd1a,Rab14
,Romo1,Senp6
,Gatad2b,Dhx36
,Mrpl51,Prdx5
,Sfr1,Tcf12
,Zfp207,Gpbp1
,Tmed5,Nop56
,Tdrp,Efr3a
,Dennd1c,Sem1
,Prkd2,Usp34
,Twistnb,Rps11
,Cdc26,Srsf10
,Rtcb,Cd226
,Denr,Slc50a1
,Dtx1,Ssbp2
,Rsf1,Rab21
,Pa2g4,Zdhhc20
,Znrd1,Pop5
,Rpl27a,Psmb10
,Mrps21,Camk2d
,Rbm6,Bzw2
,Gbp4,Ccr9
,Rheb,Cd2ap
,Dguok,Rgcc
,Psmd7,Arl4c
,Tbc1d1,Plgrkt
,Rpn2,Igfbp4
,Gpatch8,Rflnb
,Zmynd11,Pdk1
,Igbp1,Smim14
,Mrps15,Nisch
,Cebpz,Snrpd3
,Zbtb20,Fnbp1
,Selenot,Plaat3
,Smarca2,mt-Co1
,Elavl1,Rpl41
,Fam102a,Pik3ip1
,Smad4,Zfp638
,Tasor2,Kmt2a
,Pcgf5,Rpl31
,Yeats4,Ranbp2
,Psmg4,Ddx50
,Ndufaf8,Eif3h
,Emc6,Usp7
,Tsc22d3,Il6ra
,0610012G03Rik,Kras
,Itsn2,Vamp8
,Ms4a4c,Eif4a2
,Guk1,Ptma
,Zfp148,Inpp4b
,Ptbp1,Slamf6
,St13,Fam189b
,Stag2,Ccnl2
,Abhd8,Arl5c
,Ddx17,mt-Nd5
,Dkc1,Eif4g1
,Stub1,Hnrnpul2
,Cdv3,Kbtbd11
,Ndufb2,Tnik
,Polr2m,Rex1bd
,Srp72,Itpr2
,Socs3,Sun2
,Polr2a,Mrpl12
,Mrpl42,Samd9l
,Smpdl3a,Rpsa
,Ccm2,Ube2h
,Rpl9,Crtc3
,Synj2bp,Uqcc2
,Tia1,AB124611
,Zc3h13,Stk10
,Znrf1,Fam104a
,Cyth1,Polr2j
,Dennd2d,Cdc40
,Psmd13,Zap70
,Sra1,Tspan13
,Kdm7a,Csnk1g2
,Aqr,Mkln1
,Zeb1,Jmjd1c
,Arap2,Ep400
,H2-DMa,Cd84
,Leng8,Sf1
,Nsg2,Pde3b
,Wdr89,Rpl4
,Gm17018,Ccdc85b
,Cyth4,Impdh2
,Prrc2b,Usf2
,Ogdh,Gspt1
,Cbx4,Nrip1
,Ssbp1,Fam169b
,Setd5,Hspa4
,Mrpl43,Fundc2
,Elf2,Rchy1
,Eif3b,Rif1
,Mau2,Tuba4a
,Zfp652,Acap1
,Supt5,Larp1
,Dpp4,Higd1a
,Naa10,Romo1
,Pdia6,Gatad2b
,Mybbp1a,Mrpl51
,Dnajb11,Sfr1
,Pecam1,Zfp207
,Clip1,Tmed5
,Fchsd2,Tdrp
,U2af2,Dennd1c
,Rassf2,Prkd2
,Ifit1bl1,Twistnb
,Pcmtd1,Cdc26
,Hadha,Rtcb
,Mrpl21,Denr
,Cd7,Snu13
,Cabin1,Dtx1
,Baz2a,Rsf1
,Tgoln1,Pa2g4
,Ramac,Hp1bp3
,Was,Znrd1
,Ndufb6,Mrps21
,Iigp1,Rbm6
,Kat6a,Ucp2
,Tmem208,Gbp4
,Arrb2,Rheb
,Eif1ax,Dguok
,Smim4,Psmd7
,Nolc1,Tbc1d1
,Rbm26,Rpn2
,Ep300,Ikzf1
,Eml4,Gpatch8
,Pfdn1,Zmynd11
,Snf8,Igbp1
,Setd2,Mrps15
,Ppp1r11,Cebpz
,BC005624,Zbtb20
,Fam172a,Selenot
,Dennd1b,Smarca2
,Nrd1,Elavl1
,Uba2,Fam102a
,Avl9,Smad4
,Ddt,Tasor2
,Tmem30a,Rinl
,Zfp280d,Pcgf5
,Stx16,Yeats4
,Morc3,Psmg4
,Dync1h1,Ndufaf8
,Pcif1,Emc6
,Agfg1,Tsc22d3
,Med1,0610012G03Rik
,Cdipt,Itsn2
,Rock2,Rps17
,Rpgrip1,Ms4a4c
,Kxd1,Guk1
,Irgm1,Zfp148
,Tlk1,Ptbp1
,Timm17a,St13
,Madd,Stag2
,Sema4d,Cd3g
,Dpy30,Abhd8
,Rad23b,Ddx17
,Cxcr6,Dkc1
,1110038F14Rik,Stub1
,Rbm4b,Cdv3
,Ociad1,Ifi27
,Ifnar1,Ndufb2
,H2-Ke6,Polr2m
,Gm12216,Srp72
,Prpf39,Socs3
,Pin4,Polr2a
,Klf7,Mrpl42
,Chd6,Lef1
,Rasa2,Smpdl3a
,Man1a,Ccm2
,Laptm4a,Ndfip1
,Helz,Synj2bp
,Idh3g,Tia1
,Tcf20,Evl
,Arih1,Zc3h13
,Parp14,Znrf1
,Oga,Cyth1
,Dyrk2,Dennd2d
,Mrps12,Psmd13
,Gpbp1l1,Sra1
,Pold4,Kdm7a
,Tigd2,Aqr
,Gatad2a,Zeb1
,Clns1a,Arap2
,Dtx3l,H2-DMa
,Snx6,Leng8
,Pts,Itk
,Kmt5b,Nsg2
,Ccdc107,Arhgap15
,Esf1,Wdr89
,Limd1,Gm17018
,Pgam1,Cyth4
,Actl6a,Prrc2b
,Rapgef4,Ogdh
,Gigyf2,Cbx4
,Itch,Ssbp1
,Rad21,Setd5
,Dars,Mrpl43
,Lsm1,Rpl7a
,Rbm33,Elf2
,Hvcn1,Eif3b
,Nemf,Mau2
,Mbp,Zfp652
,Ssna1,Supt5
,Gtf3a,Dpp4
,Mak16,Naa10
,Rlf,Pdia6
,Akirin1,Mybbp1a
,Vps4b,Dnajb11
,Tab2,Pecam1
,Map3k1,Clip1
,Gna13,Fchsd2
,Treml2,U2af2
,Sh3bp5,Tra2b
,2510002D24Rik,Rassf2
,Arid5b,Ifit1bl1
,Atp13a3,Pcmtd1
,Uvrag,Hadha
,Stag1,Mrpl21
,Mettl9,Cd7
,Rps6ka3,Cabin1
,Ehd3,Baz2a
,Gps2,Tgoln1
,Rnf10,Ramac
,Noc2l,Gpx4
,Tmem108,Was
,Iws1,Ndufb6
,Sptssa,Iigp1
,Exoc3,Kat6a
,Trim26,Tmem208
,Glrx2,Arrb2
,Sp140,Eif1ax
,Pglyrp2,Smim4
,C1d,Nolc1
,Tor1aip1,Rbm26
,Tet3,Ep300
,Chd1,Eml4
,Kif1b,Pfdn1
,Cux1,Snf8
,Alg5,Setd2
,Nub1,Ppp1r11
,Acyp1,BC005624
,Ccdc47,Fam172a
,Akap8l,Atp5j2
,Pdcd2,Dennd1b
,Bola3,Nrd1
,Mri1,Uba2
,Ak2,Avl9
,Pcm1,Ddt
,Gigyf1,Tmem30a
,Clec2i,Zfp280d
,Mllt3,Stx16
,Pin1,Tuba1b
,Gstp3,Morc3
,Polr2h,Dync1h1
,Tnfrsf18,Pcif1
,Xpo6,Agfg1
,Senp2,Med1
,Prdx3,Cdipt
,Ascc3,Rock2
,Pdrg1,Rpgrip1
,Tfam,Fyb
,Nars,Kxd1
,Erg28,Irgm1
,Nsun2,Tlk1
,Slc20a1,Timm17a
,Iqgap2,Madd
,Mdn1,Sema4d
,Trim44,Dpy30
,Trbv13-3,Rad23b
,Abcg1,Cxcr6
,Crebzf,1110038F14Rik
,Gtf2b,Rbm4b
,Akirin2,Ociad1
,Pum3,Ifnar1
,Casp8ap2,H2-Ke6
,Thoc1,Gm12216
,Exosc7,Prpf39
,Relch,Pin4
,Bbx,Top1
,Agpat3,Klf7
,Ccnt2,Chd6
,Idh3b,Rasa2
,Pam16,Man1a
