,P9,P3,P4,P10,P0,P5,P6,P2,P7,P8,P1
P9,,Hmmr|Ccr9|Lair1|Cd38|Gypc|Tnfsf10|Cd244a|Cd40lg|Klra3|Ccr7|Cd24a|Sell|Cd83|Tnfrsf23|Cd81|Cd200r1|Csf2ra|Izumo1r|Treml2|Klrb1b|Ighd|Itga3|Prnp|Trdv5|Trgv2|Tlr1|Muc1|Icosl|Lepr|Tnfrsf12a|Tnfsf11|Pir|Cd46|Ccr6|Vpreb1|Clec12a|Ccr1,Hmmr|Lair1|Gypc|Cd38|Ccr7|Cd24a|Tnfsf10|Cd40lg|Cd244a,,Sell|Il7r|Ccr7|Ccr9|Il6st|Il6ra|Treml2|Il4ra|Itgae|Tnfsf8|Ifngr2|Tlr1|Igf1r|Insr|Tnfsf10|Lair1|Ighd|Art4|Gypc|Plaur|Cd46|Izumo1r|Tnfrsf12a|Tnfrsf10b|Ly6d|Tnfrsf23|Ly6c1|Tlr6|Csf2ra|Cd81|Icosl|Cd40lg|Trgv2|Cxcr5|Cd200r1|Trdv5|Cd244a|Fgfr1|Cd38|Pirb|Itga5|Pdgfrb|Cr2|Bmpr1a|Art1|Icam4|Cd24a,Lair1|Ccr9|Gypc|Cd38|Tnfsf10|Cd24a|Cd40lg|Cd244a|Cd83|Ccr7|Sell|Csf2ra|Treml2|Trgv2|Tnfrsf12a|Itga3|Muc1|Icosl|Cd81|Tnfrsf10b,Hmmr|Ccr9|Lair1|Cd38|Tnfsf10|Cd244a|Cd24a|Gypc|Cd40lg|Csf2ra|Tnfrsf23|Ighd|Ccr3|Tlr6|Vpreb1|Prnp|Trdv5|Icam4|Itga3,Hmmr|Tnfrsf4|Sell|Treml2|Il4ra|Lair1|Ccr9|Cd24a|Csf2ra|Tnfsf10|Gypc|Cd38|Cd81|Cd244a,Tnfsf8|Tnfrsf4|Sell|Ccr7|Fas|Il6st|Ccr6|Il4ra|Cd83|Izumo1r|Tnfsf10|Cd38|Tlr1|Treml2|Tnfrsf23|Cxcr5|Gypc|Tnfsf11|Cd81|Ighd|Cd200r1|Csf2ra|Il23r|Tnfsf13b|Kit|Il6ra|Cd244a|Cd40lg|Icam4|Cd24a|Prnp|Itga3|Cd46|Icosl|Tnfrsf12a|Tlr6|Ptgfrn|Igf1r|Vpreb1|Lepr|Klrb1b|Bst1,Klrb1c|Il1rl1|Ccr9|Cd38|Fas|Klra3|Lair1|Gypc|Tnfsf10|Cd244a|Klrb1b|Cd46|Itgae|Icosl|Sell|Trdv5|Cd200r1|Ighd|Cd40lg|Itga3|Siglecf|Izumo1r|Tnfsf13b|Trgv2|Ddr1|Csf2ra|Cd81|Pir,
P3,,,,,Sell|Il7r|Ccr7|Ccr9|Il6st|Il6ra|Treml2|Il4ra|Itgae|Ifngr2|Tlr1|Igf1r|Insr|Eng|Ighd|Art4|Plaur|Cd46|Tnfrsf10b|Ly6c1|Tlr6|Fgfr1|Itga5|Pdgfrb|Art1,Tnfrsf21,,Il7r|Tnfrsf4|Sell,Tnfsf8|Il7r|Tnfrsf25|Sell|Ccr7|Ccr6|Cd83|Izumo1r|Cd22|Nt5e|Tlr1|Treml2|Cxcr5|Tnfsf11|Tnfsf4|Il23r|Tnfsf13b|Kit|Il6ra|Icam4|Ptgfrn,Klrb1c|Cd46|Itgae,
P4,Ccr2,Cd83|Trdv2-2|Klrb1b|Ly6k|Trdv5|Cd46|Trdv4,,,Sell|Il7r|Ccr7|Ccr9|Il6st|Il6ra|Treml2|Itgae|Cd55|Ifngr2|Tlr1|Igf1r|Insr|Eng|Art4|Ly6k|Cd46|Trdv2-2|Nt5e|Abcg2|Tnfrsf12a|Tnfrsf10b|Ly6c1|Tlr6|Trdv1|Tnfrsf14|Trdv5|Fgfr1|Tlr2|Itga5|Pdgfrb|Cr2|Art1,Ly6k,Trdv1|Ly6k|Tlr6,Sell,Tnfsf8|Crtam|Tnfrsf25|Sell|Cd200|Ccr6|Cd83|Izumo1r|Cd22|Nt5e|Tnfrsf23|Tnfsf11|Tnfsf4|Il23r|Ly6k|Kit|Trdv2-2|Il6ra|Icam4|Trdv1|Cd46|Tlr6|Tnfrsf14|Igf1r|Klrb1b,Lag3|Ccr2|Klrb1c|Cd86|Cd80|Klrb1b|Trdv2-2|Cd46|Itgae|Trdv5|Tnfrsf14|Siglecf|Trdv1,
P10,Ly6a|Atp1b3|Cxcr6|Cd69|Cd53|Il18r1|Ctla4|Il2rb|Cd5|Cd37|Cd6|Ighm|Slamf6|Sema4d|Cd226|Cd9|Lag3|Tnfrsf18|Dpp4|Igf2r|Cd84|Tnfrsf9|Tnfrsf1b|Ggt1|Pecam1|Cd7|Nrp1,Ly6a|Hmmr|Cd69|Il2rb|Cd53|Ctla4|Ighm|Cd5|Cd226|Cxcr6|Lag3|Slamf6|Sema4d|Cd6|Cd9|Cd37|Pdcd1|Tnfrsf18|Cxcr4|Tnfrsf9|Ggt1|Nrp1|Ifnar1|Icam2|Tnfrsf1b|Cd84|Igf2r|Alcam|Dpp4|Pecam1|Slamf1|Cd274|Cd7|Tfrc|Ptprj|Il10ra|Itga6|Il1rl1|Mvp|Plxnc1|Cd68|Il3ra|Sema7a|Il12rb1|Itgav|Itgam|Btla|Notch2|Ly75|Tnfsf8|Ccr9|Il6st|Ifitm1|Igsf8|Tnfsf9|Tnfrsf1a|L1cam|Lair1|Itgb3|Cd55|Entpd1|Klrb1c|Cd1d1|Tnfrsf13c|Cd99l2|Pvr|Tnfsf14|Adam8|Fas|Tnfrsf4|Gypc|Cd80|Pdcd1lg2|Tnfsf10|Cd86|Cd244a|Il4ra|Cd200|Lilrb4a|Klra3|Ccr7|Tnfrsf25|Cd24a|Tigit|Epcam|Ly96|Cd151|Cd320|Sell|Cd74|Itga2|Cd83|Tnfrsf23|Trdv2-2|Cd81|Cd200r1|Cd101|Csf2ra|Izumo1r|Nt5e|Cd22|Treml2|Klrb1b|Ighd|Itga3|Prnp|Ly6k|Trdv5|Cd70|Fcgr2b|Trdv1|Trgv2|Tlr1|Muc1|Abcg2|Icosl|Lepr|Tnfrsf12a|Tnfsf11|Pir|Cd46|Trdv4|Tnfrsf21|Ccr6|Vpreb1|Clec12a|Ccr1|Il1r2|Tlr6|Itgae|Tnfsf13b|Insr|Kit|Tnfrsf14|Tnfrsf8|Icam4,Il2rb|Hmmr|Ctla4|Ighm|Cd5|Cxcr6|Cd226|Sema4d|Slamf6|Pdcd1|Tnfrsf9|Ggt1|Cd9|Cd6|Lag3|Cd37|Nrp1|Ifnar1|Cxcr4|Tnfrsf18|Tnfrsf1b|Igf2r|Icam2|Cd84|Slamf1|Alcam|Dpp4|Cd274|Tfrc|Ifitm1|Pecam1|Mvp|Cd7|Notch2|Il1rl1|Plxnc1|Adam8|Lair1|Ptprj|Tnfrsf4|Ly75|Cd68|Itgam|Il3ra|Itga6|Itgb3|Igsf8|Itgav|Tnfsf9|Il12rb1|Epcam|Sema7a|Btla|Il4ra|Cd1d1|Entpd1|Tnfsf8|Pvr|Il10ra|Tnfrsf13c|Gypc|Cd99l2|Fas|Tnfrsf1a|Cd55|Pdcd1lg2|Cd320|Ccr7|L1cam|Cd24a|Ccr9|Il6st|Tnfsf10|Itga2|Cd244a|Cd80|Cd200|Csf2ra|Tnfsf14|Tigit|Cd151|Tlr1|Cd101,,Cd53|Sell|Ighm|Ccr7|Cd37|Ccr9|Cd5|Il6st|Cd6|Cd226|Slamf6|Il6ra|Cd84|Cd7|Pecam1|Dpp4|Cxcr6|Ifnar1|Sema4d|Treml2|Tnfrsf18|Il4ra|Il2rb|Itgae|Cd55|Icam2|Ly75|Tnfsf8|Ifngr2|Cd9|Tfrc|Igf2r|Itga6|Tlr1|Cd1d1|Cd274|Fas|Notch2|Btla|Ggt1|Mvp|Igf1r|Cxcr4|Insr|Tnfrsf1a|Tnfsf10|Tnfrsf1b|Lair1|Tnfrsf25|Itgb3|Eng|Plxnc1|Ighd|Art4|Itgav|Cd74|Cd86|Pvr|Cd320|Ctla4|Ly6k|Gypc|Cd68|Plaur|Tnfrsf9|Cd46|Igsf8|Il10ra|Trdv2-2|Il3ra|Slamf1|Nt5e|Abcg2|Cd99l2|Izumo1r|Tnfrsf12a|Tnfrsf4|Cd151|Il12rb1|Tnfrsf10b|Ly6d|Tnfrsf23|Ly6c1|Tlr6|Csf2ra|Trdv1|Cd81|Hmmr|Icosl|Lag3|Cd200|Trgv2|Cxcr5|Tnfrsf14|Cd200r1|Itga2|Trdv5|Tnfsf14|Alcam|Cd101|Cd244a|Fgfr1|L1cam|Itgam|Pdcd1|Tnfrsf13c|Pirb|Epcam|Ly86|Tlr2|Itga5|Ptprj|Pdgfrb|Cr2|H2-Ab1|Ddr1|Bmpr1a|Lilrb4a|Art1|Icam4|Cd24a,Atp1b3|Il2rb|Ctla4|Cxcr6|Ighm|Cd5|Slamf6|Sema4d|Cd226|Pdcd1|Lag3|Tnfrsf9|Cd6|Cd9|Cd37|Ggt1|Nrp1|Tnfrsf18|Tnfrsf1b|Hmmr|Igf2r|Cxcr4|Tfrc|Cd84|Ifnar1|Alcam|Icam2|Dpp4|Lair1|Slamf1|Cd7|Cd274|Pecam1|Itgam|Plxnc1|Notch2|Ptprj|Itgb3|Itgav|Cd68|Igsf8|Il1rl1|Mvp|Sema7a|Itga6|Tnfsf9|Btla|Ly75|Il3ra|Ccr9|Cd55|Cd1d1|Ifitm1|Tnfrsf4|Il12rb1|Adam8|Il10ra|Tnfsf8|Epcam|Gypc|Fas|Cd99l2|Il4ra|Tnfrsf1a|Pvr|Tnfrsf13c|Il6st|L1cam|Pdcd1lg2|Tnfsf10|Cd24a|Lilrb4a|Cd320|Tigit|Tnfsf14|Entpd1|Tnfrsf21|Ly96|Itga2|Cd74|Cd80|Cd86|Cd244a|Cd83|Ccr7|Tnfrsf25|Klrb1c|Abcg2|Sell|Cd200|Cd70|Cd22|Ly6k|Cd101|Csf2ra|Treml2|Il1r2|Trgv2|Tnfrsf12a|Itga3|Muc1|Icosl|Cd81|Tnfrsf8|Trdv2-2|Tnfrsf10b|Nt5e|Tnfrsf23|Ccr1,Ly6a|Atp1b3|Il2rb|Cd53|Cxcr6|Ctla4|Ighm|Cd5|Cd9|Cd226|Cd6|Slamf6|Sema4d|Cd37|Hmmr|Lag3|Pdcd1|Ggt1|Tnfrsf9|Tnfrsf18|Nrp1|Tnfrsf1b|Ifnar1|Cd84|Igf2r|Icam2|Cd7|Dpp4|Alcam|Cxcr4|Slamf1|Cd274|Mvp|Tfrc|Pecam1|Itgam|Itgav|Cd68|Sema7a|Cd1d1|Notch2|Tnfrsf13c|Adam8|Il10ra|Itga6|Il3ra|Plxnc1|Btla|Cd55|Itgb3|Ly75|Ccr9|Ptprj|Il12rb1|Lair1|Ifitm1|Fas|Il1rl1|Tnfsf9|Entpd1|Igsf8|Cd80|Il6st|Pvr|Tnfsf10|L1cam|Cd99l2|Cd244a|Il4ra|Tnfsf8|Tnfrsf1a|Cd24a|Tnfrsf4|Pdcd1lg2|Cd320|Lilrb4a|Tnfsf14|Cd86|Epcam|Tigit|Klrb1c|Ly96|Gypc|Tnfrsf25|Cd101|Itga2|Cd200|Cd74|Csf2ra|Tnfrsf23|Trdv1|Ighd|Cd151|Ly6k|Trdv2-2|Ccr3|Tlr6|Vpreb1|Prnp|Sell|Ddr1|Trdv5|Icam4|Itga3|Cd22|Muc1,Il2rb|Ighm|Cxcr6|Cd5|Slamf6|Tnfrsf9|Ctla4|Sema4d|Hmmr|Pdcd1|Cd6|Cd37|Cd226|Tnfrsf18|Cd7|Cxcr4|Cd9|Dpp4|Tfrc|Tnfrsf4|Nrp1|Sell|Cd84|Lag3|Tnfrsf1b|Igf2r|Icam2|Ifnar1|Ggt1|Alcam|Itga6|Pecam1|Tnfsf8|Notch2|Treml2|Itgav|Il4ra|Igsf8|Ly75|Lair1|Tnfsf9|Cd320|Slamf1|Ccr9|Fas|Mvp|Plxnc1|Cd274|Ptprj|Klrb1c|Cd24a|Il10ra|Csf2ra|Adam8|Il12rb1|Pdcd1lg2|Sema7a|Itgb3|Il1rl1|Btla|Tnfsf10|Gypc|Tnfrsf12a|Tnfrsf1a|Cd22|Cd55|Epcam|Ly96|Pvr|Cd68|Cd99l2|Cd80|Cd81|Izumo1r|Entpd1|Il3ra|Tnfsf14|Tnfrsf13c|Tnfrsf21|Cd70|Tnfrsf8|Il1r2|Tnfrsf25|Cd244a|Abcg2,Itgb1|Slamf6|Cd69|Ighm|Cd53|Ctla4|Cd5|Cd9|Il2rb|Cd160|Cd6|Lag3|Tnfsf8|Cd226|Cd37|Sema4d|Pdcd1|Nrp1|Cd84|Dpp4|Pecam1|Ifnar1|Cxcr4|Tnfrsf18|Cd7|Igf2r|Tnfrsf9|Tnfrsf1b|Cd274|Cxcr6|Alcam|Tnfrsf4|Tnfrsf25|Icam2|Btla|Sell|Il1rl1|Plxnc1|Ccr7|Ly75|Fas|Cd68|Cd200|Il6st|Itga6|Mvp|Slamf1|Il3ra|Ggt1|Hmmr|Tfrc|Ptprj|Itgav|Pdcd1lg2|Ccr6|Cd1d1|Tnfsf14|Il4ra|Cd320|Cd83|Notch2|Il10ra|Izumo1r|Cd22|Tnfsf10|Pvr|Tnfrsf13c|Nt5e|Itgb3|Tnfsf9|Cd99l2|Sema7a|Tlr1|Cd55|Treml2|Tnfrsf23|Ly96|Epcam|Cxcr5|Gypc|Il12rb1|Tnfsf11|Lilrb4a|Lair1|Tnfrsf1a|Cd74|Cd81|Adam8|Igsf8|Cd86|Tnfsf4|Tigit|Ighd|Cd200r1|Cd80|Csf2ra|Il23r|Ly6k|Tnfsf13b|Kit|Cd101|Trdv2-2|Il6ra|L1cam|Cd244a|Icam4|Klrb1c|Cd24a|Prnp|Trdv1|Itgam|Tnfrsf21|Abcg2|Itga3|Cd46|Il1r2|Itga2|Icosl|Cd70|Cd151|Tnfrsf12a|Tlr6|Ptgfrn|Tnfrsf14|Plaur|Igf1r|Vpreb1|Entpd1|Lepr|Klrb1b|Insr|Bst1|Tnfrsf10b,Cd3g|Ly6a|Atp1b3|Il18r1|Cd53|Lag3|Il2rb|Cxcr6|Cd160|Ighm|Cd37|Slamf7|Sema4d|Ctla4|Cd5|Cd6|Pdcd1|Cd226|Tnfrsf18|Cd84|Slamf6|Cd9|Igf2r|Ifnar1|Alcam|Tnfrsf1b|Klrb1c|Pecam1|Il10ra|Slamf1|Nrp1|Il1rl1|Tnfrsf9|Dpp4|Cd7|Cd274|Ccr9|Cxcr4|Itgav|Adam8|Entpd1|Sema7a|Cd86|Cd80|Icam2|Mvp|Itga6|Ly75|Btla|Il12rb1|Fas|Klra3|Ptprj|Il3ra|Tnfsf14|L1cam|Lair1|Tnfrsf1a|Lilrb4a|Plxnc1|Itgam|Ggt1|Tfrc|Tnfrsf4|Notch2|Tnfsf9|Itgb3|Cd55|Cd1d1|Pvr|Tnfsf8|Pdcd1lg2|Tigit|Gypc|Cd68|Tnfsf10|Cd99l2|Il6st|Ifitm1|Il4ra|Hmmr|Itga2|Cd74|Tnfrsf25|Igsf8|Tnfrsf13c|Cd244a|Cd200|Klrb1b|Ly96|Fcgr2b|Trdv2-2|Cd46|Itgae|Cd151|Cd320|Icosl|Sell|Trdv5|Cd101|Cd200r1|Tnfrsf21|Ighd|Tnfrsf14|Itga3|Epcam|Siglecf|Izumo1r|Tnfsf13b|Trdv1|Trgv2|Ddr1|Csf2ra|Cd81|Il1r2|Abcg2|Pir|Ly6c1|Fcgr3|Lepr,
P0,Lgals3|Ly6a|Itga4|Cd48|Ifngr1|Cxcr6|Cd28|Il18r1|Itgal|Icos|Ctla4|Itgb1|Il2rb|Cxcr3|Il18rap|Klrc1|Ccr2|Cd9|Lag3|Cd44|Itgax|Ccr5|Klrc2|Slamf7|Nrp1,Ly6a|Lgals3|Cd48|Itga4|Ifngr1|Cd28|Itgb1|Hmmr|Il2rb|Ctla4|Il18r1|Klrc1|Icos|Klrk1|Cxcr3|Lag3|Klrc2|Cd160|Slamf7|Il18rap|Cd9|Cd44|Pdcd1|Cxcr4|Havcr2|Tnfrsf9|Nrp1|Tnfrsf1b|Ccr5|Ccr2|Alcam|Igkc|Cx3cr1|Itgax|Slamf1|Fasl|Il2ra|Itga1|Ptprj|Il10ra|Il1rl1|Il3ra|Sema7a|Il12rb1|Itgam|Ifitm1|Tnfsf9|L1cam|Entpd1|Klrb1c|Cd38|Klrg1|Tnfrsf13c|Tnfsf14|Adam8|Cd80|Pdcd1lg2|Cd244a|Cd200|Lilrb4a|Klra3|Cd24a|Tigit|Epcam|Ly96|Cd83|Cd22|Klrb1b|Itga3|Prnp|Cd70|Muc1|Tnfsf11|Pir|Ccr1|Il1r2,Lgals3|Ly6a|Cd48|Itga4|Itgb1|Cd28|Ifngr1|Il2rb|Hmmr|Ctla4|Icos|Il18r1|Cxcr3|Klrc1|Klrk1|Pdcd1|Cd160|Tnfrsf9|Slamf7|Ggt1|Cd9|Klrc2|Havcr2|Il18rap|Lag3|Nrp1|Cd44|Il2ra|Igkc|Tnfrsf1b|Slamf1|Alcam|Fasl|Ccr5|Cx3cr1|Ifitm1|Itgax|Itga1|Il1rl1|Ccr2|Adam8|Ptprj|Tnfrsf4|Itgam|Il3ra|Tnfsf9|Il12rb1|Epcam|Sema7a|Entpd1|Tnfrsf13c|Pdcd1lg2|Cd80|Tigit,,,Lgals3|Ly6a|Cd48|Itga4|Cd28|Itgb1|Il2rb|Ctla4|Icos|Il18r1|Klrc1|Cxcr3|Cd160|Klrk1|Pdcd1|Lag3|Tnfrsf9|Cd9|Klrc2|Slamf7|Cd44|Havcr2|Ggt1|Il18rap|Nrp1|Tnfrsf1b|Hmmr|Igkc|Il2ra|Ccr5|Alcam|Itgax|Fasl|Slamf1|Ccr2|Itgam|Ptprj|Itga1|Il1rl1|Cx3cr1|Sema7a|Tnfsf9|Ifitm1|Adam8|Epcam|Klrg1|Tnfrsf13c|L1cam|Cd38|Pdcd1lg2|Cd24a|Lilrb4a|Tigit|Tnfsf14|Entpd1|Tnfrsf21|Ly96|Cd80|Cd22|Il1r2|Tnfrsf8,Lgals3|Ly6a|Cd48|Itga4|Itgb1|Il2rb|Cd28|Cxcr6|Ctla4|Il18r1|Icos|Cxcr3|Klrc1|Cd9|Klrk1|Cd160|Hmmr|Slamf7|Lag3|Pdcd1|Klrc2|Ccr5|Ggt1|Tnfrsf9|Il18rap|Havcr2|Cd44|Nrp1|Tnfrsf1b|Ccr2|Itgax|Cx3cr1|Igkc|Fasl|Alcam|Il2ra|Slamf1|Itga1|Itgam|Cd68|Sema7a|Tnfrsf13c|Adam8|Ptprj|Il12rb1|Ifitm1|Il1rl1|Tnfsf9|Klrg1|Cd38|Entpd1|Cd80|L1cam|Cd244a|Cd24a|Pdcd1lg2|Lilrb4a|Tnfsf14|Epcam|Tigit|Klrb1c|Ly96|Ccr3|Prnp,Lgals3|Itgb1|Il2rb|Klrk1|Il18r1|Cxcr3|Cd160|Icos|Tnfrsf9|Ctla4|Klrc1|Hmmr|Pdcd1|Klrc2|Il18rap|Cd44|Havcr2|Slamf7|Igkc|Il2ra|Tnfrsf4|Nrp1|Lag3|Ccr5|Alcam|Igsf8|Tnfsf9|Slamf1|Fasl|Ptprj|Cd24a|Adam8|Il12rb1|Pdcd1lg2|Sema7a|Il1rl1|Cd22|Epcam|Cd80|Tnfrsf8|Il1r2,Ly6a|Itgb1|Itga4|Cd28|Slamf6|Lgals3|Icos|Ctla4|Cxcr3|Cd9|Il18r1|Il2rb|Cd160|Lag3|Klrk1|Tnfsf8|Crtam|Klrc1|Klrc2|Pdcd1|Slamf7|Nrp1|Cd44|Il18rap|Cxcr4|Tnfrsf9|Tnfrsf1b|Igkc|Alcam|Tnfrsf4|Il1rl1|Cd68|Cd200|Slamf1|Il3ra|Hmmr|Ptprj|Pdcd1lg2|Ccr6|Tnfsf14|Cd83|Ccr5|Cd22|Havcr2|Itgax|Cd38|Tnfrsf13c|Tnfsf9|Sema7a|Ly96|Epcam|Cxcr5|Itga1|Tnfsf11|Lilrb4a|Fasl|Adam8|Tnfsf4|Tigit|Cd80|Il23r|Tnfsf13b|Kit|Cx3cr1|Klrb1c|Prnp|Tnfrsf21|Itga3|Il1r2|Cd70|Klrb1b|Bst1,Lgals3|Ly6a|Itga4|Cd48|Il18r1|Ifngr1|Lag3|Il2rb|Itgal|Cxcr6|Itgb1|Klrc1|Il18rap|Klrk1|Cd160|Icos|Slamf7|Ctla4|Cxcr3|Cd44|Pdcd1|Havcr2|Klrc2|Ccr2|Itgax|Ccr5|Igkc|Alcam|Tnfrsf1b|Cx3cr1|Fasl|Klrb1c|Tnfrsf13b|Itga1|Il10ra|Slamf1|Nrp1|Il1rl1|Tnfrsf9|Adam8|Entpd1|Sema7a|Cd80|Cd38|Il12rb1|Klra3|Il2ra|Ptprj|Il3ra|Tnfsf14|Klrg1|L1cam|Lilrb4a|Itgam|Tnfrsf4|Tnfsf9|Pdcd1lg2|Tigit|Ifitm1|Itga2|Tnfrsf13c|Cd244a|Klrb1b|Ly96|Fcgr2b|Tnfrsf21|Siglecf|Il1r2|Pir,
P5,,Hmmr|Klrb1c|Klra3|Cd151|Cd200r1|Izumo1r|Tnfsf11|Vpreb1,Hmmr,,Sell|Il7r|Ccr7|Ccr9|Il6st|Il6ra|Treml2|Il4ra|Itgae|Ifngr2|Tlr1|Igf1r|Insr|Eng|Ighd|Art4|Plaur|Cd46|Nt5e|Izumo1r|Cd151|Ly6d|Ly6c1|Tlr6|Tnfrsf14|Cd200r1|Fgfr1|Pirb|Itga5|Pdgfrb|Cr2|Bmpr1a|Art1,,,Il7r|Sell,Tnfsf8|Crtam|Il7r|Tnfrsf25|Sell|Ccr7|Cd200|Ccr6|Cd83|Izumo1r|Cd22|Nt5e|Tlr1|Treml2|Tnfrsf23|Cxcr5|Tnfsf11|Cd81|Tnfsf4|Ighd|Cd200r1|Il23r|Il6ra|Icam4|Cd46|Tlr6|Ptgfrn|Vpreb1,Klrb1c|Entpd1|Cd86|Cd80|Klra3|Klrb1b|Fcgr2b|Cd46|Itgae|Cd151|Cd200r1|Tnfrsf14|Siglecf,
P6,,Cd83|Tnfsf11,,,Sell|Il7r|Ccr7|Ccr9|Il6st|Il6ra|Treml2|Il4ra|Itgae|Ifngr2|Tlr1|Igf1r|Insr|Eng|Art4|Plaur|Cd46|Nt5e|Abcg2|Tnfrsf12a|Tnfrsf10b|Ly6d|Ly6c1|Icosl|Cxcr5|Tnfrsf14|Fgfr1|Pirb|Pdgfrb|Cr2|Art1,Tnfrsf21,,Il7r|Tnfrsf4|Sell,Slamf6|Tnfsf8|Crtam|Il7r|Tnfrsf4|Tnfrsf25|Sell|Ccr7|Cd200|Ccr6|Cd83|Izumo1r|Cd22|Nt5e|Tlr1|Treml2|Cxcr5|Tnfsf11|Cd81|Tnfsf4|Cd200r1|Il23r|Tnfsf13b|Kit|Il6ra|Ptgfrn,Klrb1c|Il7r|Cd86|Klra3|Klrb1b|Fcgr2b|Cd46|Itgae|Icosl|Tnfrsf14|Siglecf,
P2,Klrd1|Ccr2|Vsir|Itgax,Cx3cr1|Itgax|Il6st|Ifitm1|Klra3|Klrb1b|Ighd|Trdv5|Fcgr2b|Tlr1|Trdv4|Ccr6,Cx3cr1|Itgax,,Sell|Il7r|Ccr7|Ccr9|Il6st|Il6ra|Itgae|Cd55|Ifngr2|Tlr1|Cd1d1|Igf1r|Insr|Eng|Ighd|Art4|Cd46|Tnfrsf10b|Ly6d|Ly6c1|Tlr6|Trdv1|Trdv5|Fgfr1|Tlr2|Itga5|Pdgfrb|Cr2|Art1,Itgax|Cx3cr1,Itgax|Cx3cr1|Cd1d1|Trdv1|Ighd|Ccr3|Tlr6,,Slamf6|Cd9|Lag3|Tnfsf8|Tnfrsf25|Il6st|Ccr6|Tlr1|Tnfrsf23|Tnfsf11|Tnfsf4|Ighd|Il23r|Kit|Trdv1|Tlr6|Klrb1b,Klrd1|Lag3|Ccr2|Itgax|Cx3cr1|Entpd1|Klra3|Lilrb4a|Tigit|Klrb1b|Fcgr2b|Cd46|Trdv5|Ighd|Siglecf|Trdv1,
P7,Cxcr6,Hmmr|Cxcr6|Havcr2|Ccr2|Cx3cr1|Fasl|Itgam|Ccr9|Ifitm1|Entpd1|Klrg1|Klra3,Lgals3|Hmmr|Cxcr6|Ggt1|Havcr2|Il2ra|Fasl|Cx3cr1|Ccr2|Itgam|Entpd1,,Sell|Il7r|Ccr7|Ccr9|Il6st|Il6ra|Treml2|Itgae|Cd55|Ifngr2|Igf1r|Insr|Eng|Art4|Tnfrsf10b|Ly6c1|Fgfr1|Itga5|Pdgfrb|Cr2,Cxcr6|Havcr2|Il2ra|Lair1|Fasl|Ccr2|Itgam|Cx3cr1|Ccr9|Ifitm1|Klrg1|Entpd1,Lgals3|Cxcr6|Hmmr|Ccr5|Havcr2|Ccr2|Itgax|Cx3cr1|Fasl|Il2ra|Itgam|Ccr9|Ifitm1|Klrg1|Entpd1,Hmmr|Havcr2|Il2ra|Ccr9,,Lgals3|Cxcr6|Havcr2|Ccr2|Itgax|Ccr5|Cx3cr1|Fasl|Klrb1c|Itga1|Ccr9|Adam8|Entpd1|Cd86|Cd80|Klra3|Klrg1|L1cam|Itgam|Ifitm1|Itga2|Klrb1b|Itgae|Siglecf,
P8,,Hmmr|Ggt1|Ccr7|Cd24a|Prnp|Tnfsf11|Ccr6,Hmmr|Ggt1|Epcam,,Sell|Il7r|Ccr7|Ccr9|Il6st|Il6ra|Treml2|Il4ra|Itgae|Ifngr2|Tlr1|Igf1r|Insr|Eng|Art4|Ly6k|Plaur|Nt5e|Tnfrsf12a|Tnfrsf10b|Ly6d|Tlr6|Cxcr5|Fgfr1|Pirb|Itga5|Pdgfrb,Ggt1|Hmmr|Epcam|Cd24a,Hmmr|Ggt1|Cd24a,Hmmr|Sell|Cd320,Slamf6|Tnfsf8|Tnfrsf25|Sell|Ccr7|Ccr6|Cd320|Cd83|Izumo1r|Cd22|Nt5e|Tlr1|Treml2|Tnfrsf23|Epcam|Cxcr5|Tnfsf11|Cd81|Tnfsf4|Il23r|Ly6k|Kit|Icam4|Prnp|Ptgfrn,,
