gene_names,wilcoxon_logfc,wilcoxon_padj,wilcoxon_score,t-test_logfc,t-test_padj,t-test_score,t-test_overestim_var_logfc,t-test_overestim_var_padj,t-test_overestim_var_score,logreg_score
Xkr4,,,,,,,,,,
Rp1,,,,,,,,,,
Sox17,,,,,,,,,,
Mrpl15,0.15408124,0.4627846769751633,1.4492066,0.15408124,0.13765180238432398,1.9848051,0.15408124,0.4658476758701067,1.4362,-0.0033331998
Lypla1,0.26319182,0.009064373719916105,3.2490401,0.26319182,0.037564374514980445,2.6039565,0.26319182,0.24256001099087018,1.904754,0.016263008
Gm37988,2.1803868,1.0,0.15300198,2.1803868,0.3835200682444041,1.2828606,2.1803868,0.5854750192950154,1.215607,0.0030175725
Tcea1,-0.041241728,1.0,-0.1451762,-0.041241728,0.7923414104019514,-0.4648722,-0.041241728,0.910182478829084,-0.33586156,-0.002717369
Rgs20,,,,,,,,,,
Atp6v1h,0.42336679,0.00014539228124975777,4.408086,0.42336679,0.0005044411110535364,4.011764,0.42336679,0.022579652382480192,3.0096912,0.01998812
Oprk1,,,,,,,,,,
Npbwr1,,,,,,,,,,
Rb1cc1,0.22326629,0.0032061730808338085,3.5780423,0.22326629,0.07222764666210763,2.314822,0.22326629,0.3604146403893945,1.6421963,-0.028780144
Alkal1,,,,,,,,,,
St18,,,,,,,,,,
Pcmtd1,-0.11773408,0.5123858527193911,1.3726737,-0.11773408,0.519670591434754,-0.9505094,-0.11773408,0.8463727063057764,-0.64606845,-0.014580153
Sntg1,,,,,,,,,,
Rrs1,0.24315499,0.05159462675566247,2.6078372,0.24315499,0.13954729933669627,1.9770539,0.24315499,0.4534254168201557,1.4600079,0.025796125
Adhfe1,-20.367641,1.0,-0.063724205,-20.367641,0.12250000201055232,-2.0453846,-20.367641,0.7832757163925191,-0.8135587,-0.0010532943
Vxn,,,,,,,,,,
Mybl1,-1.5203853,1.0,-0.6294802,-1.5203853,0.004697703982159871,-3.3480306,-1.5203853,0.23504463447169974,-1.9267267,0.006353402
Vcpip1,0.12259078,0.22216465309953867,1.912972,0.12259078,0.4973761093709897,0.99132824,0.12259078,0.8234008040642534,0.7177117,0.0029209938
Sgk3,-0.82292336,1.0,-0.55131817,-0.82292336,0.007526575940186301,-3.1904,-0.82292336,0.2248181233576757,-1.9526825,-0.0066824527
Mcmdc2,0.27314922,1.0,0.059284274,0.27314922,0.9368789698638892,0.21448882,0.27314922,0.992958516976253,0.14715682,0.00041427158
Tcf24,,,,,,,,,,
