"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051098","regulation of binding","46/1110","403/23210",4.63575587789344e-08,4.63575587789344e-08,0.000134068673567869,"Dnajb2/Hdac5/Hdac4/Fam129b/Dab2ip/Mecp2/Trib3/Id1/E2f1/Rapgef2/S100a10/Ppp3ca/Enho/Cdkn2a/Ldlrap1/Ctnnbip1/Agrn/Hopx/Hip1r/Lfng/Fam220a/Ica1/Eif2ak3/Mapk3/Ctbp2/Fbxw7/Zbtb7a/Lrp1/Disc1/Lgals3/Ubash3b/Smad3/Rara/Ripor2/Gzma/Itga2/Id2/Stk3/Pdgfb/Lrrk2/Psen2/Hes1/Ager/Bambi/Pacs1/Ifit2",46
"GO:0051348","negative regulation of transferase activity","33/1110","246/23210",8.92454806971305e-08,8.92454806971305e-08,0.000134068673567869,"Terf1/Dab2ip/Trib3/Gba/Lyn/Cdkn2a/Camk2n1/Errfi1/Trp73/Zfyve28/Dusp16/Gsk3a/Smpd1/Pycard/Midn/Irak3/Cln8/Prkcd/Lats2/Ubash3b/Thy1/Nprl2/Hyal2/Spred2/Vps25/Dusp3/Prkar2b/Pkn1/Psen2/Rubcn/Cdkn1a/Pten/Dusp5",33
"GO:0071900","regulation of protein serine/threonine kinase activity","47/1110","427/23210",1.00180168625172e-07,1.00180168625172e-07,0.000134068673567869,"Ccnyl1/Fzd5/Atp2b4/Vangl2/Dab2ip/Zeb2/Mapkbp1/Trib3/Map3k15/Rapgef2/Gba/Psrc1/Lyn/Cdkn2a/Cdkn2b/Sfn/Trp73/Arhgef5/Ret/Ccnd2/Dusp16/Ntrk3/Smpd1/Pycard/Adam8/Irak3/Prkcd/Lats2/Thy1/Parp16/Hyal2/Spred2/Map2k3/Dusp3/Rptor/F2r/Itga1/Prkar2b/Tgfb3/Pdgfb/Lrrk2/Map3k12/Cdkn1a/Pim1/Ager/Pten/Dusp5",47
"GO:0033673","negative regulation of kinase activity","30/1110","214/23210",1.28134044154402e-07,1.28134044154402e-07,0.000134068673567869,"Dab2ip/Trib3/Gba/Lyn/Cdkn2a/Camk2n1/Errfi1/Trp73/Zfyve28/Dusp16/Smpd1/Pycard/Midn/Irak3/Prkcd/Lats2/Ubash3b/Thy1/Nprl2/Hyal2/Spred2/Vps25/Dusp3/Prkar2b/Pkn1/Psen2/Rubcn/Cdkn1a/Pten/Dusp5",30
"GO:0043393","regulation of protein binding","32/1110","240/23210",1.60533426838765e-07,1.60533426838765e-07,0.000134374927391774,"Dnajb2/Hdac5/Hdac4/Dab2ip/Mecp2/Trib3/Id1/Rapgef2/Cdkn2a/Ldlrap1/Ctnnbip1/Agrn/Hopx/Hip1r/Lfng/Fam220a/Ica1/Eif2ak3/Mapk3/Lrp1/Disc1/Lgals3/Ubash3b/Ripor2/Stk3/Pdgfb/Lrrk2/Psen2/Hes1/Bambi/Pacs1/Ifit2",32
"GO:0042326","negative regulation of phosphorylation","48/1110","452/23210",2.16828763914574e-07,2.16828763914574e-07,0.000144416669698007,"Hdac4/Atf3/Eng/Dab2ip/Prr5l/Trib3/Gba/Lyn/Cdkn2a/Cdkn2b/Camk2n1/Mtor/Errfi1/Trp73/Zfyve28/Rabgef1/Foxm1/Dusp16/Myadm/Lrrk1/Ntrk3/Pde2a/Smpd1/Pycard/Midn/Irak3/Prkcd/Atg14/Lats2/Dmtn/Ubash3b/Thy1/Nprl2/Hyal2/Spred2/Flcn/Vps25/Dusp3/Prkar2b/Pkn1/Lrrk2/Psen2/Rubcn/Cdkn1a/Ager/Ier3/Pten/Dusp5",48
"GO:0032652","regulation of interleukin-1 production","18/1110","91/23210",2.56734856542197e-07,2.56734856542197e-07,0.000144416669698007,"Fzd5/Ifi204/Tlr2/Errfi1/Pycard/Gas6/Lpl/Smad3/Cx3cr1/Ccr5/Havcr2/Trim16/Ccl3/Serpinb1a/F2r/Ager/Malt1/Anxa1",18
"GO:0045926","negative regulation of growth","33/1110","258/23210",2.76047960187336e-07,2.76047960187336e-07,0.000144416669698007,"Dnajb2/Serpine2/Notch1/Naif1/Dab2ip/Mecp2/Prdm11/Fgf13/G6pdx/Sema4a/Trim46/Notch2/Psrc1/Cdkn2a/P3h1/Trp73/Tchp/Sema4f/Gsk3a/Sertad3/Dcun1d3/Socs2/Smad3/Hyal2/Ccr5/Flcn/Ulk2/Ppp1r9b/Dspp/Stk3/Cxadr/Cdkn1a/Pten",33
"GO:0032535","regulation of cellular component size","43/1110","397/23210",5.40829134051377e-07,5.40829134051377e-07,0.00025150136105126,"Akt3/Gsn/Neb/Fgf13/L1cam/Atp7a/Tmsb15l/Tlr2/Sema4a/Trim46/Gba2/Mtor/Trp73/Rufy3/Hip1r/Capg/Sema4f/Ret/Myadm/Plekhg2/Ntrk3/Swap70/Pycard/Arhgap18/Lrp1/Cln8/Slc12a3/Disc1/Prkcd/Dmtn/Pls1/Ccr5/Ulk2/Rap1gap2/Myo1c/Rptor/Baiap2/Actn2/Snx9/Kank3/Prkce/Spire1/Pten",43
"GO:0006469","negative regulation of protein kinase activity","27/1110","194/23210",6.22411605613741e-07,6.22411605613741e-07,0.00025429860579813,"Dab2ip/Trib3/Gba/Lyn/Cdkn2a/Camk2n1/Errfi1/Trp73/Zfyve28/Dusp16/Smpd1/Pycard/Irak3/Prkcd/Lats2/Ubash3b/Thy1/Hyal2/Spred2/Vps25/Dusp3/Prkar2b/Pkn1/Psen2/Cdkn1a/Pten/Dusp5",27
