"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000775","chromosome, centromeric region","74/2150","190/23436",1.08077549320112e-28,1.08077549320112e-28,6.23436810814961e-26,"Sgo2a/Orc2/Nuf2/Cenpf/Nsl1/Nek2/Suv39h2/Spc25/Nup160/Ckap5/Kif18a/Bub1b/Knl1/Oip5/Bub1/Dsn1/Aurka/Suv39h1/Ercc6l/Cenpi/Pmf1/Cenpe/Kif2c/Cdca8/Rcc2/Cenps/Ncapg/Kntc1/Mad2l1/Ncapd2/Plk1/Mki67/Nup43/Cenpw/Nup37/Nup107/Ppp2cb/Cenpu/Cenpt/Cenpn/Cdt1/Nup133/Wdhd1/Ska3/Esco2/Dnmt1/Spc24/Ncapd3/Zw10/Zwilch/Ttk/Xpo1/Spdl1/Nudcd2/Aurkb/Spag5/Ska2/Nup85/Birc5/Cenph/Ccnb1/Cenpk/Mis18bp1/Rad21/Dscc1/Mtbp/Rangap1/Cenpm/Cbx5/Sgo1/Ndc80/Ska1/Incenp/Hells",74
"GO:0098687","chromosomal region","93/2150","299/23436",5.37430045366072e-27,5.37430045366072e-27,1.5500613940032e-24,"Sgo2a/Orc2/Nuf2/Cenpf/Nsl1/Nek2/Suv39h2/Rif1/Spc25/Nup160/Ckap5/Kif18a/Bub1b/Knl1/Rad51/Oip5/Bub1/Dsn1/Aurka/Rtel1/Suv39h1/Ercc6l/Cenpi/Pmf1/Cenpe/Nbn/Orc1/Kif2c/Cdca8/Rcc2/Cenps/Ncapg/Chek2/Kntc1/Brca2/Mad2l1/Ncapd2/Pold1/Blm/Trim66/Plk1/Mki67/Nup43/Cenpw/Dna2/Eid3/Nup37/Nup107/Cdk2/Ppp2cb/Cenpu/Cenpt/Cenpn/Cdt1/Nup133/Wdhd1/Ska3/Esco2/Dnmt1/Spc24/Ncapd3/Chek1/Zw10/Zwilch/Pif1/Ttk/Xpo1/Spdl1/Nudcd2/Rad50/Aurkb/Spag5/Ska2/Nup85/Birc5/Cenph/Ccnb1/Cenpk/Mis18bp1/Rad21/Dscc1/Mtbp/Recql4/Rangap1/Cenpm/Cbx5/Sgo1/Ndc80/Ska1/Incenp/Fen1/Smc5/Hells",93
"GO:0000776","kinetochore","58/2150","132/23436",5.2372054168368e-26,5.2372054168368e-26,1.00701353278125e-23,"Sgo2a/Orc2/Nuf2/Cenpf/Nsl1/Nek2/Spc25/Nup160/Ckap5/Kif18a/Bub1b/Knl1/Bub1/Dsn1/Ercc6l/Cenpi/Pmf1/Cenpe/Kif2c/Cenps/Kntc1/Mad2l1/Plk1/Nup43/Cenpw/Nup37/Nup107/Cenpu/Cenpt/Cenpn/Cdt1/Nup133/Ska3/Spc24/Ncapd3/Zw10/Zwilch/Ttk/Xpo1/Spdl1/Nudcd2/Aurkb/Spag5/Ska2/Nup85/Birc5/Cenph/Ccnb1/Cenpk/Mis18bp1/Mtbp/Rangap1/Cenpm/Cbx5/Sgo1/Ndc80/Ska1/Incenp",58
"GO:0005819","spindle","78/2150","273/23436",2.5086295666798e-20,2.5086295666798e-20,3.61770790142244e-18,"Hecw2/Kif14/Aspm/Shcbp1l/Kifap3/Cenpf/Nek2/Bmyc/Rif1/Ckap5/Kif18a/Bub1b/Nusap1/Ckap2l/Tpx2/Dsn1/Aurka/Bex4/Ect2/Gpsm2/Cenpe/Cdca8/Aunip/Rcc2/Tacc3/Pkd2/Cdc7/Ttc28/Kntc1/Katnal1/Mad2l1/Wdr62/Cep89/Nup62/Prc1/Plk1/Kif22/Tubgcp2/Fbxo5/Cdk1/Nedd1/Ccsap/Map10/Dlgap5/Ska3/Zw10/Kif23/Ttk/Poc1a/Spdl1/Myh10/Aurkb/Haspin/Spag5/Tada2a/Ska2/Cdc6/Tubg1/Kif18b/Birc5/Ccnb1/Plk2/Cep128/Eml1/Rangap1/Racgap1/Espl1/Tctex1d2/App/Kifc5b/Kifc1/Sgo1/Kif20a/Ska1/Sac3d1/Incenp/Kif20b/Kif11",78
"GO:0000779","condensed chromosome, centromeric region","29/2150","51/23436",1.4368243543788e-17,1.4368243543788e-17,1.65764157094649e-15,"Sgo2a/Orc2/Nuf2/Cenpf/Nsl1/Spc25/Bub1b/Knl1/Bub1/Dsn1/Aurka/Pmf1/Cenpe/Ncapg/Ncapd2/Plk1/Nup133/Ska3/Ncapd3/Spdl1/Aurkb/Ska2/Birc5/Ccnb1/Cenpk/Mis18bp1/Sgo1/Ndc80/Ska1",29
"GO:0000793","condensed chromosome","61/2150","209/23436",1.10801212530782e-16,1.10801212530782e-16,1.06524674503278e-14,"Sgo2a/Orc2/Kifap3/Nuf2/Cenpf/Nsl1/Nek2/Rif1/Spc25/Ttn/Bub1b/Knl1/Rad51/Ncaph/Bub1/Dsn1/Aurka/Pmf1/Cenpe/Smc2/Rcc1/Ncapg/Brca2/Fancd2/Ncapd2/Blm/Plk1/Mki67/Syce1/Eid3/Cdk2/Hmgb2/Syce2/Nup133/Ccnb1ip1/Ska3/Ncapd3/Chek1/Hmbs/Topbp1/Mlh1/Spdl1/Rad50/Aurkb/Ska2/Top2a/Tubg1/Brca1/Birc5/Ccnb1/Cenpk/Mis18bp1/Ncapg2/Rad21/Msh5/Sgo1/Ndc80/Ska1/Cdca5/Incenp/Smc5",61
"GO:0000777","condensed chromosome kinetochore","23/2150","35/23436",3.46115467307538e-16,3.46115467307538e-16,2.85219964036888e-14,"Orc2/Nuf2/Cenpf/Nsl1/Spc25/Bub1b/Knl1/Bub1/Dsn1/Pmf1/Cenpe/Plk1/Nup133/Ska3/Ncapd3/Spdl1/Ska2/Birc5/Ccnb1/Cenpk/Mis18bp1/Ndc80/Ska1",23
"GO:0005874","microtubule","92/2150","420/23436",1.88669069648042e-15,1.88669069648042e-15,1.36040329167272e-13,"Stau2/Ttll4/Tuba4a/Nav1/Kif14/Aspm/Kifap3/Kcnab2/Cep170/Nek2/Tubb4b/Ckap5/Kif18a/Rmdn3/Nusap1/Ttl/Tpx2/Ttll9/Aurka/Hdac6/Haus7/Kif4/Bex4/Cenpe/Ttll7/Kif24/Kif2c/Nudc/Stmn1/Rcc2/Kntc1/Cct6a/Katnal1/Fkbp4/Casc1/Bicd1/Haus5/Prc1/Plk1/Kif22/Tubgcp2/Tube1/Cdk1/Apc2/Gas2l3/Camsap3/Ckap2/Kifc3/Enkd1/Tubb3/Ccsap/Map10/Cenpj/Ska3/Reep4/Zw10/Kif23/Kif15/Gas2l1/Aurkb/Spag5/Sarm1/Ska2/Dynll2/Tubg1/Kif18b/Mapt/Kif19a/Birc5/Tubb2a/Tubb2b/Map1b/Dnal1/Fam161b/Eml1/Cep170b/Gtse1/Ttll8/Tuba1b/Tuba1c/Tiam1/Kifc5b/Kifc1/Tubb5/Bysl/Trip10/Kif20a/Tubb6/Ska1/Incenp/Kif20b/Kif11",92
"GO:0005657","replication fork","32/2150","71/23436",2.27082069747004e-15,2.27082069747004e-15,1.45544999089308e-13,"Prim2/Mcm10/Pcna/Nbn/Mms22l/Xrcc2/Rfc5/Rfc2/Rfc3/Rpa3/Rad18/Pold1/Blm/Hdac2/Prim1/Timeless/Gins2/Wdhd1/Dnmt1/Chek1/Tipin/Pif1/Pold2/Rad51c/Rad51b/Xrcc3/Tonsl/Cdc45/Rfc4/Polh/Uhrf1/Prpf19",32
"GO:0044815","DNA packaging complex","37/2150","97/23436",1.04710985426838e-14,1.04710985426838e-14,6.04017052777973e-13,"Ncaph/H2ac20/H3c15/H3c14/H3c13/Smc2/Ncapg/H1f8/Ncapd2/H4f16/Ncapd3/H3c10/H2bc14/H4c11/H2ac15/H1f5/H3c11/Hist1h2bp/H2bc12/H4c9/H4c8/H2ac10/H3c7/H4c6/H1f3/H3c6/H3c4/H4c4/H1f4/H3c3/H2bc3/H3c2/H4c2/H3c1/H1f1/Slf1/Ncapg2",37
"GO:0032993","protein-DNA complex","49/2150","186/23436",7.35783823431326e-12,7.35783823431326e-12,3.65771204464809e-10,"Prim2/Gins1/Sox12/H2ac20/H3c15/H3c14/H3c13/Rpa3/H1f8/Tead4/H4f16/Pold1/Nupr1/Prim1/Gins2/Pold2/Suz12/Jup/H3c10/H2bc14/H4c11/H2ac15/H1f5/H3c11/Hist1h2bp/H2bc12/H4c9/H4c8/H2ac10/H3c7/H4c6/H1f3/H3c6/H3c4/H4c4/H1f4/H3c3/H2bc3/H3c2/H4c2/H3c1/H1f1/Slf1/Tonsl/Cdc45/Tbp/Nfya/Prpf19/Hhex",49
