"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031267","small GTPase binding","64/1562","424/22710",2.33648576201487e-09,2.33648576201487e-09,1.52353387035516e-06,"Sh3bp4/Farp2/Mycbp2/Srgap2/Ncf2/Rabgap1l/Chml/Usp6nl/Vav2/Ralgps1/Nckap1/Itpka/Rabgef1/Wdr44/Gdi1/Tbc1d8b/Fgd1/Cdkl5/Vav3/Arhgef39/Abca1/Dock7/Rims3/Rap1gap/Plekhg5/Arhgef16/Tbc1d14/Evi5/Hps4/Arhgef5/Rab11fip5/Srgap3/Eps8/Plekhg2/Sytl2/Sbf2/Evi5l/Mcf2l/Grtp1/Dock9/Sorl1/Arhgef12/Als2cl/Ranbp17/Cdc42ep4/Rasgrf2/Wdr41/Daam1/Ranbp3l/Pkn1/Dennd3/Cdc42ep1/Lrrk2/Fmnl3/Fgd4/Rab11fip3/Fgd2/Dennd1c/Fer/Rin1/Cdc42ep2/Tbc1d12/Dnmbp/Adrb1",64
"GO:0017016","Ras GTPase binding","62/1562","409/22710",3.50874467112097e-09,3.50874467112097e-09,1.52353387035516e-06,"Sh3bp4/Farp2/Mycbp2/Srgap2/Ncf2/Rabgap1l/Chml/Usp6nl/Vav2/Ralgps1/Nckap1/Itpka/Rabgef1/Wdr44/Gdi1/Tbc1d8b/Fgd1/Cdkl5/Vav3/Arhgef39/Dock7/Rims3/Rap1gap/Plekhg5/Arhgef16/Tbc1d14/Evi5/Hps4/Arhgef5/Rab11fip5/Srgap3/Eps8/Plekhg2/Sytl2/Sbf2/Evi5l/Mcf2l/Grtp1/Dock9/Arhgef12/Als2cl/Ranbp17/Cdc42ep4/Rasgrf2/Wdr41/Daam1/Ranbp3l/Pkn1/Dennd3/Cdc42ep1/Lrrk2/Fmnl3/Fgd4/Rab11fip3/Fgd2/Dennd1c/Fer/Rin1/Cdc42ep2/Tbc1d12/Dnmbp/Adrb1",62
"GO:0008081","phosphoric diester hydrolase activity","22/1562","87/22710",6.79975485059272e-08,6.79975485059272e-08,1.96835008832947e-05,"Plcl1/Mpped2/Pde5a/Smpdl3b/Prkar1b/Pde1c/Tulp2/Gdpd5/Pde2a/Pde7b/Pde4c/Pde4a/Plcd1/Ccr1/Ccl5/Plcd3/Gpld1/Pde8b/Enpp2/Pde1b/Pde6a/Gnaq",22
"GO:0017048","Rho GTPase binding","31/1562","166/22710",3.13113990051949e-07,3.13113990051949e-07,6.40132663763906e-05,"Farp2/Srgap2/Ncf2/Vav2/Nckap1/Itpka/Fgd1/Cdkl5/Vav3/Arhgef39/Dock7/Plekhg5/Arhgef16/Arhgef5/Srgap3/Eps8/Plekhg2/Mcf2l/Dock9/Arhgef12/Cdc42ep4/Rasgrf2/Daam1/Pkn1/Cdc42ep1/Lrrk2/Fmnl3/Fgd4/Fgd2/Cdc42ep2/Dnmbp",31
"GO:0005096","GTPase activator activity","39/1562","238/22710",3.68561230651946e-07,3.68561230651946e-07,6.40132663763906e-05,"Htr2b/Srgap2/Rabgap1l/Chml/Usp6nl/Rin2/Ralgapa2/Gdi1/Tbc1d8b/Asap3/Rap1gap/Tbc1d14/Evi5/Rasa4/Chn2/Srgap3/Arhgap35/Sipa1l3/Wnt11/Arrb1/Evi5l/Grtp1/Elmod2/Arhgef12/Arhgap20/Gnb5/Als2cl/Adap2/Rasa1/Arhgap5/Ralgapa1/Ranbp3l/Arhgap39/Lrrk2/Tbc1d24/Rin1/Cdc42ep2/Gnaq/Tbc1d12",39
"GO:0030695","GTPase regulator activity","40/1562","256/22710",9.31785690812821e-07,9.31785690812821e-07,0.000134863718407119,"Htr2b/Sh3bp4/Srgap2/Rabgap1l/Chml/Usp6nl/Rin2/Ralgapa2/Gdi1/Tbc1d8b/Asap3/Rap1gap/Tbc1d14/Evi5/Rasa4/Chn2/Srgap3/Arhgap35/Sipa1l3/Wnt11/Arrb1/Evi5l/Grtp1/Elmod2/Arhgef12/Arhgap20/Gnb5/Als2cl/Adap2/Rasa1/Arhgap5/Ralgapa1/Ranbp3l/Arhgap39/Lrrk2/Tbc1d24/Rin1/Cdc42ep2/Gnaq/Tbc1d12",40
"GO:0005089","Rho guanyl-nucleotide exchange factor activity","17/1562","70/22710",3.76994899956601e-06,3.76994899956601e-06,0.000467700439795784,"Farp2/Vav2/Fgd1/Vav3/Arhgef39/Plekhg5/Arhgef16/Arhgef5/Eps8/Plekhg2/Mcf2l/Dock9/Arhgef12/Rasgrf2/Fgd4/Fgd2/Dnmbp",17
"GO:0005088","Ras guanyl-nucleotide exchange factor activity","24/1562","127/22710",5.27339835798843e-06,5.27339835798843e-06,0.000572441269123744,"Farp2/Vav2/Ralgps1/Rabgef1/Fgd1/Vav3/Arhgef39/Plekhg5/Arhgef16/Arhgef5/Eps8/Plekhg2/Sbf2/Mcf2l/Dock9/Arhgef12/Rasgrf2/Wdr41/Dennd3/Fgd4/Fgd2/Dennd1c/Dnmbp/Adrb1",24
"GO:0004114","3',5'-cyclic-nucleotide phosphodiesterase activity","10/1562","28/22710",9.58833076597821e-06,9.58833076597821e-06,0.000925189810752283,"Pde5a/Prkar1b/Pde1c/Pde2a/Pde7b/Pde4c/Pde4a/Pde8b/Pde1b/Pde6a",10
"GO:0060589","nucleoside-triphosphatase regulator activity","41/1562","295/22710",1.35725780180862e-05,1.35725780180862e-05,0.00100676569474686,"Htr2b/Sh3bp4/Srgap2/Rabgap1l/Chml/Usp6nl/Rin2/Ralgapa2/Gdi1/Tbc1d8b/Asap3/Rap1gap/Tbc1d14/Evi5/Rasa4/Chn2/Srgap3/Arhgap35/Sipa1l3/Wnt11/Arrb1/Evi5l/Grtp1/Rab3a/Elmod2/Arhgef12/Arhgap20/Gnb5/Als2cl/Adap2/Rasa1/Arhgap5/Ralgapa1/Ranbp3l/Arhgap39/Lrrk2/Tbc1d24/Rin1/Cdc42ep2/Gnaq/Tbc1d12",41
"GO:0004112","cyclic-nucleotide phosphodiesterase activity","10/1562","29/22710",1.37343459733605e-05,1.37343459733605e-05,0.00100676569474686,"Pde5a/Prkar1b/Pde1c/Pde2a/Pde7b/Pde4c/Pde4a/Pde8b/Pde1b/Pde6a",10
"GO:0008047","enzyme activator activity","56/1562","452/22710",1.39116714183202e-05,1.39116714183202e-05,0.00100676569474686,"Htr2b/Srgap2/Ncf2/Rabgap1l/Chml/Usp6nl/Prkra/Rin2/Ralgapa2/Gdi1/Tbc1d8b/Asap3/Rap1gap/Tbc1d14/Evi5/Dgkq/Rasa4/Chn2/Srgap3/Ghrl/Acrbp/Gprc5a/Arhgap35/Apoe/Sipa1l3/Wnt11/Arrb1/Evi5l/Grtp1/Rab3a/Elmod2/Spry2/Arhgef12/Arhgap20/Gnb5/Als2cl/Sec14l2/Irgm2/Adap2/Ccl5/Bcas3/Rasa1/Arhgap5/Ralgapa1/Ranbp3l/Arhgap39/Pdgfb/Fbln1/Lrrk2/Tbc1d24/Noxo1/Spdya/Rin1/Cdc42ep2/Gnaq/Tbc1d12",56
"GO:0005085","guanyl-nucleotide exchange factor activity","30/1562","197/22710",3.38227997738949e-05,3.38227997738949e-05,0.002259417798661,"Farp2/Mycbp2/Vav2/Ralgps1/Chrm4/Rabgef1/Fgd1/Vav3/Arhgef39/Dock7/Plekhg5/Arhgef16/Hps4/Arhgef5/Iqsec1/Eps8/Plekhg2/Sbf2/Mcf2l/Dock9/Arhgef12/Rasgef1c/Rasgrf2/Wdr41/Dennd3/Fgd4/Fgd2/Dennd1c/Dnmbp/Adrb1",30
"GO:0019955","cytokine binding","22/1562","129/22710",6.64588938767875e-05,6.64588938767875e-05,0.00390818234723496,"Il1r2/Il1rl1/Il18r1/Bmpr2/Cxcr2/Eng/Acvr1/Csf3r/Tnfrsf14/Kit/Il12rb2/Tnfrsf1a/Il20ra/Il10ra/Cd109/Ccr4/Ccr9/Ccr1/Il31ra/Pou5f1/Cd74/Ltbp3",22
"GO:0004115","3',5'-cyclic-AMP phosphodiesterase activity","6/1562","12/22710",6.75049678158766e-05,6.75049678158766e-05,0.00390818234723496,"Pde2a/Pde7b/Pde4c/Pde4a/Pde8b/Pde1b",6
