"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005764","lysosome","51/1176","431/23436",1.25474855331928e-08,1.25474855331928e-08,3.40948562784171e-06,"Tmem63a/Capn2/Vps18/Snap23/Vps16/Map1lc3a/Ctsa/Abcd1/Gla/Glmp/Tmem79/Gba/Ctbs/Ggh/Slc35f6/Naaa/Idua/Pcyox1/Tm6sf1/Prcp/Smpd1/Adam8/Ifitm3/Ctsd/Tpcn2/Tnfaip3/Prf1/March9/Asah1/Atp6v0d1/Pla2g15/Wdr59/Tm9sf1/Gzmb/Ldlr/Nprl2/Hyal2/Borcs6/Plekhm1/Cyb561/Slc26a11/Rptor/Arrdc3/Lrrk2/Clec16a/Rubcn/Ppt2/Trip10/Tcirg1/Unc93b1/Anxa1",51
"GO:0000323","lytic vacuole","51/1176","432/23436",1.35523487299147e-08,1.35523487299147e-08,3.40948562784171e-06,"Tmem63a/Capn2/Vps18/Snap23/Vps16/Map1lc3a/Ctsa/Abcd1/Gla/Glmp/Tmem79/Gba/Ctbs/Ggh/Slc35f6/Naaa/Idua/Pcyox1/Tm6sf1/Prcp/Smpd1/Adam8/Ifitm3/Ctsd/Tpcn2/Tnfaip3/Prf1/March9/Asah1/Atp6v0d1/Pla2g15/Wdr59/Tm9sf1/Gzmb/Ldlr/Nprl2/Hyal2/Borcs6/Plekhm1/Cyb561/Slc26a11/Rptor/Arrdc3/Lrrk2/Clec16a/Rubcn/Ppt2/Trip10/Tcirg1/Unc93b1/Anxa1",51
"GO:0045121","membrane raft","39/1176","364/23436",7.30433459534102e-06,7.30433459534102e-06,0.000980126462664709,"Bmpr2/Gpc1/Fcgr2b/Fcer1g/Atp1a2/Capn2/L1cam/Atp7a/Tlr2/S100a10/Lyn/Tnfrsf1b/Nos3/Stx2/Cav2/Ret/Myadm/Cd79a/Usp48/Itgam/Ctsd/Fyn/Unc5b/Ltb4r1/Birc3/Birc2/Icam1/Ldlr/Hyal2/Nf2/Rtn4rl1/Myo1c/Myo1d/Itga1/Lrrk2/Cxadr/Ctnna1/Eno1b/Ahnak",39
"GO:0098857","membrane microdomain","39/1176","365/23436",7.79180033080731e-06,7.79180033080731e-06,0.000980126462664709,"Bmpr2/Gpc1/Fcgr2b/Fcer1g/Atp1a2/Capn2/L1cam/Atp7a/Tlr2/S100a10/Lyn/Tnfrsf1b/Nos3/Stx2/Cav2/Ret/Myadm/Cd79a/Usp48/Itgam/Ctsd/Fyn/Unc5b/Ltb4r1/Birc3/Birc2/Icam1/Ldlr/Hyal2/Nf2/Rtn4rl1/Myo1c/Myo1d/Itga1/Lrrk2/Cxadr/Ctnna1/Eno1b/Ahnak",39
"GO:0044440","endosomal part","28/1176","231/23436",1.49947608886523e-05,1.49947608886523e-05,0.00138389586484645,"Tmem163/Vamp4/Mvb12b/Vps18/Vps16/Slc9a7/Plekhm2/Zfyve28/Vps37b/Snx10/Ret/Ctsd/Tpcn2/Mon1b/Chmp1a/Ldlr/Dnajc13/Mon1a/Rab11fip4/Vps25/Rhob/Micall1/Lrrk2/Clec16a/Baiap3/Rab11fip3/Vps37c/Psd",28
"GO:0098589","membrane region","39/1176","377/23436",1.65025239113488e-05,1.65025239113488e-05,0.00138389586484645,"Bmpr2/Gpc1/Fcgr2b/Fcer1g/Atp1a2/Capn2/L1cam/Atp7a/Tlr2/S100a10/Lyn/Tnfrsf1b/Nos3/Stx2/Cav2/Ret/Myadm/Cd79a/Usp48/Itgam/Ctsd/Fyn/Unc5b/Ltb4r1/Birc3/Birc2/Icam1/Ldlr/Hyal2/Nf2/Rtn4rl1/Myo1c/Myo1d/Itga1/Lrrk2/Cxadr/Ctnna1/Eno1b/Ahnak",39
"GO:0019898","extrinsic component of membrane","34/1176","314/23436",2.21353047703898e-05,2.21353047703898e-05,0.0015910790496611,"Serpine2/Rgs1/Coq8a/Olfm1/Ctnnd1/Syn1/S100a6/S100a10/Lyn/Gba2/Gng10/Sytl1/Errfi1/Yes1/Naaa/Ulk1/Cav2/Snx10/Coq8b/Plekha4/Fes/Fyn/Gna15/Atg14/Pik3r4/Cish/Gnat1/Jup/Micall1/Ctnna1/Gnal/Atg2a/Anxa1/Psd",34
"GO:0016323","basolateral plasma membrane","27/1176","229/23436",3.46618459389215e-05,3.46618459389215e-05,0.00218004767879006,"Bmpr2/Slc41a1/Atp2b4/Vangl2/Itga6/Dlg3/Atp7a/Atp7b/B4galt1/Slc2a9/Stx2/Lrp1/Erbb3/Ndrg4/Abcc4/Ldlr/Myo1c/Myo1d/Itgb4/Dsp/Pdgfb/Cxadr/Ager/Slc23a1/Slc23a2/Entpd1/Cnnm2",27
"GO:0010008","endosome membrane","24/1176","207/23436",0.000120104692099325,0.000120104692099325,0.00671462489163477,"Tmem163/Vamp4/Mvb12b/Vps16/Slc9a7/Plekhm2/Zfyve28/Vps37b/Snx10/Ret/Ctsd/Tpcn2/Chmp1a/Ldlr/Dnajc13/Rab11fip4/Vps25/Rhob/Micall1/Clec16a/Baiap3/Rab11fip3/Vps37c/Psd",24
"GO:0070161","anchoring junction","31/1176","311/23436",0.000228344477671214,0.000228344477671214,0.0114893326659832,"Bmpr2/Dcaf6/Nectin4/Capn2/Fam129b/Gsn/Itga6/Ctnnd1/Tnks1bp1/Snap23/Cd99l2/Lyn/B4galt1/Rexo2/Tchp/Cav2/Fes/Ppfia1/Nectin1/Cib2/Nf2/Jup/Itgb4/Tbcd/Dsp/Itga1/Tns2/Cxadr/Mpp7/Mapre2/Ctnna1",31
"GO:0098636","protein complex involved in cell adhesion","8/1176","35/23436",0.000274578427397144,0.000274578427397144,0.0125596639517545,"Itga6/Itga4/Lyn/Itgax/Itgad/Itgb4/Itga1/Cd80",8
"GO:0045178","basal part of cell","11/1176","66/23436",0.000410456890376415,0.000410456890376415,0.0172103854035023,"Bmpr2/Itga6/Prcp/Erbb3/Phldb1/Myo1c/Itgb4/Itga1/Ager/Slc23a1/Slc23a2",11
"GO:0019897","extrinsic component of plasma membrane","21/1176","186/23436",0.000445855509135904,0.000445855509135904,0.0172565937948957,"Serpine2/Rgs1/Olfm1/Ctnnd1/S100a6/S100a10/Lyn/Gng10/Sytl1/Errfi1/Yes1/Cav2/Plekha4/Fes/Fyn/Gna15/Gnat1/Jup/Ctnna1/Gnal/Anxa1",21
"GO:0005912","adherens junction","29/1176","297/23436",0.000502210038440144,0.000502210038440144,0.0180493532612322,"Bmpr2/Dcaf6/Nectin4/Capn2/Fam129b/Gsn/Itga6/Ctnnd1/Tnks1bp1/Snap23/Cd99l2/Lyn/Rexo2/Cav2/Fes/Ppfia1/Nectin1/Cib2/Nf2/Jup/Itgb4/Tbcd/Dsp/Itga1/Tns2/Cxadr/Mpp7/Mapre2/Ctnna1",29
"GO:0009898","cytoplasmic side of plasma membrane","19/1176","163/23436",0.000550876966325564,0.000550876966325564,0.0184785396423593,"Rgs1/G6pdx/S100a6/Lyn/Gng10/Errfi1/Yes1/Cav2/Plekha4/Fes/Fyn/Gna15/Birc2/C2cd2l/Gnat1/Ppp1r9b/Jup/Nptxr/Gnal",19
"GO:0005902","microvillus","13/1176","91/23436",0.000600909122105096,0.000600909122105096,0.0188970105504102,"Slc27a4/Atp7a/Clic4/Espn/Exoc4/Stard10/Lyz2/Hyal2/Myo1g/Myo1c/Dcxr/Lrrk2/Atp6v1a",13
"GO:0005774","vacuolar membrane","19/1176","166/23436",0.000690377028381469,0.000690377028381469,0.0204334501279469,"Tmem63a/Map1lc3a/Abcd1/Tmem79/Gba/Slc35f6/Ulk1/Tm6sf1/Ctsd/Tpcn2/Atp6v0d1/Wdr59/Rubcnl/Nprl2/Cyb561/Slc26a11/Clec16a/Atp6v1a/Tcirg1",19
