"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015631","tubulin binding","58/1300","336/22710",3.92437935946721e-14,3.92437935946721e-14,3.12711071064913e-11,"Terf1/Map2/Kif14/Dnm3/Cfap157/Ckap5/Kif18a/Nusap1/Map1a/Fam83d/Kif4/Stmn2/Hdgf/Psrc1/Cenpe/Kif24/1110017D15Rik/Mast2/Kif2c/Stmn1/Agbl5/Trpv4/Brca2/Wdr54/Prc1/Plk1/Kif22/Spef1l/Cep57l1/Gas2l3/Mdm1/Katnb1/Tppp3/Ccsap/Sncg/Haus4/Cep57/Dixdc1/Kif23/Cep70/Kif15/Eml6/Spag5/Ska2/Kif18b/Kif19a/Birc5/Map1b/Ncald/Racgap1/Nde1/Prkn/Kifc5b/Kifc1/Kif20a/Ska1/Kif20b/Kif11",58
"GO:0008017","microtubule binding","46/1300","239/22710",3.20527963641053e-13,3.20527963641053e-13,1.27705088671725e-10,"Terf1/Map2/Kif14/Dnm3/Cfap157/Ckap5/Kif18a/Nusap1/Map1a/Fam83d/Kif4/Psrc1/Cenpe/Kif24/Mast2/Kif2c/Trpv4/Wdr54/Prc1/Plk1/Kif22/Spef1l/Cep57l1/Gas2l3/Mdm1/Katnb1/Ccsap/Haus4/Cep57/Kif23/Kif15/Eml6/Spag5/Ska2/Kif18b/Kif19a/Birc5/Map1b/Racgap1/Nde1/Kifc5b/Kifc1/Kif20a/Ska1/Kif20b/Kif11",46
"GO:0140097","catalytic activity, acting on DNA","38/1300","190/22710",1.09365273382558e-11,1.09365273382558e-11,2.90489515616127e-09,"Terf1/Zranb3/Rad51/Rtel1/Pola1/Ercc6l/Rad54b/Rad54l/Pole/Rfc5/Mcm7/Aplf/Rad18/Lig1/Pold1/Blm/Eri2/Neil3/Mcm5/Dnase1l3/Dnmt1/Pif1/Brip1/Rad51c/Eme1/Top2a/Gen1/Tdp1/Xrcc3/Recql4/Dmc1/Cdc45/Rfc4/Polq/Chtf18/Polh/Rbbp8/Fen1",38
"GO:0008094","DNA-dependent ATPase activity","22/1300","72/22710",4.4617345512784e-11,4.4617345512784e-11,8.88824488241513e-09,"Zranb3/Rad51/Ercc6l/Rad54b/Rad54l/Rbbp4/Xrcc2/Rfc5/Mcm7/Rad18/Blm/Mcm5/Pif1/Rad51c/Top2a/Rad51b/Xrcc3/Dmc1/Rfc4/Polq/Chtf18/Msh5",22
"GO:0016887","ATPase activity","53/1300","379/22710",1.63311597780295e-09,1.63311597780295e-09,2.22430770885539e-07,"Zranb3/Kif14/Dnah14/Entpd2/Kif18a/Rad51/Kif4/Ercc6l/Cenpe/Rad54b/Kif24/Rad54l/Kif2c/Rbbp4/Abcb4/Abcb1a/Xrcc2/Rfc5/Mcm7/Rad18/Blm/Kif22/Mcm5/Ddx39/Katnb1/Abcg4/Kif23/Pif1/Kif15/Fignl1/Myh10/Atad5/Rad51c/Top2a/Kif18b/Kif19a/Hspa2/Rad51b/Xrcc3/Atad2/Dmc1/Rfc4/Polq/Chtf18/Kifc5b/Kifc1/Hspa1b/Hspa1a/Hspa1l/Msh5/Kif20a/Kif20b/Kif11",53
"GO:0000217","DNA secondary structure binding","12/1300","24/22710",1.67484200006284e-09,1.67484200006284e-09,2.22430770885539e-07,"Clspn/Xrcc2/Hmgb1/Rad18/Blm/Neil3/Rad51c/Gen1/Rad51b/Xrcc3/Recql4/Rbbp8",12
"GO:0003697","single-stranded DNA binding","25/1300","111/22710",2.81262885662009e-09,2.81262885662009e-09,3.20174442776152e-07,"Terf1/Nucks1/Mcm10/Nup35/Rad51/Mcm8/Pola1/Smc4/Smc2/Mcm7/Brca2/Rpa3/Rad18/Rad51ap1/Blm/Prim1/Neil3/Mcm5/Ctc1/Alyref/Rad51b/Tdp1/Dmc1/Cdc45/Rbbp8",25
"GO:0031492","nucleosomal DNA binding","11/1300","24/22710",2.5925620922924e-08,2.5925620922924e-08,2.58232829455966e-06,"Hmgn5/Rcc1/Cenpa/H1f5/H3c8/H1f3/H1f4/H1f2/H3c2/H1f1/H1f0",11
"GO:0042623","ATPase activity, coupled","41/1300","282/22710",3.78595056705939e-08,3.78595056705939e-08,3.35200535586428e-06,"Zranb3/Kif14/Dnah14/Kif18a/Rad51/Ercc6l/Rad54b/Rad54l/Rbbp4/Abcb4/Abcb1a/Xrcc2/Rfc5/Mcm7/Rad18/Blm/Mcm5/Katnb1/Abcg4/Pif1/Fignl1/Myh10/Atad5/Rad51c/Top2a/Kif18b/Kif19a/Hspa2/Rad51b/Xrcc3/Dmc1/Rfc4/Polq/Chtf18/Kifc1/Hspa1b/Hspa1a/Hspa1l/Msh5/Kif20b/Kif11",41
"GO:0017116","single-stranded DNA-dependent ATP-dependent DNA helicase activity","9/1300","20/22710",6.06811610525737e-07,6.06811610525737e-07,4.39575492026778e-05,"Rad51/Rfc5/Mcm7/Rad18/Mcm5/Pif1/Rfc4/Polq/Chtf18",9
