ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
2017_CELL_REP_Kumar---CD8Lung_CD69pos_vs_neg_dn,2017_CELL_REP_Kumar---CD8Lung_CD69pos_vs_neg_dn,136,-0.6529695374003777,-1.2582233518356467,0.06256098883226716,0.7497490799598527,0.7497490799598527,1030,"tags=16%, list=7%, signal=15%",Rab37/Tle2/Efhc2/Igsf3/Hdac11/Patl2/Ppfibp2/Pnliprp1/Ajuba/Cd19/Bend5/Mylk4/Rtkn2/Cdnf/Smagp/Rbm11/Bend7/Tktl1/Gpr157/Tmem220/Nrg4/Tlr6
2014_IMMUNITY_Gaiha---HIV-EC_vs_HIV-CP_up,2014_IMMUNITY_Gaiha---HIV-EC_vs_HIV-CP_up,27,0.7337903371295761,1.4448111659377463,0.0689771197846568,0.7497490799598527,0.7497490799598527,2370,"tags=70%, list=16%, signal=59%",Rad51/Troap/Brca1/Shmt1/Arhgap19/Dlgap5/Lmnb1/Spc25/Aspm/Nusap1/Diaph3/Prim1/Klrg1/Mnd1/Ccnb2/Rpa3/Cks2/Nudt1/Invs
2020_NAT_IMMUNOL_Hayward---Lung_Intersitium_TRM,2020_NAT_IMMUNOL_Hayward---Lung_Intersitium_TRM,47,-0.7372469456791721,-1.2909470682997293,0.09030477862786906,0.7497490799598527,0.7497490799598527,2495,"tags=40%, list=17%, signal=34%",Ifng/Cd3g/Rgs16/Cd3d/Cd8a/Rgs2/S100a4/Lpxn/Cd69/Tigit/Xcl1/Ctla4/Tox/Isg20/Tox2/Tnfsf11/Trbv5/Krt83/Osgin1
2017_NAT_Akondy---YFV_D14,2017_NAT_Akondy---YFV_D14,676,0.5088655102804192,1.4057412168626635,0.1111111111111111,0.7497490799598527,0.7497490799598527,2215,"tags=38%, list=15%, signal=34%",Parvb/Rbpms2/Mctp1/Gcnt2/Acot1/Vangl1/Tmprss3/Tshr/Strip2/Frmd5/Ndn/Ccr1/Lima1/Siglecg/Cntln/1500009L16Rik/Rrm2/Cebpd/Heatr9/Mcm8/Kif24/Mt1/Iqgap3/Gpnmb/Mybl2/Ctnnal1/Ccna2/Kntc1/Lrr1/Ccnf/Katnal1/Shcbp1/Rad51/Mcm10/Esco2/Nek2/H2-Aa/Plk1/Espl1/Cdc6/Kcnrg/Clspn/Xrcc2/H2-Eb1/Atad5/Ddias/Hmmr/Ccne2/Sgo1/Fbxo5/Exo1/Bub1/Fabp5/Polq/Ryr1/Pclaf/Ccne1/Sapcd2/Bard1/Nuf2/Troap/Cdca5/Ska1/Tpx2/Brca1/Shmt1/Ttk/Tmem97/Cenps/Cdc45/Uhrf1/Rfc3/Knl1/Rrm1/Cdc20/Blm/Dscc1/Tk1/Gmnn/Cenpn/Fanci/Hells/Tipin/Smc2/Mcm3/Cd74/Kif14/Bcat1/Ncapg/Arhgap19/Dlgap5/Spag5/Cdk1/Orc1/Rfc4/Cenph/Cdca8/Kif4/Oip5/Dhfr/Mcm5/Lmnb1/Birc5/Spc24/Mcm7/Parpbp/Ccnb1/Mki67/Cdca3/Cenpi/Tubb5/Gins2/Ncaph/Aspm/Trip13/Rcc1/Neil3/Ticrr/Cdca2/Ccdc34/Mthfd1/Foxm1/Aurka/Cep55/Pole/Pcna/Kif11/Melk/Timeless/Kif15/Ung/Cenpu/Aurkb/Fen1/Nusap1/Nasp/Mcm2/Zfp367/Cxcr6/Cenpw/Taf5/Lancl2/Pkmyt1/Anln/Recql4/Mcm4/Prim2/Prr11/Dtl/Ranbp1/Dctpp1/Kif23/Chek1/Cit/Tubg1/Gtse1/Mgme1/Nup37/Ndc80/Zwilch/Tpi1/Cenpf/Brip1/Cd70/Gins1/Tyms/Prep/Prf1/Ccr5/Prc1/Cdt1/Slf1/Gab3/4930579G24Rik/Gzma/Mnd1/Slbp/Cgas/Stil/Cdca7/Topbp1/Ska3/Adap1/Ccnb2/Mtfr2/Pif1/Tspoap1/Lmnb2/Tfdp1/Hat1/Usp1/Hmgb3/Cenpe/Cenpm/Haspin/Hnrnpab/Tonsl/Dsn1/Cd109/Shmt2/Wdhd1/Mtss1/Msh6/Wee1/Hmgb2/Eri1/Cdc7/Gen1/Cdkn3/Ncapd2/Gar1/Ran/Ska2/Pdxp/Stmn1/Atad2/Phgdh/Pole2/Plk4/Ckap5/Mycbp/Gsr/Hmga1/Mipep/Abi3/Zw10/Vcl/Hdgf/Dnmt1/Hspa4/Pdia6/Pctp/Psat1/Mrps28/Dek/Cisd1/Rfc2/Uck2/Wdr76/Pcgf6/Lrrc20/Pls3/2210408I21Rik/Pgrmc1/Ndufab1/Ssrp1/Gk5/Paqr4/2900026A02Rik/Racgap1/Cks2/Epop/Cdk2/Psmd1/Hadh/Cenpa/Pold3/Pola1
2019_JCI_Tian---DENV-TEMRA_vs_DENV-TEM_up,2019_JCI_Tian---DENV-TEMRA_vs_DENV-TEM_up,51,-0.707589418845623,-1.255823912535258,0.12351042701092353,0.7497490799598527,0.7497490799598527,526,"tags=8%, list=4%, signal=8%",Camkmt/Efna4/Zfp82/Mtm1
2017_IMMUNITY_WOLSKI---early_Resolver_vs_Chronic_up,2017_IMMUNITY_WOLSKI---early_Resolver_vs_Chronic_up,13,0.7932125984004679,1.4115645451975591,0.16183395291201982,0.7497490799598527,0.7497490799598527,10,"tags=8%, list=0%, signal=8%",Mmp9
2017_IMMUNITY_WOLSKI---resolver_early_vs_late_up,2017_IMMUNITY_WOLSKI---resolver_early_vs_late_up,49,0.5509748232823445,1.1813955325657408,0.16559565002471577,0.7497490799598527,0.7497490799598527,1390,"tags=10%, list=10%, signal=9%",Mmp9/Entpd1/Nusap1/Mrm2/Nup85
2019_EJI_Remmerswaal---DP,2019_EJI_Remmerswaal---DP,105,-0.6223004651200775,-1.1833372552876251,0.16661090665774506,0.7497490799598527,0.7497490799598527,1560,"tags=19%, list=11%, signal=17%",Sik1/Nfkbia/Setd7/Csrnp1/Btg1/Tnfsf14/Ddit4/Armcx2/Car2/Ltk/Pacsin1/Plxdc2/Espn/Spock2/Mpped2/Igfbp4/Matn2/Tceal3/Whrn/Ifi44
2017_CELL_REP_Kumar---CD8Spleen_CD69pos_vs_neg_dn,2017_CELL_REP_Kumar---CD8Spleen_CD69pos_vs_neg_dn,141,-0.5915778461372418,-1.1425669521556496,0.19451936562736002,0.7780774625094401,0.7780774625094401,1139,"tags=14%, list=8%, signal=13%",Pfn2/Pianp/Jag1/Bfsp1/Efhc2/Ism1/Phex/Pard3/Yap1/Phldb2/Grin1/Rfx8/Ace/Deptor/Pi16/Vipr1/Csgalnact1/Bend7/Tktl1/Nudt10
2020_NAT_IMMUNOL_Hayward---Lung_Vasculature_TRM,2020_NAT_IMMUNOL_Hayward---Lung_Vasculature_TRM,66,-0.5902115700123817,-1.0770069623989562,0.35234215885947046,1,1,1855,"tags=17%, list=13%, signal=15%",Zfand2a/Nfkbiz/Arap2/Tagap/Ypel5/Hid1/Irf7/Tcp11l2/Kcnj8/Ccl9/Vmn2r97
2018_SCI_IMMUNOL_Buggert---CD69pos_CD69neg_dn,2018_SCI_IMMUNOL_Buggert---CD69pos_CD69neg_dn,129,-0.5383742571212577,-1.037857911550384,0.41604010025062654,1,1,772,"tags=12%, list=5%, signal=12%",Naga/Kptn/Impact/Nfkbiz/Atxn7/Gpr34/Xcl1/Plekha1/Tox2/Myh3/Zfp457/Ccdc136/Vipr1/Csgalnact1/Zfp963/Usp35
2018_SCI_IMMUNOL_Buggert---CD69pos_CD69neg_up,2018_SCI_IMMUNOL_Buggert---CD69pos_CD69neg_up,129,-0.5383742571212577,-1.037857911550384,0.41604010025062654,1,1,772,"tags=12%, list=5%, signal=12%",Naga/Kptn/Impact/Nfkbiz/Atxn7/Gpr34/Xcl1/Plekha1/Tox2/Myh3/Zfp457/Ccdc136/Vipr1/Csgalnact1/Zfp963/Usp35
2017_IMMUNITY_WOLSKI---resolver_early_vs_late_dn,2017_IMMUNITY_WOLSKI---resolver_early_vs_late_dn,46,-0.5935447947794135,-1.037783667762581,0.42452949349501073,1,1,2113,"tags=17%, list=15%, signal=15%",Per1/Junb/Ccr7/Smad7/Rfx5/Timp2/Hey1/Vipr1
2017_CELL_REP_Kumar---CD8Spleen_CD69pos_vs_neg_up,2017_CELL_REP_Kumar---CD8Spleen_CD69pos_vs_neg_up,63,-0.5704641370882694,-1.0345284552863994,0.4270746517442553,1,1,878,"tags=21%, list=6%, signal=19%",Cd9/Tnfsf4/Aff3/Ksr2/Coch/Amn/Myo15/Asb2/Cxcl13/Lpl/Spib/Icam5/Dkk3
