gene_names,scores
Srsf5,39.97999954223633
Esm1,32.689998626708984
Slc3a2,31.770000457763672
Tnfrsf1b,31.65999984741211
Rilpl2,27.899999618530273
Sub1,27.229999542236328
Crybg3,26.459999084472656
Dhx9,26.190000534057617
Nasp,24.899999618530273
Ctla4,24.459999084472656
Adora2a,24.030000686645508
Mcm4,23.270000457763672
Icos,23.219999313354492
Mbd4,23.149999618530273
Gem,23.139999389648438
Tnf,22.260000228881836
Eed,22.09000015258789
Ddx5,21.56999969482422
Spn,21.15999984741211
Grap2,21.1200008392334
Irf4,20.850000381469727
Ccnl1,20.739999771118164
Rgs16,20.59000015258789
Sgk1,20.299999237060547
Cinp,20.170000076293945
Hacd3,20.15999984741211
Klhl6,19.940000534057617
Actn1,19.790000915527344
Ehd4,19.520000457763672
Hif1a,19.5
Bcl2a1d,19.389999389648438
Rel,19.020000457763672
Xrn2,18.739999771118164
Tacc2,18.690000534057617
Slbp,18.270000457763672
Cd160,17.969999313354492
Lrmp,17.75
Atad2,17.459999084472656
Zeb2,17.389999389648438
Nars,17.3700008392334
Ms4a4c,17.030000686645508
Map2k3,16.8700008392334
Ppp1r12a,16.84000015258789
Adam19,16.709999084472656
Jak1,16.690000534057617
Smpdl3b,16.68000030517578
Ptpn6,16.510000228881836
Ccr2,16.309999465942383
Sorl1,16.0
Batf,15.979999542236328
Map3k8,15.930000305175781
Nop58,15.75
Mcm7,15.739999771118164
Il10ra,15.65999984741211
Satb1,15.550000190734863
Gimap6,15.489999771118164
Ifrd1,15.430000305175781
Slc20a1,15.390000343322754
Litaf,15.380000114440918
Ifi214,15.239999771118164
Hip1,15.180000305175781
Kif1b,15.140000343322754
Dennd2d,15.130000114440918
St13,15.079999923706055
Tnfrsf9,14.970000267028809
Fyn,14.90999984741211
Jaml,14.899999618530273
1700025G04Rik,14.760000228881836
Coq7,14.569999694824219
Siah2,14.539999961853027
Nup155,14.520000457763672
Diaph1,14.510000228881836
Map4k4,14.329999923706055
Wdhd1,14.149999618530273
Klrd1,13.920000076293945
Tgfbr2,13.829999923706055
Casp3,13.8100004196167
Rgcc,13.800000190734863
Pycard,13.529999732971191
P4hb,13.5
Klf3,13.40999984741211
Fanca,13.399999618530273
Pdcd1,13.329999923706055
Slc43a2,13.3100004196167
Prdm1,13.279999732971191
Cdc25a,13.25
Orc6,13.239999771118164
Nup133,13.199999809265137
Il2ra,13.199999809265137
Siah1b,13.140000343322754
Ppm1g,13.079999923706055
Cnot9,13.020000457763672
Ms4a6b,13.0
Odc1,12.970000267028809
Skp1a,12.970000267028809
Mgat4a,12.800000190734863
Ctla2a,12.789999961853027
Dgkh,12.75
Apobec2,12.609999656677246
Ints7,12.369999885559082
Ppat,12.319999694824219
Traf3ip3,12.3100004196167
Eif3j1,12.300000190734863
Atp2b1,12.260000228881836
Prf1,12.229999542236328
Nr4a2,12.199999809265137
Zfp36l1,12.15999984741211
Klrg1,12.119999885559082
Rnf213,12.0600004196167
Rif1,12.020000457763672
Ptpn11,11.859999656677246
Pcna,11.770000457763672
Parp1,11.720000267028809
Fam72a,11.720000267028809
Dis3,11.630000114440918
Sidt1,11.609999656677246
Nup160,11.550000190734863
G2e3,11.479999542236328
Serpinb6b,11.399999618530273
Tut4,11.289999961853027
Mcm6,11.260000228881836
Hnrnpu,11.239999771118164
Gmnn,11.229999542236328
Gpsm2,11.229999542236328
Ubap2,11.130000114440918
Troap,11.130000114440918
Stat2,11.109999656677246
Car5b,11.109999656677246
Nap1l1,11.100000381469727
Fam3c,11.09000015258789
Dtl,10.9399995803833
Rad51c,10.850000381469727
Fasl,10.819999694824219
Fmr1,10.760000228881836
Srsf2,10.710000038146973
Cacybp,10.65999984741211
Gas7,10.649999618530273
St3gal6,10.619999885559082
Nxt1,10.579999923706055
Pfdn4,10.449999809265137
Ccne2,10.399999618530273
Spcs2,10.399999618530273
Sytl2,10.279999732971191
Ifi203,10.229999542236328
Furin,10.069999694824219
Agfg2,9.949999809265137
Ubash3b,9.930000305175781
Il7r,9.880000114440918
Epas1,9.869999885559082
Gpr183,9.8100004196167
Tnrc6c,9.789999961853027
Cdc6,9.649999618530273
Cxcr6,9.600000381469727
Fntb,9.5600004196167
Vax2,9.5600004196167
Calm3,9.539999961853027
Lamc1,9.399999618530273
Wdr95,9.390000343322754
Wdr12,9.34000015258789
Phf19,9.319999694824219
Kdm7a,9.3100004196167
Dusp5,9.229999542236328
Dnajb11,9.210000038146973
Prag1,9.199999809265137
Kpna3,9.109999656677246
Hsd17b12,9.100000381469727
Hip1r,9.079999923706055
Poc1a,9.079999923706055
Tecpr1,9.069999694824219
Lck,9.050000190734863
Hdhd5,9.0
Klf13,9.0
Ilf2,8.9399995803833
Snrpa1,8.920000076293945
Prex1,8.899999618530273
Gnl3,8.869999885559082
Tdp2,8.869999885559082
Itga1,8.859999656677246
Cenpf,8.850000381469727
Lag3,8.819999694824219
Lax1,8.75
Atp5a1,8.739999771118164
Adap1,8.710000038146973
Borcs7,8.539999961853027
Larp7,8.539999961853027
Parpbp,8.449999809265137
Fkbp3,8.430000305175781
Eif2s1,8.350000381469727
Gbp3,8.300000190734863
Dusp10,8.289999961853027
Cd6,8.279999732971191
Ipo7,8.25
Pik3ap1,8.229999542236328
Rab3ip,8.220000267028809
Atp8b4,8.210000038146973
Rnf168,8.079999923706055
Timm9,8.069999694824219
Dut,8.0600004196167
Haus6,7.960000038146973
Mrpl20,7.900000095367432
Art2b,7.880000114440918
E2f1,7.880000114440918
Eif4e,7.78000020980835
Senp7,7.75
Sf3b6,7.75
BC055324,7.699999809265137
Casp8ap2,7.679999828338623
Polr2f,7.570000171661377
Snrpd1,7.46999979019165
Galnt3,7.460000038146973
Zmynd11,7.460000038146973
Ctss,7.449999809265137
Bhlhe40,7.429999828338623
Kdm6b,7.420000076293945
Eif2s2,7.409999847412109
Bspry,7.400000095367432
Ttc39b,7.389999866485596
Crtc3,7.369999885559082
Cwc15,7.369999885559082
Cmah,7.309999942779541
Brip1,7.289999961853027
Etfb,7.28000020980835
Rasa1,7.210000038146973
Ndc1,7.159999847412109
Arhgef3,7.159999847412109
Fam83d,7.139999866485596
Timeless,7.130000114440918
Rap1gap2,7.119999885559082
Picalm,7.119999885559082
Exo1,7.119999885559082
S100a6,7.110000133514404
Crtam,7.099999904632568
Khsrp,7.079999923706055
Kmt5b,7.079999923706055
Rtp4,7.059999942779541
Daxx,7.050000190734863
Klrk1,7.010000228881836
Rpa2,6.980000019073486
Gnai2,6.960000038146973
Trim34a,6.960000038146973
Mcm3,6.940000057220459
Stt3a,6.889999866485596
Rap1b,6.860000133514404
Rsrp1,6.860000133514404
Cep57,6.829999923706055
Mthfd2,6.820000171661377
Rfc4,6.820000171661377
Txk,6.78000020980835
Cdk19,6.769999980926514
Hdlbp,6.769999980926514
Rfc1,6.760000228881836
Rbbp7,6.670000076293945
Ipcef1,6.670000076293945
Ifngr1,6.650000095367432
Asap1,6.599999904632568
Gimap8,6.539999961853027
Rgs1,6.5
Anxa2,6.5
Tbx21,6.440000057220459
Ccne1,6.369999885559082
Fam169b,6.320000171661377
Cep89,6.309999942779541
Hnrnpd,6.309999942779541
Dscc1,6.309999942779541
Bub3,6.28000020980835
Nab1,6.239999771118164
Psmd14,6.210000038146973
Ddx58,6.179999828338623
Pif1,6.139999866485596
Glipr1,6.110000133514404
Fam110a,6.090000152587891
H2bc4,6.090000152587891
Rad51,6.039999961853027
Eri1,5.940000057220459
Tbc1d2,5.869999885559082
Pkmyt1,5.849999904632568
Cops3,5.789999961853027
Atad5,5.739999771118164
Chsy1,5.710000038146973
Oas1a,5.710000038146973
Zmiz1,5.690000057220459
Trappc1,5.670000076293945
Rbbp4,5.639999866485596
Iqgap2,5.559999942779541
Naf1,5.559999942779541
Crybg1,5.550000190734863
Ppm1h,5.550000190734863
Elovl6,5.550000190734863
Stard10,5.400000095367432
Gmps,5.389999866485596
Ckap2,5.320000171661377
Ifih1,5.320000171661377
Odf2,5.309999942779541
Kif14,5.289999961853027
Msh6,5.269999980926514
Ssrp1,5.269999980926514
Rabac1,5.260000228881836
Osbpl3,5.25
Ttc39c,5.230000019073486
Eef1g,5.179999828338623
Dennd1c,5.119999885559082
Prmt1,5.110000133514404
Yars,5.050000190734863
Dock2,5.019999980926514
Tedc1,5.010000228881836
Ube2t,4.980000019073486
Fanci,4.940000057220459
Ska2,4.840000152587891
Tanc1,4.78000020980835
