"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098687","chromosomal region","59/412","299/23436",1.91798296566444e-44,1.91798296566444e-44,6.31924913950493e-42,"Rif1/Ppp1r12a/Pif1/Ska3/Sgo1/Rpa1/Pmf1/Spc24/Hnrnpu/Ezh2/Ncapd3/Smchd1/Dnmt1/Kif18a/Kntc1/Spc25/Cbx5/Nup160/Mki67/Fmr1/Incenp/Ikzf1/Baz1b/Sgo2a/Ckap5/Ndc80/Chek2/Mis18bp1/Nup107/Smc3/Ska2/Ttk/Spag5/Spdl1/Blm/Ncapg/Nbn/Cenpe/Ncapd2/Nuf2/Bub1b/Cenph/Cenpp/Plk1/Nup133/Cdca8/Cenpi/Knl1/Ska1/Daxx/Bub1/Cenpf/Nde1/Cenpl/Dna2/Hjurp/Ctc1/Wdhd1/Xpo1",59
"GO:0000775","chromosome, centromeric region","49/412","190/23436",5.23122108867242e-43,5.23122108867242e-43,8.61774842502351e-41,"Ppp1r12a/Ska3/Sgo1/Pmf1/Spc24/Hnrnpu/Ncapd3/Dnmt1/Kif18a/Kntc1/Spc25/Cbx5/Nup160/Mki67/Fmr1/Incenp/Ikzf1/Baz1b/Sgo2a/Ckap5/Ndc80/Mis18bp1/Nup107/Smc3/Ska2/Ttk/Spag5/Spdl1/Ncapg/Cenpe/Ncapd2/Nuf2/Bub1b/Cenph/Cenpp/Plk1/Nup133/Cdca8/Cenpi/Knl1/Ska1/Daxx/Bub1/Cenpf/Nde1/Cenpl/Hjurp/Wdhd1/Xpo1",49
"GO:0000776","kinetochore","36/412","132/23436",9.37284428787177e-33,9.37284428787177e-33,1.0293685130189e-30,"Ppp1r12a/Ska3/Sgo1/Pmf1/Spc24/Hnrnpu/Ncapd3/Kif18a/Kntc1/Spc25/Cbx5/Nup160/Incenp/Sgo2a/Ckap5/Ndc80/Mis18bp1/Nup107/Ska2/Ttk/Spag5/Spdl1/Cenpe/Nuf2/Bub1b/Cenph/Plk1/Nup133/Cenpi/Knl1/Ska1/Bub1/Cenpf/Nde1/Hjurp/Xpo1",36
"GO:0005819","spindle","43/412","273/23436",2.91435941424718e-28,2.91435941424718e-28,2.40051183331413e-26,"Rif1/Gem/Ska3/Sgo1/Bora/Hnrnpu/Fbxo5/Prc1/Poc1a/Gpsm2/Kif18a/Kntc1/Kif11/Cdc25b/Incenp/Cdk1/Ckap5/Diaph1/Smc3/Nusap1/Ska2/Kifc5b/Kif18b/Tpx2/Kif23/Ttk/Spag5/Spdl1/Cenpe/Bub1b/Ckap2l/Plk1/Cdca8/Kif22/Ect2/Ska1/Kif14/Dlgap5/Cenpf/Nde1/Kif20b/Tacc3/Fam83d",43
"GO:0000793","condensed chromosome","37/412","209/23436",2.57364745839824e-26,2.57364745839824e-26,1.69589821995505e-24,"Rif1/Ska3/Sgo1/Rpa1/Pmf1/Ncaph/Ncapd3/Smc4/Cdca5/Spc25/Fancd2/Smc2/Mki67/Incenp/Baz1b/Sgo2a/Ndc80/Top2a/Mis18bp1/Smc3/Ska2/Ncapg2/Spdl1/Blm/Ncapg/Cenpe/Ncapd2/Nuf2/Bub1b/Plk1/Nup133/Knl1/Ska1/Bub1/Topbp1/Cenpf/Hjurp",37
"GO:0000779","condensed chromosome, centromeric region","22/412","51/23436",1.37330675776471e-25,1.37330675776471e-25,7.54114061719917e-24,"Ska3/Sgo1/Pmf1/Ncapd3/Spc25/Sgo2a/Ndc80/Mis18bp1/Ska2/Spdl1/Ncapg/Cenpe/Ncapd2/Nuf2/Bub1b/Plk1/Nup133/Knl1/Ska1/Bub1/Cenpf/Hjurp",22
"GO:0000777","condensed chromosome kinetochore","18/412","35/23436",6.13297895836285e-23,6.13297895836285e-23,2.88665024656778e-21,"Ska3/Pmf1/Ncapd3/Spc25/Ndc80/Mis18bp1/Ska2/Spdl1/Cenpe/Nuf2/Bub1b/Plk1/Nup133/Knl1/Ska1/Bub1/Cenpf/Hjurp",18
"GO:0072686","mitotic spindle","22/412","107/23436",1.38588891059675e-17,1.38588891059675e-17,5.70767406601032e-16,"Gem/Hnrnpu/Gpsm2/Kif18a/Kif11/Cdk1/Diaph1/Smc3/Nusap1/Kifc5b/Kif18b/Tpx2/Kif23/Spag5/Cenpe/Ckap2l/Kif22/Ect2/Ska1/Kif20b/Tacc3/Fam83d",22
"GO:0000940","condensed chromosome outer kinetochore","11/412","15/23436",5.56359006169217e-17,5.56359006169217e-17,2.03672946118088e-15,"Ska3/Ndc80/Ska2/Spdl1/Cenpe/Bub1b/Plk1/Nup133/Ska1/Bub1/Cenpf",11
"GO:0005874","microtubule","38/412","420/23436",1.42916281353683e-16,1.42916281353683e-16,4.70871537512661e-15,"Cep57/Ska3/Iqgap2/Hnrnpu/Haus4/Kif1b/Prc1/Kif18a/Kntc1/Kif11/Fmr1/Incenp/Cdk1/Ckap5/Nusap1/Ska2/Kifc5b/Cct5/Kif18b/Tpx2/Kif23/Spag5/Cenpe/Tcp1/Stmn1/Plk1/Kif15/Kif4/Odf2/Kif22/Nudc/Ska1/Kif14/Haus5/Daxx/Nde1/Kif20b/Cfap20",38
"GO:0005657","replication fork","16/412","71/23436",8.25465324805305e-14,8.25465324805305e-14,2.47244637956039e-12,"Pcna/Pif1/Rfc1/Rpa1/Prim1/Polh/Dnmt1/Rfc4/Baz1b/Cdc45/Uhrf1/Blm/Nbn/Rfc2/Rad51c/Wdhd1",16
"GO:0005876","spindle microtubule","14/412","54/23436",3.70355151932695e-13,3.70355151932695e-13,1.01685230311345e-11,"Ska3/Hnrnpu/Kif18a/Kntc1/Kif11/Cdk1/Nusap1/Ska2/Kif18b/Tpx2/Spag5/Cenpe/Plk1/Ska1",14
"GO:0030496","midbody","19/412","139/23436",5.13384786302529e-12,5.13384786302529e-12,1.30112905354406e-10,"Clic4/Gem/Hnrnpu/Prc1/Incenp/Cit/Cdk1/Kif23/Anln/Cenpe/Plk1/Kif4/Anxa2/Cdca8/Ect2/Gnai2/Kif14/Cenpf/Kif20b",19
"GO:0005871","kinesin complex","13/412","56/23436",1.20929220482471e-11,1.20929220482471e-11,2.84592827150478e-10,"Kif1b/Kif18a/Kif11/Kifc5b/Kif18b/Kif23/Cenpe/Kif15/Kif4/Kif22/Kif14/Nde1/Kif20b",13
"GO:0000780","condensed nuclear chromosome, centromeric region","10/412","29/23436",3.76025581091287e-11,3.76025581091287e-11,8.25936890397003e-10,"Sgo1/Pmf1/Sgo2a/Ndc80/Mis18bp1/Cenpe/Nuf2/Bub1b/Plk1/Bub1",10
"GO:0000778","condensed nuclear chromosome kinetochore","8/412","16/23436",9.70225888035623e-11,9.70225888035623e-11,1.99789936154704e-09,"Pmf1/Ndc80/Mis18bp1/Cenpe/Nuf2/Bub1b/Plk1/Bub1",8
"GO:0000922","spindle pole","17/412","129/23436",1.23641183293326e-10,1.23641183293326e-10,2.39626565763536e-09,"Sgo1/Poc1a/Gpsm2/Kntc1/Kif11/Cdc25b/Ckap5/Smc3/Tpx2/Spag5/Spdl1/Plk1/Dlgap5/Cenpf/Nde1/Kif20b/Fam83d",17
"GO:0051233","spindle midzone","10/412","34/23436",2.27592968353885e-10,2.27592968353885e-10,4.165882987998e-09,"Rif1/Gem/Hnrnpu/Kif18a/Kif18b/Cenpe/Plk1/Cdca8/Kif14/Kif20b",10
"GO:0000794","condensed nuclear chromosome","18/412","155/23436",2.93650101756013e-10,2.93650101756013e-10,5.09210425759735e-09,"Sgo1/Rpa1/Pmf1/Ncaph/Ncapd3/Incenp/Sgo2a/Ndc80/Mis18bp1/Smc3/Blm/Cenpe/Ncapd2/Nuf2/Bub1b/Plk1/Bub1/Topbp1",18
"GO:0005875","microtubule associated complex","17/412","147/23436",9.82282884230701e-10,9.82282884230701e-10,1.61818180402216e-08,"Fntb/Haus4/Kif1b/Kif18a/Kif11/Kifc5b/Kif18b/Kif23/Cenpe/Kif15/Kif4/Cdca8/Kif22/Kif14/Haus5/Nde1/Kif20b",17
"GO:0000792","heterochromatin","13/412","95/23436",1.20127055593406e-08,1.20127055593406e-08,1.88470017046296e-07,"Ncapd3/Wdr76/Eed/Dnmt1/Satb1/Cbx5/Incenp/Ikzf1/Baz1b/Uhrf1/Tcp1/Daxx/Suz12",13
"GO:0090734","site of DNA damage","11/412","65/23436",1.65724937077873e-08,1.65724937077873e-08,2.48190934475475e-07,"Rif1/Rpa1/Parp1/Polh/Wdr76/Smchd1/Cbx5/Rbbp8/Samhd1/Nbn/Parp9",11
"GO:0005720","nuclear heterochromatin","8/412","43/23436",7.21405584886364e-07,7.21405584886364e-07,1.03340937331548e-05,"Ncapd3/Eed/Satb1/Cbx5/Ikzf1/Uhrf1/Tcp1/Suz12",8
