"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140097","catalytic activity, acting on DNA","16/276","190/22710",1.59571656962398e-09,1.59571656962398e-09,7.23951412113615e-07,"Mcm5/Blm/Rfc4/Pola2/Top2b/Pcna/Polh/Rbbp8/Gins2/Rfc2/Ddx1/Pole/Dhx9/Ptges3/Rfc3/Tdp2",16
"GO:0004386","helicase activity","14/276","157/22710",8.17552844881869e-09,8.17552844881869e-09,1.25703264691482e-06,"Ddx5/Mcm5/Blm/Mcm3/Rfc4/Ifih1/Fancm/Gins2/Mcm8/G3bp1/Rfc2/Ddx1/Dhx9/Rfc3",14
"GO:0016887","ATPase activity","21/276","379/22710",9.11077147240482e-09,9.11077147240482e-09,1.25703264691482e-06,"Mcm5/Hspa14/Blm/Kif1b/Abcg1/Psmc1/Atp5a1/Rfc4/Top2b/Rfc1/Msh6/Kif18b/Rfc2/Kif11/Dhx9/Rfc3/Rnf213/Abce1/Smchd1/Atp2b1/Kif22",21
"GO:0003697","single-stranded DNA binding","12/276","111/22710",1.10828864461167e-08,1.10828864461167e-08,1.25703264691482e-06,"Mcm5/Blm/Mcm3/Rpa2/Sub1/Rbbp8/Samhd1/Mcm8/Brca2/Ybx3/Dhx9/Tdp2",12
"GO:0042623","ATPase activity, coupled","17/276","282/22710",7.33680445422763e-08,7.33680445422763e-08,6.65718467320444e-06,"Mcm5/Hspa14/Blm/Kif1b/Abcg1/Psmc1/Atp5a1/Rfc4/Top2b/Rfc1/Msh6/Kif18b/Rfc2/Kif11/Dhx9/Rfc3/Atp2b1",17
"GO:0008094","DNA-dependent ATPase activity","9/276","72/22710",2.21391639654006e-07,2.21391639654006e-07,1.67403152089257e-05,"Mcm5/Blm/Rfc4/Top2b/Rfc1/Msh6/Rfc2/Dhx9/Rfc3",9
"GO:0017116","single-stranded DNA-dependent ATP-dependent DNA helicase activity","5/276","20/22710",3.41404495165935e-06,3.41404495165935e-06,0.000193612286074366,"Mcm5/Rfc4/Rfc2/Dhx9/Rfc3",5
"GO:0043142","single-stranded DNA-dependent ATPase activity","5/276","20/22710",3.41404495165935e-06,3.41404495165935e-06,0.000193612286074366,"Mcm5/Rfc4/Rfc2/Dhx9/Rfc3",5
"GO:0003684","damaged DNA binding","7/276","56/22710",5.06060940092051e-06,5.06060940092051e-06,0.000214914875889298,"Blm/Pcna/Msh6/Rpa2/Polh/Rbbp8/Aunip",7
"GO:0004003","ATP-dependent DNA helicase activity","5/276","22/22710",5.6845233993921e-06,5.6845233993921e-06,0.000214914875889298,"Mcm5/Rfc4/Rfc2/Dhx9/Rfc3",5
"GO:0008026","ATP-dependent helicase activity","5/276","22/22710",5.6845233993921e-06,5.6845233993921e-06,0.000214914875889298,"Mcm5/Rfc4/Rfc2/Dhx9/Rfc3",5
"GO:0070035","purine NTP-dependent helicase activity","5/276","22/22710",5.6845233993921e-06,5.6845233993921e-06,0.000214914875889298,"Mcm5/Rfc4/Rfc2/Dhx9/Rfc3",5
"GO:0003678","DNA helicase activity","7/276","61/22710",9.03967217858654e-06,9.03967217858654e-06,0.000315473579673749,"Mcm5/Blm/Rfc4/Gins2/Rfc2/Dhx9/Rfc3",7
"GO:0043021","ribonucleoprotein complex binding","10/276","147/22710",1.31489731788122e-05,1.31489731788122e-05,0.000426105822561508,"Ddx5/Top2b/Ifih1/Eif2s1/Eri1/Ppih/Ezh2/Ybx3/Dhx9/Abce1",10
"GO:0043138","3'-5' DNA helicase activity","4/276","21/22710",0.000108538083190413,0.000108538083190413,0.00328280097228547,"Mcm5/Blm/Gins2/Dhx9",4
"GO:0042393","histone binding","11/276","233/22710",0.000140764551875455,0.000140764551875455,0.00399141591173164,"Ssrp1/Anp32e/Msh6/Supt16/Ipo7/Nasp/Parp9/Rnf168/Dek/Ncapd2/Uhrf1",11
"GO:0003688","DNA replication origin binding","4/276","23/22710",0.000157542388964698,0.000157542388964698,0.00420438202128698,"Mcm5/Mcm3/Mcm8/Dhx9",4
"GO:0051082","unfolded protein binding","7/276","97/22710",0.000183598698660201,0.000183598698660201,0.00462754614751735,"Hspa14/Ppih/Cct4/Tcp1/Ptges3/Nudc/Srsf10",7
"GO:0032404","mismatch repair complex binding","3/276","11/22710",0.000272568247215889,0.000272568247215889,0.00650841631856222,"Pcna/Msh6/Mcm8",3
"GO:0002020","protease binding","8/276","146/22710",0.000427079224396047,0.000427079224396047,0.0096879550376156,"Atp5a1/Serpinb9/Stim1/Brca2/Itgb1/Pycard/Furin/Dpp4",8
"GO:0003725","double-stranded RNA binding","6/276","84/22710",0.000561270439021591,0.000561270439021591,0.0120693473201567,"Eif2ak2/Slc3a2/Ifih1/Ddx1/Dhx9/Actn1",6
"GO:0015037","peptide disulfide oxidoreductase activity","3/276","14/22710",0.000585265334086486,0.000585265334086486,0.0120693473201567,"Pdia3/P4hb/Pdia6",3
"GO:0004518","nuclease activity","9/276","193/22710",0.000616080758680499,0.000616080758680499,0.0121524396792355,"Xrn2/Fancm/Dis3/Rbbp8/Eri1/G3bp1/Ddx1/Pole/Tdp2",9
"GO:0034061","DNA polymerase activity","4/276","33/22710",0.000661753177701982,0.000661753177701982,0.0121827134483407,"Pola2/Polh/Pole/Ptges3",4
"GO:0008017","microtubule binding","10/276","239/22710",0.000724326499514933,0.000724326499514933,0.0121827134483407,"Kif1b/Map4k4/Stim1/Kif18b/Cep57/Haus4/Fam83d/Kif11/Rcc2/Kif22",10
"GO:0003756","protein disulfide isomerase activity","3/276","15/22710",0.00072502691403698,0.00072502691403698,0.0121827134483407,"Pdia3/P4hb/Pdia6",3
"GO:0016864","intramolecular oxidoreductase activity, transposing S-S bonds","3/276","15/22710",0.00072502691403698,0.00072502691403698,0.0121827134483407,"Pdia3/P4hb/Pdia6",3
"GO:0015631","tubulin binding","12/276","336/22710",0.000894645208197515,0.000894645208197515,0.01449594303508,"Kif1b/Map4k4/Stim1/Smc3/Kif18b/Cep57/Haus4/Brca2/Fam83d/Kif11/Rcc2/Kif22",12
"GO:0001085","RNA polymerase II transcription factor binding","8/276","171/22710",0.00120132514893922,0.00120132514893922,0.0187938707511,"Ifrd1/Tbx21/Nop58/Rbbp8/Tcerg1/Zmiz1/Dhx9/Id2",8
"GO:0015036","disulfide oxidoreductase activity","4/276","40/22710",0.00138274803517646,0.00138274803517646,0.0209110316898615,"Pdia3/Txnl1/P4hb/Pdia6",4
