X_paga1,X_paga2,X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30,paga1,paga2,velocity_paga1,velocity_paga2
41537.15466691175,53171.72041625287,-9.176993,-0.97718376,0.94136554,2.8758996,2.1306531,2.4091163,0.30824107,-4.8237667,2.1953404,2.9055827,-1.6726621,-0.50284266,0.29760024,0.9169595,-2.5919707,2.460419,-1.6612911,3.2015023,1.7318043,2.0493727,-1.1499956,-0.016704006,-1.8946574,-1.0098987,-0.8903331,-0.6513838,-0.5956699,-0.9876968,-0.8520762,1.3622965,41537.15466691175,53171.72041625287,460.29051866476703,-269.567336853163
-8402.621848549532,53880.26592252071,-1.6657132,-4.3327785,-1.0346797,-2.8027842,3.9629898,0.31520355,2.3117042,-1.6946746,-1.4690129,-1.945923,-0.4283416,0.6562902,-3.4769816,-0.41140425,-0.663897,0.5760111,-1.3471946,1.266469,-0.6668323,-1.2636367,-0.524275,-0.11564487,0.388995,-2.1637883,-0.86875,-0.056490008,-0.16920948,0.15270197,0.18027033,0.6132906,-8402.621848549532,53880.26592252071,-567.0817742799296,-536.2344246414526
29126.45781607816,70005.6888194551,-7.9078,-0.26993948,6.7839594,-0.31234533,-1.6623609,1.3321496,-0.658168,-0.60156566,1.4996732,-0.77460074,3.5216043,-3.5083761,-2.792425,3.2489145,1.6249951,-1.5164323,0.19115771,0.45567918,-1.5257164,2.4208357,1.4433215,1.5713637,-0.8350401,2.687773,0.18463756,-0.7622274,-2.1056895,0.26995483,0.69708157,0.1596828,29126.45781607816,70005.6888194551,263.7608042859466,-129.33783302848948
-2448.8393896366897,8049.330880092225,1.2106023,6.5907598,-8.774116,-0.1069392,-0.0015236792,-0.9136452,-1.4579122,-0.9490002,2.301177,-1.2333869,-1.150305,1.9403899,0.169733,2.1374836,0.9741611,1.3906741,-3.0752068,0.47140476,-1.753213,-0.67633694,0.27443606,-1.4212098,-0.020348035,1.0233177,0.058851667,-0.2882104,1.7176809,0.17593184,1.5439146,0.37406993,-2448.8393896366897,8049.330880092225,-80.12126753723008,-336.96909258707353
-30243.46087471957,39691.874592911605,14.967514,0.60142195,-0.5324092,-0.73962545,-0.030399244,8.887644,-1.0648088,2.2210639,2.6178489,0.48114324,1.5519488,-0.89761806,0.57683957,2.8521287,0.35601035,-2.2912989,0.059873216,0.097441316,-3.0254018,1.3880755,-0.35485083,1.9150865,1.3116252,-1.6436186,-1.5956789,2.6935573,3.6105344,0.27239117,0.239813,2.5869038,-30243.46087471957,39691.874592911605,-189.32006912293093,-234.5325044920245
-55337.55740362298,-5402.641069632329,8.4792795,-5.275607,-0.65005326,-1.7275634,-5.3160534,-3.3799965,-1.426409,1.3231806,-2.2938206,0.9544382,-0.38614362,-1.0938381,-0.06758874,-0.55573833,-0.807511,-0.39827582,-0.4551809,1.1813118,-0.9527639,-0.3097594,2.1281025,0.27003857,-0.4757512,-1.0575967,0.2555423,-0.6202977,-0.7800676,-0.5596595,-0.6958898,-0.5219133,-55337.55740362298,-5402.641069632329,-326.2587197839137,-60.59198140672779
43723.3679313671,55636.62119023887,-7.110191,-5.153857,5.1630545,3.0695076,0.7339197,0.8170539,2.585108,0.03420108,-1.2353829,-1.6313585,-2.7451773,0.35544732,-2.6864665,0.7104695,0.8518521,-0.65045214,-1.6306638,0.13458098,0.009340403,0.19946669,0.37888378,1.0727901,0.6710604,-0.19623823,1.9539536,0.56950605,0.60129476,-0.106571615,0.112201124,-0.42989346,43723.3679313671,55636.62119023887,461.0864474167175,-125.95325198087151
-13676.48999136982,45650.155295803845,2.3976135,-2.93849,-3.176709,-4.5489206,1.0602117,7.114235,0.27226487,1.5845133,-1.5627329,-0.3108277,-2.4017782,-0.4605164,0.10640387,-0.06635345,0.95578635,1.0815505,-0.8975857,0.84544295,0.37098548,0.119358964,1.769556,0.19045185,-0.86267686,-1.2384112,-0.9416412,0.58237845,1.5315138,-0.8313375,-1.3922777,-0.21525292,-13676.48999136982,45650.155295803845,-259.9852907663102,-167.4878236146653
10530.49445572625,-13158.01591250058,-15.608072,7.3869944,1.987122,-3.124172,-3.706846,-1.1880176,-0.2859935,3.097285,0.884648,1.3284507,0.37375927,0.58005244,0.14553156,0.0982468,0.043607187,-0.5327601,0.3122678,-0.017362569,0.31983668,1.3712072,-0.57603306,-0.93371695,-0.44047466,-0.36107606,0.60936373,1.1562774,0.28848088,0.037820783,-0.55141276,0.4020789,10530.49445572625,-13158.01591250058,-335.59555785767316,198.87224731891146
14001.2001174884,15810.884212807938,-15.42892,5.222794,0.41492084,1.4514644,-3.0126088,-0.74126685,-1.4132011,0.240844,3.0966794,0.70945954,-0.83216745,-0.48087338,2.4796317,2.083229,0.5138897,0.549315,-0.5290806,-1.6144942,0.194871,0.6818107,-0.18993758,-0.43492648,1.2881671,0.5873112,-1.6207334,0.034732506,-0.85890913,0.08245219,-0.13180979,-0.09793129,14001.2001174884,15810.884212807938,406.96025370673243,312.84989897345923
