paga1,paga2,X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30,X_paga1,X_paga2,velocity_paga1,velocity_paga2
-30243.46087471957,39691.874592911605,-4.659855,11.326577,-2.0406399,-0.5291963,-3.7148957,3.4523177,1.6134063,-2.0975826,-0.9432607,-0.46917424,2.4306366,-0.17906961,-2.3535428,2.24778,3.7041564,-2.13871,-2.7762535,0.0929573,-0.5728887,-1.815776,0.23471397,2.030961,-1.9345572,-5.33185,-7.860366,0.7622708,6.614862,-7.4419184,3.9636219,-3.8556707,-30243.46087471957,39691.874592911605,-190.14017580754597,-212.3094902696533
-13676.48999136982,45650.155295803845,8.411617,2.938218,-1.5330691,-0.4838373,-4.4219666,1.5087748,-1.4039942,0.21990348,-0.49718446,-1.4725533,0.054527506,-3.75158,-1.607961,0.6817767,0.06856642,0.4101075,1.2248669,-0.97923553,-1.5414013,0.20064223,1.6475917,-0.9845908,2.942889,0.19483127,-0.49878138,-0.316868,0.21756452,0.1489202,0.16124587,-0.03429822,-13676.48999136982,45650.155295803845,-283.6896798115695,-185.8900708526208
-33444.948930597064,41591.929183342894,2.5725617,4.1504903,-4.6287465,-2.2608151,0.3529696,-1.8140008,0.68883675,1.9454967,-2.3303022,-1.5641494,-1.0156999,0.7942721,0.579329,-0.04037112,-0.75051534,0.964314,0.13424656,-1.250302,-0.6532336,-0.13634421,-0.5721352,-0.32794565,-0.18930668,0.46207908,0.28279826,0.79196525,0.73632807,-0.6097247,0.47273827,-0.010852793,-33444.948930597064,41591.929183342894,-209.96592009247468,-35.1350918574087
-31140.41290757395,4538.502706752906,-2.455069,3.445773,1.0376444,3.5464604,-0.080876045,-0.18549445,-2.3585854,1.0477712,1.1337804,-4.1892333,2.6153462,-0.6916804,0.13908611,2.107048,-1.2532743,-0.112665825,0.6325999,0.8005166,-1.1227031,0.50887275,0.32814932,-1.3758236,1.57357,1.8598629,-1.0378479,-0.26058742,1.829831,0.47100213,-1.7437056,0.024748277,-31140.41290757395,4538.502706752906,-127.99435536487506,-187.42396506267428
-29182.077774620724,39206.539598762414,4.1063433,3.503046,-1.6744909,1.8294145,-3.0779862,-2.1453614,3.802439,0.47477102,1.2253295,-0.046892,1.0034971,-3.3379188,-1.1184196,-0.27787358,1.0201653,0.9953111,1.3278434,1.0552133,-0.74663794,-0.7098765,2.268653,0.80628616,-1.4053459,0.5944916,0.6920527,0.01687914,0.6863469,-0.90130633,-0.14942887,-0.124254435,-29182.077774620724,39206.539598762414,-376.7113102218762,292.3631362713215
-21735.574973642742,48805.18763043667,9.215983,3.9943678,-0.098393075,0.41460922,-2.7602458,-1.7133598,-2.7360513,-0.4335863,-0.8602416,0.58554417,-0.5128937,-1.1106181,-1.5545638,1.8239906,-0.64614683,2.8423462,1.0089433,-0.124795385,-1.021185,-1.246804,0.3495484,0.47937813,0.3011622,1.1041033,-0.8392456,-1.316386,-0.14279582,1.7478806,0.55112374,0.6462444,-21735.574973642742,48805.18763043667,-468.9794770434395,-207.72118786675225
-27345.6123157506,7786.626307588358,-1.8660834,-2.008886,0.14084716,4.9121814,-3.47572,-2.2173893,0.45383218,3.9103928,-1.3228288,2.7802522,0.6041409,-2.5769677,-3.8436694,1.119916,1.2467114,-0.33001804,-0.0012409525,0.18732288,0.16920377,0.80350393,-2.832529,-1.5298342,-0.28919765,0.6133425,1.1375277,0.81844956,0.20403071,0.33209282,-0.34306926,0.3261328,-27345.6123157506,7786.626307588358,-77.33227312407809,-446.4658253533723
-26987.362411625865,15570.210655472743,7.7933574,-4.776405,-0.8532001,4.7954006,-1.0507488,3.2131152,-1.8661741,1.8989261,-4.171796,-1.7356321,-1.8295984,-1.9011801,1.8818681,-0.35833502,0.96538,-0.4296129,-0.602371,0.50526065,0.12500526,0.13003786,0.34443668,-0.6297209,0.5284167,0.0750887,0.4134185,0.13970366,0.7919828,0.17885244,-0.10258173,1.1135523,-26987.362411625865,15570.210655472743,-367.343609183533,-387.81239435565794
-51390.196478931015,12524.678344345106,-2.2539418,-0.9193372,0.38714516,-0.65866554,-3.696991,2.803637,-2.5967522,5.1030436,-1.6305975,0.11447443,2.1099973,-0.39752743,-4.5077257,-1.315793,1.0037366,-2.1588032,0.7383763,-2.5155692,-0.47494254,2.2397578,0.5943086,-0.30322182,0.24717033,1.2449776,1.3957974,-1.8685728,0.62085766,-1.3247806,0.6663487,1.1088059,-51390.196478931015,12524.678344345106,-178.07404359771692,-230.3791222357248
-30267.0108265447,12842.876531621348,-1.0537778,-2.1751404,-3.232443,3.3847578,-3.7749376,-0.9220167,-0.6730036,3.4452183,-4.073197,0.10907147,0.21790059,-0.7155064,-0.69862735,0.96987486,0.9639539,1.111763,-0.6369785,-0.023689404,-0.3252323,0.7925582,0.2709105,-0.73539627,-0.061461817,-1.228101,0.71391356,-0.81935763,1.1775552,0.21644577,0.19932489,0.5943165,-30267.0108265447,12842.876531621348,-156.05629543205933,-297.75595359765384
-32290.05937327013,44076.31424409073,1.4733593,4.857251,-4.267752,-4.096419,0.5492858,0.6884215,2.7535248,-0.6128373,-0.11621315,-0.13997501,-2.43229,-2.7683258,1.4715611,1.4556638,0.8629784,-1.5326759,1.5146265,-1.2527237,3.7969253,0.86489636,0.08133122,2.6948433,-1.5621182,-0.40428314,-1.3521447,2.3277173,-3.822616,0.31080252,1.6830696,0.029665465,-32290.05937327013,44076.31424409073,-369.2174269154867,-184.6952449209268
-31601.852506995758,42998.93935876062,1.8013313,4.0790687,-4.901744,-0.6724921,-0.75749314,-1.5546155,-0.12236743,1.0672905,-1.5936852,0.3013657,2.65353,1.9608173,-1.0180558,-2.0330222,-2.2677226,-1.8326473,-1.4671395,-3.4148386,-1.1480106,-1.6255497,1.4354216,-0.25440344,-0.5570574,0.18281822,0.30218744,-0.4741625,-0.5403467,0.52017564,-0.6264448,-2.4300373,-31601.852506995758,42998.93935876062,-388.1151060933831,-235.30328501789006
