wilcoxon,t-test,t-test_overestim_var
Hmgb2,Hmgb2,Pclaf
Pclaf,Stmn1,Stmn1
Stmn1,Pclaf,Hmgb2
H2afz,Lgals1,Top2a
Lgals1,Top2a,Lgals1
Top2a,Birc5,Birc5
S100a6,H2afz,S100a6
S100a10,S100a6,Lmnb1
Lmnb1,Lmnb1,Mki67
S100a4,Cks2,Cks2
Crip1,Anxa2,Anxa2
Cks2,Smc2,Smc2
Anxa2,S100a4,S100a4
Smc2,Mki67,Cdk1
Mki67,Cks1b,H2afz
Cdk1,S100a10,Cks1b
Birc5,Gzmb,Gzmb
Ptma,Ube2s,Ccna2
Gapdh,Cdk1,Ccl5
Cks1b,Crip1,Cdca8
Hmgb1,Ccl5,Ube2s
Ube2s,Tmsb4x,Nusap1
Tuba1b,Ccna2,Tmsb4x
Tmsb4x,Txn1,Cdca3
Ccl5,Ptma,Spc24
Txn1,Tmpo,S100a10
Gzmb,Cdca8,Rrm2
Ccna2,Tuba1b,Ahnak
Actg1,Gapdh,Racgap1
Tmpo,Spc24,Crip1
Rrm2,Hmgn2,Tmpo
Dek,Dek,Prc1
Cdca8,Cdca3,Incenp
Cdca3,Nusap1,Hmgn2
Sub1,Racgap1,Asf1b
Vim,Ahnak,Aurkb
Nkg7,Hmgb1,H2afx
Spc24,Rrm2,Ptma
Anp32b,Vim,Dek
Nusap1,Actg1,Ezh2
Clic1,H2afx,Txn1
Ahnak,Incenp,Tuba1b
Racgap1,Ezh2,Tpx2
H2afx,Asf1b,Actg1
Hmgn2,Prc1,Spc25
Incenp,Sub1,Gapdh
Calm1,Anp32b,Tyms
Prc1,Aurkb,Ccnb2
Rbm3,Ly6c2,Vim
Asf1b,Calm1,Ly6c2
Aurkb,Nkg7,Tacc3
Ezh2,Tpx2,Hmgb1
Spc25,Spc25,Lgals3
Lgals3,Anp32e,Cenpe
Tyms,Cmc2,Ube2c
Ran,Tyms,Kif22
Ccnb2,H2afv,Cenpw
Lsp1,Rbm3,Cmc2
Cd48,Tubb4b,Rrm1
Abracl,Reep5,Itga4
Ly6c2,Ccnb2,Tubb4b
Tubb4b,Cd48,Gmnn
H2afv,Itga4,Sub1
Tpx2,Clic1,Plek
Ctsd,Cenpw,Rad21
Cox5b,Rad21,Dut
