wilcoxon,t-test,t-test_overestim_var
mt-Co3,Trdc,Trdc
mt-Cytb,Tmsb4x,Tmsb4x
Tmsb4x,mt-Cytb,mt-Co3
Trdc,mt-Co3,mt-Cytb
Pfn1,Pfn1,Pfn1
mt-Atp6,Ccr9,Cd3e
Cd3e,Cd3e,Cd52
mt-Co1,mt-Atp6,mt-Co1
Cd52,Tspan32,mt-Atp6
Ppia,Ppia,Ppia
Rpl22l1,mt-Co1,Ccr9
Ptprcap,Id3,Ptprcap
Actb,Lcp1,Actb
mt-Nd1,Cd52,Tmsb10
Cd3g,Actb,Lcp1
Tmsb10,Ptprcap,Cd3g
mt-Nd3,Tmsb10,mt-Nd1
Lcp1,Cd3g,Rpl22l1
mt-Co2,Rpl22l1,Tspan32
Sh3bgrl3,mt-Nd1,Sh3bgrl3
mt-Nd4,Tespa1,Id3
Ccr9,mt-Nd3,mt-Nd3
Gnas,Sh3bgrl3,mt-Co2
Plac8,Tcrg-C2,Plac8
Cnn2,Tcrg-C4,mt-Nd4
Cotl1,Ramp1,Tespa1
Myl6,mt-Co2,Ramp1
Itgb7,Themis,Cnn2
AW112010,Trav14-1,Itgb7
Laptm5,Plac8,Gnas
Ldha,Gsn,Myl6
Tspan32,mt-Nd4,Themis
Arpc1b,Cnn2,Rinl
Rinl,Itgae,Cotl1
mt-Nd2,Itgb7,Igfbp4
Arhgef1,Igfbp4,AW112010
Ramp1,Rinl,Nkg7
Serf2,Tcrg-C1,Ldha
Limd2,Gnas,Laptm5
Id3,Trbv13-3,Gsn
Nkg7,Ikzf2,Tpm4
Igfbp4,Myl6,Trav14-1
Cfl1,Cotl1,Limd2
Bcl11b,Mmp16,Arpc1b
Cd27,Tpm4,Arhgef1
Themis,Lpar6,Itgae
Coro1a,AW112010,Mir142hg
Hcst,Mir142hg,Bcl11b
H3f3b,Gngt2,Trbv13-3
Tespa1,Ly6c1,Zap70
Aes,Dntt,mt-Nd2
Arhgdib,Ldha,Cd27
H3f3a,Gm43647,Cfl1
Skap1,Fibp,Gm47283
Arpc2,Zap70,Lpar6
Itm2b,Gm47283,Hcst
Ptprc,Rnf167,Rnf167
Arpc5,Nkg7,Gngt2
Malat1,Laptm5,Tcrg-C2
Rac2,Itgb3,Ikzf2
Cd2,Bcl11b,Ly6e
Ly6e,Patz1,Tcrg-C4
Lck,Lta4h,Tecr
Eif4g2,Arpc1b,Fibp
Akr1b3,Wls,Arhgdib
Cd37,mt-Nd2,Aes
Arf5,Arhgef1,Mmp16
Uqcr11,Mta3,Malat1
Acp5,Cd27,Skap1
Atp5e,Rabgap1l,Trbc1
Tecr,Limd2,Slc9a3r1
Cox6a1,Tecr,H3f3a
Zap70,Dok2,H3f3b
Fkbp3,Mcm7,Serf2
Anxa6,Cfl1,Rabgap1l
Lat,Slc9a3r1,Itm2b
Rnf167,Trat1,Mta3
Ighm,Aes,Lta4h
Grcc10,Sox4,Cmtm7
Hnrnpa2b1,Hcst,Ptprc
Oaz1,Ly6e,Arpc5
Tpm4,H3f3b,Dok2
Ppdpf,Skap1,Tcrg-C1
Tma7,Arhgdib,Eif4g2
Sept1,Malat1,Ighm
Ybx1,Itm2b,Gm43647
Gm47283,Cmtm7,Cope
Ndufa3,H3f3a,Coro1a
Slc9a3r1,Serf2,Trat1
Actr3,Trgv2,Mcm7
S100a11,P2rx7,Akr1b3
Actg1,Lgals9,Lgals9
Pdcd4,Ddit4,Rac2
Mif,Arpc5,Patz1
Ndufa4,Cope,Myh9
Cmtm7,Zfp24,Cd37
Capzb,Sptan1,Wls
Snrpd3,Coro1a,Anxa6
Cope,Eif4g2,Uqcr11
Fth1,Rftn1,Lck
Trbc1,Hdac7,Ly6c1
Rgs10,Trbc1,Rbm38
Rhoh,Ptprc,Ppdpf
Myh9,Stap1,Acp5
Eno1,Gm20069,Hdac7
Cdk2ap2,Tbc1d4,Cd2
Mbnl1,Rbm38,Dntt
Rsrp1,Ighm,Grcc10
Cox6c,Akr1b3,Adcy7
Myl12a,Myh9,Sox4
Lfng,Cxcr6,Actr3
Shisa5,Gabarapl1,Sptan1
Tcf7,Nxf1,Itgb2
Marc2,Kifc1,Lfng
Rbm38,Ppdpf,Nxf1
Tram1,Adcy7,Stap1
H2afy,Keap1,Ddit4
Itgb2,Cd37,Itgb3
Csk,5830411N06Rik,Oaz1
Adcy7,Rcor1,Ptp4a3
Selplg,Abi3,Hnrnpa2b1
Hnrnpa3,Pds5a,Rftn1
Pycard,Acp5,Shisa5
Wdr1,Setd4,Marc2
Mir142hg,Anxa6,Lat
AC149090.1,Uqcr11,Tram1
Cd3d,1700017B05Rik,Tnfaip8
Calm1,Mgat5,S100a11
Ubb,Tnfaip8,Arf5
Ppp1r18,Crtc3,Keap1
Arl4c,Itgb2,Gm20069
Rabgap1l,Lfng,Pds5a
Vim,Grcc10,Arpc2
Ptp4a3,Rac2,Tma7
Ndufa13,Acat1,Crtc3
Ndufa2,Ptp4a3,Acat1
Atp5a1,Cd2,Sept1
Ndufb7,Lck,Cxcr6
Pdia3,Marc2,Cox6a1
Fxyd5,Gpcpd1,Sept9
Ccnd2,Serpinb1a,Gpcpd1
2010107E04Rik,Tram1,Ybx1
Celf2,Fli1,Fkbp3
Gltp,Actr3,Snrpd3
Ndufb3,Kcnq1ot1,Fli1
Rps17,Arpc2,AC149090.1
Cdc42,Acyp1,Kcnq1ot1
Pomp,Sept9,Pdcd4
Gnai2,Hvcn1,Rsrp1
Atp5k,Rpn1,Abi3
Cox5a,Tcrg-V1,Diaph1
Mta3,S100a11,Kbtbd11
Vasp,Gm12216,Gm12216
Gpx4,Arf5,Acyp1
Hdac7,9930012K11Rik,Rcor1
Gsn,Il6st,Wdr1
Fibp,Tia1,Zfp24
S1pr1,Cxxc5,Hvcn1
Lgals9,Oaz1,Il6st
Hnrnpk,Hnrnpa2b1,Tnfaip8l2
Selenof,Pdlim4,Actg1
Gngt2,Dusp23,Gramd1a
Gnb1,Lat,Rpn1
Tecpr1,Kbtbd11,Rhoh
Rock1,Diaph1,Eno1
Mdh1,Fkbp3,Ndufa3
Eif5a,Mob3a,1700017B05Rik
