gene_names,wilcoxon_logfc,wilcoxon_padj,wilcoxon_score,t-test_logfc,t-test_padj,t-test_score,t-test_overestim_var_logfc,t-test_overestim_var_padj,t-test_overestim_var_score,logreg_score
Xkr4,,,,,,,,,,
Gm1992,,,,,,,,,,
Gm37381,,,,,,,,,,
Rp1,,,,,,,,,,
Sox17,,,,,,,,,,
Gm37323,,,,,,,,,,
Mrpl15,-0.7668603,0.0037980085899544437,-3.7716665,-0.7668603,0.006377968219187547,-3.395124,-0.7668603,0.12456722720925746,-2.5963712,-0.039715473
Lypla1,-0.45101172,0.04068402867574934,-2.93829,-0.45101172,0.23065431266041486,-1.7062371,-0.45101172,0.6492102422270211,-1.3539275,-0.026217101
Gm37988,,,,,,,,,,
Tcea1,-0.42543322,0.11386565804735678,-2.4810953,-0.42543322,0.2000541358301762,-1.8069942,-0.42543322,0.620254448681849,-1.4121674,-0.021904409
Rgs20,,,,,,,,,,
Gm16041,,,,,,,,,,
Atp6v1h,-0.09997025,0.5493343710847164,-1.496596,-0.09997025,0.8718946916939694,-0.2967962,-0.09997025,0.9224607789691506,-0.237906,0.01934874
Oprk1,,,,,,,,,,
Npbwr1,,,,,,,,,,
Rb1cc1,0.66513544,0.9992751929661755,0.4866543,0.66513544,0.15472674262591846,1.9805181,0.66513544,0.4843251180675244,1.6796697,0.004742958
4732440D04Rik,0.11855563,0.9992751929661755,-0.24093597,0.11855563,0.9296925733760817,0.16798969,0.11855563,0.9570437095040528,0.13410732,0.0018923954
Alkal1,,,,,,,,,,
St18,,,,,,,,,,
Pcmtd1,0.4680595,0.9992751929661755,-0.26723903,0.4680595,0.3949156511857959,1.2791785,0.4680595,0.760421650561969,1.0848703,-0.013509266
Gm26901,-1.255319,0.9992751929661755,-0.033476613,-1.255319,0.4523916563797916,-1.1562848,-1.255319,0.8584682154710973,-0.55106103,0.003943966
Gm30414,,,,,,,,,,
Sntg1,,,,,,,,,,
Rrs1,-0.18875653,0.5869149483477847,-1.4384422,-0.18875653,0.7291405703537024,-0.59798694,-0.18875653,0.8584682154710973,-0.4657502,-0.0049789073
Adhfe1,,,,,,,,,,
3110035E14Rik,,,,,,,,,,
Gm29520,,,,,,,,,,
Mybl1,-23.108145,0.9992751929661755,-0.3253927,-23.108145,1.6573706064661326e-05,-4.896105,-23.108145,0.6285242001691698,-1.3955007,-0.0019973447
Vcpip1,0.25082847,0.9992751929661755,-0.5025318,0.25082847,0.7093323571036043,0.6389839,0.25082847,0.8584682154710973,0.5209113,0.0093370145
1700034P13Rik,-19.730177,0.9992751929661755,-0.036154743,-19.730177,0.23724423069377468,-1.6726544,-19.730177,0.8584682154710973,-0.4767444,-0.00023951042
Sgk3,1.2324138,0.9800230913697521,0.87134844,1.2324138,0.11264479505655552,2.1626096,1.2324138,0.38397176836892877,1.8897014,0.007672432
Mcmdc2,-21.314707,0.9992751929661755,-0.060257904,-21.314707,0.09769610481057489,-2.2227008,-21.314707,0.8584682154710973,-0.63352007,-0.00030337588
