"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003735","structural constituent of ribosome","23/303","182/22710",4.25631778474702e-16,4.25631778474702e-16,1.82797648018609e-13,"Rpl37a/Rpl12/Rps21/Rps27/Rps20/Rpl21/Rps19/Rps15a/Rpl18/Rpl18a/Rpl13/Rps24/Rplp1/Mrpl23/Rpl23/Rps23/Rps7/Rps29/Rpl35a/Rps28/Rps18/Rps14/Rpl17",23
"GO:0030881","beta-2-microglobulin binding","6/303","11/22710",2.34517443247453e-09,2.34517443247453e-09,5.03595351815583e-07,"H2-D1/H2-K1/H2-Q10/H2-Q2/H2-T23/H2-Q4",6
"GO:0042608","T cell receptor binding","6/303","16/22710",3.84243197872239e-08,3.84243197872239e-08,5.50074472743416e-06,"H2-D1/H2-K1/H2-Q10/H2-Q2/H2-T23/H2-Q4",6
"GO:0042605","peptide antigen binding","8/303","46/22710",1.53837243516883e-07,1.53837243516883e-07,1.2667887786421e-05,"H2-Bl/H2-D1/H2-K1/H2-Q10/H2-Q2/H2-T23/Gm11127/H2-Q4",8
"GO:0042610","CD8 receptor binding","5/303","11/22710",1.76977844074999e-07,1.76977844074999e-07,1.2667887786421e-05,"H2-D1/H2-K1/H2-Q10/H2-Q2/H2-Q4",5
"GO:0046977","TAP binding","5/303","11/22710",1.76977844074999e-07,1.76977844074999e-07,1.2667887786421e-05,"H2-D1/H2-K1/H2-Q10/H2-Q2/H2-Q4",5
"GO:0070180","large ribosomal subunit rRNA binding","4/303","10/22710",6.123992791874e-06,6.123992791874e-06,0.000375727678057834,"Rpl37a/Rpl12/Rpl23/Rpl17",4
"GO:0003924","GTPase activity","15/303","291/22710",9.50399142007973e-06,9.50399142007973e-06,0.000510214276235859,"Gbp2/Gbp9/Gbp3/Gbp6/Rrad/Tubb3/Irgm1/Tgtp1/Ifi47/Igtp/Irgm2/Tubb2b/Rhob/Eif2s3y/Iigp1",15
"GO:0042277","peptide binding","14/303","306/22710",6.91276063850109e-05,6.91276063850109e-05,0.00329872086609175,"Dpp4/Tlr1/Tubb3/Vipr1/Cltb/Ctsl/H2-Bl/H2-D1/H2-K1/H2-Q10/H2-Q2/H2-T23/Gm11127/H2-Q4",14
"GO:0005525","GTP binding","15/303","354/22710",9.07227412881957e-05,9.07227412881957e-05,0.00389630299427198,"Samhd1/Gbp2/Gnl2/Gbp9/Gbp3/Gbp6/Rrad/Tubb3/Gnl3/Irgm1/Tgtp1/Tubb2b/Rhob/Eif2s3y/Iigp1",15
