"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030217","T cell differentiation","21/383","269/23210",4.78254514531653e-09,4.78254514531653e-09,7.96296640756132e-06,"Bcl2/Slamf6/Lef1/Tnfsf8/Rhoh/Foxp1/Cd27/Il4ra/Myb/Tespa1/Ccr9/Tcf7/Ccr7/Sox4/Cd83/Gadd45g/Il7r/H2-Oa/Satb1/Sos1/Apc",21
"GO:0002181","cytoplasmic translation","13/383","94/23210",4.95079717747595e-09,4.95079717747595e-09,7.96296640756132e-06,"Rps21/Dph5/Rpl18/Rpl18a/Rplp1/Unk/Rps23/Rps29/Eif4b/Rpl35a/Rps28/Gm17669/Rpl17",13
"GO:0030098","lymphocyte differentiation","23/383","395/23210",2.06141848161335e-07,2.06141848161335e-07,0.000170347239034372,"Bcl2/Slamf6/Lef1/Tnfsf8/Rhoh/Foxp1/Cd27/Il4ra/Myb/Tespa1/Dcaf1/Ccr9/Tcf7/Ccr7/Sox4/Cd83/Gadd45g/Ighm/Il7r/H2-Oa/Satb1/Sos1/Apc",23
"GO:0042110","T cell activation","26/383","491/23210",2.1181921084117e-07,2.1181921084117e-07,0.000170347239034372,"Bcl2/Cxcr4/Slamf6/Dpp4/Il6ra/Lef1/Tnfsf8/Rhoh/Foxp1/Cd27/Il4ra/Myb/Tespa1/Ccr9/Peli1/Tcf7/Ccr7/Sox4/Cd83/Gadd45g/Il7r/H2-Oa/Treml2/Satb1/Sos1/Apc",26
"GO:0046632","alpha-beta T cell differentiation","12/383","112/23210",3.44282471016457e-07,3.44282471016457e-07,0.000221500469773957,"Bcl2/Slamf6/Lef1/Tnfsf8/Foxp1/Il4ra/Myb/Tcf7/Ccr7/Cd83/Gadd45g/Satb1",12
"GO:0046631","alpha-beta T cell activation","13/383","157/23210",2.18945752957623e-06,2.18945752957623e-06,0.00117385652813771,"Bcl2/Slamf6/Il6ra/Lef1/Tnfsf8/Foxp1/Il4ra/Myb/Tcf7/Ccr7/Cd83/Gadd45g/Satb1",13
"GO:0034470","ncRNA processing","19/383","343/23210",4.91397787984188e-06,4.91397787984188e-06,0.00225821299260102,"Wdr12/Ddx18/Rrp15/Rps21/Pusl1/Pus7/Rps19/Thumpd1/Mettl1/Rps24/Pus3/Ddx56/Rps7/Alkbh1/Rpl35a/Qtrt2/Rps28/Rps14/Pdcd11",19
"GO:0043367","CD4-positive, alpha-beta T cell differentiation","9/383","81/23210",7.56255911974524e-06,7.56255911974524e-06,0.0030409448249923,"Slamf6/Lef1/Foxp1/Il4ra/Myb/Ccr7/Cd83/Gadd45g/Satb1",9
"GO:0042254","ribosome biogenesis","17/383","294/23210",8.85357896484945e-06,8.85357896484945e-06,0.00316450728848888,"Wdr12/Ddx18/Rrp15/Rpl12/Nop56/Rps21/Rps27/Rps19/Rps24/Dhx30/Ddx56/C1qbp/Rps7/Rpl35a/Rps28/Rps14/Pdcd11",17
"GO:1902105","regulation of leukocyte differentiation","16/383","294/23210",3.3961712860362e-05,3.3961712860362e-05,0.00993951751792905,"Cd101/Lef1/Prdm16/Cd27/Il4ra/Myb/Tespa1/Inpp4b/Ccr7/Cd83/Fos/Il7r/Myc/H2-Oa/Sos1/Apc",16
"GO:0035456","response to interferon-beta","7/383","56/23210",3.64764411308303e-05,3.64764411308303e-05,0.00993951751792905,"Stat1/Ifi208/Bst2/Tgtp1/Tgtp2/Igtp/Iigp1",7
"GO:0034660","ncRNA metabolic process","21/383","467/23210",3.70780430969866e-05,3.70780430969866e-05,0.00993951751792905,"Wdr12/Dis3l2/Ddx18/Rrp15/Rps21/Pusl1/Pus7/Cd3eap/Rps19/Thumpd1/Mettl1/Rps24/Pus3/Ddx56/Rps7/Alkbh1/Rpl35a/Qtrt2/Rps28/Rps14/Pdcd11",21
"GO:0035710","CD4-positive, alpha-beta T cell activation","9/383","100/23210",4.18905103071539e-05,4.18905103071539e-05,0.0103657813359241,"Slamf6/Lef1/Foxp1/Il4ra/Myb/Ccr7/Cd83/Gadd45g/Satb1",9
"GO:0022613","ribonucleoprotein complex biogenesis","20/383","439/23210",4.73012414091562e-05,4.73012414091562e-05,0.0108686160711565,"Wdr12/Ddx18/Rrp15/Rpl12/Nop56/Rps21/Rps27/Rps19/Rps24/Dhx30/Ddx56/C1qbp/Rps23/Rps7/Prkaa1/Eif4b/Rpl35a/Rps28/Rps14/Pdcd11",20
"GO:0046488","phosphatidylinositol metabolic process","10/383","129/23210",5.7383857153106e-05,5.7383857153106e-05,0.0123063205235012,"Pikfyve/Pi4kb/Inpp5f/Slc27a1/Inpp4b/Pik3cb/Ip6k2/Socs3/Pigp/Pip5k1b",10
"GO:0042093","T-helper cell differentiation","7/383","63/23210",7.88263857858231e-05,7.88263857858231e-05,0.0136854717014271,"Slamf6/Lef1/Foxp1/Il4ra/Myb/Ccr7/Gadd45g",7
"GO:0033151","V(D)J recombination","4/383","15/23210",8.62682477220366e-05,8.62682477220366e-05,0.0136854717014271,"Lef1/Foxp1/Dcaf1/Tcf7",4
"GO:0002294","CD4-positive, alpha-beta T cell differentiation involved in immune response","7/383","64/23210",8.72664522927643e-05,8.72664522927643e-05,0.0136854717014271,"Slamf6/Lef1/Foxp1/Il4ra/Myb/Ccr7/Gadd45g",7
"GO:0002293","alpha-beta T cell differentiation involved in immune response","7/383","65/23210",9.64283392943431e-05,9.64283392943431e-05,0.0136854717014271,"Slamf6/Lef1/Foxp1/Il4ra/Myb/Ccr7/Gadd45g",7
"GO:0043122","regulation of I-kappaB kinase/NF-kappaB signaling","11/383","165/23210",9.76279098922044e-05,9.76279098922044e-05,0.0136854717014271,"Stat1/Optn/Pdpk1/Mapkbp1/Capn3/Pim2/Rhoh/Esr1/Ikbkb/Ajuba/Peli1",11
"GO:0006650","glycerophospholipid metabolic process","13/383","225/23210",0.000100871128391286,0.000100871128391286,0.0136854717014271,"Pikfyve/Fabp5/Pi4kb/Inpp5f/Dgka/Slc27a1/Inpp4b/Ajuba/Pik3cb/Ip6k2/Socs3/Pigp/Pip5k1b",13
"GO:0022411","cellular component disassembly","17/383","357/23210",0.00010210549396043,0.00010210549396043,0.0136854717014271,"Camsap2/Optn/Dpp4/Stmn2/Ctss/Atg9b/Hdgfl3/Chchd10/Insr/Rpl23/Wipi1/Actn2/Atg2b/Evl/Myc/Scaf4/Apc",17
"GO:0035458","cellular response to interferon-beta","6/383","46/23210",0.000104130932274892,0.000104130932274892,0.0136854717014271,"Stat1/Ifi208/Tgtp1/Tgtp2/Igtp/Iigp1",6
"GO:0002287","alpha-beta T cell activation involved in immune response","7/383","66/23210",0.000106357968883801,0.000106357968883801,0.0136854717014271,"Slamf6/Lef1/Foxp1/Il4ra/Myb/Ccr7/Gadd45g",7
"GO:0042274","ribosomal small subunit biogenesis","7/383","66/23210",0.000106357968883801,0.000106357968883801,0.0136854717014271,"Rps21/Rps27/Rps19/Rps24/Rps7/Rps28/Rps14",7
"GO:0046486","glycerolipid metabolic process","16/383","325/23210",0.000110844865755394,0.000110844865755394,0.0137142473582382,"Pikfyve/Mogat1/Fabp5/Pi4kb/Inpp5f/Esr1/Dgka/Slc27a1/Inpp4b/Ajuba/Pik3cb/Gpx1/Ip6k2/Socs3/Pigp/Pip5k1b",16
"GO:0006364","rRNA processing","12/383","198/23210",0.000118419319795955,0.000118419319795955,0.0141087501480092,"Wdr12/Ddx18/Rrp15/Rps21/Rps19/Rps24/Ddx56/Rps7/Rpl35a/Rps28/Rps14/Pdcd11",12
"GO:0016072","rRNA metabolic process","13/383","230/23210",0.000125672729786216,0.000125672729786216,0.0144381903092736,"Wdr12/Ddx18/Rrp15/Rps21/Cd3eap/Rps19/Rps24/Ddx56/Rps7/Rpl35a/Rps28/Rps14/Pdcd11",13
"GO:0000082","G1/S transition of mitotic cell cycle","11/383","171/23210",0.000134102353029577,0.000134102353029577,0.01487538260829,"Bcl2/Pim2/Jade1/Camk2d/Ccnd2/Myb/Prmt2/Apex1/Rgcc/Sox4/Rpl17",11
"GO:0001666","response to hypoxia","12/383","204/23210",0.000156741257382083,0.000156741257382083,0.0164994821079105,"Bcl2/Atp1b1/Dpp4/Pdk1/Rwdd3/Camk2d/Prmt2/Cbfa2t3/Ajuba/Rgcc/Sox4/Myc",12
"GO:1903706","regulation of hemopoiesis","18/383","407/23210",0.000162393276741726,0.000162393276741726,0.0164994821079105,"Stat1/Cd101/Lef1/Prdm16/Pus7/Cd27/Il4ra/Myb/Tespa1/Inpp4b/Ccr7/Cd83/Fos/Il7r/Myc/H2-Oa/Sos1/Apc",18
"GO:0002292","T cell differentiation involved in immune response","7/383","71/23210",0.000169260066781085,0.000169260066781085,0.0164994821079105,"Slamf6/Lef1/Foxp1/Il4ra/Myb/Ccr7/Gadd45g",7
"GO:0042255","ribosome assembly","7/383","71/23210",0.000169260066781085,0.000169260066781085,0.0164994821079105,"Rpl12/Rps27/Rps19/Dhx30/C1qbp/Rps28/Rps14",7
"GO:0006400","tRNA modification","7/383","72/23210",0.000184865421576372,0.000184865421576372,0.017413086848058,"Pusl1/Pus7/Thumpd1/Mettl1/Pus3/Alkbh1/Qtrt2",7
"GO:0001819","positive regulation of cytokine production","19/383","449/23210",0.0001894584874666,0.0001894584874666,0.017413086848058,"Stat1/Cd84/Slamf6/Optn/Il6ra/Ddx58/Tlr1/Cd27/Zfp580/Il4ra/Rgcc/Peli1/C1qbp/Ccr7/Cd83/Zbtb20/Cd200/Ltb/Mbp",19
