"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022626","cytosolic ribosome","25/610","148/23436",1.01963520801205e-13,1.01963520801205e-13,4.56152593058024e-11,"Rpl37a/Rpl12/Rps21/Rpl36a/Rps27/Rps20/Rpl21/Rps19/Rps15a/Rpl18/Rpl18a/Rpl13/Rps24/Rplp1/Hba-a2/Rpl23/Rps23/Rps7/Rps29/Rpl35a/Rps28/Rps18/Eif2ak2/Rps14/Rpl17",25
"GO:0044445","cytosolic part","32/610","299/23436",1.51928420915568e-11,1.51928420915568e-11,3.39839888890086e-09,"Rpl37a/Aim2/Rpl12/Rps21/Rpl36a/Hps3/Ubqln4/Rps27/Rps20/Rpl21/Rps19/Rps15a/Ctbp2/Rpl18/Rpl18a/Rpl13/Rps24/Rplp1/Hba-a2/Rpl23/Rps23/Rps7/Rps29/Gsdmd/Rpl35a/Rps28/Rps18/Eif2ak2/Rps14/Rpl17/Pi4k2a/Chuk",32
"GO:0022627","cytosolic small ribosomal subunit","13/610","54/23436",9.23053426509006e-10,9.23053426509006e-10,1.37648317988185e-07,"Rps21/Rps27/Rps20/Rps19/Rps15a/Rps24/Hba-a2/Rps23/Rps7/Rps29/Rps28/Rps18/Rps14",13
"GO:0044391","ribosomal subunit","25/610","230/23436",1.88321389450427e-09,1.88321389450427e-09,2.10622606622188e-07,"Rpl37a/Rpl12/Rps21/Rpl36a/Rps27/Rps20/Rpl21/Rps19/Rps15a/Rpl18/Rpl18a/Rpl13/Rps24/Rplp1/Hba-a2/Mrpl23/Rpl23/Rps23/Rps7/Rps29/Rpl35a/Rps28/Rps18/Rps14/Rpl17",25
"GO:0005840","ribosome","26/610","265/23436",7.88307065047033e-09,7.88307065047033e-09,7.05327373989451e-07,"Rpl37a/Rpl12/Rps21/Rpl36a/Rps27/Rps20/Rpl21/Rps19/Rps15a/Rpl18/Rpl18a/Rpl13/Rps24/Rplp1/Hba-a2/Mrpl23/Rpl23/Rps23/Rps7/Rps29/Rpl35a/Rps28/Rps18/Eif2ak2/Rps14/Rpl17",26
"GO:0015935","small ribosomal subunit","13/610","85/23436",2.94055931178226e-07,2.94055931178226e-07,2.19252229387274e-05,"Rps21/Rps27/Rps20/Rps19/Rps15a/Rps24/Hba-a2/Rps23/Rps7/Rps29/Rps28/Rps18/Rps14",13
"GO:0000790","nuclear chromatin","29/610","407/23436",1.14160642102441e-06,1.14160642102441e-06,7.29598088624626e-05,"Rnf2/Nacc2/Ino80/Etv3/Gatad2b/Polr3gl/Jun/Arid1a/Trrap/Tbx6/Srcap/Sirt6/Kat6a/Tti2/Klf2/Polr3d/Tcf7/Rad50/Stat3/Hdac5/Brms1l/Nipbl/Myc/Rarg/Calcoco1/Nrip1/Ppp1r10/Satb1/Rfx3",29
"GO:0022625","cytosolic large ribosomal subunit","11/610","89/23436",1.97281147214408e-05,1.97281147214408e-05,0.00110321694165952,"Rpl37a/Rpl12/Rpl36a/Rpl21/Rpl18/Rpl18a/Rpl13/Rplp1/Rpl23/Rpl35a/Rpl17",11
"GO:0017053","transcriptional repressor complex","10/610","82/23436",5.26449581926178e-05,5.26449581926178e-05,0.00261685464700147,"Gata1/Etv3/Gatad2b/Jun/Mier1/Ctbp2/Hdac5/Rcor2/Rcor1/Tfap4",10
"GO:0005844","polysome","9/610","74/23436",0.000126667724113228,0.000126667724113228,0.00521539784729841,"Upf2/Rps21/Rpl18/Rpl18a/Rps23/Rps29/Rps28/Impact/Rpl17",9
"GO:0042788","polysomal ribosome","6/610","31/23436",0.000128237429421808,0.000128237429421808,0.00521539784729841,"Rps21/Rpl18/Rpl18a/Rps23/Rps29/Rps28",6
"GO:0005769","early endosome","18/610","263/23436",0.000199532321642303,0.000199532321642303,0.00743870497350693,"Pikfyve/Snx21/Wls/Ecpas/Ldlrap1/Sorcs2/Washc2/Inpp5f/Rab32/Stx7/Usp10/Vps11/Tmem108/Zfyve16/F2rl1/Slc11a2/Mgrn1/Pi4k2a",18
"GO:0015934","large ribosomal subunit","12/610","150/23436",0.00057446455935897,0.00057446455935897,0.0182705686420934,"Rpl37a/Rpl12/Rpl36a/Rpl21/Rpl18/Rpl18a/Rpl13/Rplp1/Mrpl23/Rpl23/Rpl35a/Rpl17",12
"GO:0030139","endocytic vesicle","13/610","173/23436",0.000625153033895027,0.000625153033895027,0.0182705686420934,"Slamf1/Dpp4/Lamp2/Stxbp3/Ecpas/Stx4a/Inpp5f/Rab32/Stx7/Vps11/Rapgef6/Evl/Cd2ap",13
"GO:0014069","postsynaptic density","22/610","390/23436",0.000627461212864248,0.000627461212864248,0.0182705686420934,"Bmpr2/Rpl12/Tanc1/Pdpk1/Rapgef4/Syp/Akap9/Sorcs2/Stx1a/Rps19/Bnip3/Bcr/Rpl18a/Tmem108/Camk2b/Rpl23/Stat3/Actn2/Rps18/Sos1/Nr3c1/Rps14",22
"GO:0035097","histone methyltransferase complex","9/610","92/23436",0.000658714884760743,0.000658714884760743,0.0182705686420934,"Zfp451/Kdm5b/Rnf2/Kdm5a/Kmt2b/Zfp827/Prdm10/Kansl1/Jarid2",9
"GO:0032279","asymmetric synapse","22/610","393/23436",0.00069428160839955,0.00069428160839955,0.0182705686420934,"Bmpr2/Rpl12/Tanc1/Pdpk1/Rapgef4/Syp/Akap9/Sorcs2/Stx1a/Rps19/Bnip3/Bcr/Rpl18a/Tmem108/Camk2b/Rpl23/Stat3/Actn2/Rps18/Sos1/Nr3c1/Rps14",22
"GO:0098984","neuron to neuron synapse","22/610","418/23436",0.00153463288966324,0.00153463288966324,0.0381414607080046,"Bmpr2/Rpl12/Tanc1/Pdpk1/Rapgef4/Syp/Akap9/Sorcs2/Stx1a/Rps19/Bnip3/Bcr/Rpl18a/Tmem108/Camk2b/Rpl23/Stat3/Actn2/Rps18/Sos1/Nr3c1/Rps14",22
