"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008047","enzyme activator activity","33/579","452/22710",7.28079265016962e-08,7.28079265016962e-08,4.3531476055751e-05,"Dgkq/Rgs2/Usp6nl/Garnl3/Gapvd1/Pdpk1/Dnajc10/Lamtor3/Rgs3/Tbc1d14/Git2/Agfg2/Ankrd27/Rgs10/Arhgap45/Tbc1d30/Gmip/Rgcc/Arhgef12/Thy1/Rplp1/Als2cl/Acap1/Taok1/Arhgap27/Timp2/Tbc1d16/Rictor/Arhgap39/Ncf4/Ranbp1/Acap2/Sh3pxd2a",33
"GO:0030695","GTPase regulator activity","23/579","256/22710",1.96262706852642e-07,1.96262706852642e-07,4.39766218563905e-05,"Rgs2/Usp6nl/Garnl3/Gapvd1/Rgs3/Tbc1d14/Git2/Agfg2/Ankrd27/Rgs10/Arhgap45/Tbc1d30/Gmip/Arhgef12/Thy1/Als2cl/Acap1/Arhgap27/Tbc1d16/Arhgap39/Dnaja3/Ranbp1/Acap2",23
"GO:0005096","GTPase activator activity","22/579","238/22710",2.20657345582241e-07,2.20657345582241e-07,4.39766218563905e-05,"Rgs2/Usp6nl/Garnl3/Gapvd1/Rgs3/Tbc1d14/Git2/Agfg2/Ankrd27/Rgs10/Arhgap45/Tbc1d30/Gmip/Arhgef12/Thy1/Als2cl/Acap1/Arhgap27/Tbc1d16/Arhgap39/Ranbp1/Acap2",22
"GO:0060589","nucleoside-triphosphatase regulator activity","24/579","295/22710",6.61204502918317e-07,6.61204502918317e-07,9.88326730677905e-05,"Rgs2/Usp6nl/Garnl3/Gapvd1/Dnajc10/Rgs3/Tbc1d14/Git2/Agfg2/Ankrd27/Rgs10/Arhgap45/Tbc1d30/Gmip/Arhgef12/Thy1/Als2cl/Acap1/Arhgap27/Tbc1d16/Arhgap39/Dnaja3/Ranbp1/Acap2",24
"GO:0003735","structural constituent of ribosome","18/579","182/22710",1.04144612534707e-06,1.04144612534707e-06,0.000124535031409923,"Rpl12/Rps21/Rps27/Rps20/Rpl21/Rps19/Rps15a/Rpl18/Rpl18a/Rpl13/Rps24/Rplp1/Rps23/Rps7/Rps29/Rps18/Rps14/Rpl17",18
"GO:0035326","enhancer binding","14/579","138/22710",1.21694622133115e-05,1.21694622133115e-05,0.00121267623458964,"Lef1/Lmo4/Fubp1/Bach2/Clock/Zfp143/Irf7/Ccar1/Zfp395/Fli1/Kmt2a/Rai1/Hmga1/Hmga1b",14
"GO:0008757","S-adenosylmethionine-dependent methyltransferase activity","14/579","147/22710",2.49621354430332e-05,2.49621354430332e-05,0.00213210420024704,"Pcmtd1/Nsun6/Ash1l/Dph5/Armt1/Prmt2/Mettl1/Kmt2a/Dnmt3a/Trmt61a/Kmt2d/Eef2kmt/Nsun3/N6amt1",14
"GO:0017137","Rab GTPase binding","14/579","165/22710",8.89911688138005e-05,8.89911688138005e-05,0.00665091893239982,"Usp6nl/Atp6ap1/Dennd2d/Tbc1d14/Ulk1/Ankrd27/Rab3ip/Tbc1d30/Rab11fip1/Gas8/Als2cl/Tbc1d16/Acap2/Rab11fip2",14
"GO:0001158","enhancer sequence-specific DNA binding","12/579","127/22710",0.000100979922580494,0.000100979922580494,0.00670837380417787,"Lmo4/Fubp1/Bach2/Clock/Zfp143/Irf7/Ccar1/Zfp395/Fli1/Kmt2a/Hmga1/Hmga1b",12
"GO:0008168","methyltransferase activity","15/579","199/22710",0.000190237478386003,0.000190237478386003,0.0113741987077105,"Pcmtd1/Mettl18/Nsun6/Ash1l/Dph5/Armt1/Prmt2/Mettl1/Kmt2a/Dnmt3a/Trmt61a/Kmt2d/Eef2kmt/Nsun3/N6amt1",15
"GO:0003906","DNA-(apurinic or apyrimidinic site) endonuclease activity","4/579","13/22710",0.000248901983991595,0.000248901983991595,0.0135288351107394,"Apex1/Hmga1/Hmga1b/Alkbh1",4
"GO:0016741","transferase activity, transferring one-carbon groups","15/579","210/22710",0.000340042029573316,0.000340042029573316,0.0168652941543681,"Pcmtd1/Mettl18/Nsun6/Ash1l/Dph5/Armt1/Prmt2/Mettl1/Kmt2a/Dnmt3a/Trmt61a/Kmt2d/Eef2kmt/Nsun3/N6amt1",15
"GO:0140098","catalytic activity, acting on RNA","21/579","357/22710",0.000366701378180363,0.000366701378180363,0.0168652941543681,"Lactb2/Ddx18/Nsun6/Polr1b/Ddx55/Isg20/Nars2/Ears2/Ybey/Mettl1/Fto/Apex1/Polr3d/Ddx56/Rnase12/Dhx29/Alkbh1/Trmt61a/Ddx17/Dgcr8/Nsun3",21
"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","24/579","439/22710",0.000420792344048403,0.000420792344048403,0.0179706805578566,"Stat1/Parp1/Elf4/Lef1/Plag1/Klf4/Clock/Zfp467/Zfp384/Meis3/Zfp143/Fli1/Tcf12/Eomes/Hmga1/Klf6/Rreb1/Fos/Irf2bpl/Bcl11b/Tef/Zfp24/Nr3c1/Nfkb2",24
"GO:0032549","ribonucleoside binding","21/579","366/22710",0.000508286775982622,0.000508286775982622,0.0202601325444301,"Tuba4a/Arl4c/Polr1b/Gbp2/Rasl11b/Ran/Rasl2-9/Rrad/Gnl3/Srprb/Tgtp1/Tsr1/Rhot1/Arl15/Dnajc27/Tuba1b/Tuba1c/Tubb5/Gnl1/Eif2s3y/Gnal",21
"GO:0001882","nucleoside binding","21/579","376/22710",0.000719278796900243,0.000719278796900243,0.0240399734570102,"Tuba4a/Arl4c/Polr1b/Gbp2/Rasl11b/Ran/Rasl2-9/Rrad/Gnl3/Srprb/Tgtp1/Tsr1/Rhot1/Arl15/Dnajc27/Tuba1b/Tuba1c/Tubb5/Gnl1/Eif2s3y/Gnal",21
"GO:0019001","guanyl nucleotide binding","21/579","377/22710",0.000744044934342203,0.000744044934342203,0.0240399734570102,"Tuba4a/Arl4c/Gbp2/Cnga1/Rasl11b/Ran/Rasl2-9/Rrad/Gnl3/Srprb/Tgtp1/Tsr1/Rhot1/Arl15/Dnajc27/Tuba1b/Tuba1c/Tubb5/Gnl1/Eif2s3y/Gnal",21
"GO:0032561","guanyl ribonucleotide binding","21/579","377/22710",0.000744044934342203,0.000744044934342203,0.0240399734570102,"Tuba4a/Arl4c/Gbp2/Cnga1/Rasl11b/Ran/Rasl2-9/Rrad/Gnl3/Srprb/Tgtp1/Tsr1/Rhot1/Arl15/Dnajc27/Tuba1b/Tuba1c/Tubb5/Gnl1/Eif2s3y/Gnal",21
"GO:0032183","SUMO binding","4/579","17/22710",0.000763946339610976,0.000763946339610976,0.0240399734570102,"Rnf111/Cbx4/Simc1/Nr3c1",4
"GO:0005525","GTP binding","20/579","354/22710",0.000828641302667193,0.000828641302667193,0.024772013679735,"Tuba4a/Arl4c/Gbp2/Rasl11b/Ran/Rasl2-9/Rrad/Gnl3/Srprb/Tgtp1/Tsr1/Rhot1/Arl15/Dnajc27/Tuba1b/Tuba1c/Tubb5/Gnl1/Eif2s3y/Gnal",20
"GO:0032550","purine ribonucleoside binding","20/579","361/22710",0.00105189167586486,0.00105189167586486,0.0297647310558108,"Tuba4a/Arl4c/Gbp2/Rasl11b/Ran/Rasl2-9/Rrad/Gnl3/Srprb/Tgtp1/Tsr1/Rhot1/Arl15/Dnajc27/Tuba1b/Tuba1c/Tubb5/Gnl1/Eif2s3y/Gnal",20
