"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003735","structural constituent of ribosome","24/365","182/22710",2.38087672675798e-15,2.38087672675798e-15,1.19545073543532e-12,"Rpl37a/Rpl12/Rps21/Rps27/Rps20/Rpl21/Rps19/Rps15a/Rpl18/Rpl18a/Gm10073/Rpl13/Rps24/Rplp1/Mrpl23/Rpl23/Rps23/Rps7/Rps29/Rpl35a/Rps28/Rps18/Rps14/Rpl17",24
"GO:0070180","large ribosomal subunit rRNA binding","4/365","10/22710",1.2769135685147e-05,1.2769135685147e-05,0.00320572511674479,"Rpl37a/Rpl12/Rpl23/Rpl17",4
"GO:0009982","pseudouridine synthase activity","4/365","13/22710",4.18436714532911e-05,4.18436714532911e-05,0.0070033092221824,"Dkc1/Pusl1/Pus7/Pus7l",4
"GO:0004896","cytokine receptor activity","8/365","97/22710",0.000171815802409995,0.000171815802409995,0.0215674046709389,"Il6ra/Il4ra/Il21r/Il27ra/Ccr9/Ccr7/Il6st/Ifngr2",8
"GO:0048027","mRNA 5'-UTR binding","4/365","24/22710",0.000540731863632875,0.000540731863632875,0.0531252067696519,"Igf2bp3/Gnl3/Rps7/Rps14",4
"GO:0030515","snoRNA binding","4/365","25/22710",0.000635625145228322,0.000635625145228322,0.0531252067696519,"Nop58/Nop56/Dkc1/Tsr1",4
"GO:0016866","intramolecular transferase activity","4/365","26/22710",0.000741742404246936,0.000741742404246936,0.0531252067696519,"Dkc1/Pusl1/Pus7/Pus7l",4
"GO:0019843","rRNA binding","6/365","72/22710",0.00105887635584349,0.00105887635584349,0.0531252067696519,"Rpl37a/Rpl12/Rpl23/Rps18/Rps14/Rpl17",6
"GO:0071889","14-3-3 protein binding","4/365","29/22710",0.00113452973568561,0.00113452973568561,0.0531252067696519,"Zfp36/Ddit4/Zfp36l1/Hdac7",4
"GO:0017124","SH3 domain binding","8/365","129/22710",0.00116385411057204,0.00116385411057204,0.0531252067696519,"Enah/Dtx1/Gpx1/Plscr3/Abi3/Evl/Sh3bp1/Cd2ap",8
"GO:0019955","cytokine binding","8/365","129/22710",0.00116385411057204,0.00116385411057204,0.0531252067696519,"Eng/Il6ra/Zfp36/Il27ra/Ccr9/Ccr7/Il6st/Acvrl1",8
"GO:0050699","WW domain binding","4/365","31/22710",0.0014655191101823,0.0014655191101823,0.0613204048734172,"Enah/Pmepa1/Fam189b/Tnk2",4
"GO:0003729","mRNA binding","12/365","272/22710",0.00159622321401882,0.00159622321401882,0.0616516982256662,"Cstf3/Slpi/Hnrnpr/Igf2bp3/Zfp36/Gnl3/Trp53/C1qbp/Rps7/Zfp36l1/Myc/Rps14",12
"GO:0008138","protein tyrosine/serine/threonine phosphatase activity","4/365","38/22710",0.00314781031002272,0.00314781031002272,0.100091638695764,"Dusp10/Dusp6/Ssh2/Ppm1f",4
