comparison,pathway,NES,padj,pval,leadingEdge_signal,mlog10padj,mlog10pval
0,48h_IL2_repressed,-1.4382020743530959,0.016309639727361245,0.008154819863680622,26,1.7875556322244142,2.0885856278883956
0,48h_IL2_promoted,-1.4054203835369774,0.03787566899958831,0.03787566899958831,35,1.4216396874595754,1.4216396874595754
1,48h_IL2_repressed,1.3294290464592813,0.04391891891891892,0.02195945945945946,16,1.3573483587521018,1.658378354416083
1,48h_IL2_promoted,-1.1265585927251163,0.28297220913801224,0.28297220913801224,17,0.5482562146900611,0.5482562146900611
2,48h_IL2_promoted,1.743102502307255,0.002002002002002002,0.001001001001001001,14,2.698535492562001,2.9995654882259823
2,48h_IL2_repressed,1.3924610934796695,0.017920273070827747,0.017920273070827747,22,1.746655376802795,1.746655376802795
3,48h_IL2_repressed,-1.9229732137027602,0.014084507042253521,0.007042253521126761,33,1.8512583487190752,2.1522883443830563
3,48h_IL2_promoted,0.6078141753957487,0.9420735052111904,0.9420735052111904,10,0.02591521009227386,0.02591521009227386
4,48h_IL2_repressed,-1.8850711334037864,9.111617312072893e-4,4.5558086560364467e-4,40,3.040404528914159,3.34143452457814
4,48h_IL2_promoted,1.5581239984989608,0.0107095046854083,0.0107095046854083,18,1.9702306148234552,1.9702306148234552
5,48h_IL2_repressed,1.4401561921746513,0.001802162595114137,9.010812975570685e-4,26,2.744206028576004,3.045236024239985
5,48h_IL2_promoted,0.5839952372845612,0.981436148510812,0.981436148510812,15,0.008137950013494938,0.008137950013494938
6,48h_IL2_repressed,1.4245646700445262,0.0155659328441183,0.00778296642205915,22,1.807824847553685,2.1088548432176664
6,48h_IL2_promoted,-1.2828693057464557,0.09667340562396619,0.09667340562396619,31,1.0146929817521655,1.0146929817521655
7,48h_IL2_promoted,1.424483818912602,0.08818570872779147,0.044092854363895734,12,1.0546017904186473,1.3556317860826286
7,48h_IL2_repressed,0.8866027923645082,0.7003507977820528,0.7003507977820528,13,0.15468437230066087,0.15468437230066087
8,48h_IL2_repressed,2.347180809579835,4.0024014408645187e-4,2.0012007204322593e-4,31,3.3976793537786056,3.698709349442587
8,48h_IL2_promoted,0.9886557631293628,0.47448275862068967,0.47448275862068967,10,0.32377956399946356,0.32377956399946356
9,48h_IL2_repressed,1.264367619957236,0.05303030303030303,0.026515151515151516,30,1.275475891191593,1.5765058868555741
9,48h_IL2_promoted,-1.3154430427101478,0.08561177780527032,0.08561177780527032,18,1.0674664843417931,1.0674664843417931
